Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.0,0.0,1.0,0.000746698,4.567666666666667e-05,4.567666666666667e-05,6.559e-05,3.6317e-05,6.559e-05
2,0,2.0,2,2.0,0.0,1.0,0.000488038,5.12945e-05,5.12945e-05,6.5351e-05,6.5351e-05,6.5351e-05
3,0,1.0,1,1.0,0.0,1.0,0.000276172,6.9501e-05,6.9501e-05,6.9501e-05,6.9501e-05,6.9501e-05
4,0,2.0,2,2.0,0.0,1.0,0.000520999,4.9989e-05,4.9989e-05,6.2328e-05,6.2328e-05,6.2328e-05
5,0,3.0,3,3.8284199999999995,0.0,1.0,0.000712682,5.243333333333333e-05,5.243333333333333e-05,6.5764e-05,5.423e-05,6.5764e-05
6,0,1.0,1,1.41421,0.0,1.0,0.000273254,6.7166e-05,6.7166e-05,6.7166e-05,6.7166e-05,6.7166e-05
7,0,2.0,2,2.4142099999999997,0.0,1.0,0.000494018,5.8563499999999996e-05,5.8563499999999996e-05,6.7813e-05,6.7813e-05,6.7813e-05
8,0,3.0,3,3.0,0.0,1.0,0.000763032,4.6498999999999996e-05,4.6498999999999996e-05,6.7015e-05,3.7535e-05,6.7015e-05
9,0,3.0,3,3.4142099999999997,0.0,1.0,0.000699972,4.6700666666666665e-05,4.6700666666666665e-05,6.5737e-05,3.7669e-05,6.5737e-05
10,0,2.0,2,2.4142099999999997,0.0,1.0,0.000485491,5.0804e-05,5.0804e-05,6.4098e-05,6.4098e-05,6.4098e-05
11,5,20.0,20,21.656840000000003,0.0,1.0,0.004374986,3.561055000000001e-05,3.561055000000001e-05,6.7552e-05,3.3941e-05,4.5382e-05
12,5,18.0,18,20.071050000000003,0.0,1.0,0.003896937,3.7136666666666666e-05,3.7136666666666666e-05,6.4224e-05,3.5373e-05,4.4375e-05
13,5,19.0,19,22.313680000000005,0.0,1.0,0.004146579,3.907047368421053e-05,3.907047368421053e-05,6.5329e-05,3.5893e-05,4.5011e-05
14,5,22.0,22,24.071050000000003,0.10784061045936336,1.0,0.00465322,3.539781818181819e-05,3.539781818181819e-05,5.8255e-05,3.4732e-05,4.3958e-05
15,5,22.0,22,23.656840000000003,0.052102484734471134,1.0,0.005135555,3.541018181818182e-05,3.541018181818182e-05,6.5283e-05,3.4444e-05,4.1721e-05
16,5,22.0,22,24.071050000000003,0.05116050568789727,1.0,0.004602835,3.424768181818182e-05,3.424768181818182e-05,6.5356e-05,3.4063e-05,3.6327e-05
17,5,24.0,24,24.41421,0.024584529385103582,1.0,0.00532445,3.5757000000000003e-05,3.5757000000000003e-05,6.5969e-05,3.398e-05,4.2204e-05
18,5,18.0,18,21.31368,0.02826046053869421,1.0,0.004141842,3.631272222222222e-05,3.631272222222222e-05,6.461e-05,3.5391e-05,4.3957e-05
19,5,33.0,33,34.656839999999995,0.4756822352705734,1.0,0.006908906,3.403936363636364e-05,3.403936363636364e-05,6.5833e-05,3.4441e-05,4.2564e-05
20,5,21.0,21,21.41421,4.669798544713985e-07,1.0,0.004608871,3.794457142857143e-05,3.794457142857143e-05,6.5963e-05,3.4998e-05,4.4042e-05
21,10,52.0,52,52.0,0.2440489006914041,1.0,0.012089833,3.356515384615385e-05,3.356515384615385e-05,6.5364e-05,3.4047e-05,4.0959e-05
22,10,39.0,39,40.65683999999999,0.0,1.0,0.008483657,3.647533333333334e-05,3.647533333333334e-05,6.4599e-05,3.5095e-05,4.3674e-05
23,10,40.0,40,45.79893999999997,0.09833543173015745,1.0,0.009201746,3.48613e-05,3.48613e-05,6.578e-05,3.4923e-05,4.3054e-05
24,10,221.0,221,229.69840999999994,4.375841312116906,1.0,0.046503556,3.07519864253394e-05,3.07519864253394e-05,6.4767e-05,3.1083e-05,3.5096e-05
25,10,42.0,42,46.55630999999997,0.05880542908215877,1.0,0.00885106,3.3630357142857146e-05,3.3630357142857146e-05,6.5005e-05,3.3856e-05,4.045e-05
26,10,162.0,162,166.97052,3.065401705822342,1.0,0.03306007,3.0239691358024696e-05,3.0239691358024696e-05,6.5055e-05,3.0757e-05,3.6389e-05
27,10,42.0,42,42.41421,2.357700957714329e-07,1.0,0.009088392,3.616295238095237e-05,3.616295238095237e-05,6.6762e-05,3.4833e-05,4.3891e-05
28,10,199.0,199,207.28419999999997,3.8318558491357693,1.0,0.046317155,3.123846733668342e-05,3.123846733668342e-05,6.6098e-05,3.0854e-05,3.7823e-05
29,10,47.0,47,48.65683999999999,0.14335221812046603,1.0,0.009766171,3.2461978723404255e-05,3.2461978723404255e-05,6.5845e-05,2.9336e-05,3.8536e-05
30,10,46.0,46,50.14209999999997,0.1512020075167076,1.0,0.009622412,3.47225652173913e-05,3.47225652173913e-05,5.5554e-05,3.4786e-05,4.3198e-05
31,15,61.0,61,63.89946999999998,0.038065478269486294,1.0,0.013194638,3.468767213114754e-05,3.468767213114754e-05,6.8539e-05,3.4169e-05,4.1472e-05
32,15,549.0,549,554.3847300000001,8.00614120731753,1.0,0.118798026,2.9176041894353356e-05,2.9176041894353356e-05,6.5233e-05,2.8399e-05,3.4776e-05
33,15,563.0,563,578.7399800000006,8.481074873528883,1.0,0.125415064,2.9960476021314364e-05,2.9960476021314364e-05,6.3904e-05,2.9207e-05,3.6564e-05
34,15,62.0,62,63.65683999999999,0.028390213168119047,1.0,0.013448772,3.551361290322581e-05,3.551361290322581e-05,6.5254e-05,3.4002e-05,4.2584e-05
35,15,1027.0,1027,1042.32577,15.36342723925995,1.0,0.213637691,2.8588293086660178e-05,2.8588293086660178e-05,6.4816e-05,2.7689e-05,3.5144e-05
