Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.001393759,0.000828101,0.00027790233333333333,0.000828101,0.000828101,0.000828101
2,0,2.0,1,2.0,0.0,2.0,0.000993227,0.000614939,0.0003091055,0.000614939,0.000614939,0.000614939
3,0,1.0,1,1.0,0.0,1.0,0.000683417,0.000475987,0.000475987,0.000475987,0.000475987,0.000475987
4,0,2.0,1,2.0,0.0,2.0,0.000978055,0.000568893,0.000286155,0.000568893,0.000568893,0.000568893
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001558268,0.00099125,0.000332216,0.00099125,0.00099125,0.00099125
6,0,1.0,1,1.41421,0.0,1.0,0.000672818,0.000467242,0.000467242,0.000467242,0.000467242,0.000467242
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.001423637,0.001024029,0.0005136120000000001,0.001024029,0.001024029,0.001024029
8,0,3.0,1,3.0,0.0,3.0,0.001346619,0.00080277,0.0002694213333333333,0.00080277,0.00080277,0.00080277
9,0,6.0,1,3.4142099999999997,0.0,3.0,0.001914828,0.001366753,0.00045751233333333335,0.001366753,0.001366753,0.001366753
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.001332502,0.000928065,0.000465609,0.000928065,0.000928065,0.000928065
11,5,121.0,1,21.656840000000003,0.0,20.0,0.020739903,0.017110604,0.000857464,0.017110604,0.017110604,0.017110604
12,5,127.0,1,20.071050000000003,0.0,18.0,0.024129126,0.020565119,0.001144398611111111,0.020565119,0.020565119,0.020565119
13,5,172.0,1,22.313680000000005,0.0,19.0,0.041972295,0.03821928,0.0020136268421052624,0.03821928,0.03821928,0.03821928
14,5,118.0,1,21.727890000000002,0.0,18.0,0.020295178,0.01691861,0.0009417968888888886,0.01691861,0.01691861,0.01691861
15,5,124.0,1,22.485260000000004,0.0,20.0,0.023392832,0.019665301,0.0009850958000000003,0.019665301,0.019665301,0.019665301
16,5,132.0,1,22.89947,0.0,20.0,0.024504855,0.020844208,0.0010440457499999998,0.020844208,0.020844208,0.020844208
17,5,72.0,1,23.82842,8.393345756658257e-07,23.0,0.016494952,0.012151677,0.0005302578695652173,0.012151677,0.012151677,0.012151677
18,5,98.0,1,20.727890000000002,0.0,17.0,0.019491924,0.01624514,0.0009575782352941179,0.01624514,0.01624514,0.01624514
19,5,94.0,1,23.48526,0.0,21.0,0.018932888,0.015248585,0.0007279716190476192,0.015248585,0.015248585,0.015248585
20,5,60.0,1,21.41421,4.669798544713985e-07,21.0,0.013864805,0.010094456,0.0004826309523809525,0.010094456,0.010094456,0.010094456
21,10,334.0,2,42.627359999999996,0.01981769898801398,18.0,0.075990271,0.034356847,0.0019106693055555549,0.064673406,0.064673406,0.064673406
22,10,190.0,1,40.65683999999999,0.0,39.0,0.047471731,0.039788131,0.0010222254871794874,0.039788131,0.039788131,0.039788131
23,10,323.0,2,42.28419999999999,0.014046068803433901,17.0,0.07123024,0.032580095,0.0019185018235294124,0.062805362,0.062805362,0.062805362
24,10,758.0,3,63.35524999999998,0.482760678619824,17.666666666666668,0.151136513,0.047027232333333335,0.0026638817735849044,0.06371336,0.05031503,0.06371336
25,10,356.0,2,43.970519999999986,0.0,19.5,0.08118852,0.0369611455,0.0018973269999999992,0.066556753,0.066556753,0.066556753
26,10,495.0,2,45.21315,0.10085071984923699,19.5,0.099888215,0.0463929605,0.002381139948717948,0.063451026,0.063451026,0.063451026
27,10,115.0,1,42.41421,2.357700957714329e-07,42.0,0.026952911,0.019344064,0.00046254214285714325,0.019344064,0.019344064,0.019344064
28,10,914.0,3,58.35524999999999,0.36027809181925163,16.0,0.187745272,0.05968792466666667,0.0037324939374999994,0.066809821,0.062684898,0.066809821
29,10,253.0,1,42.55630999999999,2.3498283424459555e-07,38.0,0.060820121,0.053366468,0.001406474289473684,0.053366468,0.053366468,0.053366468
30,10,297.0,1,43.556309999999975,2.2958791207592076e-07,39.0,0.067948648,0.061051888,0.0015675306923076924,0.061051888,0.061051888,0.061051888
31,15,575.0,2,64.04156999999998,0.04037393410585072,28.5,0.121420903,0.0556391145,0.0019542068771929823,0.064789736,0.064789736,0.064789736
32,15,1002.0,4,83.94103999999999,0.3636466129380744,18.5,0.203905662,0.0476030575,0.002575036959459459,0.06260362,0.062124889,0.06260362
33,15,969.0,4,89.42629999999997,0.4650058320882802,19.25,0.197992881,0.045758809750000004,0.0023790079220779225,0.063491477,0.062361617,0.063491477
34,15,452.0,2,64.38472999999998,0.04014943577896385,29.5,0.100990999,0.045136010500000004,0.0015320187118644068,0.068143405,0.068143405,0.068143405
35,15,750.0,3,63.698409999999996,0.0,18.333333333333332,0.158502756,0.049523121999999996,0.002703221109090909,0.065522716,0.061389258,0.065522716
36,15,786.0,3,69.76945999999995,0.12767653519228112,19.666666666666668,0.16662671,0.05196209733333334,0.002644068508474577,0.06181165,0.057150898,0.06181165
37,15,388.0,2,63.556309999999996,0.026766128967115936,29.5,0.090986053,0.0399078275,0.0013547438305084748,0.066358522,0.066358522,0.066358522
38,15,398.0,2,62.384729999999976,0.0,28.5,0.094055562,0.041182254,0.0014468993157894733,0.069202076,0.069202076,0.069202076
39,15,271.0,1,60.48526,0.0,58.0,0.071137753,0.059828771,0.0010334151896551724,0.059828771,0.059828771,0.059828771
40,15,1615.0,6,115.56839999999993,0.8232825535459595,16.5,0.3109658,0.04885772866666666,0.0029630350101010087,0.062918893,0.058346757,0.062918893
41,20,711.0,3,84.04156999999998,0.02011014167661972,25.666666666666668,0.160683202,0.04828962866666666,0.0018833470779220786,0.067112667,0.063878244,0.067112667
42,20,787.0,3,103.62735999999997,0.2748754679562962,32.333333333333336,0.172141229,0.051528363333333334,0.0015955351237113404,0.068042488,0.058516652,0.068042488
43,20,863.0,3,98.01208999999996,0.18373519003852642,28.666666666666668,0.172861747,0.052374641,0.0018289771395348844,0.05692704,0.050889846,0.05692704
44,20,1281.0,5,107.08313999999994,0.2820198043983429,18.6,0.264759243,0.049523681,0.002664488967741935,0.063137231,0.061741169,0.063137231
