Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.0,0.0,1.0,0.000908341,0.00010334933333333334,0.00010334933333333334,0.000131076,8.9933e-05,0.000131076
2,0,2.0,2,2.0,0.0,1.0,0.000599877,0.000115683,0.000115683,0.000132968,0.000132968,0.000132968
3,0,1.0,1,1.0,0.0,1.0,0.000350985,0.000128952,0.000128952,0.000128952,0.000128952,0.000128952
4,0,2.0,2,2.0,0.0,1.0,0.00063416,0.00011244900000000001,0.00011244900000000001,0.000124922,0.000124922,0.000124922
5,0,1403.0,3,3.8284199999999995,0.0,1.0,0.098838764,0.032756019,0.032756019,0.055779046,0.042358993,0.055779046
6,0,701.0,1,1.41421,0.0,1.0,0.069365772,0.069128853,0.069128853,0.069128853,0.069128853,0.069128853
7,0,702.0,2,2.4142099999999997,0.0,1.0,0.05711337,0.02835824,0.02835824,0.056583672,0.056583672,0.056583672
8,0,3.0,3,3.0,0.0,1.0,0.000936711,0.00010596466666666666,0.00010596466666666666,0.00013054,9.8969e-05,0.00013054
9,0,291.0,3,3.4142099999999997,0.0,1.0,0.020593546,0.006671629000000001,0.006671629000000001,0.019786213,0.000131644,0.019786213
10,0,702.0,2,2.4142099999999997,0.0,1.0,0.064606835,0.032085698,0.032085698,0.064039178,0.064039178,0.064039178
11,5,8420.0,20,21.656840000000003,0.0,1.0,0.919008334,0.045772451650000004,0.045772451650000004,0.130303425,0.056766083,0.126162599
12,5,6318.0,18,20.071050000000003,0.0,1.0,0.463618499,0.025574997111111115,0.025574997111111115,0.058984332,0.041802329,0.05711878
13,5,5619.0,19,22.313680000000005,0.0,1.0,0.517745336,0.027055973631578942,0.027055973631578942,0.080453088,9.7328e-05,0.069979906
14,5,2994.0,23,24.656840000000003,0.13480087813364386,1.0,0.21656078,0.00922983595652174,0.00922983595652174,0.055759939,8.874e-05,0.045021999
15,5,9822.0,22,23.656840000000003,0.052102484734471134,1.0,0.861606204,0.038961704136363635,0.038961704136363635,0.114083455,0.048055825,0.069243235
16,5,17532.0,32,35.727889999999995,0.5602039345837243,1.0,1.535532814,0.047792637031249995,0.047792637031249995,0.114986233,0.051165235,0.087269235
17,5,7379.0,24,24.41421,0.024584529385103582,1.0,0.543288053,0.02243077983333333,0.02243077983333333,0.060943044,0.000129709,0.057298558
18,5,10519.0,19,21.899470000000004,0.05652140351892872,1.0,0.877660079,0.045996102789473685,0.045996102789473685,0.073913556,0.055867999,0.067217658
19,5,15425.0,25,26.656840000000003,0.13504362303227993,1.0,1.541895861,0.061481249919999995,0.061481249919999995,0.130403985,0.062740282,0.084144993
20,5,721.0,21,21.41421,4.669798544713985e-07,1.0,0.081364101,0.0036887372857142857,0.0036887372857142857,0.075623492,8.7856e-05,0.000111336
21,10,12903.0,53,55.07105,0.31752075408502595,1.0,1.147768668,0.021370000566037734,0.021370000566037734,0.121823397,8.8116e-05,0.064899227
22,10,2839.0,39,40.65683999999999,0.0,1.0,0.196636987,0.004867498846153846,0.004867498846153846,0.0549697,8.4219e-05,0.042955435
23,10,30850.0,50,54.97051999999998,0.31828531002314175,1.0,2.395038773,0.047703854680000005,0.047703854680000005,0.10038966,0.051331933,0.065396913
24,10,51177.0,92,102.76945999999997,1.4052073703598813,1.0,4.441570375,0.04808146073913042,0.04808146073913042,0.101577954,0.055750429,0.078356658
25,10,14635.0,43,47.97051999999997,0.09096805592827878,1.0,1.280350258,0.029568291720930236,0.029568291720930236,0.159460045,0.000131114,0.061096179
26,10,23173.0,65,69.55631,0.6935584875983354,1.0,2.108821337,0.032250606830769246,0.032250606830769246,0.119074408,0.041549706,0.0735883
27,10,742.0,42,42.41421,2.357700957714329e-07,1.0,0.072381635,0.0015309026428571427,0.0015309026428571427,0.060752053,8.6759e-05,9.651e-05
28,10,41376.0,76,85.52682999999996,0.9936556370120854,1.0,4.473098088,0.0586367919868421,0.0586367919868421,0.157525663,0.063624833,0.107960034
29,10,9064.0,48,50.899469999999994,0.19605017353482312,1.0,0.710810024,0.014623782124999997,0.014623782124999997,0.071902135,7.5483e-05,0.057797461
30,10,9956.0,39,43.556309999999975,2.2958791207592076e-07,1.0,0.807713989,0.020526723743589746,0.020526723743589746,0.083411868,8.2315e-05,0.063027184
31,15,7630.0,60,63.31367999999998,0.028549149315341832,1.0,0.791322877,0.013013569283333333,0.013013569283333333,0.090838228,8.876e-05,0.072320888
32,15,149275.0,299,322.6099700000001,4.24089280869708,1.0,11.766348845,0.039100663719063546,0.039100663719063546,0.108267899,0.044509894,0.06798582
33,15,200857.0,423,462.76416000000074,6.581127624439738,1.0,15.26162371,0.035841888378250586,0.035841888378250586,0.112154499,0.043420588,0.063315723
34,15,9315.0,63,64.24262999999999,0.03785377910968567,1.0,0.705967814,0.011024400999999998,0.011024400999999998,0.059307197,8.2138e-05,0.054100667
