Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000726553,0.000299366,0.0001515745,0.000299366,0.000299366,0.000299366
2,0,3.0,1,3.0,0.0,3.0,0.000974464,0.000366426,0.00012422266666666667,0.000366426,0.000366426,0.000366426
3,0,2.0,1,2.82842,0.0,2.0,0.000749562,0.000308129,0.000156053,0.000308129,0.000308129,0.000308129
4,0,2.0,1,2.82842,0.0,2.0,0.00068454,0.000304539,0.00015415549999999998,0.000304539,0.000304539,0.000304539
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001174673,0.000608822,0.00020516399999999998,0.000608822,0.000608822,0.000608822
6,0,3.0,1,3.0,0.0,3.0,0.000975155,0.000358054,0.00012144400000000001,0.000358054,0.000358054,0.000358054
7,0,3.0,1,3.0,0.0,3.0,0.000968603,0.000370786,0.00012565,0.000370786,0.000370786,0.000370786
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.001040517,0.000462017,0.00015598866666666667,0.000462017,0.000462017,0.000462017
9,0,2.0,1,2.82842,0.0,2.0,0.000698603,0.000300543,0.000152049,0.000300543,0.000300543,0.000300543
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001049104,0.000494822,0.00016696466666666666,0.000494822,0.000494822,0.000494822
11,5,150.0,1,23.313680000000005,0.00015787215787243006,20.0,0.013600772,0.010031796,0.0005035011000000002,0.010031796,0.010031796,0.010031796
12,5,180.0,1,23.899470000000004,0.0,21.0,0.015692528,0.011919781,0.0005694873333333334,0.011919781,0.011919781,0.011919781
13,5,103.0,1,23.82842,0.0,23.0,0.011414281,0.007138135,0.0003122303478260871,0.007138135,0.007138135,0.007138135
14,5,103.0,1,23.82842,0.0,23.0,0.011581241,0.007188523,0.0003144167826086956,0.007188523,0.007188523,0.007188523
15,5,147.0,1,23.384730000000005,0.00020230966638176538,18.0,0.012902695,0.00975868,0.0005439817222222224,0.00975868,0.00975868,0.00975868
16,5,0.0,0,0.0,0.0,0.0,1.0979e-05,0.0,0.0,0.0,0.0,0.0
17,5,134.0,1,23.627360000000007,0.0,17.0,0.012448843,0.009338942,0.0005512875882352943,0.009338942,0.009338942,0.009338942
18,5,149.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.013066679,0.010092378,0.0005955740588235296,0.010092378,0.010092378,0.010092378
19,5,184.0,1,23.485260000000004,0.0,21.0,0.016342234,0.012520253,0.0005980555238095238,0.012520253,0.012520253,0.012520253
20,5,23.0,1,23.0,0.0,23.0,0.006754861,0.002111216,9.369621739130436e-05,0.002111216,0.002111216,0.002111216
21,10,159.0,1,43.24262999999999,6.082331174813256e-05,42.0,0.018463267,0.010867163,0.000260595619047619,0.010867163,0.010867163,0.010867163
22,10,393.0,1,42.012089999999986,4.975005950936394e-05,30.0,0.033205403,0.027269544,0.0009109572333333337,0.027269544,0.027269544,0.027269544
23,10,444.0,1,42.59787999999999,0.0,31.0,0.036128288,0.030462783,0.0009845356774193551,0.030462783,0.030462783,0.030462783
24,10,513.0,1,43.97051999999998,1.1826245166711712e-05,39.0,0.040853397,0.03389382,0.0008710475384615383,0.03389382,0.03389382,0.03389382
25,10,584.0,1,43.45577999999998,0.0,36.0,0.057526001,0.051241368,0.0014252589444444445,0.051241368,0.051241368,0.051241368
