Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000649771,0.000246528,0.000128096,0.000246528,0.000246528,0.000246528
2,0,3.0,1,3.0,0.0,3.0,0.000915104,0.000324814,0.00011434333333333332,0.000324814,0.000324814,0.000324814
3,0,2.0,1,2.82842,0.0,2.0,0.000625424,0.000248716,0.00012907050000000002,0.000248716,0.000248716,0.000248716
4,0,2.0,1,2.82842,0.0,2.0,0.000634881,0.000248126,0.0001286795,0.000248126,0.000248126,0.000248126
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001157752,0.000569035,0.00019546166666666669,0.000569035,0.000569035,0.000569035
6,0,3.0,1,3.0,0.0,3.0,0.000888399,0.000318723,0.00011188333333333333,0.000318723,0.000318723,0.000318723
7,0,3.0,1,3.0,0.0,3.0,0.000888615,0.000319154,0.00011196766666666666,0.000319154,0.000319154,0.000319154
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.000984997,0.00040975,0.000142278,0.00040975,0.00040975,0.00040975
9,0,2.0,1,2.82842,0.0,2.0,0.000623754,0.000246689,0.00012816550000000003,0.000246689,0.000246689,0.000246689
10,0,4.0,1,3.4142099999999997,0.001234604105571731,3.0,0.000991641,0.000367606,0.00012974266666666666,0.000367606,0.000367606,0.000367606
11,5,245.0,1,23.31368,0.00015787215787227765,20.0,0.02313173,0.01924425,0.0009796013999999998,0.01924425,0.01924425,0.01924425
12,5,291.0,1,23.899470000000004,0.0,21.0,0.026551249,0.022357423,0.0010829509047619048,0.022357423,0.022357423,0.022357423
13,5,102.0,1,23.82842,0.0,23.0,0.013356245,0.008405909,0.0003845905652173913,0.008405909,0.008405909,0.008405909
14,5,102.0,1,23.82842,0.0,23.0,0.013233936,0.008235184,0.0003818755652173913,0.008235184,0.008235184,0.008235184
