Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.000934253,0.000325641,0.00011437066666666666,0.000325641,0.000325641,0.000325641
2,0,2.0,1,2.0,0.0,2.0,0.000641076,0.000247115,0.000128308,0.000247115,0.000247115,0.000247115
3,0,1.0,1,1.0,0.0,1.0,0.000337283,0.000128601,0.000128601,0.000128601,0.000128601,0.000128601
4,0,2.0,1,2.0,0.0,2.0,0.000623465,0.000233967,0.00012152199999999999,0.000233967,0.000233967,0.000233967
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000947709,0.000392042,0.000136132,0.000392042,0.000392042,0.000392042
6,0,1.0,1,1.41421,0.0,1.0,0.000330265,0.000127955,0.000127955,0.000127955,0.000127955,0.000127955
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.000755319,0.000327456,0.000168714,0.000327456,0.000327456,0.000327456
8,0,3.0,1,3.0,0.0,3.0,0.000917222,0.000324664,0.00011355499999999999,0.000324664,0.000324664,0.000324664
9,0,4.0,1,3.4142099999999997,0.0,3.0,0.000965579,0.000396576,0.00013758433333333332,0.000396576,0.000396576,0.000396576
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.000753357,0.000328817,0.00016900050000000002,0.000328817,0.000328817,0.000328817
11,5,208.0,1,21.65684,0.0,20.0,0.01866002,0.014819479,0.0007581332500000001,0.014819479,0.014819479,0.014819479
12,5,221.0,1,20.07105,0.0,18.0,0.019806948,0.016406933,0.0009271875000000002,0.016406933,0.016406933,0.016406933
13,5,297.0,1,22.31368,0.0,19.0,0.026687303,0.02300406,0.001227565842105263,0.02300406,0.02300406,0.02300406
14,5,183.0,1,21.727890000000002,0.0,18.0,0.016808543,0.013245115,0.0007518751111111112,0.013245115,0.013245115,0.013245115
15,5,184.0,1,22.48526,0.0,20.0,0.01843033,0.014081535,0.0007214518,0.014081535,0.014081535,0.014081535
16,5,198.0,1,22.89947,0.0,20.0,0.018675075,0.014504098,0.0007422801,0.014504098,0.014504098,0.014504098
17,5,36.0,1,23.82842,8.393345756658257e-07,23.0,0.007705579,0.002797167,0.00014070000000000003,0.002797167,0.002797167,0.002797167
18,5,139.0,1,20.727890000000002,0.0,17.0,0.013924625,0.010504057,0.0006330501764705884,0.010504057,0.010504057,0.010504057
19,5,131.0,1,23.48526,0.0,21.0,0.01358012,0.009537553,0.00047252538095238103,0.009537553,0.009537553,0.009537553
20,5,22.0,1,21.41421,4.669798544713985e-07,21.0,0.005849795,0.001716637,0.00010011757142857143,0.001716637,0.001716637,0.001716637
21,10,699.0,2,44.62735999999999,0.0676657336299909,19.0,0.061459743,0.0265949285,0.0014272433684210523,0.031537347,0.031537347,0.031537347
22,10,259.0,1,40.65683999999999,0.0,39.0,0.027397265,0.019143319,0.0005215534358974357,0.019143319,0.019143319,0.019143319
23,10,598.0,2,41.69840999999999,0.0,16.5,0.053151623,0.022957493500000002,0.001415980696969698,0.031491471,0.031491471,0.031491471
24,10,1015.0,3,44.72789,0.046807589420495836,13.666666666666666,0.085761128,0.02576429133333333,0.001914197000000001,0.033282186,0.031058525,0.033282186
25,10,803.0,2,46.79893999999998,0.06432343429473292,20.5,0.071372195,0.031174767,0.0015513398292682917,0.032081569,0.032081569,0.032081569
26,10,865.0,3,43.07105,0.04869482434120338,13.666666666666666,0.074424797,0.021801907666666665,0.0016237889024390243,0.031905711,0.031423127,0.031905711
27,10,43.0,1,42.41421,2.357700957714329e-07,42.0,0.012649823,0.003196302,0.00010812740476190474,0.003196302,0.003196302,0.003196302
28,10,1068.0,3,42.89947,0.0,13.333333333333334,0.089328376,0.026998344999999997,0.002054469574999999,0.032422057,0.031972639,0.032422057
29,10,395.0,1,42.55630999999999,2.3498283424459555e-07,38.0,0.037714825,0.029750561,0.0008130996052631581,0.029750561,0.029750561,0.029750561
30,10,498.0,2,43.556309999999975,2.2958791207592076e-07,19.5,0.045647199,0.018749967,0.0009905976153846154,0.03163688,0.03163688,0.03163688
31,15,1076.0,3,61.55630999999998,1.6245290866828993e-07,19.0,0.098721546,0.028203139666666665,0.0015245236666666662,0.033193702,0.032319649,0.033193702
32,15,1127.0,3,63.556309999999996,0.032490744245511766,19.666666666666668,0.097218399,0.028092589,0.0014700457796610169,0.0319049,0.031367495,0.0319049
33,15,1326.0,4,63.04156999999998,0.03276404943513892,14.0,0.115752959,0.025651459499999998,0.0018700363035714285,0.033168571,0.032300531,0.033168571
34,15,497.0,2,61.89946999999999,0.0,29.5,0.051920756,0.0195212985,0.0007056114237288135,0.033344642,0.033344642,0.033344642
35,15,1424.0,4,65.69840999999998,0.03139650070252798,14.25,0.121473704,0.0272498045,0.0019518266140350884,0.033748459,0.031951525,0.033748459
36,15,1105.0,3,61.86998999999996,0.0,18.0,0.09569559,0.027718099333333333,0.0015783472962962967,0.031427339,0.030560081,0.031427339
37,15,373.0,1,61.89947,0.0,59.0,0.04072268,0.027209971,0.0005045929322033901,0.027209971,0.027209971,0.027209971
38,15,756.0,2,65.21314999999998,0.04533716546338189,29.5,0.072128879,0.0291736685,0.0010305501016949152,0.032384484,0.032384484,0.032384484
39,15,251.0,1,60.48526,0.0,58.0,0.032985371,0.019450035,0.00037865593103448284,0.019450035,0.019450035,0.019450035
40,15,1415.0,4,63.38473,0.0,14.5,0.116699137,0.026062487000000002,0.0018372440862068976,0.032366292,0.030659969,0.032366292
41,20,1181.0,3,82.38472999999998,0.0,25.666666666666668,0.107591732,0.02995142866666667,0.0012209332077922088,0.032642317,0.031461858,0.032642317
