Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,2,2.82842,0.0,1.0,0.000498827,5.7331500000000005e-05,5.7331500000000005e-05,7.3739e-05,7.3739e-05,7.3739e-05
2,0,3.0,3,3.0,0.0,1.0,0.000719204,4.948066666666666e-05,4.948066666666666e-05,7.2568e-05,3.9274e-05,7.2568e-05
3,0,2.0,2,2.82842,0.0,1.0,0.000491409,5.76295e-05,5.76295e-05,7.3501e-05,7.3501e-05,7.3501e-05
4,0,2.0,2,2.82842,0.0,1.0,0.000552961,5.9310499999999994e-05,5.9310499999999994e-05,7.6108e-05,7.6108e-05,7.6108e-05
5,0,3.0,3,3.4142099999999997,0.001234604105571731,1.0,0.000715648,4.939933333333333e-05,4.939933333333333e-05,7.1698e-05,3.8481e-05,7.1698e-05
6,0,3.0,3,3.0,0.0,1.0,0.000757239,4.927266666666667e-05,4.927266666666667e-05,7.218e-05,3.8916e-05,7.218e-05
7,0,3.0,3,3.0,0.0,1.0,0.000739585,4.941600000000001e-05,4.941600000000001e-05,7.2199e-05,3.9081e-05,7.2199e-05
8,0,3.0,3,3.8284199999999995,0.0,1.0,0.000766229,5.1467999999999996e-05,5.1467999999999996e-05,7.2888e-05,4.1473e-05,7.2888e-05
9,0,2.0,2,2.82842,0.0,1.0,0.000508688,5.7820500000000007e-05,5.7820500000000007e-05,7.4405e-05,7.4405e-05,7.4405e-05
10,0,3.0,3,3.4142099999999997,0.001234604105571731,1.0,0.000704077,4.8881e-05,4.8881e-05,6.7476e-05,4.128e-05,6.7476e-05
11,5,20.0,20,23.313680000000005,0.00015787215787243006,1.0,0.00436702,3.611134999999999e-05,3.611134999999999e-05,7.3644e-05,3.4722e-05,3.6529e-05
12,5,21.0,21,23.899470000000004,0.0,1.0,0.004638036,3.658738095238095e-05,3.658738095238095e-05,6.3777e-05,3.533e-05,3.6959e-05
13,5,23.0,23,23.82842,0.0,1.0,0.005221932,3.6678347826086953e-05,3.6678347826086953e-05,7.3047e-05,3.446e-05,3.6602e-05
14,5,23.0,23,23.82842,0.0,1.0,0.004968171,3.693191304347826e-05,3.693191304347826e-05,7.1683e-05,3.4421e-05,3.7453e-05
15,5,18.0,18,23.384730000000005,0.00020230966638176538,1.0,0.003982062,3.859866666666666e-05,3.859866666666666e-05,7.2185e-05,3.5635e-05,4.0392e-05
16,5,0.0,0,0.0,0.0,0.0,1.0263e-05,0.0,0.0,0.0,0.0,0.0
17,5,17.0,17,23.627360000000007,0.0,1.0,0.003722656,3.883635294117647e-05,3.883635294117647e-05,7.1369e-05,3.5917e-05,4.0819e-05
18,5,17.0,17,21.970520000000004,2.366863905349035e-05,1.0,0.00373496,3.821482352941177e-05,3.821482352941177e-05,7.2127e-05,3.5933e-05,3.9297e-05
19,5,21.0,21,23.485260000000004,0.0,1.0,0.004840527,3.717057142857144e-05,3.717057142857144e-05,6.9848e-05,3.5194e-05,3.7183e-05
20,5,23.0,23,23.0,0.0,1.0,0.005363692,3.660452173913044e-05,3.660452173913044e-05,7.2201e-05,3.4144e-05,3.7332e-05
21,10,64.0,64,65.24262999999999,0.5088489824236815,1.0,0.013034758,3.105653125e-05,3.105653125e-05,7.1152e-05,3.1845e-05,3.53e-05
22,10,30.0,30,42.012089999999986,4.975005950936394e-05,1.0,0.006385239,3.8126033333333334e-05,3.8126033333333334e-05,7.3358e-05,3.6148e-05,4.2081e-05
23,10,31.0,31,42.59787999999999,0.0,1.0,0.006582135,3.781858064516129e-05,3.781858064516129e-05,7.2505e-05,3.5707e-05,3.9418e-05
24,10,39.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.008300461,3.5951333333333336e-05,3.5951333333333336e-05,7.3486e-05,3.4466e-05,3.942e-05
25,10,36.0,36,43.45577999999998,0.0,1.0,0.007703071,3.713744444444445e-05,3.713744444444445e-05,7.1131e-05,3.6156e-05,3.8191e-05
26,10,40.0,40,40.41421,0.0001041821331353747,1.0,0.009022142,3.556335000000001e-05,3.556335000000001e-05,7.1424e-05,3.4165e-05,3.6624e-05
27,10,39.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.008136404,3.5485179487179497e-05,3.5485179487179497e-05,7.1652e-05,3.4515e-05,3.6556e-05
28,10,48.0,48,48.41421,0.10711662474273954,1.0,0.010203551,3.291604166666667e-05,3.291604166666667e-05,7.17e-05,3.4035e-05,3.7161e-05
29,10,43.0,43,43.0,0.0,1.0,0.009146116,3.557876744186047e-05,3.557876744186047e-05,7.241e-05,3.4216e-05,3.7116e-05
30,10,34.0,34,43.52682999999998,0.0,1.0,0.007679882,3.660885294117646e-05,3.660885294117646e-05,7.2511e-05,3.5292e-05,3.7218e-05
31,15,2862.0,2862,2886.4383899999966,44.19239689995298,1.0,0.569208685,2.7862814116002807e-05,2.7862814116002807e-05,7.7362e-05,2.7912e-05,3.1663e-05
32,15,63.0,63,67.97051999999996,0.07412326169405759,1.0,0.014709295,3.356971428571428e-05,3.356971428571428e-05,6.9927e-05,3.4239e-05,3.5429e-05
33,15,718.0,718,735.8110300000008,11.26147358773539,1.0,0.160325164,2.9012185236768815e-05,2.9012185236768815e-05,7.336e-05,2.8473e-05,3.2718e-05
34,15,61.0,61,63.071049999999985,1.6648168701206888e-05,1.0,0.012955345,3.5489540983606563e-05,3.5489540983606563e-05,7.2623e-05,3.444e-05,3.6716e-05
35,15,101.0,101,104.72788999999997,0.6657847940194048,1.0,0.02128875,3.191159405940595e-05,3.191159405940595e-05,7.6318e-05,3.2547e-05,3.6047e-05
36,15,69.0,69,71.48525999999998,0.13217073170731677,1.0,0.015685901,3.379117391304348e-05,3.379117391304348e-05,7.1234e-05,3.4007e-05,3.646e-05
37,15,55.0,55,63.28419999999994,6.637168141498851e-05,1.0,0.012777092,3.637465454545455e-05,3.637465454545455e-05,7.4032e-05,3.5719e-05,3.736e-05
38,15,54.0,54,60.62735999999997,0.0,1.0,0.011517633,3.390416666666666e-05,3.390416666666666e-05,7.4406e-05,3.4994e-05,3.7448e-05
39,15,61.0,61,63.48525999999998,0.0,1.0,0.01279866,3.431349180327869e-05,3.431349180327869e-05,6.6551e-05,3.3556e-05,3.5115e-05
40,15,89.0,89,101.01208999999992,0.6334425937904254,1.0,0.019794752,3.080630337078652e-05,3.080630337078652e-05,7.1793e-05,3.1549e-05,3.5955e-05
41,20,138.0,138,149.59787999999995,0.801298976520168,1.0,0.02831562,3.089326811594203e-05,3.089326811594203e-05,7.3353e-05,3.1072e-05,3.5642e-05
42,20,70.0,70,84.4973499999999,0.00699976164938507,1.0,0.01482902,3.4679e-05,3.4679e-05,7.2558e-05,3.5225e-05,3.6073e-05
43,20,764.0,764,770.6273600000003,8.404776177690998,1.0,0.165763782,2.924883376963349e-05,2.924883376963349e-05,7.3132e-05,2.9341e-05,3.3221e-05
44,20,81.0,81,88.04156999999995,0.06678262450018113,1.0,0.018287881,3.308944444444446e-05,3.308944444444446e-05,7.157e-05,3.3908e-05,3.5148e-05
45,20,81.0,81,85.55630999999997,0.028197452229299053,1.0,0.01687814,3.2964086419753086e-05,3.2964086419753086e-05,6.6066e-05,3.3245e-05,3.4294e-05
46,20,81.0,81,87.62735999999995,0.04479980922856741,1.0,0.017369244,3.426097530864198e-05,3.426097530864198e-05,7.2429e-05,3.4192e-05,3.6183e-05
47,20,74.0,74,81.45577999999995,0.01464598903836505,1.0,0.01680211,3.4896608108108105e-05,3.4896608108108105e-05,7.2771e-05,3.4528e-05,3.6436e-05
48,20,101.0,101,105.14209999999997,0.2686064189189186,1.0,0.020579367,3.0011851485148525e-05,3.0011851485148525e-05,7.2594e-05,2.7611e-05,3.5297e-05
49,20,962.0,962,968.2131500000004,10.625998439000965,1.0,0.214210932,2.853937422037423e-05,2.853937422037423e-05,9.2853e-05,2.8278e-05,3.2244e-05
50,20,194.0,194,196.07104999999999,1.337797186121378,1.0,0.039142919,2.9306505154639148e-05,2.9306505154639148e-05,7.281e-05,2.8614e-05,3.4284e-05
51,25,97.0,97,103.21314999999996,3.052029842033195e-05,1.0,0.020144913,3.4474164948453614e-05,3.4474164948453614e-05,7.1924e-05,3.4001e-05,3.5707e-05
52,25,88.0,88,100.01208999999992,2.0897910208081385e-05,1.0,0.018655554,3.601694318181818e-05,3.601694318181818e-05,7.2113e-05,3.5026e-05,3.7706e-05
53,25,105.0,105,107.48525999999998,0.05161197534487808,1.0,0.022963725,3.3460133333333335e-05,3.3460133333333335e-05,7.2069e-05,3.3631e-05,3.5362e-05
54,25,1766.0,1766,1784.6394499999976,16.237896744904834,1.0,0.36017314,2.8284631370328403e-05,2.8284631370328403e-05,5.9559e-05,2.7969e-05,3.1745e-05
55,25,504.0,504,513.9410400000006,3.9940825964435005,1.0,0.103359621,2.9935253968253966e-05,2.9935253968253966e-05,7.1881e-05,3.0666e-05,3.3391e-05
56,25,83.0,83,102.46786999999986,0.0,1.0,0.017804351,3.5928783132530116e-05,3.5928783132530116e-05,7.3665e-05,3.5373e-05,3.6988e-05
57,25,122.0,122,125.31367999999998,0.2141621935858927,1.0,0.025138057,3.195470491803279e-05,3.195470491803279e-05,7.4082e-05,3.2476e-05,3.58e-05
