Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.001578856,0.001023172,0.0003429746666666666,0.001023172,0.001023172,0.001023172
2,0,2.0,1,2.82842,0.0,2.0,0.001178287,0.000775559,0.000389426,0.000775559,0.000775559,0.000775559
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.001948081,0.001396131,0.0004670550000000001,0.001396131,0.001396131,0.001396131
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.001568367,0.001007887,0.00033780966666666665,0.001007887,0.001007887,0.001007887
5,0,2.0,1,2.0,0.0,2.0,0.000891056,0.000450658,0.000226999,0.000450658,0.000450658,0.000450658
6,0,3.0,1,3.0,0.0,3.0,0.001358795,0.00079254,0.00026598633333333333,0.00079254,0.00079254,0.00079254
7,0,1.0,1,1.41421,0.0,1.0,0.000520642,0.000315071,0.000315071,0.000315071,0.000315071,0.000315071
8,0,2.0,1,2.0,0.0,2.0,0.000831107,0.000449239,0.0002262015,0.000449239,0.000449239,0.000449239
9,0,2.0,1,2.0,0.0,2.0,0.000986054,0.000594721,0.0002989665,0.000594721,0.000594721,0.000594721
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.001514883,0.000948203,0.00031791733333333335,0.000948203,0.000948203,0.000948203
11,5,107.0,2,23.727890000000002,0.0,10.0,0.018700029,0.007680844,0.0007699444000000001,0.012625777,0.012625777,0.012625777
12,5,95.0,2,22.727890000000002,0.0,9.5,0.019051365,0.007858149,0.0008290084210526316,0.014505063,0.014505063,0.014505063
13,5,194.0,3,23.727890000000002,0.11699556551457932,6.666666666666667,0.039781359,0.011963445999999997,0.0017962317999999987,0.017273701,0.016174842,0.017273701
14,5,23.0,1,23.0,0.0,23.0,0.009902304,0.005350148,0.0002346755652173913,0.005350148,0.005350148,0.005350148
15,5,179.0,2,23.970520000000004,0.160412259341915,9.5,0.036857824,0.016625409,0.001751902947368422,0.018392614,0.018392614,0.018392614
16,5,102.0,2,23.798940000000005,0.0,9.0,0.022070065,0.0093044125,0.0010356624444444445,0.015986412,0.015986412,0.015986412
17,5,247.0,3,28.384730000000005,0.39244584199992183,7.666666666666667,0.04933911,0.015098097999999999,0.0019710239565217396,0.019195152,0.015436868,0.019195152
18,5,104.0,2,23.071050000000003,0.0,10.5,0.021912528,0.009042569,0.0008630311428571432,0.015816716,0.015816716,0.015816716
19,5,112.0,2,23.313680000000005,0.025773608648401447,10.0,0.023796591,0.009927979,0.00099464785,0.015607383,0.015607383,0.015607383
20,5,209.0,3,27.142100000000003,0.2632869915709813,7.666666666666667,0.042925482,0.012833563333333334,0.0016756966086956522,0.018057021,0.015058222,0.018057021
21,10,239.0,3,43.142099999999985,0.019577583619489382,13.0,0.045970863,0.013078417333333335,0.0010078472820512822,0.016625672,0.014909255,0.016625672
22,10,290.0,4,50.38473,0.2124450444336959,11.25,0.058761635,0.012503312749999999,0.0011131221333333335,0.019786413,0.013482041,0.019786413
23,10,278.0,4,46.698409999999974,0.06447010606312667,9.5,0.053913846,0.011780656249999999,0.0012425375263157895,0.01699462,0.015033987,0.01699462
24,10,151.0,2,43.24262999999999,6.937603194120179e-07,21.0,0.040023166,0.016323547,0.0007793230952380949,0.019106983,0.019106983,0.019106983
25,10,240.0,3,42.52682999999998,0.0,11.0,0.049562127,0.014327819666666667,0.0013043031212121212,0.018256602,0.014424516,0.018256602
26,10,161.0,2,42.071049999999985,0.0,20.0,0.040066689,0.016393048,0.0008214925000000001,0.018349059,0.018349059,0.018349059
27,10,184.0,3,42.970519999999986,0.019657776902432176,12.666666666666666,0.041568868,0.011457839666666669,0.0009065133157894735,0.017252532,0.016217959,0.017252532
28,10,337.0,4,49.426299999999976,0.12665118155645816,9.25,0.064977462,0.01443190125,0.0015618921891891891,0.017202439,0.014615202,0.017202439
29,10,250.0,3,45.86998999999999,0.08662669496745062,12.666666666666666,0.052841484,0.015037476000000001,0.0011892082368421051,0.018336256,0.014520013,0.018336256
30,10,351.0,4,48.284199999999984,0.20585091504834924,10.0,0.066093909,0.014693771,0.0014712051,0.017773429,0.014518288,0.017773429
31,15,16067.0,179,1302.5554799999998,19.59617220038391,5.916201117318436,2.805161013,0.014567310240223482,0.0024640040349386224,0.021569193,0.013786201,0.019041858
32,15,348.0,4,63.213149999999956,0.04092435272749359,14.25,0.074347479,0.016040745500000002,0.001127491807017544,0.01980625,0.017423814,0.01980625
33,15,682.0,8,89.15418999999993,0.4848736542663741,9.125,0.126909083,0.014240653000000002,0.0015625634657534249,0.01925298,0.014213548,0.01925298
34,15,1135.0,13,116.05365999999994,0.869689114579892,7.461538461538462,0.20610943,0.014495156230769227,0.0019445585463917522,0.018651328,0.01418615,0.018045964
35,15,634.0,8,77.42629999999996,0.24169557359197943,8.125,0.117368086,0.013218811875,0.001628695230769231,0.020253758,0.013393459,0.020253758
