Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.001188341,0.000786459,0.0003954125,0.000786459,0.000786459,0.000786459
2,0,3.0,1,3.0,0.0,3.0,0.001432399,0.000820591,0.00027540066666666667,0.000820591,0.000820591,0.000820591
3,0,2.0,1,2.82842,0.0,2.0,0.00121802,0.000795736,0.000399662,0.000795736,0.000795736,0.000795736
4,0,2.0,1,2.82842,0.0,2.0,0.001182939,0.000791866,0.000397664,0.000791866,0.000791866,0.000791866
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.00194146,0.001371003,0.00045878033333333337,0.001371003,0.001371003,0.001371003
6,0,3.0,1,3.0,0.0,3.0,0.001439782,0.000813951,0.0002732836666666667,0.000813951,0.000813951,0.000813951
7,0,3.0,1,3.0,0.0,3.0,0.001423328,0.000815948,0.00027378833333333334,0.000815948,0.000815948,0.000815948
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.001647836,0.001042259,0.0003494703333333333,0.001042259,0.001042259,0.001042259
9,0,2.0,1,2.82842,0.0,2.0,0.001211584,0.000785923,0.0003948545,0.000785923,0.000785923,0.000785923
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001807464,0.001191963,0.0003990733333333333,0.001191963,0.001191963,0.001191963
11,5,198.0,3,26.142100000000003,0.12149721149721168,7.333333333333333,0.038706289,0.011447329,0.0015627770909090912,0.015990044,0.015164681,0.015990044
12,5,98.0,2,23.899470000000004,0.0,10.5,0.020538945,0.008417777500000001,0.0008034390952380951,0.015116195,0.015116195,0.015116195
13,5,99.0,2,23.82842,0.0,11.5,0.021458356,0.00870201,0.0007584236521739131,0.015565205,0.015565205,0.015565205
14,5,99.0,2,23.82842,0.0,11.5,0.021471199,0.008724308,0.0007603789130434779,0.015591786,0.015591786,0.015591786
15,5,107.0,2,23.38473000000001,0.00020230966638191733,9.0,0.021511993,0.0091284465,0.0010159835000000002,0.01533365,0.01533365,0.01533365
16,5,0.0,0,0.0,0.0,0.0,1.0216e-05,0.0,0.0,0.0,0.0,0.0
17,5,151.0,2,25.627360000000007,0.08452644942869267,9.5,0.03011425,0.013112191499999998,0.0013820764210526314,0.015682638,0.015682638,0.015682638
18,5,103.0,2,21.970520000000008,2.366863905365206e-05,8.5,0.021545079,0.009194674,0.0010835555882352944,0.015955854,0.015955854,0.015955854
19,5,139.0,2,23.48526,0.0,10.5,0.027594916,0.011823487,0.0011278037142857145,0.015561745,0.015561745,0.015561745
20,5,23.0,1,23.0,0.0,23.0,0.009289366,0.005180296,0.00022708921739130435,0.005180296,0.005180296,0.005180296
21,10,97.0,2,43.24262999999999,6.082331174813256e-05,21.0,0.025051341,0.008567418,0.00040973109523809517,0.015807351,0.015807351,0.015807351
22,10,281.0,4,45.183669999999985,0.07554558438467002,8.5,0.06453661,0.014602725,0.0017197108529411764,0.025878644,0.015458185,0.025878644
23,10,198.0,3,43.18366999999999,0.013701173708919972,10.666666666666666,0.040514059,0.011562362333333335,0.00108583853125,0.015793622,0.015428254,0.015793622
24,10,333.0,4,47.86998999999997,0.08869661132590344,10.0,0.074954342,0.016976947,0.0016994375499999998,0.026173828,0.015536002,0.026173828
25,10,326.0,4,48.76945999999998,0.1221688909341919,9.5,0.074044322,0.01664778225,0.0017542355789473684,0.02642491,0.015199799,0.02642491
26,10,105.0,2,40.41421,0.0001041821331353747,20.0,0.028587769,0.0107391585,0.000538752525,0.018350238,0.018350238,0.018350238
27,10,333.0,4,47.86998999999997,0.08869661132590344,10.0,0.075639554,0.01715490775,0.0017172579250000007,0.026312415,0.015845391,0.026312415
28,10,1802.0,21,175.60996999999986,3.01577795563686,7.238095238095238,0.317967331,0.01386916638095238,0.0019178878026315793,0.02589408,0.01313465,0.016474815
29,10,43.0,1,43.0,0.0,43.0,0.017911053,0.010059471,0.00023584434883720936,0.010059471,0.010059471,0.010059471
30,10,325.0,4,46.69840999999999,0.07278681369170657,9.5,0.072145172,0.01624478875,0.0017116984473684205,0.026523271,0.014689995,0.026523271
31,15,2864.0,32,274.2199399999998,3.2934075465789854,7.09375,0.518648133,0.01491618934375,0.002104547823788547,0.027313298,0.013713059,0.023868297
32,15,526.0,6,72.25471999999995,0.14182553729456301,9.833333333333334,0.112276715,0.016796619833333335,0.0017099915762711867,0.024867488,0.015650552,0.024867488
33,15,1570.0,18,151.50943999999987,1.5247365439093465,6.944444444444445,0.282583095,0.014486858722222221,0.002087815535999999,0.025498612,0.013606507,0.025189467
34,15,237.0,3,63.89946999999998,0.013151577612176618,20.333333333333332,0.068245341,0.01909887,0.0009411376885245904,0.020720919,0.020117041,0.020720919
35,15,305.0,4,69.69840999999998,0.10861157944965777,15.25,0.072380476,0.01535063275,0.001008507475409836,0.028460254,0.014141749,0.028460254
36,15,263.0,3,63.14209999999998,3.325942350296709e-05,19.666666666666668,0.068171501,0.018910997333333332,0.0009634472033898308,0.024454947,0.017567578,0.024454947
