Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,282.0,2,2.82842,0.0,1.0,0.01942074,0.009558208,0.009558208,0.010836853,0.010836853,0.010836853
2,0,282.0,2,2.82842,0.0,1.0,0.020490631,0.010079142,0.010079142,0.011127287,0.011127287,0.011127287
3,0,142.0,2,2.4142099999999997,0.0,1.0,0.017979083,0.008787286,0.008787286,0.017446855,0.017446855,0.017446855
4,0,141.0,1,1.41421,0.0,1.0,0.017903384,0.01768758,0.01768758,0.01768758,0.01768758,0.01768758
5,0,283.0,3,3.8284199999999995,0.0,1.0,0.032211016,0.010533258333333332,0.010533258333333332,0.017291128,0.014180136,0.017291128
6,0,283.0,3,3.8284199999999995,0.0,1.0,0.044686419,0.014690131,0.014690131,0.031159658,0.012782122,0.031159658
7,0,283.0,3,3.8284199999999995,0.0,1.0,0.023241589,0.007551910999999999,0.007551910999999999,0.012641203,0.009886731,0.012641203
8,0,141.0,1,1.41421,0.0,1.0,0.01360661,0.013396722,0.013396722,0.013396722,0.013396722,0.013396722
9,0,283.0,3,3.8284199999999995,0.0,1.0,0.041613148,0.013676044333333333,0.013676044333333333,0.024487767,0.016414037,0.024487767
10,0,3.0,3,3.0,0.0,1.0,0.000846131,0.00010218533333333333,0.00010218533333333333,0.000126313,9.5918e-05,0.000126313
11,5,1279.0,19,22.727890000000006,0.0,1.0,0.133823167,0.0068747988947368424,0.0068747988947368424,0.025121366,0.000104419,0.022071078
12,5,1278.0,18,21.727890000000006,0.0,1.0,0.158148612,0.008618037,0.008618037,0.030817975,0.009027678,0.030650028
13,5,1975.0,15,20.798940000000005,0.0,1.0,0.145587343,0.0095247912,0.0095247912,0.012446801,0.009370728,0.01228077
14,5,2117.0,17,23.213150000000006,0.0,1.0,0.152642109,0.008813725411764705,0.008813725411764705,0.012076993,0.009387453,0.011782582
15,5,1560.0,20,23.727890000000006,0.025312741713155094,1.0,0.137721037,0.0067114091,0.0067114091,0.018641783,0.009367969,0.015495731
16,5,2258.0,18,23.798940000000005,0.02523305705374549,1.0,0.166197221,0.009064203055555557,0.009064203055555557,0.012146425,0.009462317,0.012033558
17,5,1418.0,18,22.142100000000006,3.209012405147209e-16,1.0,0.145581888,0.007914746777777776,0.007914746777777776,0.031634959,0.009275046,0.018346912
18,5,1837.0,17,21.556310000000003,0.027930054457192564,1.0,0.131717836,0.007588547411764705,0.007588547411764705,0.011858478,0.008928187,0.01157313
19,5,1140.0,20,23.313680000000005,0.0,1.0,0.092061713,0.004399247249999999,0.004399247249999999,0.012749235,0.000102221,0.01245186
20,5,1557.0,17,20.727890000000006,0.02908286623539782,1.0,0.232885188,0.013518996411764706,0.013518996411764706,0.034637173,0.012223239,0.034015387
21,10,2694.0,34,41.86998999999999,0.0,1.0,0.341628364,0.00986497505882353,0.00986497505882353,0.028855637,0.010832144,0.023991768
22,10,4794.0,34,43.112619999999986,0.0728855907106841,1.0,0.631835319,0.01840273932352941,0.01840273932352941,0.062073398,0.013299374,0.042218434
23,10,3678.0,38,41.72788999999999,0.0288879902752467,1.0,0.412937173,0.010622128894736842,0.010622128894736842,0.02780126,0.011837658,0.022074104
24,10,320.0,40,40.828419999999994,4.89855100668589e-07,1.0,0.027091728,0.00053688895,0.00053688895,0.008405531,6.1468e-05,0.000101172
25,10,2557.0,37,43.62735999999998,0.013609159510798371,1.0,0.191086119,0.005022083513513514,0.005022083513513514,0.014050724,9.9954e-05,0.012041315
26,10,2553.0,33,40.45577999999999,0.0,1.0,0.395047481,0.011786105878787879,0.011786105878787879,0.037418446,0.010822347,0.03112453
27,10,5360.0,40,49.11261999999998,0.20463825987991008,1.0,0.640052705,0.015818720249999998,0.015818720249999998,0.04481542,0.012577576,0.035422751
28,10,1300.0,40,42.89946999999998,0.013843506949285513,1.0,0.097303498,0.00229586345,0.00229586345,0.012372191,6.2348e-05,0.009251874
29,10,4795.0,35,44.94103999999998,0.06971403544684592,1.0,0.497204662,0.014027106714285717,0.014027106714285717,0.029675897,0.011723364,0.026009067
30,10,1861.0,41,43.89946999999999,0.041701054290127625,1.0,0.139660927,0.0032635052682926827,0.0032635052682926827,0.012120807,9.5702e-05,0.009331495
31,15,4947.0,47,60.668929999999946,0.009746967959482003,1.0,0.700974,0.014721912319148937,0.014721912319148937,0.028918461,0.014694238,0.026056139
32,15,1737.0,57,61.970519999999965,0.0,1.0,0.131053934,0.0021640008771929824,0.0021640008771929824,0.012296506,6.5021e-05,0.009432471
33,15,2582.0,62,65.31367999999998,0.04694861568843658,1.0,0.192768838,0.002973810903225806,0.002973810903225806,0.013220966,6.1784e-05,0.009253006
34,15,5927.0,47,62.739979999999946,0.04298412582309073,1.0,0.741169937,0.015592683914893619,0.015592683914893619,0.028829763,0.014697842,0.025841922
35,15,3693.0,53,63.76945999999994,0.0,1.0,0.383947231,0.007087179358490565,0.007087179358490565,0.026282072,0.002429991,0.019870997
36,15,1456.0,56,60.14209999999997,0.0,1.0,0.236846887,0.0040327409821428566,0.0040327409821428566,0.029387382,8.7797e-05,0.018713917
37,15,3971.0,51,61.76945999999994,0.009572141645336516,1.0,0.891933452,0.017306449725490197,0.017306449725490197,0.06158164,0.016447936,0.044200324
38,15,9210.0,105,112.86998999999996,0.7787182574327319,1.0,0.676978535,0.006272339714285716,0.006272339714285716,0.014327058,0.008827961,0.011932454
39,15,3977.0,57,64.45577999999996,0.04760324345936434,1.0,0.357095507,0.006115188228070175,0.006115188228070175,0.027199128,0.002413709,0.015492817
40,15,5513.0,53,65.01208999999994,0.04717516626854472,1.0,0.738884229,0.013767668999999998,0.013767668999999998,0.04891989,0.010985695,0.035648606
41,20,3432.0,72,81.94103999999993,0.0,1.0,0.512150853,0.006915250958333333,0.006915250958333333,0.029751716,9.9856e-05,0.025054766
42,20,4835.0,75,84.94103999999993,0.03571224768997689,1.0,0.499595126,0.0065119637200000005,0.0065119637200000005,0.02668531,8.6303e-05,0.020518933
43,20,7761.0,61,83.78154999999991,0.0,1.0,0.955812959,0.015493195426229506,0.015493195426229506,0.026717037,0.014919366,0.025877597
44,20,1202.0,82,84.48525999999998,0.006981686422445654,1.0,0.109125417,0.0011376933170731708,0.0011376933170731708,0.012188349,8.7703e-05,0.002474504
45,20,12470.0,110,126.15418999999991,0.5247043452932728,1.0,1.154268367,0.0103133396,0.0103133396,0.026882412,0.009216275,0.022371987
46,20,3162.0,82,87.79893999999996,0.06258868123649014,1.0,0.343425565,0.004038830195121951,0.004038830195121951,0.029472949,6.2849e-05,0.013424044
47,20,5257.0,77,87.35524999999993,0.08479588808211827,1.0,0.560384843,0.0071170815584415585,0.0071170815584415585,0.026104981,0.000101446,0.020354095
48,20,778.0,78,80.07104999999999,0.0,1.0,0.064867285,0.0006977724871794872,0.0006977724871794872,0.012123151,6.0504e-05,0.000100254
49,20,8612.0,72,84.01208999999992,0.028690078242661458,1.0,1.067152031,0.014614598569444442,0.014614598569444442,0.04383157,0.012003366,0.030328443
