Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,282.0,2,2.82842,0.0,1.0,0.027328435,0.013448117999999998,0.013448117999999998,0.013930419,0.013930419,0.013930419
2,0,3.0,3,3.0,0.0,1.0,0.000896612,0.00010946333333333334,0.00010946333333333334,0.000142098,9.5131e-05,0.000142098
3,0,282.0,2,2.82842,0.0,1.0,0.033624065,0.0166075325,0.0166075325,0.022033655,0.022033655,0.022033655
4,0,282.0,2,2.82842,0.0,1.0,0.033231015,0.016409679,0.016409679,0.018459558,0.018459558,0.018459558
5,0,143.0,3,3.4142099999999997,0.001234604105571731,1.0,0.014474663,0.004617670333333333,0.004617670333333333,0.013614612,0.000141607,0.013614612
6,0,3.0,3,3.0,0.0,1.0,0.000900857,0.00010842833333333335,0.00010842833333333335,0.000139451,9.4771e-05,0.000139451
7,0,3.0,3,3.0,0.0,1.0,0.000882117,0.00010990266666666665,0.00010990266666666665,0.000141395,9.6357e-05,0.000141395
8,0,283.0,3,3.8284199999999995,0.0,1.0,0.026616976,0.008675096666666667,0.008675096666666667,0.014477342,0.011409435,0.014477342
9,0,282.0,2,2.82842,0.0,1.0,0.026361435,0.0129759185,0.0129759185,0.014571425,0.014571425,0.014571425
10,0,143.0,3,3.4142099999999997,0.001234604105571731,1.0,0.013068003,0.004172083,0.004172083,0.012304465,0.000124724,0.012304465
11,5,1140.0,20,23.313680000000005,0.00015787215787243006,1.0,0.144428514,0.0070429331,0.0070429331,0.031500373,8.5321e-05,0.020934687
12,5,1001.0,21,23.899470000000004,0.0,1.0,0.126022427,0.005814732619047619,0.005814732619047619,0.02882291,8.8448e-05,0.015516032
13,5,303.0,23,23.82842,0.0,1.0,0.032797143,0.0012454270869565217,0.0012454270869565217,0.013974268,8.5454e-05,0.000138141
14,5,303.0,23,23.82842,0.0,1.0,0.032677957,0.001246794347826087,0.001246794347826087,0.013899635,8.7079e-05,0.000136685
15,5,1838.0,18,23.384730000000005,0.00020230966638176538,1.0,0.264371467,0.014501541222222226,0.014501541222222226,0.035547853,0.016294503,0.028157968
16,5,0.0,0,0.0,0.0,0.0,9.254e-06,0.0,0.0,0.0,0.0,0.0
17,5,2257.0,17,23.627360000000007,0.0,1.0,0.250214106,0.01451063394117647,0.01451063394117647,0.03164849,0.014557011,0.019750982
18,5,1697.0,17,21.970520000000004,2.366863905349035e-05,1.0,0.253132802,0.014702367705882352,0.014702367705882352,0.039310549,0.017048611,0.025590503
19,5,861.0,21,23.485260000000004,0.0,1.0,0.111770073,0.005140011238095238,0.005140011238095238,0.038048799,8.9388e-05,0.014675825
20,5,23.0,23,23.0,0.0,1.0,0.006547631,8.870134782608696e-05,8.870134782608696e-05,0.000138645,8.5624e-05,9.1763e-05
21,10,3403.0,43,43.828419999999994,0.01360823311748363,1.0,0.29123215,0.006569180860465115,0.006569180860465115,0.030238445,0.009146462,0.010354685
22,10,4090.0,30,42.012089999999986,4.975005950936394e-05,1.0,0.491879083,0.016203607366666668,0.016203607366666668,0.029020556,0.01522783,0.027428769
23,10,4797.0,37,46.112619999999986,0.08245586854460056,1.0,0.888597339,0.023816963432432434,0.023816963432432434,0.05512774,0.021182092,0.053820227
24,10,1860.0,40,44.556309999999975,0.013334318853763388,1.0,0.219066775,0.0052783504750000005,0.0052783504750000005,0.027486503,8.6672e-05,0.021066181
25,10,2697.0,37,44.04156999999998,0.013381730326736722,1.0,0.242011665,0.006361274432432433,0.006361274432432433,0.027912888,0.008909667,0.015402147
26,10,180.0,40,40.41421,0.0001041821331353747,1.0,0.022879896,0.000397944125,0.000397944125,0.012518756,8.5079e-05,9.1267e-05
27,10,1719.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.212144655,0.005251289717948717,0.005251289717948717,0.034830308,8.4977e-05,0.017307489
28,10,28350.0,210,223.66892999999993,4.11477086668191,1.0,2.416584909,0.01128830585714286,0.01128830585714286,0.038606372,0.00921348,0.018688947
29,10,43.0,43,43.0,0.0,1.0,0.011167962,8.57291395348837e-05,8.57291395348837e-05,0.000138629,8.3714e-05,8.8666e-05
30,10,3254.0,34,43.52682999999998,0.0,1.0,0.470143762,0.013644612264705883,0.013644612264705883,0.03936655,0.015349764,0.030383188
31,15,88549.0,629,675.3915200000017,9.574471896038856,1.0,10.72098034,0.016803282801271868,0.016803282801271868,0.052301438,0.0142058,0.027821589
32,15,6152.0,66,72.21314999999997,0.14116861567635855,1.0,0.498814667,0.007374492575757577,0.007374492575757577,0.038314775,0.00870681,0.016247509
33,15,46128.0,348,379.06575000000043,5.3167097150475,1.0,5.753492429,0.016325878267241373,0.016325878267241373,0.046379579,0.015623176,0.026338166
34,15,761.0,61,63.071049999999985,1.6648168701206888e-05,1.0,0.106299246,0.0015365167213114753,0.0015365167213114753,0.027352536,8.4458e-05,9.3944e-05
35,15,14534.0,114,118.97051999999996,0.8923257515508187,1.0,1.673015888,0.01446525896491228,0.01446525896491228,0.041934764,0.010905045,0.027079184
36,15,5943.0,63,65.48525999999998,0.03714380741209981,1.0,0.515167951,0.007985972380952378,0.007985972380952378,0.031027412,0.009251889,0.016828675
37,15,2855.0,55,63.28419999999994,6.637168141498851e-05,1.0,0.290040952,0.005092423145454545,0.005092423145454545,0.027905925,8.4967e-05,0.012946371
38,15,11157.0,97,106.52682999999995,0.7569986805211932,1.0,1.292881705,0.013131704247422677,0.013131704247422677,0.036277204,0.012782089,0.026265865
39,15,1042.0,62,64.07104999999999,0.009151834934635113,1.0,0.092826471,0.001313861177419355,0.001313861177419355,0.021170488,8.4589e-05,0.008699365
40,15,7201.0,61,73.01208999999994,0.18066122250970149,1.0,1.016145589,0.016449268901639346,0.016449268901639346,0.052511777,0.011435851,0.033772106
41,20,97872.0,712,758.3915200000021,8.131746177001832,1.0,11.114587285,0.015371735234550576,0.015371735234550576,0.045493861,0.014079943,0.02531592
42,20,5955.0,75,87.42629999999991,0.041905613156952876,1.0,0.663824309,0.008672632066666668,0.008672632066666668,0.0318145,0.00969915,0.020508434
43,20,39810.0,330,355.68102000000056,3.3407495728581957,1.0,4.383657313,0.013064271348484856,0.013064271348484856,0.047763949,0.011097274,0.025262813
44,20,10444.0,84,91.45577999999995,0.10815194474736395,1.0,0.891686611,0.010428426178571428,0.010428426178571428,0.032843806,0.009156972,0.020036679
45,20,10582.0,82,86.14209999999997,0.03523735127989397,1.0,1.103968736,0.013257511707317076,0.013257511707317076,0.043372073,0.009674497,0.025660452
46,20,3581.0,81,87.62735999999995,0.04479980922856741,1.0,0.33830066,0.003991205382716049,0.003991205382716049,0.033067537,8.4706e-05,0.012934198
47,20,4556.0,76,82.62735999999995,0.02923966118584893,1.0,0.426344717,0.005417697934210527,0.005417697934210527,0.028265864,8.7019e-05,0.013861424
48,20,17221.0,141,149.28419999999994,0.8012089768339762,1.0,1.578424315,0.011003253858156026,0.011003253858156026,0.039319254,0.009383588,0.022455457
