Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,283.0,3,3.8284199999999995,0.0,1.0,0.020680121,0.006686943666666667,0.006686943666666667,0.010424826,0.009506843,0.010424826
2,0,2.0,2,2.0,0.0,1.0,0.0006162,0.0001128465,0.0001128465,0.000128429,0.000128429,0.000128429
3,0,2.0,2,2.0,0.0,1.0,0.000648325,0.0001148725,0.0001148725,0.000130118,0.000130118,0.000130118
4,0,142.0,2,2.4142099999999997,0.0,1.0,0.011161659,0.0053839935,0.0053839935,0.010637815,0.010637815,0.010637815
5,0,424.0,4,4.0,0.17157409766827458,1.0,0.05256938,0.01291323675,0.01291323675,0.023513977,0.015419666,0.023513977
6,0,142.0,2,2.4142099999999997,0.0,1.0,0.016728429,0.0081633135,0.0081633135,0.016196674,0.016196674,0.016196674
7,0,143.0,3,3.4142099999999997,0.0,1.0,0.014448794,0.0046226493333333335,0.0046226493333333335,0.013636546,0.000131504,0.013636546
8,0,282.0,2,2.82842,0.0,1.0,0.02232702,0.010966859,0.010966859,0.012052833,0.012052833,0.012052833
9,0,23.0,1,1.41421,0.0,1.0,0.001963972,0.001764176,0.001764176,0.001764176,0.001764176,0.001764176
10,0,2.0,2,2.0,0.0,1.0,0.000593444,0.000101658,0.000101658,0.000112888,0.000112888,0.000112888
11,5,583.0,23,23.82842,0.025204581243062386,1.0,0.045845623,0.0018161157391304347,0.0018161157391304347,0.010678642,9.3713e-05,0.009764297
12,5,861.0,21,23.485260000000004,0.0,1.0,0.063002934,0.002818179,0.002818179,0.010056116,9.644e-05,0.009591959
13,5,859.0,19,21.485260000000004,0.0,1.0,0.061877612,0.0030774810526315783,0.0030774810526315783,0.010153108,9.4154e-05,0.00962867
14,5,1617.0,22,23.656840000000003,0.06358249485222066,1.0,0.118707473,0.005210956409090909,0.005210956409090909,0.011801328,0.009059389,0.010677353
15,5,2124.0,24,26.485260000000004,0.136038466652655,1.0,0.202889119,0.008274781333333333,0.008274781333333333,0.027186091,0.009274456,0.019839128
16,5,2403.0,23,24.242630000000002,0.050779113262913365,1.0,0.252648183,0.010780638695652172,0.010780638695652172,0.023893041,0.011776054,0.019806771
17,5,5640.0,40,44.1421,1.0949119884581249,1.0,0.54740376,0.013487364500000001,0.013487364500000001,0.022001555,0.013155591,0.019024577
18,5,1277.0,17,20.727890000000006,0.0,1.0,0.10847597,0.006201139941176471,0.006201139941176471,0.01793069,0.009586304,0.013073842
19,5,1562.0,22,24.071050000000003,0.0787565486674107,1.0,0.201726558,0.00896549740909091,0.00896549740909091,0.023502122,0.011661227,0.021395998
20,5,1978.0,18,22.142100000000006,0.05586392377900514,1.0,0.164061436,0.008921186722222222,0.008921186722222222,0.016703349,0.009594073,0.015827659
21,10,12695.0,95,103.28419999999997,1.3543187729227872,1.0,1.253956771,0.013011594578947369,0.013011594578947369,0.032318572,0.011665172,0.020819495
22,10,2000.0,40,44.14209999999998,0.027262826211409207,1.0,0.164619629,0.00393638955,0.00393638955,0.018763012,9.7565e-05,0.011794045
23,10,4109.0,49,51.071049999999985,0.20208754557458658,1.0,0.430170741,0.00859316575510204,0.00859316575510204,0.029775477,0.009245972,0.023990811
24,10,2201.0,43,45.071049999999985,0.026687092108110162,1.0,0.202641165,0.004517874534883721,0.004517874534883721,0.023599053,9.4239e-05,0.011247429
25,10,2694.0,34,41.041569999999986,0.014479258845455591,1.0,0.220519865,0.006308227,0.006308227,0.018786713,0.009027539,0.012973716
26,10,2883.0,41,47.21314999999997,0.08042953419453683,1.0,0.247561318,0.005866727512195122,0.005866727512195122,0.024278966,0.004742787,0.012305163
27,10,2555.0,35,42.45577999999998,0.0,1.0,0.32923707,0.009051439,0.009051439,0.030168684,0.010144831,0.021121575
28,10,1620.0,41,43.071049999999985,0.013787121663257247,1.0,0.152751211,0.0035301029512195123,0.0035301029512195123,0.023019774,9.3356e-05,0.010755055
29,10,1284.0,42,42.828419999999994,0.01386799108009429,1.0,0.096806662,0.002126004571428571,0.002126004571428571,0.010512836,9.1844e-05,0.009444738
30,10,2418.0,38,42.97051999999998,0.01381910496215579,1.0,0.278408143,0.007136603631578947,0.007136603631578947,0.019934656,9.9002e-05,0.018417589
31,15,11564.0,84,88.97051999999998,0.4793384334767157,1.0,1.046981528,0.012265620416666668,0.012265620416666668,0.023075068,0.011808396,0.017696462
32,15,12698.0,98,107.94103999999996,0.6972395358344595,1.0,0.968127566,0.009694690255102037,0.009694690255102037,0.022836758,0.009024744,0.016213362
33,15,31731.0,231,250.4678699999999,2.9233320175562243,1.0,3.187097661,0.013579577588744599,0.013579577588744599,0.030342037,0.012522376,0.020729972
34,15,5376.0,56,66.76945999999994,0.05962750070621147,1.0,0.632260965,0.011089768821428574,0.011089768821428574,0.038065681,0.012309177,0.022328156
35,15,5098.0,58,62.970519999999965,0.028708187123038242,1.0,0.460324008,0.007753662896551724,0.007753662896551724,0.020759382,0.00945967,0.017612561
36,15,5104.0,64,67.31367999999999,0.09531858669157324,1.0,0.470419709,0.00717045128125,0.00717045128125,0.022790481,0.009232855,0.016780305
37,15,14385.0,105,114.11261999999996,0.840164032238817,1.0,1.346655256,0.012618547333333329,0.012618547333333329,0.022984211,0.011756458,0.019036834
38,15,6777.0,57,69.01208999999996,0.08271072684228546,1.0,0.836203246,0.014478862719298241,0.014478862719298241,0.027310602,0.016343019,0.021681793
39,15,6349.0,49,63.49734999999995,0.028462053025504485,1.0,0.781559774,0.015738504306122447,0.015738504306122447,0.033552151,0.016178962,0.022821312
