Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.0,0.0,1.0,0.00070103,4.7676e-05,4.7676e-05,7.2642e-05,3.6015e-05,7.2642e-05
2,0,2.0,2,2.0,0.0,1.0,0.000496755,4.8471000000000004e-05,4.8471000000000004e-05,5.9832e-05,5.9832e-05,5.9832e-05
3,0,1.0,1,1.0,0.0,1.0,0.000292257,5.9405e-05,5.9405e-05,5.9405e-05,5.9405e-05,5.9405e-05
4,0,2.0,2,2.0,0.0,1.0,0.000480741,4.7047e-05,4.7047e-05,5.6836e-05,5.6836e-05,5.6836e-05
5,0,3.0,3,3.8284199999999995,0.0,1.0,0.000756114,5.3476999999999996e-05,5.3476999999999996e-05,5.8766e-05,5.5432e-05,5.8766e-05
6,0,1.0,1,1.41421,0.0,1.0,0.000296124,7.0633e-05,7.0633e-05,7.0633e-05,7.0633e-05,7.0633e-05
7,0,2.0,2,2.4142099999999997,0.0,1.0,0.000483128,5.3403000000000004e-05,5.3403000000000004e-05,6.1167e-05,6.1167e-05,6.1167e-05
8,0,3.0,3,3.0,0.0,1.0,0.000749448,4.701066666666667e-05,4.701066666666667e-05,6.0975e-05,4.5685e-05,6.0975e-05
9,0,3.0,3,3.4142099999999997,0.0,1.0,0.000719691,4.9928999999999996e-05,4.9928999999999996e-05,6.0225e-05,5.3862e-05,6.0225e-05
10,0,2.0,2,2.4142099999999997,0.0,1.0,0.000488261,5.19595e-05,5.19595e-05,5.9213e-05,5.9213e-05,5.9213e-05
11,5,20.0,20,21.656840000000003,0.0,1.0,0.004428478,3.88738e-05,3.88738e-05,6.0276e-05,3.6901e-05,5.0504e-05
12,5,18.0,18,20.071050000000003,0.0,1.0,0.004027949,4.1213277777777776e-05,4.1213277777777776e-05,6.1144e-05,4.1811e-05,5.5876e-05
