Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000972136,0.000395639,0.00013453766666666667,0.000395639,0.000395639,0.000395639
2,0,2.0,1,2.82842,0.0,2.0,0.000656463,0.000251687,0.00012794,0.000251687,0.000251687,0.000251687
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.001107182,0.000518254,0.00017561133333333334,0.000518254,0.000518254,0.000518254
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.000978038,0.000391629,0.00013326166666666666,0.000391629,0.000391629,0.000391629
5,0,2.0,1,2.0,0.0,2.0,0.000562623,0.000170355,8.7291e-05,0.000170355,0.000170355,0.000170355
6,0,3.0,1,3.0,0.0,3.0,0.000925049,0.000303337,0.00010387933333333333,0.000303337,0.000303337,0.000303337
7,0,1.0,1,1.41421,0.0,1.0,0.000322612,0.000119799,0.000119799,0.000119799,0.000119799,0.000119799
8,0,2.0,1,2.0,0.0,2.0,0.000553181,0.000173048,8.85865e-05,0.000173048,0.000173048,0.000173048
9,0,2.0,1,2.0,0.0,2.0,0.000625306,0.000234347,0.0001196005,0.000234347,0.000234347,0.000234347
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.000911658,0.000363489,0.00012391266666666667,0.000363489,0.000363489,0.000363489
11,5,124.0,1,23.727890000000002,0.0,20.0,0.010329043,0.006864409,0.00035300404999999993,0.006864409,0.006864409,0.006864409
12,5,121.0,1,22.727890000000002,0.0,19.0,0.011070119,0.007505038,0.00040469568421052634,0.007505038,0.007505038,0.007505038
13,5,116.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.011285067,0.007459173,0.00038299875,0.007459173,0.007459173,0.007459173
14,5,23.0,1,23.0,0.0,23.0,0.006212012,0.001964518,9.691156521739129e-05,0.001964518,0.001964518,0.001964518
15,5,109.0,1,20.656840000000003,0.0,19.0,0.010725906,0.006852333,0.00037029857894736837,0.006852333,0.006852333,0.006852333
16,5,158.0,1,23.798940000000005,0.0,18.0,0.01393805,0.010241348,0.0005781442777777778,0.010241348,0.010241348,0.010241348
17,5,103.0,1,20.384730000000005,0.0,15.0,0.009791999,0.00672201,0.000456835,0.00672201,0.00672201,0.00672201
18,5,137.0,1,23.071050000000003,0.0,21.0,0.012423505,0.008495218,0.0004150507142857145,0.008495218,0.008495218,0.008495218
19,5,173.0,1,22.727890000000006,0.0,19.0,0.01471743,0.011117771,0.0005945794210526314,0.011117771,0.011117771,0.011117771
20,5,138.0,1,21.485260000000004,0.0,19.0,0.012752484,0.008936553,0.00047982615789473704,0.008936553,0.008936553,0.008936553
21,10,336.0,2,42.89946999999999,0.01384350694928568,20.0,0.029729057,0.0110712245,0.0005713181000000001,0.01439456,0.01439456,0.01439456
22,10,270.0,2,41.556309999999996,2.40637400251435e-07,18.5,0.027639877,0.008435539,0.0004719866216216217,0.014390362,0.014390362,0.014390362
23,10,716.0,4,50.35524999999997,0.1478261959740226,10.0,0.056529548,0.0121823105,0.001233666575,0.017846056,0.01521053,0.017846056
24,10,208.0,1,43.24262999999999,6.937603194120179e-07,42.0,0.022086965,0.013830644,0.0003480980238095238,0.013830644,0.013830644,0.013830644
25,10,423.0,2,45.35524999999998,0.06650731654552716,17.5,0.036339596,0.014748013,0.0008578135428571428,0.015381713,0.015381713,0.015381713
26,10,285.0,2,42.071049999999985,0.0,20.0,0.029668683,0.0091377095,0.0005493777250000001,0.014763053,0.014763053,0.014763053
27,10,299.0,2,44.97051999999998,0.06711625666494977,20.0,0.029407224,0.009185084,0.0005530838250000001,0.013940696,0.013940696,0.013940696
28,10,440.0,2,43.86998999999998,0.0,18.0,0.037650282,0.015301998,0.0008657679444444443,0.016554115,0.016554115,0.016554115
29,10,381.0,2,42.213149999999985,0.0,18.0,0.034257429,0.013594329,0.000770731472222222,0.014251098,0.014251098,0.014251098
30,10,367.0,2,42.86999,0.07063628826020935,17.5,0.032736917,0.012887369,0.0007519383999999999,0.013974328,0.013974328,0.013974328
31,15,668.0,3,70.55631,0.1156453087001482,22.0,0.058391771,0.015031955,0.0007095518181818182,0.01708901,0.014397717,0.01708901
32,15,647.0,3,60.727889999999974,0.0,19.0,0.05585215,0.014865076666666666,0.0008050670350877192,0.017118301,0.015575431,0.017118301
33,15,796.0,4,62.526829999999975,0.041391801684165196,13.25,0.062348779,0.01300875475,0.001002267962264151,0.017211143,0.014067056,0.017211143
34,15,502.0,3,63.727889999999995,0.026691809876093604,20.0,0.04471623,0.010770688,0.0005632095166666664,0.016707269,0.01297172,0.016707269
35,15,883.0,4,64.59787999999998,0.035964545114849505,13.25,0.068488516,0.01416924625,0.001090097698113208,0.01743485,0.013785592,0.01743485
36,15,330.0,2,64.31367999999999,0.013048374978144366,30.5,0.037018658,0.0117693845,0.00041185531147540973,0.014231563,0.014231563,0.014231563
