Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.00089005,0.000594968,0.000299161,0.000594968,0.000594968,0.000594968
2,0,2.0,1,2.82842,0.0,2.0,0.001099847,0.000766434,0.0003850205,0.000766434,0.000766434,0.000766434
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.001320776,0.000925636,0.000464462,0.000925636,0.000925636,0.000925636
4,0,1.0,1,1.41421,0.0,1.0,0.000700078,0.000488417,0.000488417,0.000488417,0.000488417,0.000488417
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001605065,0.001021259,0.0003423393333333333,0.001021259,0.001021259,0.001021259
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.001601987,0.001011387,0.0003391496666666667,0.001011387,0.001011387,0.001011387
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.001622469,0.001030162,0.00034521266666666666,0.001030162,0.001030162,0.001030162
8,0,1.0,1,1.41421,0.0,1.0,0.000526074,0.000318607,0.000318607,0.000318607,0.000318607,0.000318607
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.001596313,0.001026757,0.0003440726666666667,0.001026757,0.001026757,0.001026757
10,0,3.0,1,3.0,0.0,3.0,0.001355412,0.000803316,0.0002696556666666667,0.000803316,0.000803316,0.000803316
11,5,159.0,2,22.727890000000002,0.0,9.5,0.033434165,0.015029255500000002,0.001583785473684211,0.028428093,0.028428093,0.028428093
12,5,158.0,2,21.727890000000002,0.0,9.0,0.033389206,0.015075776,0.0016770068888888893,0.028454327,0.028454327,0.028454327
13,5,88.0,1,20.798940000000005,0.0,15.0,0.019544083,0.017025962,0.0011368963333333328,0.017025962,0.017025962,0.017025962
14,5,116.0,1,23.213150000000006,0.0,17.0,0.024555753,0.021843631,0.0012868760588235291,0.021843631,0.021843631,0.021843631
15,5,167.0,2,23.142100000000003,1.535173419352825e-16,9.5,0.034526365,0.0156668275,0.0016512338421052631,0.028368106,0.028368106,0.028368106
16,5,124.0,1,23.213150000000006,0.0,17.0,0.026290208,0.023211558,0.001367476058823529,0.023211558,0.023211558,0.023211558
17,5,220.0,2,24.727890000000002,0.11678160608072419,10.5,0.047345197,0.0217579155,0.0020739252857142863,0.027915185,0.027915185,0.027915185
18,5,117.0,1,20.970520000000004,0.0,16.0,0.024813637,0.022087033,0.001382595,0.022087033,0.022087033,0.022087033
19,5,157.0,2,23.899470000000004,0.025125569943852913,10.5,0.034794989,0.0155377645,0.0014819014761904763,0.029602711,0.029602711,0.029602711
20,5,132.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.027734709,0.024959464,0.0015618449999999999,0.024959464,0.024959464,0.024959464
21,10,315.0,3,42.45577999999999,0.013988024867387212,11.666666666666666,0.067755191,0.020364108,0.0017472592571428577,0.029194152,0.028823222,0.029194152
22,10,186.0,2,40.18366999999999,0.0,14.5,0.043898261,0.018907200500000002,0.0013069263448275861,0.03157543,0.03157543,0.03157543
