Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.001386509,0.000814575,0.00027346566666666667,0.000814575,0.000814575,0.000814575
2,0,2.0,1,2.0,0.0,2.0,0.000986481,0.00060152,0.000302337,0.00060152,0.00060152,0.00060152
3,0,1.0,1,1.0,0.0,1.0,0.000698754,0.000471024,0.000471024,0.000471024,0.000471024,0.000471024
4,0,2.0,1,2.0,0.0,2.0,0.000964304,0.000583363,0.000293436,0.000583363,0.000583363,0.000583363
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001578149,0.001019309,0.00034150599999999994,0.001019309,0.001019309,0.001019309
6,0,1.0,1,1.41421,0.0,1.0,0.000701662,0.000472186,0.000472186,0.000472186,0.000472186,0.000472186
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.001320394,0.000927471,0.000466124,0.000927471,0.000927471,0.000927471
8,0,3.0,1,3.0,0.0,3.0,0.001355879,0.000794195,0.0002666533333333333,0.000794195,0.000794195,0.000794195
9,0,6.0,1,3.4142099999999997,0.0,3.0,0.001955055,0.00139187,0.0004656476666666666,0.00139187,0.00139187,0.00139187
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.001342381,0.000939676,0.00047147249999999997,0.000939676,0.000939676,0.000939676
11,5,121.0,1,21.656840000000003,0.0,20.0,0.020375966,0.017053072,0.0008552150999999999,0.017053072,0.017053072,0.017053072
12,5,127.0,1,20.071050000000003,0.0,18.0,0.023985982,0.020329659,0.0011314173333333334,0.020329659,0.020329659,0.020329659
13,5,157.0,2,22.313680000000005,0.0,9.5,0.031686429,0.014109960000000001,0.001487249052631579,0.026876361,0.026876361,0.026876361
14,5,118.0,1,21.727890000000002,0.0,18.0,0.019828421,0.016614068,0.0009248824444444444,0.016614068,0.016614068,0.016614068
15,5,124.0,1,22.485260000000004,0.0,20.0,0.023235283,0.019628992,0.0009833559499999999,0.019628992,0.019628992,0.019628992
16,5,132.0,1,22.89947,0.0,20.0,0.024824953,0.021208571,0.0010623820500000002,0.021208571,0.021208571,0.021208571
17,5,72.0,1,23.82842,8.393345756658257e-07,23.0,0.016149636,0.011994724,0.0005234657826086957,0.011994724,0.011994724,0.011994724
18,5,98.0,1,20.727890000000002,0.0,17.0,0.019382154,0.016395535,0.0009667291176470589,0.016395535,0.016395535,0.016395535
19,5,94.0,1,23.48526,0.0,21.0,0.019326503,0.015107743,0.0007213146190476192,0.015107743,0.015107743,0.015107743
20,5,60.0,1,21.41421,4.669798544713985e-07,21.0,0.014249212,0.010140566,0.00048485385714285733,0.010140566,0.010140566,0.010140566
21,10,254.0,2,41.79893999999999,0.0,18.0,0.056490601,0.0247994805,0.0013799864722222218,0.025060938,0.025060938,0.025060938
22,10,159.0,2,40.65683999999999,0.0,19.5,0.033084652,0.0130499015,0.0006711253846153845,0.024458387,0.024458387,0.024458387
23,10,309.0,3,41.69841000000001,0.0,11.0,0.063471231,0.019191770666666667,0.0017466352727272733,0.033002814,0.022693569,0.033002814
24,10,407.0,3,46.04157,0.07755284018170802,13.0,0.079444797,0.023914184,0.0018414402820512816,0.030610698,0.025651268,0.030610698
25,10,262.0,2,46.79893999999997,0.06432343429473275,20.5,0.057519463,0.024748565,0.001209225902439024,0.025915661,0.025915661,0.025915661
26,10,332.0,3,43.55631,0.06050994494912486,13.0,0.068932651,0.02068774866666667,0.0015935559743589748,0.031935887,0.025413885,0.031935887
27,10,115.0,1,42.41421,2.357700957714329e-07,42.0,0.026788573,0.019160246,0.00045816040476190476,0.019160246,0.019160246,0.019160246
28,10,570.0,4,55.62735999999999,0.29669017121411634,12.25,0.106991048,0.024600000000000004,0.0020101229795918374,0.031904847,0.025516417,0.031904847
29,10,168.0,2,42.55630999999999,2.3498283424459555e-07,19.0,0.035936213,0.014153958500000001,0.0007470503684210528,0.025083006,0.025083006,0.025083006
30,10,257.0,2,43.55630999999998,2.2958791223905276e-07,19.5,0.057881012,0.0254043325,0.0013047503076923078,0.025725611,0.025725611,0.025725611
31,15,460.0,4,66.62735999999997,0.08238084485259782,15.0,0.09619992,0.021376145750000002,0.0014269965000000004,0.030863206,0.027832555,0.030863206
32,15,947.0,7,95.35524999999996,0.5490737747395467,12.142857142857142,0.177051092,0.023158279142857143,0.0019089691294117642,0.031273076,0.023697783,0.031273076
33,15,1417.0,10,122.15418999999993,1.0011629773793598,10.6,0.249675892,0.023021324599999997,0.0021736119716981132,0.031265028,0.02350078,0.031265028
34,15,284.0,2,61.899469999999994,0.0,29.5,0.071919006,0.030623716,0.001040074711864407,0.031379011,0.031379011,0.031379011
35,15,1300.0,9,138.4678699999999,1.1738011099162444,13.222222222222221,0.237157511,0.024056805666666667,0.0018212512605042016,0.033337064,0.023156746,0.033337064
36,15,616.0,5,70.01208999999996,0.1315981386808807,11.6,0.117624978,0.021447340200000005,0.0018508409655172422,0.030119389,0.025049697,0.030119389
37,15,1594.0,11,169.19575999999986,1.7333946154653892,13.272727272727273,0.274225513,0.022555894727272728,0.00170122552739726,0.02930112,0.02251469,0.02899304
38,15,514.0,4,63.21314999999998,0.013278074146266063,14.25,0.105470648,0.0235701815,0.001655875894736842,0.033125015,0.027137791,0.033125015
39,15,238.0,2,61.31367999999999,0.013695559086257133,29.0,0.06186517,0.025537961499999998,0.0008826554482758619,0.029162827,0.029162827,0.029162827
40,15,858.0,6,99.66892999999993,0.5724421312365099,14.333333333333334,0.150380948,0.022494670000000005,0.00157129484883721,0.027153173,0.023898517,0.027153173
41,20,397.0,3,84.04156999999998,0.02011014167661972,25.666666666666668,0.085253535,0.023719019999999997,0.0009259784805194802,0.035332149,0.021972365,0.035332149
42,20,1998.0,14,169.81102999999987,1.0890999860981747,10.857142857142858,0.360727301,0.023867600071428567,0.0022001892697368426,0.031102217,0.023470768,0.029919951
43,20,751.0,6,108.25471999999996,0.30743994492687055,15.833333333333334,0.136681706,0.019925265,0.0012602864421052632,0.02888762,0.023672509,0.02888762
44,20,2983.0,20,258.0778399999998,2.089757191994433,10.75,0.514724576,0.023785867799999996,0.0022144407813953493,0.030983913,0.02286202,0.03019743
45,20,16838.0,113,1244.359720000001,14.238880241596254,9.061946902654867,2.874417959,0.02361704240707963,0.002607951666015626,0.037629085,0.022484002,0.029843176
46,20,940.0,7,105.18366999999995,0.2703495211294815,13.428571428571429,0.17785679,0.02275108385714286,0.0016960551489361706,0.031165172,0.022852069,0.031165172
47,20,1364.0,10,163.8110299999999,0.9726381717115264,14.6,0.248772126,0.0221932986,0.0015220082602739728,0.031013795,0.023239248,0.031013795
48,20,2575.0,18,239.33785999999986,1.872731135455512,11.777777777777779,0.457288473,0.02335861161111111,0.001985083141509434,0.034273808,0.022518,0.031502947
49,20,1968.0,14,195.85259999999988,1.4385951587338137,12.214285714285714,0.357912369,0.0233332025,0.0019121717953216395,0.031288333,0.023617756,0.031098339
50,20,384.0,3,84.55630999999997,0.019985765897260713,26.666666666666668,0.090387712,0.025315912666666666,0.0009513682750000001,0.039445083,0.023824795,0.039445083
51,25,4768.0,32,344.0899300000008,2.321395490260437,9.03125,0.812855022,0.023776433781250002,0.002634460930795849,0.030662091,0.022638673,0.029876441
52,25,1107.0,8,136.73997999999995,0.33779440971304975,15.125,0.21156278,0.023485332249999998,0.0015546114214876033,0.037637905,0.02237653,0.037637905
53,25,2309.0,16,221.06574999999984,1.152580868176594,11.875,0.393962987,0.022393680750000002,0.0018875214842105274,0.030141084,0.022523897,0.029553217
54,25,604.0,5,103.79893999999997,0.024527113725644832,19.6,0.13667654,0.023922120399999997,0.0012223757653061222,0.040487983,0.026437921,0.040487983
55,25,851.0,6,126.69840999999994,0.2612328780759729,19.666666666666668,0.163922269,0.0237233615,0.0012082139067796616,0.029267794,0.025323372,0.029267794
56,25,4778.0,32,343.67572000000064,2.4013154925674534,9.03125,0.809170361,0.0236499025625,0.0026204175570934247,0.03042387,0.022198053,0.02982364
57,25,10869.0,73,863.5177200000057,7.354871268927538,9.945205479452055,1.830875176,0.0230590837260274,0.002320438577134986,0.032360362,0.022255222,0.029861486
58,25,11172.0,75,824.890360000005,7.029849310801389,9.253333333333334,1.849214835,0.022983558039999998,0.002485517384726225,0.032753921,0.021772935,0.030137061
59,25,2427.0,17,262.20784999999995,1.5757409208341921,13.352941176470589,0.434997579,0.023150510352941172,0.0017355304185022046,0.032109817,0.022333527,0.031554991
60,25,3224.0,22,247.24941999999976,1.3859555907244228,9.318181818181818,0.572955153,0.024325518681818172,0.0026123444585365867,0.031219345,0.023748257,0.031034343
61,30,821.0,6,137.35524999999998,0.1254752462267087,21.166666666666668,0.167939552,0.023839113166666665,0.001128183251968504,0.040875247,0.022760256,0.040875247
62,30,687.0,5,121.94103999999997,0.013776063316816588,22.4,0.142502696,0.0244917482,0.0010953017232142857,0.039219052,0.023508904,0.039219052
63,30,1716.0,12,198.1957599999999,0.6500775103444247,14.583333333333334,0.317114234,0.023901463333333334,0.0016407496800000011,0.030103669,0.02519104,0.029767462
64,30,15875.0,106,1207.1987400000005,8.98757954827501,9.849056603773585,2.669273255,0.023432653301886795,0.0023809259003831442,0.033497485,0.022566296,0.029771692
65,30,12253.0,82,920.8140100000065,6.642561397684413,9.304878048780488,2.04007933,0.023065256036585373,0.0024806545688073416,0.034043088,0.021692462,0.029577191
66,30,13907.0,93,1156.3582300000041,8.3459704351481,10.817204301075268,2.2817804,0.02263678762365591,0.0020944529642147095,0.034248298,0.021593575,0.028840968
67,30,1556.0,11,174.2962899999999,0.4070904173730516,14.0,0.285865479,0.02314324081818182,0.0016548970064935071,0.031760835,0.023486377,0.029213883
68,30,9765.0,66,738.5645900000045,5.006006212846968,9.43939393939394,1.646547151,0.02326789953030303,0.0024667468892455853,0.035847849,0.022519686,0.029697216
69,30,1057.0,8,135.5683999999999,0.11018810446062181,14.875,0.212167468,0.023781989374999996,0.0016007788823529405,0.038088415,0.024909889,0.038088415
70,30,3942.0,27,292.29099,1.3621382737999033,9.0,0.683587607,0.02361114048148149,0.00262528644855967,0.031074463,0.022850432,0.030447967
71,35,2066.0,14,206.50943999999987,0.43567856174525943,12.857142857142858,0.378258595,0.024647433428571425,0.0019187818333333323,0.037984592,0.023086081,0.032130538
72,35,6593.0,44,563.398310000003,2.925382053550921,10.818181818181818,1.138106697,0.023730190977272716,0.002195353796218484,0.032027779,0.022237743,0.029914939
73,35,10820.0,73,837.0029800000059,4.938676325554706,9.547945205479452,1.829102951,0.0231475404520548,0.0024261223055954103,0.033649596,0.022400629,0.029059233
74,35,19376.0,130,1428.300759999993,9.128930587467684,9.215384615384615,3.221657305,0.023090024699999996,0.002507413641068452,0.032477811,0.022303365,0.029449523
75,35,1563.0,11,181.26680999999985,0.29465195840356434,14.181818181818182,0.275884872,0.02229246690909091,0.00157370733974359,0.030623922,0.022497349,0.029837135
