Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,2,2.82842,0.0,1.0,0.000539505,5.9526e-05,5.9526e-05,6.9221e-05,6.9221e-05,6.9221e-05
2,0,3.0,3,3.0,0.0,1.0,0.000740022,4.8736333333333336e-05,4.8736333333333336e-05,6.0217e-05,5.0142e-05,6.0217e-05
3,0,2.0,2,2.82842,0.0,1.0,0.00048673,5.80425e-05,5.80425e-05,6.8146e-05,6.8146e-05,6.8146e-05
4,0,2.0,2,2.82842,0.0,1.0,0.000508967,5.9038499999999994e-05,5.9038499999999994e-05,7.0564e-05,7.0564e-05,7.0564e-05
5,0,3.0,3,3.4142099999999997,0.001234604105571731,1.0,0.000798286,5.1624000000000006e-05,5.1624000000000006e-05,6.0398e-05,4.9832e-05,6.0398e-05
6,0,3.0,3,3.0,0.0,1.0,0.000716099,4.960133333333333e-05,4.960133333333333e-05,6.0417e-05,5.2933e-05,6.0417e-05
7,0,3.0,3,3.0,0.0,1.0,0.000710915,4.835766666666667e-05,4.835766666666667e-05,6.0008e-05,4.9426e-05,6.0008e-05
8,0,3.0,3,3.8284199999999995,0.0,1.0,0.000718372,5.4752333333333334e-05,5.4752333333333334e-05,5.9463e-05,5.7443e-05,5.9463e-05
9,0,2.0,2,2.82842,0.0,1.0,0.000536722,6.58545e-05,6.58545e-05,6.9109e-05,6.9109e-05,6.9109e-05
10,0,3.0,3,3.4142099999999997,0.001234604105571731,1.0,0.00069851,4.8601000000000004e-05,4.8601000000000004e-05,5.7589e-05,5.3916e-05,5.7589e-05
11,5,20.0,20,23.313680000000005,0.00015787215787243006,1.0,0.004463327,3.994475e-05,3.994475e-05,7.1568e-05,4.2426e-05,4.7963e-05
12,5,21.0,21,23.899470000000004,0.0,1.0,0.004628914,3.8584e-05,3.8584e-05,5.2986e-05,3.3761e-05,5.0274e-05
13,5,23.0,23,23.82842,0.0,1.0,0.004965056,3.848308695652174e-05,3.848308695652174e-05,6.0967e-05,3.458e-05,4.6833e-05
14,5,23.0,23,23.82842,0.0,1.0,0.004852207,3.741465217391304e-05,3.741465217391304e-05,5.9667e-05,3.293e-05,4.7184e-05
15,5,18.0,18,23.384730000000005,0.00020230966638176538,1.0,0.004181782,4.432388888888889e-05,4.432388888888889e-05,6.0603e-05,4.2081e-05,5.418e-05
16,5,0.0,0,0.0,0.0,0.0,8.335e-06,0.0,0.0,0.0,0.0,0.0
17,5,17.0,17,23.627360000000007,0.0,1.0,0.003954711,4.561376470588235e-05,4.561376470588235e-05,6.0609e-05,4.1499e-05,5.7669e-05
18,5,17.0,17,21.970520000000004,2.366863905349035e-05,1.0,0.003767331,4.3999470588235294e-05,4.3999470588235294e-05,6.0659e-05,4.1573e-05,5.6428e-05
19,5,21.0,21,23.485260000000004,0.0,1.0,0.005140825,3.844857142857142e-05,3.844857142857142e-05,6.0215e-05,3.5421e-05,4.3222e-05
20,5,23.0,23,23.0,0.0,1.0,0.004962465,3.625439130434783e-05,3.625439130434783e-05,5.7768e-05,3.332e-05,4.4648e-05
21,10,58.0,58,59.24262999999999,0.3700885753931542,1.0,0.013043875,3.675696551724138e-05,3.675696551724138e-05,6.0349e-05,3.5152e-05,4.725e-05
22,10,30.0,30,42.012089999999986,4.975005950936394e-05,1.0,0.006564998,4.4752e-05,4.4752e-05,5.921e-05,4.1184e-05,5.376e-05
23,10,31.0,31,42.59787999999999,0.0,1.0,0.007141757,4.423232258064515e-05,4.423232258064515e-05,5.9742e-05,4.1672e-05,5.1922e-05
24,10,39.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.009084847,3.894082051282051e-05,3.894082051282051e-05,6.0906e-05,3.5005e-05,5.1397e-05
25,10,36.0,36,43.45577999999998,0.0,1.0,0.008384562,4.021388888888888e-05,4.021388888888888e-05,5.976e-05,4.083e-05,5.0794e-05
26,10,40.0,40,40.41421,0.0001041821331353747,1.0,0.008291993,3.5420549999999994e-05,3.5420549999999994e-05,5.9427e-05,3.2341e-05,4.2618e-05
27,10,39.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.008501158,3.8577897435897446e-05,3.8577897435897446e-05,6.8771e-05,3.4788e-05,5.0774e-05
28,10,48.0,48,48.41421,0.10711662474273954,1.0,0.011205376,3.7522666666666666e-05,3.7522666666666666e-05,6.0236e-05,3.6649e-05,4.4635e-05
29,10,43.0,43,43.0,0.0,1.0,0.009303604,3.4588744186046494e-05,3.4588744186046494e-05,6.2387e-05,3.3462e-05,3.6072e-05
30,10,34.0,34,43.52682999999998,0.0,1.0,0.007545079,4.215867647058824e-05,4.215867647058824e-05,5.8601e-05,4.168e-05,5.0358e-05
31,15,722.0,722,729.8699900000001,10.427430562079225,1.0,0.172329603,4.7838966759002684e-05,4.7838966759002684e-05,0.007005086,3.7749e-05,4.5988e-05
32,15,63.0,63,67.97051999999996,0.07412326169405759,1.0,0.013896477,4.0230301587301606e-05,4.0230301587301606e-05,5.6837e-05,4.0855e-05,5.0485e-05
33,15,196.0,196,203.04156999999995,2.383462256290618,1.0,0.044600116,3.71755357142857e-05,3.71755357142857e-05,5.9872e-05,3.7762e-05,4.695e-05
34,15,61.0,61,63.071049999999985,1.6648168701206888e-05,1.0,0.014204785,3.670452459016395e-05,3.670452459016395e-05,6.061e-05,3.3662e-05,4.4686e-05
35,15,91.0,91,95.55630999999997,0.5199031334499757,1.0,0.022375233,3.8756109890109897e-05,3.8756109890109897e-05,7.2251e-05,3.9946e-05,4.8118e-05
36,15,68.0,68,70.89946999999998,0.12289309471016754,1.0,0.014798038,3.876680882352941e-05,3.876680882352941e-05,6.0959e-05,4.0866e-05,4.8744e-05
