Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.8284199999999995,0.0,1.0,0.000754001,5.3772e-05,5.3772e-05,6.8644e-05,4.7902e-05,6.8644e-05
2,0,2.0,2,2.0,0.0,1.0,0.000516408,5.1461e-05,5.1461e-05,5.7358e-05,5.7358e-05,5.7358e-05
3,0,2.0,2,2.0,0.0,1.0,0.000508902,5.0877999999999996e-05,5.0877999999999996e-05,6.5602e-05,6.5602e-05,6.5602e-05
4,0,2.0,2,2.4142099999999997,0.0,1.0,0.0005318,5.0931000000000004e-05,5.0931000000000004e-05,5.7503e-05,5.7503e-05,5.7503e-05
5,0,4.0,4,4.0,0.17157409766827458,1.0,0.000980373,4.466575e-05,4.466575e-05,5.8065e-05,4.7847e-05,5.8065e-05
6,0,2.0,2,2.4142099999999997,0.0,1.0,0.000539768,5.59685e-05,5.59685e-05,5.8736e-05,5.8736e-05,5.8736e-05
7,0,3.0,3,3.4142099999999997,0.0,1.0,0.000687063,4.8577e-05,4.8577e-05,5.8355e-05,4.4795e-05,5.8355e-05
8,0,2.0,2,2.82842,0.0,1.0,0.000506108,6.222999999999999e-05,6.222999999999999e-05,7.6706e-05,7.6706e-05,7.6706e-05
9,0,1.0,1,1.41421,0.0,1.0,0.000271641,6.361e-05,6.361e-05,6.361e-05,6.361e-05,6.361e-05
10,0,2.0,2,2.0,0.0,1.0,0.000486886,4.8371e-05,4.8371e-05,5.0161e-05,5.0161e-05,5.0161e-05
11,5,22.0,22,23.242630000000002,1.2907333948188663e-06,1.0,0.004992948,3.7256818181818185e-05,3.7256818181818185e-05,6.5931e-05,3.3495e-05,4.342e-05
12,5,21.0,21,23.485260000000004,0.0,1.0,0.004432699,3.829938095238095e-05,3.829938095238095e-05,6.6569e-05,3.4352e-05,4.3583e-05
13,5,19.0,19,21.485260000000004,0.0,1.0,0.004217614,3.8992e-05,3.8992e-05,5.8251e-05,4.0881e-05,4.6666e-05
14,5,22.0,22,23.656840000000003,0.06358249485222066,1.0,0.00535759,3.981568181818181e-05,3.981568181818181e-05,5.5527e-05,4.188e-05,4.4916e-05
15,5,25.0,25,26.242630000000002,0.12563128117801983,1.0,0.005663053,3.774744000000001e-05,3.774744000000001e-05,6.561e-05,3.629e-05,5.1743e-05
16,5,24.0,24,24.82842,0.07616975350113345,1.0,0.005784401,4.1435625e-05,4.1435625e-05,7.0808e-05,4.1633e-05,5.0902e-05
17,5,27.0,27,28.242630000000002,0.34034910374873645,1.0,0.00582435,3.726788888888889e-05,3.726788888888889e-05,7.2084e-05,3.617e-05,5.1418e-05
18,5,17.0,17,20.727890000000006,0.0,1.0,0.00369063,4.1025529411764706e-05,4.1025529411764706e-05,5.7272e-05,4.1248e-05,5.4844e-05
19,5,22.0,22,24.071050000000003,0.0787565486674107,1.0,0.004755424,3.7876909090909086e-05,3.7876909090909086e-05,6.4611e-05,3.3747e-05,5.1743e-05
20,5,16.0,16,20.970520000000004,0.0,1.0,0.003582108,4.42011875e-05,4.42011875e-05,5.9533e-05,4.2152e-05,5.4839e-05
21,10,128.0,128,130.89946999999998,1.983796936865883,1.0,0.02959127,3.6657757812500006e-05,3.6657757812500006e-05,5.8909e-05,3.7646e-05,4.5675e-05
22,10,41.0,41,44.727889999999974,0.040895170186126706,1.0,0.008584262,3.7140682926829264e-05,3.7140682926829264e-05,5.5923e-05,3.3943e-05,4.2756e-05
23,10,45.0,45,46.24262999999999,0.08843835397184412,1.0,0.009291313,3.429606666666666e-05,3.429606666666666e-05,5.6182e-05,3.2894e-05,4.3097e-05
24,10,44.0,44,45.65683999999999,0.040030979851706394,1.0,0.010164775,4.107854545454546e-05,4.107854545454546e-05,5.655e-05,4.0263e-05,4.9954e-05
25,10,33.0,33,40.45577999999999,0.0,1.0,0.007206372,4.080563636363636e-05,4.080563636363636e-05,5.6735e-05,4.1613e-05,5.0071e-05
26,10,40.0,40,46.627359999999975,0.06702426856757032,1.0,0.008249803,3.757069999999999e-05,3.757069999999999e-05,5.2517e-05,4.0404e-05,5.0711e-05
27,10,35.0,35,42.45577999999998,0.0,1.0,0.007711129,4.0202171428571424e-05,4.0202171428571424e-05,5.7037e-05,4.094e-05,4.9017e-05
28,10,42.0,42,43.65683999999999,0.027575184828634514,1.0,0.01000278,3.9918809523809524e-05,3.9918809523809524e-05,5.8151e-05,4.1216e-05,5.1409e-05
29,10,43.0,43,45.071049999999985,0.06695728956077472,1.0,0.009845151,3.872460465116279e-05,3.872460465116279e-05,5.7347e-05,4.02e-05,4.8107e-05
30,10,39.0,39,43.556309999999975,0.027639861459768045,1.0,0.008528634,3.813843589743589e-05,3.813843589743589e-05,5.7529e-05,3.5485e-05,4.9319e-05
31,15,62.0,62,63.65683999999999,0.058440593195116054,1.0,0.0129642,3.536096774193549e-05,3.536096774193549e-05,6.017e-05,3.5396e-05,4.2258e-05
32,15,76.0,76,79.31367999999999,0.24710965753640038,1.0,0.016205546,3.5422710526315776e-05,3.5422710526315776e-05,5.4832e-05,3.3838e-05,4.285e-05
33,15,166.0,166,176.76945999999998,1.768919151762358,1.0,0.034477754,3.608660843373495e-05,3.608660843373495e-05,5.7215e-05,3.647e-05,4.4051e-05
34,15,53.0,53,64.18366999999995,0.018591161711540776,1.0,0.012375968,3.853524528301887e-05,3.853524528301887e-05,5.481e-05,4.0936e-05,4.5231e-05
35,15,60.0,60,64.14209999999997,0.047847523083256065,1.0,0.013697145,3.7599116666666674e-05,3.7599116666666674e-05,5.7498e-05,3.621e-05,4.8339e-05
36,15,66.0,66,68.48525999999998,0.11438236911731649,1.0,0.015343666,3.5934712121212115e-05,3.5934712121212115e-05,5.7903e-05,3.4355e-05,4.2416e-05
37,15,64.0,64,74.35524999999998,0.19904228522774525,1.0,0.014992697,3.861159374999999e-05,3.861159374999999e-05,6.7107e-05,3.8368e-05,4.7861e-05
38,15,67.0,67,81.49734999999994,0.2785883611729499,1.0,0.015367377,3.7591999999999995e-05,3.7591999999999995e-05,5.6431e-05,3.9312e-05,4.28e-05
39,15,49.0,49,63.497349999999955,0.0284620530255046,1.0,0.010592521,3.981363265306121e-05,3.981363265306121e-05,5.336e-05,4.0713e-05,4.8882e-05
40,15,67.0,67,71.55630999999997,0.1444084066217895,1.0,0.01420456,3.714723880597015e-05,3.714723880597015e-05,6.5503e-05,3.645e-05,4.3744e-05
41,20,250.0,250,257.04157,2.0684349692489876,1.0,0.056062799,3.752578800000001e-05,3.752578800000001e-05,5.656e-05,3.7949e-05,4.5674e-05
42,20,93.0,93,98.38472999999996,0.2108174532458385,1.0,0.019535355,3.5387505376344084e-05,3.5387505376344084e-05,5.6893e-05,3.3536e-05,4.2448e-05
43,20,130.0,130,137.04156999999995,0.7127584293395249,1.0,0.02960964,3.701599230769231e-05,3.701599230769231e-05,5.7356e-05,3.8225e-05,4.6607e-05
44,20,637.0,637,650.6689300000005,6.805969506438109,1.0,0.136036097,3.926735635792776e-05,3.926735635792776e-05,7.0873e-05,3.865e-05,4.7225e-05
45,20,211.0,211,225.49734999999993,1.800273573178651,1.0,0.045266531,3.698575829383886e-05,3.698575829383886e-05,5.731e-05,3.7943e-05,4.5084e-05
46,20,195.0,195,208.25471999999993,1.5729168494127201,1.0,0.040578568,3.752664615384614e-05,3.752664615384614e-05,5.821e-05,3.8391e-05,4.5703e-05
47,20,147.0,147,152.79893999999996,0.8663582919771684,1.0,0.030779757,3.523450340136056e-05,3.523450340136056e-05,5.7727e-05,3.6251e-05,4.1314e-05
