Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000694394,0.000302764,0.00015327950000000002,0.000302764,0.000302764,0.000302764
2,0,3.0,1,3.0,0.0,3.0,0.000921636,0.000360355,0.00012213066666666667,0.000360355,0.000360355,0.000360355
3,0,2.0,1,2.82842,0.0,2.0,0.000703373,0.000311465,0.00015757549999999998,0.000311465,0.000311465,0.000311465
4,0,2.0,1,2.82842,0.0,2.0,0.000724922,0.000305688,0.00015465999999999999,0.000305688,0.000305688,0.000305688
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001158844,0.000593133,0.00019973966666666666,0.000593133,0.000593133,0.000593133
6,0,3.0,1,3.0,0.0,3.0,0.000919634,0.000362268,0.000122769,0.000362268,0.000362268,0.000362268
7,0,3.0,1,3.0,0.0,3.0,0.000957086,0.0003641,0.000123407,0.0003641,0.0003641,0.0003641
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.00101147,0.000450533,0.00015218966666666667,0.000450533,0.000450533,0.000450533
9,0,2.0,1,2.82842,0.0,2.0,0.000684213,0.000303334,0.0001535205,0.000303334,0.000303334,0.000303334
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001054406,0.000488498,0.00016489199999999995,0.000488498,0.000488498,0.000488498
11,5,150.0,1,23.313680000000005,0.00015787215787243006,20.0,0.013636817,0.009988533,0.0005012995000000003,0.009988533,0.009988533,0.009988533
12,5,180.0,1,23.899470000000004,0.0,21.0,0.01570865,0.011914375,0.0005692466666666667,0.011914375,0.011914375,0.011914375
13,5,103.0,1,23.82842,0.0,23.0,0.011411756,0.007099771,0.0003106120869565217,0.007099771,0.007099771,0.007099771
14,5,103.0,1,23.82842,0.0,23.0,0.011465788,0.007263964,0.0003178020869565218,0.007263964,0.007263964,0.007263964
15,5,147.0,1,23.384730000000005,0.00020230966638176538,18.0,0.013070766,0.009764757,0.0005444192777777778,0.009764757,0.009764757,0.009764757
16,5,0.0,0,0.0,0.0,0.0,1.0407e-05,0.0,0.0,0.0,0.0,0.0
17,5,134.0,1,23.627360000000007,0.0,17.0,0.012902261,0.009553193,0.0005638926470588235,0.009553193,0.009553193,0.009553193
18,5,149.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.013109041,0.01005199,0.0005931144705882355,0.01005199,0.01005199,0.01005199
19,5,184.0,1,23.485260000000004,0.0,21.0,0.016184349,0.012467975,0.0005955951428571428,0.012467975,0.012467975,0.012467975
20,5,23.0,1,23.0,0.0,23.0,0.006223259,0.002091379,9.281939130434782e-05,0.002091379,0.002091379,0.002091379
21,10,159.0,1,43.24262999999999,6.082331174813256e-05,42.0,0.019712621,0.011189904,0.00026834985714285715,0.011189904,0.011189904,0.011189904
22,10,393.0,1,42.012089999999986,4.975005950936394e-05,30.0,0.032960239,0.027066656,0.0009042002666666667,0.027066656,0.027066656,0.027066656
23,10,444.0,1,42.59787999999999,0.0,31.0,0.036333304,0.030584418,0.0009885986451612907,0.030584418,0.030584418,0.030584418
24,10,724.0,2,52.25471999999997,0.18841755742551675,19.5,0.066508025,0.0295164165,0.0015155261025641023,0.029568621,0.029568621,0.029568621
25,10,480.0,2,44.041569999999986,0.013381730326736885,18.5,0.040078317,0.016204397000000002,0.000877893108108108,0.030263488,0.030263488,0.030263488
26,10,117.0,1,40.41421,0.0001041821331353747,40.0,0.015908186,0.008647569,0.00021812357499999998,0.008647569,0.008647569,0.008647569
27,10,455.0,2,43.97051999999998,1.1826245166711712e-05,19.5,0.037856341,0.0151605095,0.0007793668974358976,0.029881594,0.029881594,0.029881594
28,10,253.0,1,43.72789,0.0,40.0,0.024164676,0.01668278,0.0004188503499999999,0.01668278,0.01668278,0.01668278
29,10,43.0,1,43.0,0.0,43.0,0.011514869,0.003937671,9.350544186046511e-05,0.003937671,0.003937671,0.003937671
30,10,786.0,2,52.84050999999997,0.21388720422696927,20.0,0.072285831,0.0323761515,0.0016207848749999986,0.034336332,0.034336332,0.034336332
31,15,5138.0,12,242.07783999999975,2.7901650227023604,16.583333333333332,0.383541946,0.029065661833333336,0.0017545642864321602,0.042925426,0.027533891,0.040044195
32,15,724.0,2,63.284199999999984,6.637168141566224e-05,27.5,0.07042896,0.0303168565,0.0011043332363636364,0.030946318,0.030946318,0.030946318
33,15,923.0,3,69.86998999999997,0.16430578236960466,20.666666666666668,0.081666549,0.023424956666666667,0.0011353463225806453,0.039584142,0.029132084,0.039584142
34,15,553.0,2,63.07105,1.6648168701432205e-05,30.5,0.06090954,0.025139921,0.0008261257868852456,0.031411312,0.031411312,0.031411312
35,15,1017.0,3,67.01208999999999,0.06588341021154746,18.333333333333332,0.088089077,0.02611972166666667,0.0014265612545454544,0.040643691,0.030140805,0.040643691
36,15,695.0,2,63.14209999999999,3.325942350319216e-05,29.5,0.070844481,0.0300763125,0.0010214359491525426,0.031764895,0.031764895,0.031764895
37,15,980.0,3,63.869989999999966,0.009323482932995649,18.666666666666668,0.087645146,0.025698424,0.0013785354642857149,0.041223942,0.030638913,0.041223942
38,15,781.0,2,63.11261999999997,0.04094705591291388,27.0,0.072621154,0.031115692,0.0011543132962962962,0.033272783,0.033272783,0.033272783
39,15,949.0,3,66.79893999999999,0.05211749881871138,20.333333333333332,0.086672209,0.025126712666666665,0.0012375974262295083,0.040740709,0.031121577,0.040740709
40,15,585.0,2,64.66892999999995,0.045745957309184064,25.5,0.047004818,0.019044365,0.0007487513137254903,0.02892586,0.02892586,0.02892586
41,20,2478.0,6,138.85259999999988,0.6719157134256458,19.0,0.204457183,0.03059006,0.0016119341929824566,0.042679396,0.029705278,0.042679396
42,20,1471.0,4,96.88207999999989,0.15459516148253954,19.25,0.123423705,0.02735412375,0.001422799285714286,0.041093722,0.030387835,0.041093722
43,20,1573.0,4,91.3968199999999,0.11541152062484633,18.5,0.126376358,0.0281372995,0.001522890513513513,0.039434283,0.030204089,0.039434283
44,20,822.0,2,82.52682999999995,0.0,36.5,0.079250463,0.032788397999999996,0.0009001896575342469,0.035593656,0.035593656,0.035593656
45,20,1058.0,3,86.52682999999995,0.03986095421223355,25.666666666666668,0.097751403,0.027445872,0.0010713177792207793,0.040621808,0.031515048,0.040621808
46,20,960.0,3,87.18366999999994,0.039509598187670567,25.333333333333332,0.089404192,0.024803251666666668,0.0009809594605263156,0.039281491,0.030921034,0.039281491
47,20,628.0,2,80.28419999999994,5.231689088117182e-05,36.0,0.067383608,0.027168018500000002,0.000756496763888889,0.03083851,0.03083851,0.03083851
48,20,1448.0,4,99.7104999999999,0.20307070463320345,19.75,0.119146812,0.02602033925,0.0013193005443037976,0.038837969,0.030176208,0.038837969
49,20,6411.0,15,321.53362000000027,2.8608743996157573,18.066666666666666,0.49661536,0.029724189200000004,0.0016470476309963112,0.042273021,0.028167099,0.042251124
50,20,951.0,3,89.86999,0.07153916775962796,27.333333333333332,0.092536874,0.025916617666666666,0.0009500386951219513,0.043340638,0.030664365,0.043340638
51,25,1356.0,4,113.59787999999992,0.10064799922488059,25.5,0.120042584,0.02517047,0.0009888874705882352,0.043767482,0.028857333,0.043767482
52,25,1186.0,3,102.01208999999992,0.02001889811018808,30.0,0.108937267,0.030568401999999998,0.0010208379999999998,0.04098987,0.031762715,0.04098987
53,25,1042.0,3,112.4973499999999,0.10064915370315923,32.666666666666664,0.099582566,0.027190183999999996,0.0008343077448979588,0.041206386,0.030652499,0.041206386
54,25,2012.0,5,129.81102999999993,0.25384941562831964,22.4,0.156314807,0.027063629,0.001210066285714286,0.038816393,0.027003045,0.038816393
55,25,1814.0,5,115.05365999999994,0.11800272082402041,19.2,0.145962362,0.025842740200000002,0.0013478454687500007,0.042528488,0.029148024,0.042528488
56,25,1456.0,4,103.0536599999999,0.005695910998339956,21.0,0.125706136,0.02764549375,0.0013185503095238097,0.041509219,0.031065577,0.041509219
57,25,668.0,2,103.21314999999996,3.052029842033195e-05,48.5,0.074731412,0.0284929535,0.0005894693505154639,0.030929352,0.030929352,0.030929352
58,25,1850.0,5,109.84050999999992,0.06269843266253797,19.4,0.154120762,0.026902600199999998,0.0013886051030927834,0.043442979,0.029140912,0.043442979
59,25,12304.0,28,518.6825100000027,4.08312926303413,15.107142857142858,0.938602375,0.030848110321428566,0.0020437367068557905,0.043003553,0.028837782,0.042054752
60,25,2373.0,6,143.50943999999987,0.39818238503507275,19.5,0.185998938,0.02731591983333333,0.0014028368119658125,0.040458452,0.028097748,0.040458452
61,30,1691.0,4,126.99469999999984,0.04746535796766615,24.5,0.144598483,0.0317763185,0.0012989538979591827,0.042870213,0.030656567,0.042870213
62,30,1699.0,4,134.40890999999985,0.08974306794227215,26.25,0.138503169,0.029915682,0.0011415372666666672,0.039658412,0.029445697,0.039658412
63,30,7680.0,18,392.4330900000007,2.1678486438488918,18.833333333333332,0.599487807,0.030017528333333335,0.0015957012094395295,0.043464512,0.028594662,0.042240819
64,30,1828.0,5,145.47995999999986,0.18459376272290418,22.8,0.152921093,0.0258862744,0.0011373441754385966,0.040745624,0.028936024,0.040745624
65,30,1778.0,4,134.6515399999998,0.10751390031254988,26.0,0.152366978,0.03349247325,0.0012901091538461544,0.042552499,0.032245395,0.042552499
66,30,2247.0,5,138.1541899999999,0.11838573625839784,24.4,0.192610312,0.034259965,0.0014059865573770498,0.043773062,0.029704125,0.043773062
67,30,891.0,2,122.14209999999997,0.013711511328740775,59.0,0.092390568,0.0358446595,0.0006093722033898306,0.04408028,0.04408028,0.04408028
68,30,3163.0,8,172.13679999999982,0.39869017632241677,17.375,0.25429323,0.028681616624999996,0.001652529323741006,0.042208588,0.029776129,0.042208588
69,30,2961.0,7,173.37942999999981,0.4317046242774552,19.857142857142858,0.235424442,0.029965627999999998,0.0015109601294964034,0.041975767,0.027837173,0.041975767
