Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.000896213,0.000319865,0.00010937533333333335,0.000319865,0.000319865,0.000319865
2,0,2.0,1,2.0,0.0,2.0,0.000644963,0.000248111,0.0001261635,0.000248111,0.000248111,0.000248111
3,0,1.0,1,1.0,0.0,1.0,0.000393585,0.000173691,0.000173691,0.000173691,0.000173691,0.000173691
4,0,2.0,1,2.0,0.0,2.0,0.000610068,0.000230958,0.00011767,0.000230958,0.000230958,0.000230958
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000968539,0.000391701,0.000133466,0.000391701,0.000391701,0.000391701
6,0,1.0,1,1.41421,0.0,1.0,0.000365578,0.000164735,0.000164735,0.000164735,0.000164735,0.000164735
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.000716564,0.000323193,0.0001636875,0.000323193,0.000323193,0.000323193
8,0,3.0,1,3.0,0.0,3.0,0.000969983,0.000320781,0.00011232833333333335,0.000320781,0.000320781,0.000320781
9,0,6.0,1,3.4142099999999997,0.0,3.0,0.001095194,0.000529053,0.00017909900000000003,0.000529053,0.000529053,0.000529053
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.000710759,0.000319258,0.000161908,0.000319258,0.000319258,0.000319258
11,5,121.0,1,21.656840000000003,0.0,20.0,0.010569864,0.006979764,0.00035929634999999985,0.006979764,0.006979764,0.006979764
12,5,127.0,1,20.071050000000003,0.0,18.0,0.011200461,0.007796766,0.0004423962222222221,0.007796766,0.007796766,0.007796766
13,5,172.0,1,22.313680000000005,0.0,19.0,0.015281917,0.011237604,0.000601449052631579,0.011237604,0.011237604,0.011237604
14,5,118.0,1,21.727890000000002,0.0,18.0,0.010342104,0.007002002,0.00039840155555555566,0.007002002,0.007002002,0.007002002
15,5,124.0,1,22.485260000000004,0.0,20.0,0.011735755,0.007810569,0.00040071514999999994,0.007810569,0.007810569,0.007810569
