Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000979709,0.000387301,0.00013512,0.000387301,0.000387301,0.000387301
2,0,2.0,1,2.0,0.0,2.0,0.000627046,0.000238126,0.000121072,0.000238126,0.000238126,0.000238126
3,0,2.0,1,2.0,0.0,2.0,0.000653491,0.000247267,0.0001256435,0.000247267,0.000247267,0.000247267
4,0,3.0,1,2.4142099999999997,0.0,2.0,0.000716434,0.00033309,0.000168605,0.00033309,0.00033309,0.00033309
5,0,5.0,1,3.4142099999999997,0.0,3.0,0.001012734,0.000434831,0.00014773433333333335,0.000434831,0.000434831,0.000434831
6,0,3.0,1,2.4142099999999997,0.0,2.0,0.00071485,0.000330418,0.000167348,0.000330418,0.000330418,0.000330418
7,0,6.0,1,3.4142099999999997,0.0,3.0,0.001105268,0.000543454,0.00018391266666666667,0.000543454,0.000543454,0.000543454
8,0,2.0,1,2.82842,0.0,2.0,0.000678492,0.000259872,0.00013206800000000002,0.000259872,0.000259872,0.000259872
9,0,1.0,1,1.41421,0.0,1.0,0.000353128,0.000140175,0.000140175,0.000140175,0.000140175,0.000140175
10,0,2.0,1,2.0,0.0,2.0,0.000622199,0.000195429,9.9838e-05,0.000195429,0.000195429,0.000195429
11,5,122.0,1,23.242630000000002,1.2907333948188663e-06,22.0,0.016665918,0.012635606,0.0005850280454545455,0.012635606,0.012635606,0.012635606
12,5,174.0,1,23.485260000000004,0.0,21.0,0.020140904,0.016011111,0.0007727550952380952,0.016011111,0.016011111,0.016011111
13,5,143.0,1,21.485260000000004,0.0,19.0,0.017876357,0.014023748,0.000747574210526316,0.014023748,0.014023748,0.014023748
14,5,105.0,1,22.242630000000002,1.3487631842687898e-06,21.0,0.016252902,0.011762238,0.000570761523809524,0.011762238,0.011762238,0.011762238
