Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000622582,0.000246506,0.0001277925,0.000246506,0.000246506,0.000246506
2,0,3.0,1,3.0,0.0,3.0,0.000890622,0.000321511,0.00011282433333333334,0.000321511,0.000321511,0.000321511
3,0,2.0,1,2.82842,0.0,2.0,0.000667386,0.000249284,0.00012968150000000002,0.000249284,0.000249284,0.000249284
4,0,2.0,1,2.82842,0.0,2.0,0.000668849,0.000247703,0.000128638,0.000247703,0.000247703,0.000247703
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.00118548,0.000570909,0.00019623,0.000570909,0.000570909,0.000570909
6,0,3.0,1,3.0,0.0,3.0,0.00087321,0.000320559,0.00011232666666666665,0.000320559,0.000320559,0.000320559
7,0,3.0,1,3.0,0.0,3.0,0.000915188,0.000324463,0.00011384,0.000324463,0.000324463,0.000324463
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.000976989,0.000408726,0.00014184033333333333,0.000408726,0.000408726,0.000408726
9,0,2.0,1,2.82842,0.0,2.0,0.000668675,0.000247541,0.0001291455,0.000247541,0.000247541,0.000247541
10,0,4.0,1,3.4142099999999997,0.001234604105571731,3.0,0.000941918,0.000368603,0.000128481,0.000368603,0.000368603,0.000368603
11,5,245.0,1,23.31368,0.00015787215787227765,20.0,0.022963075,0.019086524,0.0009719176499999999,0.019086524,0.019086524,0.019086524
12,5,291.0,1,23.899470000000004,0.0,21.0,0.027463348,0.022922511,0.001109526238095238,0.022922511,0.022922511,0.022922511
13,5,102.0,1,23.82842,0.0,23.0,0.013291469,0.008382968,0.000383785956521739,0.008382968,0.008382968,0.008382968
14,5,102.0,1,23.82842,0.0,23.0,0.01295954,0.008237909,0.0003774297826086956,0.008237909,0.008237909,0.008237909
15,5,255.0,1,23.384730000000005,0.00020230966638176538,18.0,0.02387967,0.020325417,0.0011451817777777776,0.020325417,0.020325417,0.020325417
16,5,0.0,0,0.0,0.0,0.0,7.114e-06,0.0,0.0,0.0,0.0,0.0
17,5,229.0,1,23.627360000000007,0.0,17.0,0.022033364,0.018580566,0.001107817117647059,0.018580566,0.018580566,0.018580566
18,5,245.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.022896677,0.019694309,0.0011738181764705882,0.019694309,0.019694309,0.019694309
19,5,280.0,1,23.485260000000004,0.0,21.0,0.026323829,0.02219609,0.0010755377142857142,0.02219609,0.02219609,0.02219609
20,5,23.0,1,23.0,0.0,23.0,0.006496566,0.001840332,0.0001001753043478261,0.001840332,0.001840332,0.001840332
21,10,163.0,1,43.24262999999999,6.082331174813256e-05,42.0,0.022167246,0.012929027,0.00033974911904761907,0.012929027,0.012929027,0.012929027
