Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.001300542,0.000941343,0.0004996025,0.000941343,0.000941343,0.000941343
2,0,2.0,1,2.82842,0.0,2.0,0.001348058,0.000989787,0.000525931,0.000989787,0.000989787,0.000989787
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.001844192,0.001421227,0.0007406155,0.001421227,0.001421227,0.001421227
4,0,1.0,1,1.41421,0.0,1.0,0.00074747,0.00054626,0.00054626,0.00054626,0.00054626,0.00054626
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.002792373,0.002028503,0.0007352186666666668,0.002028503,0.002028503,0.002028503
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.002793544,0.002011895,0.0007292936666666669,0.002011895,0.002011895,0.002011895
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.00279663,0.002001975,0.0007247076666666666,0.002001975,0.002001975,0.002001975
8,0,1.0,1,1.41421,0.0,1.0,0.000761362,0.000554457,0.000554457,0.000554457,0.000554457,0.000554457
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.002808903,0.002046924,0.000740166,0.002046924,0.002046924,0.002046924
10,0,3.0,1,3.0,0.0,3.0,0.002181194,0.001467327,0.0005398526666666667,0.001467327,0.001467327,0.001467327
11,5,189.0,1,22.727890000000006,0.0,19.0,0.096936976,0.09275645,0.004936982473684209,0.09275645,0.09275645,0.09275645
12,5,173.0,1,21.727890000000006,0.0,18.0,0.087194627,0.083285147,0.004680524611111113,0.083285147,0.083285147,0.083285147
13,5,117.0,1,20.798940000000005,0.0,15.0,0.05826825,0.055103619,0.0037296608000000004,0.055103619,0.055103619,0.055103619
14,5,152.0,1,23.213150000000006,0.0,17.0,0.077475497,0.07379147,0.004395907823529413,0.07379147,0.07379147,0.07379147
15,5,196.0,1,23.142100000000006,3.07034683870565e-16,19.0,0.099540104,0.09512525,0.005061938473684209,0.09512525,0.09512525,0.09512525
16,5,155.0,1,23.213150000000006,0.0,17.0,0.080111143,0.076097502,0.004531387,0.076097502,0.076097502,0.076097502
17,5,180.0,1,22.142100000000006,3.209012405147209e-16,18.0,0.092643309,0.088488861,0.0049715685555555555,0.088488861,0.088488861,0.088488861
18,5,151.0,1,20.970520000000004,0.0,16.0,0.079722661,0.076328219,0.004826151687500001,0.076328219,0.076328219,0.076328219
19,5,196.0,1,23.313680000000005,0.0,20.0,0.100422036,0.095434297,0.0048273487,0.095434297,0.095434297,0.095434297
20,5,116.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.06299914,0.059524451,0.0037760475625000004,0.059524451,0.059524451,0.059524451
21,10,622.0,1,41.86998999999999,0.0,34.0,0.316418558,0.308508151,0.009132678941176468,0.308508151,0.308508151,0.308508151
22,10,421.0,1,40.18366999999999,0.0,29.0,0.208337353,0.201269216,0.007003303206896552,0.201269216,0.201269216,0.201269216
23,10,531.0,1,40.55630999999998,2.4657081592398357e-07,36.0,0.26924008,0.261095736,0.007308152277777782,0.261095736,0.261095736,0.261095736
24,10,126.0,1,40.828419999999994,4.89855100668589e-07,40.0,0.066283438,0.058973513,0.0015289672500000003,0.058973513,0.058973513,0.058973513
25,10,506.0,1,43.04156999999998,0.0,36.0,0.244163271,0.236080109,0.006615519027777777,0.236080109,0.236080109,0.236080109
26,10,583.0,1,40.45577999999999,0.0,33.0,0.289117015,0.281361513,0.008587837272727272,0.281361513,0.281361513,0.281361513
27,10,419.0,1,40.76945999999999,0.0,30.0,0.208952045,0.201701126,0.006791435166666666,0.201701126,0.201701126,0.201701126
28,10,468.0,1,42.31368,0.0,39.0,0.237359256,0.228975974,0.00592846464102564,0.228975974,0.228975974,0.228975974
29,10,507.0,1,42.012089999999986,0.0,30.0,0.254090787,0.246777636,0.008290677899999998,0.246777636,0.246777636,0.246777636
30,10,423.0,1,42.14209999999999,0.0,38.0,0.209958504,0.201528569,0.005360250815789476,0.201528569,0.201528569,0.201528569
31,15,1220.0,1,60.083139999999965,0.0,46.0,0.621624277,0.606828531,0.013250437891304345,0.606828531,0.606828531,0.606828531
32,15,1052.0,1,61.97052000000001,0.0,57.0,0.531916896,0.518922467,0.009158804526315786,0.518922467,0.518922467,0.518922467
33,15,1036.0,1,62.384730000000005,0.0,57.0,0.499140618,0.486931064,0.0085992120877193,0.486931064,0.486931064,0.486931064
34,15,1112.0,1,60.15418999999996,0.0,44.0,0.569359282,0.559302247,0.012769136727272734,0.559302247,0.559302247,0.559302247
35,15,1440.0,1,63.76946,0.0,53.0,0.734606577,0.722188657,0.013684809150943396,0.722188657,0.722188657,0.722188657
36,15,892.0,1,60.1421,0.0,56.0,0.458862954,0.445687061,0.008016063464285716,0.445687061,0.445687061,0.445687061
37,15,1331.0,1,61.18366999999999,0.0,50.0,0.662755773,0.651244251,0.013084217120000002,0.651244251,0.651244251,0.651244251
38,15,1291.0,1,63.45577999999999,0.0,56.0,0.628007045,0.613985538,0.011028602125,0.613985538,0.613985538,0.613985538
39,15,1332.0,1,61.526830000000004,0.0,52.0,0.661177813,0.645466124,0.012475865442307697,0.645466124,0.645466124,0.645466124
40,15,1320.0,1,62.08313999999997,0.0,48.0,0.657376691,0.646465377,0.013525980499999998,0.646465377,0.646465377,0.646465377
41,20,2263.0,1,81.94103999999996,0.0,72.0,1.160340193,1.143195376,0.01593687358333333,1.143195376,1.143195376,1.143195376
42,20,2361.0,1,82.01208999999996,0.0,70.0,1.191909767,1.176413963,0.016862404785714286,1.176413963,1.176413963,1.176413963
43,20,2130.0,1,83.78154999999991,0.0,61.0,1.087499617,1.072591639,0.01764296178688525,1.072591639,1.072591639,1.072591639
