Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.00148148,0.001014617,0.0005364715,0.001014617,0.001014617,0.001014617
2,0,3.0,1,3.0,0.0,3.0,0.002175606,0.001490419,0.0005353566666666666,0.001490419,0.001490419,0.001490419
3,0,2.0,1,2.82842,0.0,2.0,0.001465591,0.00101805,0.0005404635,0.00101805,0.00101805,0.00101805
4,0,2.0,1,2.82842,0.0,2.0,0.001473078,0.001044689,0.0005537589999999999,0.001044689,0.001044689,0.001044689
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.003396366,0.002718242,0.0009442329999999999,0.002718242,0.002718242,0.002718242
6,0,3.0,1,3.0,0.0,3.0,0.002159705,0.001504207,0.0005381976666666667,0.001504207,0.001504207,0.001504207
7,0,3.0,1,3.0,0.0,3.0,0.002187396,0.001499227,0.0005387489999999999,0.001499227,0.001499227,0.001499227
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.002574127,0.001867432,0.0006607906666666667,0.001867432,0.001867432,0.001867432
9,0,2.0,1,2.82842,0.0,2.0,0.001447555,0.001005016,0.0005313735000000001,0.001005016,0.001005016,0.001005016
10,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.003179313,0.00245963,0.0008586593333333334,0.00245963,0.00245963,0.00245963
11,5,139.0,1,23.313680000000005,0.00015787215787243006,20.0,0.073165386,0.068209424,0.0034774846500000003,0.068209424,0.068209424,0.068209424
12,5,200.0,1,23.899470000000004,0.0,21.0,0.109280346,0.104286592,0.005022339857142856,0.104286592,0.104286592,0.104286592
13,5,103.0,1,23.82842,0.0,23.0,0.064667587,0.059293661,0.0026349009130434784,0.059293661,0.059293661,0.059293661
14,5,103.0,1,23.82842,0.0,23.0,0.064944608,0.058923513,0.002617444565217391,0.058923513,0.058923513,0.058923513
15,5,157.0,1,23.384730000000005,0.00020230966638176538,18.0,0.084198825,0.079997751,0.004502674611111111,0.079997751,0.079997751,0.079997751
16,5,0.0,0,0.0,0.0,0.0,9.229e-06,0.0,0.0,0.0,0.0,0.0
17,5,160.0,1,23.627360000000007,0.0,17.0,0.087761284,0.083731987,0.004981647176470588,0.083731987,0.083731987,0.083731987
18,5,169.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.094613328,0.090493343,0.005380171411764705,0.090493343,0.090493343,0.090493343
19,5,190.0,1,23.485260000000004,0.0,21.0,0.105283102,0.100174838,0.004828161571428572,0.100174838,0.100174838,0.100174838
20,5,23.0,1,23.0,0.0,23.0,0.01565531,0.010389479,0.000503810304347826,0.010389479,0.010389479,0.010389479
21,10,139.0,1,43.24262999999999,6.082331174813256e-05,42.0,0.081834685,0.071406086,0.0017752785476190475,0.071406086,0.071406086,0.071406086
22,10,507.0,1,42.012089999999986,4.975005950936394e-05,30.0,0.278196801,0.270888223,0.0090862387,0.270888223,0.270888223,0.270888223
23,10,513.0,1,42.59787999999999,0.0,31.0,0.275976806,0.268533571,0.008719548258064522,0.268533571,0.268533571,0.268533571
24,10,391.0,1,43.97051999999998,1.1826245166711712e-05,39.0,0.194539682,0.184865444,0.004813344128205127,0.184865444,0.184865444,0.184865444
25,10,546.0,1,43.455779999999976,0.0,36.0,0.289527111,0.281186844,0.007867534888888892,0.281186844,0.281186844,0.281186844
26,10,117.0,1,40.41421,0.0001041821331353747,40.0,0.075456837,0.065532539,0.0016949406500000003,0.065532539,0.065532539,0.065532539
27,10,624.0,1,43.97051999999999,1.1826245167034907e-05,39.0,0.330823196,0.32128744,0.008294290384615391,0.32128744,0.32128744,0.32128744
28,10,435.0,1,43.72789,0.0,40.0,0.222915962,0.212174473,0.005377574825,0.212174473,0.212174473,0.212174473
29,10,43.0,1,43.0,0.0,43.0,0.04150377,0.019852311,0.0007868098139534887,0.019852311,0.019852311,0.019852311
30,10,656.0,1,43.52682999999998,0.0,34.0,0.348622453,0.340570585,0.010074150647058827,0.340570585,0.340570585,0.340570585
31,15,990.0,1,63.86998999999998,0.0,56.0,0.501931609,0.487235879,0.00878327676785714,0.487235879,0.487235879,0.487235879
32,15,1000.0,1,63.284200000000006,6.637168141599908e-05,55.0,0.509593591,0.494970634,0.009071168200000002,0.494970634,0.494970634,0.494970634
33,15,925.0,1,60.01208999999997,3.482752874477867e-05,48.0,0.479441733,0.467298809,0.009813655979166667,0.467298809,0.467298809,0.467298809
34,15,545.0,1,63.07105,1.6648168701432205e-05,61.0,0.297004249,0.282980438,0.004695854819672131,0.282980438,0.282980438,0.282980438
35,15,1249.0,1,62.86998999999999,0.0,55.0,0.644697939,0.630371422,0.011531927872727273,0.630371422,0.630371422,0.630371422
36,15,927.0,1,63.1421,3.32594235033047e-05,59.0,0.487081421,0.473042742,0.008075806627118647,0.473042742,0.473042742,0.473042742
37,15,1207.0,1,63.284200000000006,6.637168141599908e-05,55.0,0.606114201,0.592721381,0.01083312029090909,0.592721381,0.592721381,0.592721381
38,15,797.0,1,60.62735999999996,0.0,54.0,0.392117948,0.379323053,0.007089265833333335,0.379323053,0.379323053,0.379323053
39,15,515.0,1,63.48526,0.0,61.0,0.273866234,0.259801874,0.004317636426229511,0.259801874,0.259801874,0.259801874
40,15,1350.0,1,62.66892999999994,0.013404430789132208,49.0,0.691274027,0.67920414,0.013933514612244896,0.67920414,0.67920414,0.67920414
41,20,1843.0,1,83.05365999999995,4.406983744676474e-05,64.0,0.943405469,0.928387792,0.014566665109375002,0.928387792,0.928387792,0.928387792
42,20,2115.0,1,83.91155999999995,1.8591347872186307e-05,69.0,1.074651876,1.057469978,0.015391039971014505,1.057469978,1.057469978,1.057469978
43,20,1491.0,1,81.94103999999994,1.2692213814332648e-05,72.0,0.771156507,0.752359019,0.010513797444444447,0.752359019,0.752359019,0.752359019
44,20,2212.0,1,82.52682999999996,0.0,73.0,1.147043892,1.129463912,0.01553833091780821,1.129463912,1.129463912,1.129463912
45,20,1345.0,1,83.21314999999997,3.785602691956101e-05,77.0,0.691972652,0.671913757,0.008790367090909091,0.671913757,0.671913757,0.671913757
46,20,1939.0,1,83.86998999999996,0.0,76.0,0.994177054,0.97605549,0.012899902828947369,0.97605549,0.97605549,0.97605549
47,20,1968.0,1,80.28419999999997,5.231689088152585e-05,72.0,1.007691238,0.9906634,0.01381556905555556,0.9906634,0.9906634,0.9906634
48,20,1600.0,1,82.88207999999993,2.5096525095746464e-05,63.0,0.807941168,0.792276806,0.012641957190476193,0.792276806,0.792276806,0.792276806
49,20,1637.0,1,83.28419999999996,5.043227665651638e-05,75.0,0.811997372,0.791339195,0.010633871400000003,0.791339195,0.791339195,0.791339195
50,20,1728.0,1,83.86998999999997,0.0,76.0,0.887543723,0.867067396,0.01147948914473684,0.867067396,0.867067396,0.867067396
51,25,1243.0,1,103.21314999999996,3.052029842033195e-05,97.0,0.652549881,0.609467344,0.006544399391752578,0.609467344,0.609467344,0.609467344
52,25,3369.0,1,100.01208999999992,2.0897910208081385e-05,88.0,1.739984125,1.718015391,0.019580280181818177,1.718015391,1.718015391,1.718015391
53,25,1709.0,1,102.21314999999996,3.081890225968556e-05,96.0,0.873304721,0.850782005,0.008923319822916663,0.850782005,0.850782005,0.850782005
54,25,3408.0,1,103.52682999999993,0.0,94.0,1.700906635,1.676751519,0.01790354387234043,1.676751519,1.676751519,1.676751519
55,25,3786.0,1,102.91155999999995,1.5158876687932688e-05,88.0,1.872979066,1.852217078,0.021110148431818184,1.852217078,1.852217078,1.852217078
56,25,2839.0,1,102.46786999999989,0.0,83.0,1.437395807,1.417375772,0.01713488971084337,1.417375772,1.417375772,1.417375772
57,25,2091.0,1,103.21314999999997,3.052029842046964e-05,97.0,1.07409941,1.050039507,0.010895668618556707,1.050039507,1.050039507,1.050039507
58,25,2756.0,1,103.35524999999993,0.0,93.0,1.396105081,1.372421052,0.014814310989247308,1.372421052,1.372421052,1.372421052
59,25,1790.0,1,102.04156999999995,1.5386123088437044e-05,95.0,0.884583272,0.861373475,0.009138525189473683,0.861373475,0.861373475,0.861373475
60,25,2805.0,1,102.63944999999991,0.0,84.0,1.399306783,1.378414307,0.016477106523809508,1.378414307,1.378414307,1.378414307
61,30,4184.0,1,121.23732999999986,0.0,91.0,2.14229258,2.118803232,0.023348166274725274,2.118803232,2.118803232,2.118803232
62,30,6134.0,1,123.33785999999986,0.0,96.0,3.066237733,3.040791283,0.031758317,3.040791283,3.040791283,3.040791283
63,30,3914.0,1,123.88207999999992,1.679044236294201e-05,104.0,1.960928577,1.934951576,0.018672910836538457,1.934951576,1.934951576,1.934951576
64,30,3315.0,1,122.81102999999987,8.386939173293614e-06,105.0,1.665215248,1.639880302,0.015683822980952375,1.639880302,1.639880302,1.639880302
65,30,3949.0,1,121.58048999999983,4.030268134797525e-06,93.0,1.999263405,1.976395397,0.021316510161290325,1.976395397,1.976395397,1.976395397
66,30,1675.0,1,123.52682999999993,0.0,114.0,0.858178593,0.829052999,0.007333643921052631,0.829052999,0.829052999,0.829052999
67,30,1163.0,1,120.48525999999998,0.0,118.0,0.608832735,0.579439241,0.004969441059322034,0.579439241,0.579439241,0.579439241
68,30,3977.0,1,123.06574999999985,0.0,92.0,2.002901965,1.981085108,0.021596939771739137,1.981085108,1.981085108,1.981085108
69,30,3185.0,1,121.09522999999986,0.0,95.0,1.610193074,1.586216417,0.016767859536842112,1.586216417,1.586216417,1.586216417
70,30,4282.0,1,123.4973499999999,0.0,109.0,2.158557808,2.133078325,0.019626612339449533,2.133078325,2.133078325,2.133078325
71,35,2823.0,1,142.86998999999997,0.0,135.0,1.426892251,1.390533251,0.010374399829629623,1.390533251,1.390533251,1.390533251
72,35,5045.0,1,140.8820799999999,1.4764338443305183e-05,121.0,2.536108302,2.50606982,0.020782245371900817,2.50606982,2.50606982,2.50606982
73,35,3724.0,1,143.8405099999999,3.545606228490584e-06,131.0,1.880691721,1.847014392,0.014167819145038164,1.847014392,1.847014392,1.847014392
74,35,5641.0,1,143.23732999999984,0.0,113.0,2.846635331,2.817157093,0.024997120300884943,2.817157093,2.817157093,2.817157093
75,35,6479.0,1,142.50943999999984,0.0,116.0,3.292716314,3.26286618,0.028192040836206907,3.26286618,3.26286618,3.26286618
76,35,7588.0,1,142.42629999999994,0.010043968512871072,130.0,3.778060736,3.746107151,0.02888988126923077,3.746107151,3.746107151,3.746107151
77,35,4934.0,1,142.89416999999978,2.918328784231817e-05,111.0,2.500294499,2.471147198,0.022329884522522533,2.471147198,2.471147198,2.471147198
78,35,4328.0,1,140.81102999999996,7.314821390224088e-06,123.0,2.162671813,2.130586613,0.017392451788617886,2.130586613,2.130586613,2.130586613
79,35,5542.0,1,142.60996999999983,0.0,119.0,2.734968091,2.704039915,0.022788821126050417,2.704039915,2.704039915,2.704039915
80,35,5031.0,1,142.97052,3.637126669892459e-06,138.0,2.494537476,2.458589157,0.017884555956521733,2.458589157,2.458589157,2.458589157
81,40,6414.0,1,162.08313999999993,1.937314906167728e-05,148.0,3.254241376,3.214871234,0.02179380762837836,3.214871234,3.214871234,3.214871234
