Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.8284199999999995,0.0,1.0,0.000759762,5.0637333333333324e-05,5.0637333333333324e-05,6.4963e-05,4.8728e-05,6.4963e-05
2,0,2.0,2,2.82842,0.0,1.0,0.000523483,5.9066e-05,5.9066e-05,7.9132e-05,7.9132e-05,7.9132e-05
3,0,3.0,3,3.4142099999999997,0.0,1.0,0.000708799,4.9112999999999995e-05,4.9112999999999995e-05,6.6089e-05,4.5675e-05,6.6089e-05
4,0,3.0,3,3.8284199999999995,0.0,1.0,0.000695681,4.939233333333333e-05,4.939233333333333e-05,7.3135e-05,3.7862e-05,7.3135e-05
5,0,2.0,2,2.0,0.0,1.0,0.000489249,4.8633e-05,4.8633e-05,5.328e-05,5.328e-05,5.328e-05
6,0,3.0,3,3.0,0.0,1.0,0.000705954,4.4974e-05,4.4974e-05,6.4692e-05,3.6082e-05,6.4692e-05
7,0,1.0,1,1.41421,0.0,1.0,0.000272067,6.811e-05,6.811e-05,6.811e-05,6.811e-05,6.811e-05
8,0,2.0,2,2.0,0.0,1.0,0.000509852,4.44555e-05,4.44555e-05,5.3724e-05,5.3724e-05,5.3724e-05
9,0,2.0,2,2.0,0.0,1.0,0.000484159,5.6072e-05,5.6072e-05,7.5156e-05,7.5156e-05,7.5156e-05
10,0,3.0,3,3.8284199999999995,0.0,1.0,0.000782136,4.640133333333333e-05,4.640133333333333e-05,6.525e-05,3.7329e-05,6.525e-05
11,5,184.0,184,191.04156999999995,7.051347569738575,1.0,0.037268341,2.7414141304347823e-05,2.7414141304347823e-05,5.0167e-05,2.7477e-05,3.4134e-05
12,5,20.0,20,23.31368,0.02577360864840129,1.0,0.00430984,3.57575e-05,3.57575e-05,7.3512e-05,3.4649e-05,4.4248e-05
13,5,20.0,20,21.242630000000002,1.4122565035549784e-06,1.0,0.004595408,3.748859999999999e-05,3.748859999999999e-05,6.4817e-05,3.3843e-05,4.4513e-05
14,5,23.0,23,23.0,0.0,1.0,0.004856426,3.7650869565217385e-05,3.7650869565217385e-05,6.3556e-05,3.4088e-05,4.4141e-05
15,5,20.0,20,21.242630000000002,0.028355174300112876,1.0,0.004348659,3.501299999999999e-05,3.501299999999999e-05,6.466e-05,3.4266e-05,4.3719e-05
16,5,18.0,18,23.798940000000005,0.0,1.0,0.004402217,4.0272444444444447e-05,4.0272444444444447e-05,6.5319e-05,3.6436e-05,5.6028e-05
17,5,15.0,15,20.384730000000005,0.0,1.0,0.003219027,4.0108e-05,4.0108e-05,6.636e-05,3.6695e-05,4.4729e-05
18,5,24.0,24,24.82842,0.07616975350113345,1.0,0.005001854,3.4762583333333335e-05,3.4762583333333335e-05,6.5218e-05,3.4731e-05,3.9043e-05
19,5,19.0,19,22.727890000000006,0.0,1.0,0.004081969,3.969852631578947e-05,3.969852631578947e-05,6.4952e-05,3.619e-05,5.6547e-05
20,5,22.0,22,24.071050000000003,0.12034972748809672,1.0,0.004700362,3.468040909090909e-05,3.468040909090909e-05,6.3994e-05,3.4059e-05,4.2937e-05
21,10,88.0,88,88.41421,1.0894937100749875,1.0,0.018025076,3.243884090909092e-05,3.243884090909092e-05,7.6822e-05,3.2691e-05,4.2612e-05
22,10,50.0,50,50.828419999999994,0.22312188524964913,1.0,0.011172651,3.382346e-05,3.382346e-05,6.5073e-05,3.3869e-05,3.8165e-05
23,10,9214.0,9214,9325.422490000028,211.568981835009,1.0,1.957184354,3.2227449967440907e-05,3.2227449967440907e-05,0.00424042,2.9751e-05,3.739e-05
24,10,42.0,42,43.24262999999999,6.937603194120179e-07,1.0,0.008934233,3.883004761904763e-05,3.883004761904763e-05,7.4323e-05,3.5207e-05,4.8425e-05
25,10,69.0,69,77.69840999999994,0.8270414725738284,1.0,0.016307165,3.3580231884057996e-05,3.3580231884057996e-05,6.6428e-05,3.2742e-05,4.3475e-05
26,10,40.0,40,42.071049999999985,0.0,1.0,0.008533268,3.7234524999999986e-05,3.7234524999999986e-05,7.1374e-05,3.4021e-05,4.8043e-05
