Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.8284199999999995,0.0,1.0,0.000712437,4.687133333333333e-05,4.687133333333333e-05,6.4277e-05,3.8348e-05,6.4277e-05
2,0,2.0,2,2.0,0.0,1.0,0.000482846,4.82695e-05,4.82695e-05,6.1368e-05,6.1368e-05,6.1368e-05
3,0,2.0,2,2.0,0.0,1.0,0.000479092,4.88735e-05,4.88735e-05,6.2074e-05,6.2074e-05,6.2074e-05
4,0,2.0,2,2.4142099999999997,0.0,1.0,0.000488842,5.07245e-05,5.07245e-05,6.3908e-05,6.3908e-05,6.3908e-05
5,0,4.0,4,4.0,0.17157409766827458,1.0,0.000951406,4.132375e-05,4.132375e-05,6.299e-05,3.7027e-05,6.299e-05
6,0,2.0,2,2.4142099999999997,0.0,1.0,0.000481478,5.0696000000000004e-05,5.0696000000000004e-05,6.3862e-05,6.3862e-05,6.3862e-05
7,0,3.0,3,3.4142099999999997,0.0,1.0,0.000706338,4.5001333333333326e-05,4.5001333333333326e-05,6.3469e-05,3.5846e-05,6.3469e-05
8,0,2.0,2,2.82842,0.0,1.0,0.000483187,5.137349999999999e-05,5.137349999999999e-05,6.4598e-05,6.4598e-05,6.4598e-05
9,0,1.0,1,1.41421,0.0,1.0,0.000281836,6.2333e-05,6.2333e-05,6.2333e-05,6.2333e-05,6.2333e-05
10,0,2.0,2,2.0,0.0,1.0,0.000463385,4.7759499999999996e-05,4.7759499999999996e-05,5.7913e-05,5.7913e-05,5.7913e-05
11,5,22.0,22,23.242630000000002,1.2907333948188663e-06,1.0,0.004699675,3.691690909090909e-05,3.691690909090909e-05,6.468e-05,3.4801e-05,3.8126e-05
12,5,21.0,21,23.485260000000004,0.0,1.0,0.004741508,3.7514999999999996e-05,3.7514999999999996e-05,6.4446e-05,3.4768e-05,4.3095e-05
13,5,19.0,19,21.485260000000004,0.0,1.0,0.004521983,3.707005263157894e-05,3.707005263157894e-05,6.4277e-05,3.4973e-05,4.2868e-05
14,5,22.0,22,23.656840000000003,0.06358249485222066,1.0,0.004605677,3.4492681818181816e-05,3.4492681818181816e-05,6.1698e-05,3.3874e-05,4.0106e-05
