Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.000933177,0.00032318,0.00011319733333333335,0.00032318,0.00032318,0.00032318
2,0,2.0,1,2.0,0.0,2.0,0.000666589,0.000246838,0.0001281985,0.000246838,0.000246838,0.000246838
3,0,1.0,1,1.0,0.0,1.0,0.000342282,0.000129546,0.000129546,0.000129546,0.000129546,0.000129546
4,0,2.0,1,2.0,0.0,2.0,0.000653378,0.000231832,0.000120512,0.000231832,0.000231832,0.000231832
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000968158,0.000401238,0.0001391723333333333,0.000401238,0.000401238,0.000401238
6,0,1.0,1,1.41421,0.0,1.0,0.000337126,0.000126148,0.000126148,0.000126148,0.000126148,0.000126148
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.000697851,0.000321633,0.000165465,0.000321633,0.000321633,0.000321633
8,0,3.0,1,3.0,0.0,3.0,0.000930038,0.000326874,0.00011440566666666667,0.000326874,0.000326874,0.000326874
9,0,4.0,1,3.4142099999999997,0.0,3.0,0.000982034,0.000402299,0.00013968266666666666,0.000402299,0.000402299,0.000402299
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.000723709,0.000327658,0.000168446,0.000327658,0.000327658,0.000327658
11,5,208.0,1,21.65684,0.0,20.0,0.018187541,0.014543845,0.0007445462999999999,0.014543845,0.014543845,0.014543845
12,5,221.0,1,20.07105,0.0,18.0,0.020104835,0.016445715,0.0009293818333333333,0.016445715,0.016445715,0.016445715
13,5,297.0,1,22.31368,0.0,19.0,0.027302909,0.023352648,0.0012453697368421052,0.023352648,0.023352648,0.023352648
14,5,183.0,1,21.727890000000002,0.0,18.0,0.016729479,0.013218553,0.0007503852222222221,0.013218553,0.013218553,0.013218553
15,5,184.0,1,22.48526,0.0,20.0,0.017900362,0.01400408,0.0007175534,0.01400408,0.01400408,0.01400408
16,5,198.0,1,22.89947,0.0,20.0,0.018465877,0.014584231,0.0007464196999999999,0.014584231,0.014584231,0.014584231
17,5,36.0,1,23.82842,8.393345756658257e-07,23.0,0.007344255,0.002762534,0.0001394533913043478,0.002762534,0.002762534,0.002762534
18,5,139.0,1,20.727890000000002,0.0,17.0,0.013765072,0.010571423,0.000637267705882353,0.010571423,0.010571423,0.010571423
19,5,131.0,1,23.48526,0.0,21.0,0.013653169,0.00957108,0.00047384004761904743,0.00957108,0.00957108,0.00957108
20,5,22.0,1,21.41421,4.669798544713985e-07,21.0,0.005843136,0.001733085,0.0001004882857142857,0.001733085,0.001733085,0.001733085
21,10,699.0,2,41.79893999999999,0.0,18.0,0.060559852,0.026661009,0.001508583,0.050174485,0.050174485,0.050174485
22,10,259.0,1,40.65683999999999,0.0,39.0,0.027151515,0.019197065,0.0005228705641025642,0.019197065,0.019197065,0.019197065
23,10,598.0,1,41.69840999999999,0.0,33.0,0.052717763,0.045915366,0.0014184079999999995,0.045915366,0.045915366,0.045915366
24,10,1015.0,2,42.727889999999995,0.0,19.5,0.085547675,0.0387328995,0.0020160787692307695,0.05127531,0.05127531,0.05127531
25,10,803.0,2,46.79893999999998,0.06432343429473292,20.5,0.070094507,0.030717212,0.0015284964878048782,0.050469616,0.050469616,0.050469616
26,10,865.0,2,43.07105,0.04869482434120338,20.5,0.074283865,0.032818691000000004,0.0016313296585365848,0.050299054,0.050299054,0.050299054
27,10,43.0,1,42.41421,2.357700957714329e-07,42.0,0.012925454,0.003164882,0.00010757707142857144,0.003164882,0.003164882,0.003164882
28,10,1068.0,2,45.72789,0.06593060525180942,21.0,0.090174929,0.040724496,0.001969612761904762,0.050971485,0.050971485,0.050971485
29,10,395.0,1,42.55630999999999,2.3498283424459555e-07,38.0,0.03733036,0.0296658,0.0008097665789473683,0.0296658,0.0296658,0.0296658
30,10,498.0,1,43.556309999999975,2.2958791207592076e-07,39.0,0.045143871,0.037053773,0.0009809525384615384,0.037053773,0.037053773,0.037053773
31,15,1076.0,2,61.55630999999998,1.6245290866828993e-07,28.5,0.096439588,0.041900992,0.0015127045438596486,0.050905714,0.050905714,0.050905714
32,15,1127.0,2,61.556309999999996,1.624529088991494e-07,28.5,0.096738429,0.0419175845,0.0015117597719298249,0.049706462,0.049706462,0.049706462
33,15,1326.0,3,61.04156999999998,0.0,18.0,0.112210021,0.03349306766666667,0.0019002624259259265,0.050276869,0.049666577,0.050276869
34,15,497.0,1,61.89946999999999,0.0,59.0,0.051051402,0.038267268,0.0006925311864406778,0.038267268,0.038267268,0.038267268
35,15,1424.0,3,63.69840999999998,0.0,18.333333333333332,0.12305834,0.03663724266666666,0.0020374771818181814,0.051530875,0.049858203,0.051530875
36,15,1105.0,2,61.86998999999996,0.0,27.0,0.095737094,0.041356567999999996,0.0015711974814814817,0.048751944,0.048751944,0.048751944
37,15,373.0,1,61.89947,0.0,59.0,0.041448133,0.027822387,0.0005164795932203389,0.027822387,0.027822387,0.027822387
38,15,756.0,2,62.384729999999976,0.0,28.5,0.073051125,0.029879745,0.0010901171578947368,0.052725795,0.052725795,0.052725795
39,15,251.0,1,60.48526,0.0,58.0,0.033093764,0.019445693,0.00037786005172413836,0.019445693,0.019445693,0.019445693
