Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.00226653,0.001538466,0.0005534146666666667,0.001538466,0.001538466,0.001538466
2,0,2.0,1,2.0,0.0,2.0,0.001509827,0.001077104,0.000567173,0.001077104,0.001077104,0.001077104
3,0,1.0,1,1.0,0.0,1.0,0.000785287,0.000579368,0.000579368,0.000579368,0.000579368,0.000579368
4,0,2.0,1,2.0,0.0,2.0,0.001545167,0.001062132,0.0005647575,0.001062132,0.001062132,0.001062132
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.002497238,0.001781649,0.000632436,0.001781649,0.001781649,0.001781649
6,0,1.0,1,1.41421,0.0,1.0,0.000796771,0.000574919,0.000574919,0.000574919,0.000574919,0.000574919
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.001962982,0.001490425,0.0007752465,0.001490425,0.001490425,0.001490425
8,0,3.0,1,3.0,0.0,3.0,0.002221902,0.001537949,0.000552932,0.001537949,0.001537949,0.001537949
9,0,6.0,1,3.4142099999999997,0.0,3.0,0.003511449,0.002830298,0.0009815893333333335,0.002830298,0.002830298,0.002830298
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.0019477,0.001488687,0.000775,0.001488687,0.001488687,0.001488687
11,5,62.0,1,21.656840000000003,0.0,20.0,0.032664198,0.027614051,0.00145067275,0.027614051,0.027614051,0.027614051
12,5,90.0,1,20.071050000000003,0.0,18.0,0.046894248,0.042518511,0.0024241025555555556,0.042518511,0.042518511,0.042518511
13,5,162.0,1,22.313680000000005,0.0,19.0,0.088386037,0.083913039,0.00446989847368421,0.083913039,0.083913039,0.083913039
14,5,147.0,1,21.727890000000002,0.0,18.0,0.076190006,0.071246474,0.004031170333333335,0.071246474,0.071246474,0.071246474
15,5,86.0,1,22.48526,0.0,20.0,0.045249503,0.040189369,0.002081256,0.040189369,0.040189369,0.040189369
16,5,152.0,1,22.89947,0.0,20.0,0.083905,0.078401268,0.0039993976,0.078401268,0.078401268,0.078401268
17,5,86.0,1,23.82842,8.393345756658257e-07,23.0,0.049463623,0.043387738,0.0019554912608695657,0.043387738,0.043387738,0.043387738
18,5,118.0,1,20.727890000000002,0.0,17.0,0.070067946,0.065285616,0.003915965941176471,0.065285616,0.065285616,0.065285616
19,5,154.0,1,23.48526,0.0,21.0,0.082590717,0.07746448,0.0037576320476190484,0.07746448,0.07746448,0.07746448
20,5,56.0,1,21.41421,4.669798544713985e-07,21.0,0.033932119,0.029034686,0.0014357839523809525,0.029034686,0.029034686,0.029034686
21,10,373.0,1,41.79893999999999,0.0,36.0,0.183613549,0.174285703,0.004925954361111113,0.174285703,0.174285703,0.174285703
22,10,187.0,1,40.65684,0.0,39.0,0.096962091,0.087595315,0.0023125426666666675,0.087595315,0.087595315,0.087595315
23,10,454.0,1,41.69840999999999,0.0,33.0,0.221816012,0.213643256,0.006543013484848485,0.213643256,0.213643256,0.213643256
24,10,307.0,1,42.727889999999995,0.0,39.0,0.15662944,0.145867384,0.003826656230769233,0.145867384,0.145867384,0.145867384
25,10,308.0,1,43.97051999999998,0.0,39.0,0.14096337,0.13058184,0.003421622230769229,0.13058184,0.13058184,0.13058184
26,10,227.0,1,41.07105,0.0,39.0,0.105118121,0.094207374,0.0025042437435897438,0.094207374,0.094207374,0.094207374
27,10,74.0,1,42.41421,2.357700957714329e-07,42.0,0.04778497,0.036777291,0.0009538996428571427,0.036777291,0.036777291,0.036777291
28,10,296.0,1,42.899469999999994,0.0,40.0,0.154701549,0.139353195,0.0036903139250000017,0.139353195,0.139353195,0.139353195
29,10,411.0,1,42.55630999999999,2.3498283424459555e-07,38.0,0.20301182,0.192068393,0.0051452799999999995,0.192068393,0.192068393,0.192068393
30,10,532.0,1,43.556309999999975,2.2958791207592076e-07,39.0,0.251026572,0.24162233,0.006263074410256413,0.24162233,0.24162233,0.24162233
31,15,344.0,1,61.55630999999998,1.6245290866828993e-07,57.0,0.17130063,0.155793629,0.002809552175438597,0.155793629,0.155793629,0.155793629
32,15,690.0,1,61.55631,1.6245290901457912e-07,57.0,0.339111322,0.324915798,0.005772346807017545,0.324915798,0.324915798,0.324915798
33,15,679.0,1,61.04157,0.0,54.0,0.325852152,0.31268088,0.005861656425925923,0.31268088,0.31268088,0.31268088
34,15,472.0,1,61.89947,0.0,59.0,0.231952685,0.217457457,0.0037522237118644075,0.217457457,0.217457457,0.217457457
35,15,683.0,1,63.698409999999996,0.0,55.0,0.335126785,0.320582087,0.005900160981818183,0.320582087,0.320582087,0.320582087
36,15,904.0,1,61.86998999999997,0.0,54.0,0.397384183,0.38404787,0.0071857095,0.38404787,0.38404787,0.38404787
37,15,652.0,1,61.89947,0.0,59.0,0.310359716,0.294184819,0.005071852067796607,0.294184819,0.294184819,0.294184819
38,15,614.0,1,62.384730000000005,0.0,57.0,0.302689028,0.287901915,0.005129942105263156,0.287901915,0.287901915,0.287901915
39,15,371.0,1,60.48526,0.0,58.0,0.190337126,0.174494833,0.003085117689655171,0.174494833,0.174494833,0.174494833
40,15,792.0,1,63.384730000000005,0.0,58.0,0.34919071,0.333020769,0.005825433327586208,0.333020769,0.333020769,0.333020769
41,20,728.0,1,82.38472999999999,0.0,77.0,0.349350589,0.330311026,0.0043579049090909094,0.330311026,0.330311026,0.330311026
42,20,1012.0,1,81.28419999999997,0.0,73.0,0.499472545,0.479473479,0.006653303821917808,0.479473479,0.479473479,0.479473479
43,20,1634.0,1,82.79893999999999,0.0,77.0,0.782236245,0.762436774,0.0099761217012987,0.762436774,0.762436774,0.762436774
44,20,968.0,1,83.52682999999996,0.0,74.0,0.449084809,0.429875549,0.005888251608108109,0.429875549,0.429875549,0.429875549
45,20,1546.0,1,81.65683999999999,0.0,80.0,0.704395822,0.685283339,0.008630680562500005,0.685283339,0.685283339,0.685283339
46,20,1210.0,1,82.79893999999997,0.0,77.0,0.584194453,0.562692167,0.007388113779220782,0.562692167,0.562692167,0.562692167
47,20,1009.0,1,83.04157,0.0,76.0,0.474244885,0.453492276,0.006042264250000001,0.453492276,0.453492276,0.453492276
48,20,1144.0,1,83.31367999999999,0.0,80.0,0.54735051,0.521109081,0.006656111812500002,0.521109081,0.521109081,0.521109081
49,20,1106.0,1,80.31367999999998,0.0,77.0,0.50938236,0.490019747,0.006437779194805197,0.490019747,0.490019747,0.490019747
50,20,229.0,1,82.89946999999998,0.0,80.0,0.12910807,0.10880179,0.0014264855125000002,0.10880179,0.10880179,0.10880179
51,25,1629.0,1,103.59787999999995,0.0,92.0,0.727027176,0.701164592,0.007716554380434784,0.701164592,0.701164592,0.701164592
52,25,2058.0,1,102.21314999999998,1.4675237004174483e-06,96.0,0.930154924,0.906045988,0.009509396062500003,0.906045988,0.906045988,0.906045988
53,25,2082.0,1,102.69840999999997,3.992288067672401e-06,94.0,0.961249495,0.936543746,0.010042867191489363,0.936543746,0.936543746,0.936543746
54,25,823.0,1,101.31367999999999,0.0,98.0,0.417990452,0.392249487,0.0040709617857142884,0.392249487,0.392249487,0.392249487
55,25,1370.0,1,100.45577999999999,0.0,93.0,0.661379713,0.636717587,0.006931146591397848,0.636717587,0.636717587,0.636717587
56,25,2169.0,1,101.04156999999998,0.0,94.0,0.97699527,0.950959792,0.010202844276595745,0.950959792,0.950959792,0.950959792
57,25,1867.0,1,103.35524999999993,2.418847660229636e-06,93.0,0.885266036,0.850367656,0.009324744967741933,0.850367656,0.850367656,0.850367656
58,25,1742.0,1,102.72788999999999,0.0,99.0,0.798687804,0.771331351,0.007879323898989899,0.771331351,0.771331351,0.771331351
59,25,1796.0,1,101.79893999999996,0.0,96.0,0.849408329,0.823239692,0.008668974312500003,0.823239692,0.823239692,0.823239692
60,25,1714.0,1,103.62735999999997,3.473998089032399e-06,97.0,0.759533251,0.735215439,0.007653001639175254,0.735215439,0.735215439,0.735215439
61,30,1908.0,1,122.04157,0.0,115.0,0.89456181,0.86554197,0.0075999015130434775,0.86554197,0.86554197,0.86554197
62,30,1394.0,1,120.28419999999998,1.6627315351852083e-06,112.0,0.670918811,0.642266148,0.005805581196428572,0.642266148,0.642266148,0.642266148
63,30,1733.0,1,120.11261999999996,0.0,111.0,0.787714464,0.759325634,0.006918729558558558,0.759325634,0.759325634,0.759325634
64,30,2513.0,1,120.86998999999997,0.0,113.0,1.158388118,1.126674963,0.010059415168141581,1.126674963,1.126674963,1.126674963
65,30,2235.0,1,120.48525999999998,2.157944972262535e-06,118.0,1.016322139,0.983836367,0.008430778779661016,0.983836367,0.983836367,0.983836367
66,30,2258.0,1,123.72788999999999,0.0,120.0,1.049852292,1.018793568,0.008573727000000014,1.018793568,1.018793568,1.018793568
67,30,2970.0,1,123.86998999999997,0.0,116.0,1.3737363,1.336654836,0.01162314696551724,1.336654836,1.336654836,1.336654836
68,30,2097.0,1,122.97052,0.0,118.0,0.990777381,0.960008581,0.008222301516949151,0.960008581,0.960008581,0.960008581
69,30,2884.0,1,122.11261999999995,0.0,113.0,1.36421723,1.330634197,0.011899213026548679,1.330634197,1.330634197,1.330634197
70,30,3056.0,1,123.73997999999995,0.0,108.0,1.460383385,1.429800642,0.013326476231481485,1.429800642,1.429800642,1.429800642
71,35,4097.0,1,143.84050999999994,0.0,131.0,1.930777558,1.897234561,0.01456057623664122,1.897234561,1.897234561,1.897234561
72,35,3277.0,1,143.52682999999996,0.0,134.0,1.52062359,1.483927438,0.011151983477611946,1.483927438,1.483927438,1.483927438
73,35,2411.0,1,140.94103999999996,2.838066989439065e-07,131.0,1.129169503,1.094155061,0.008442135648854971,1.094155061,1.094155061,1.094155061
74,35,3367.0,1,141.01208999999994,6.382435533380287e-07,129.0,1.556608846,1.516697483,0.011891489875968995,1.516697483,1.516697483,1.516697483
75,35,1822.0,1,140.01208999999992,6.428020449310087e-07,128.0,0.846862622,0.812811599,0.006435115554687506,0.812811599,0.812811599,0.812811599
76,35,2292.0,1,142.79893999999996,0.0,137.0,1.065048243,1.0261734,0.007577876481751821,1.0261734,1.0261734,1.0261734
77,35,4426.0,1,143.25471999999993,0.0,130.0,2.070990804,2.036899797,0.015756105338461536,2.036899797,2.036899797,2.036899797
78,35,2738.0,1,141.49734999999993,2.473550675365151e-06,127.0,1.271324055,1.228163071,0.009826713527559056,1.228163071,1.228163071,1.228163071
79,35,2499.0,1,142.25471999999993,0.0,129.0,1.138390168,1.104127108,0.008649811682170546,1.104127108,1.104127108,1.104127108
80,35,2731.0,1,142.08313999999993,9.85339554561426e-07,128.0,1.276340542,1.233030346,0.009789972500000004,1.233030346,1.233030346,1.233030346
81,40,2696.0,1,160.01208999999994,5.624578153094899e-07,148.0,1.244412249,1.198717251,0.008216464837837846,1.198717251,1.198717251,1.198717251
82,40,3050.0,1,163.62736,2.2001258960965e-06,157.0,1.437674511,1.397676383,0.008978105929936298,1.397676383,1.397676383,1.397676383
83,40,2783.0,1,163.01208999999994,5.521065930318142e-07,151.0,1.296295127,1.25499138,0.008386279443708625,1.25499138,1.25499138,1.25499138
84,40,4811.0,1,163.49734999999993,2.1407120614576584e-06,149.0,2.257762864,2.21784365,0.014962339402684563,2.21784365,2.21784365,2.21784365
85,40,2794.0,1,160.91155999999992,0.0,146.0,1.299282301,1.258748974,0.008714033013698632,1.258748974,1.258748974,1.258748974
86,40,4898.0,1,160.11261999999996,0.0,151.0,2.264560412,2.223503099,0.014802252271523179,2.223503099,2.223503099,2.223503099
87,40,2633.0,1,162.22523999999993,1.4794267217387625e-06,144.0,1.261507602,1.216783453,0.008567900881944448,1.216783453,1.216783453,1.216783453
88,40,6638.0,1,161.39681999999993,0.0,144.0,3.143837277,3.106473937,0.02165831806249999,3.106473937,3.106473937,3.106473937
89,40,6248.0,1,160.0831399999999,8.745463284816587e-07,146.0,2.861603992,2.822803504,0.019421688958904098,2.822803504,2.822803504,2.822803504
90,40,3224.0,1,162.4678699999999,0.0,143.0,1.499305449,1.460256798,0.010296351888111885,1.460256798,1.460256798,1.460256798
91,45,3081.0,1,182.21314999999998,8.232123942351458e-07,176.0,1.414246846,1.371858421,0.007861535528409087,1.371858421,1.371858421,1.371858421
92,45,3084.0,1,180.45577999999998,0.0,173.0,1.419990266,1.374663629,0.008013387682080923,1.374663629,1.374663629,1.374663629
93,45,4624.0,1,181.79894,0.0,176.0,2.184064643,2.139079099,0.012227209664772747,2.139079099,2.139079099,2.139079099
94,45,2039.0,1,181.11261999999994,0.0,172.0,0.986504009,0.935294981,0.005539279145348833,0.935294981,0.935294981,0.935294981
95,45,5147.0,1,183.35524999999996,1.3634752254678988e-06,173.0,2.342680454,2.290343063,0.013328354439306345,2.290343063,2.290343063,2.290343063
96,45,3289.0,1,181.4973499999999,1.9284065294948183e-06,167.0,1.544626392,1.498042633,0.009054600958083837,1.498042633,1.498042633,1.498042633
97,45,3485.0,1,183.1541899999999,1.0373783804327414e-06,167.0,1.631953693,1.588189032,0.009594491197604789,1.588189032,1.588189032,1.588189032
98,45,3279.0,1,182.63944999999987,0.0,164.0,1.54795332,1.502764274,0.009244178365853657,1.502764274,1.502764274,1.502764274
99,45,7191.0,1,181.4678699999999,0.0,162.0,3.284617465,3.23419295,0.020048950364197553,3.23419295,3.23419295,3.23419295
100,45,7780.0,1,182.98260999999994,0.0,166.0,3.618731452,3.566802977,0.021618889445783135,3.566802977,3.566802977,3.566802977
101,50,4345.0,1,201.9826099999999,0.0,185.0,1.986151014,1.92978412,0.0105463726972973,1.92978412,1.92978412,1.92978412
102,50,6102.0,1,202.81102999999993,1.4792097038255953e-07,185.0,2.830564951,2.781454905,0.01511839472972973,2.781454905,2.781454905,2.781454905
103,50,6061.0,1,202.73997999999995,0.0,187.0,2.800492537,2.750525886,0.014787518625668461,2.750525886,2.750525886,2.750525886
104,50,5393.0,1,201.32576999999992,0.0,186.0,2.556268214,2.503066115,0.013568578322580647,2.503066115,2.503066115,2.503066115
105,50,5270.0,1,202.35524999999996,1.2354525460980287e-06,192.0,2.403717607,2.355696307,0.012341121687500005,2.355696307,2.355696307,2.355696307
106,50,3946.0,1,201.35524999999993,1.2415882393645296e-06,191.0,1.899886979,1.849499309,0.009757997544502623,1.849499309,1.849499309,1.849499309
107,50,3680.0,1,203.9115599999999,0.0,189.0,1.686577534,1.639021148,0.008748661031746034,1.639021148,1.639021148,1.639021148
108,50,6435.0,1,202.8110299999999,1.4792097024242063e-07,185.0,3.097972702,3.043354886,0.0165687681081081,3.043354886,3.043354886,3.043354886
109,50,5194.0,1,202.84050999999994,0.0,190.0,2.44564177,2.396745485,0.012692290052631575,2.396745485,2.396745485,2.396745485
110,50,4739.0,1,201.35524999999996,1.241588239505682e-06,191.0,2.241170033,2.18882245,0.0115380335026178,2.18882245,2.18882245,2.18882245
111,55,4829.0,1,223.02417999999986,8.070880257648616e-07,199.0,2.307444249,2.249659543,0.011415729206030163,2.249659543,2.249659543,2.249659543
112,55,6061.0,1,221.0536599999999,0.0,202.0,2.702882366,2.647764307,0.013200884316831673,2.647764307,2.647764307,2.647764307
113,55,3341.0,1,221.49734999999993,1.5801568414567366e-06,207.0,1.565018449,1.512026532,0.007380084130434783,1.512026532,1.512026532,1.512026532
114,55,3836.0,1,221.6099699999999,0.0,198.0,1.789151495,1.728284518,0.00884360976767677,1.728284518,1.728284518,1.728284518
