Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.00099927,0.00042743,0.00014429000000000002,0.00042743,0.00042743,0.00042743
2,0,2.0,1,2.0,0.0,2.0,0.00069016,0.000273664,0.0001385965,0.000273664,0.000273664,0.000273664
3,0,2.0,1,2.0,0.0,2.0,0.000678939,0.000276417,0.000140001,0.000276417,0.000276417,0.000276417
4,0,3.0,1,2.4142099999999997,0.0,2.0,0.000745381,0.000360622,0.000182073,0.000360622,0.000360622,0.000360622
5,0,5.0,1,3.4142099999999997,0.0,3.0,0.001065147,0.000444613,0.00015011733333333333,0.000444613,0.000444613,0.000444613
6,0,3.0,1,2.4142099999999997,0.0,2.0,0.000743991,0.000356646,0.000180082,0.000356646,0.000356646,0.000356646
7,0,6.0,1,3.4142099999999997,0.0,3.0,0.001147425,0.000580716,0.00019548933333333335,0.000580716,0.000580716,0.000580716
8,0,2.0,1,2.82842,0.0,2.0,0.000664389,0.000285736,0.00014456349999999999,0.000285736,0.000285736,0.000285736
9,0,1.0,1,1.41421,0.0,1.0,0.000365627,0.000168017,0.000168017,0.000168017,0.000168017,0.000168017
10,0,2.0,1,2.0,0.0,2.0,0.000599449,0.000215516,0.000109553,0.000215516,0.000215516,0.000215516
11,5,122.0,1,23.242630000000002,1.2907333948188663e-06,22.0,0.012409203,0.008241804,0.0003769043181818182,0.008241804,0.008241804,0.008241804
12,5,174.0,1,23.485260000000004,0.0,21.0,0.015446188,0.011620852,0.000555343,0.011620852,0.011620852,0.011620852
13,5,143.0,1,21.485260000000004,0.0,19.0,0.013021601,0.009675437,0.0005111825789473685,0.009675437,0.009675437,0.009675437
14,5,105.0,1,22.242630000000002,1.3487631842687898e-06,21.0,0.011163515,0.007356338,0.0003524982857142857,0.007356338,0.007356338,0.007356338
15,5,167.0,1,23.313680000000005,0.0,20.0,0.014921432,0.011196186,0.0005623095,0.011196186,0.011196186,0.011196186
16,5,93.0,1,23.07105,0.0,21.0,0.010459246,0.006697062,0.0003209550000000001,0.006697062,0.006697062,0.006697062
17,5,95.0,1,21.07105,0.0,19.0,0.009963004,0.006494114,0.0003443581052631579,0.006494114,0.006494114,0.006494114
18,5,100.0,1,20.727890000000006,0.0,17.0,0.015877455,0.008885162,0.0005269378823529411,0.008885162,0.008885162,0.008885162
19,5,164.0,1,22.313680000000005,0.0,19.0,0.014457232,0.010997936,0.0005808508421052632,0.010997936,0.010997936,0.010997936
20,5,132.0,1,20.970520000000004,0.0,16.0,0.012350157,0.009336139,0.0005855120624999999,0.009336139,0.009336139,0.009336139
21,10,503.0,1,44.455780000000004,0.013350322885063028,37.0,0.039876737,0.033232435,0.000900144837837838,0.033232435,0.033232435,0.033232435
22,10,431.0,1,42.97051999999998,0.0,38.0,0.034763881,0.027805924,0.0007340377105263156,0.027805924,0.027805924,0.027805924
23,10,398.0,1,42.48526,0.0,40.0,0.033921022,0.025822917,0.0006474905750000001,0.025822917,0.025822917,0.025822917
24,10,271.0,1,43.89946999999999,0.0,41.0,0.027181962,0.019082311,0.00046775307317073196,0.019082311,0.019082311,0.019082311
25,10,461.0,1,40.45577999999999,0.0,33.0,0.037038467,0.031070551,0.0009435969090909091,0.031070551,0.031070551,0.031070551
26,10,367.0,1,43.69840999999998,0.0,35.0,0.031385735,0.024463936,0.0007009784857142856,0.024463936,0.024463936,0.024463936
