Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000675307,0.000260915,0.00013261350000000002,0.000260915,0.000260915,0.000260915
2,0,3.0,1,3.0,0.0,3.0,0.000898897,0.000320228,0.00010967566666666668,0.000320228,0.000320228,0.000320228
3,0,2.0,1,2.82842,0.0,2.0,0.00065737,0.000263864,0.0001342305,0.000263864,0.000263864,0.000263864
4,0,2.0,1,2.82842,0.0,2.0,0.000665517,0.000271392,0.00013804300000000002,0.000271392,0.000271392,0.000271392
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001118787,0.000545043,0.00018711633333333335,0.000545043,0.000545043,0.000545043
6,0,3.0,1,3.0,0.0,3.0,0.000915965,0.000317198,0.00010856666666666664,0.000317198,0.000317198,0.000317198
7,0,3.0,1,3.0,0.0,3.0,0.000904681,0.000322936,0.00011054100000000001,0.000322936,0.000322936,0.000322936
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.000975987,0.000412567,0.00014055,0.000412567,0.000412567,0.000412567
9,0,2.0,1,2.82842,0.0,2.0,0.000652759,0.000268639,0.0001364925,0.000268639,0.000268639,0.000268639
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001078131,0.000447972,0.00015225733333333334,0.000447972,0.000447972,0.000447972
11,5,150.0,1,23.313680000000005,0.00015787215787243006,20.0,0.013704291,0.009733362,0.0004968087499999999,0.009733362,0.009733362,0.009733362
12,5,180.0,1,23.899470000000004,0.0,21.0,0.015811877,0.011798369,0.0005729585238095239,0.011798369,0.011798369,0.011798369
13,5,103.0,1,23.82842,0.0,23.0,0.011556053,0.006991213,0.000315221,0.006991213,0.006991213,0.006991213
14,5,103.0,1,23.82842,0.0,23.0,0.011342889,0.00690779,0.00031137730434782607,0.00690779,0.00690779,0.00690779
15,5,147.0,1,23.384730000000005,0.00020230966638176538,18.0,0.013715523,0.009817279,0.0005551255000000002,0.009817279,0.009817279,0.009817279
16,5,0.0,0,0.0,0.0,0.0,7.172e-06,0.0,0.0,0.0,0.0,0.0
17,5,134.0,1,23.627360000000007,0.0,17.0,0.012503584,0.009112882,0.0005446462352941177,0.009112882,0.009112882,0.009112882
18,5,149.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.012655717,0.00956176,0.0005711317647058826,0.00956176,0.00956176,0.00956176
19,5,184.0,1,23.485260000000004,0.0,21.0,0.015812883,0.011957559,0.0005799233333333332,0.011957559,0.011957559,0.011957559
20,5,23.0,1,23.0,0.0,23.0,0.006712199,0.002007227,9.900360869565214e-05,0.002007227,0.002007227,0.002007227
21,10,159.0,1,43.24262999999999,6.082331174813256e-05,42.0,0.018743202,0.010561558,0.00027083773809523815,0.010561558,0.010561558,0.010561558
22,10,393.0,1,42.012089999999986,4.975005950936394e-05,30.0,0.040288759,0.033813988,0.0011416971000000004,0.033813988,0.033813988,0.033813988
23,10,444.0,1,42.59787999999999,0.0,31.0,0.042835694,0.036533084,0.0011927402258064513,0.036533084,0.036533084,0.036533084
24,10,513.0,1,43.97051999999998,1.1826245166711712e-05,39.0,0.048209062,0.040425128,0.0010547345641025638,0.040425128,0.040425128,0.040425128
25,10,584.0,1,43.45577999999998,0.0,36.0,0.051776145,0.044896978,0.001263432416666666,0.044896978,0.044896978,0.044896978
26,10,117.0,1,40.41421,0.0001041821331353747,40.0,0.016347699,0.008490488,0.00023058029999999994,0.008490488,0.008490488,0.008490488
27,10,592.0,1,43.97051999999998,1.1826245166711712e-05,39.0,0.052986686,0.045327301,0.0011796913333333334,0.045327301,0.045327301,0.045327301
28,10,253.0,1,43.72789,0.0,40.0,0.024527206,0.016543314,0.00043170544999999994,0.016543314,0.016543314,0.016543314
29,10,43.0,1,43.0,0.0,43.0,0.012632477,0.003928107,0.00011133123255813953,0.003928107,0.003928107,0.003928107
30,10,565.0,1,43.52682999999998,0.0,34.0,0.051288452,0.044452664,0.00132334005882353,0.044452664,0.044452664,0.044452664
31,15,1432.0,2,69.18366999999998,0.08319508376389512,29.0,0.10975727,0.048999519,0.001713776896551724,0.075498897,0.075498897,0.075498897
32,15,809.0,1,63.28419999999997,6.637168141543766e-05,55.0,0.073138153,0.060461855,0.0011243580363636365,0.060461855,0.060461855,0.060461855
33,15,1140.0,2,62.01208999999997,0.03336260623229419,25.0,0.090636666,0.0397943405,0.0016125518600000007,0.076914136,0.076914136,0.076914136
34,15,536.0,1,63.071049999999985,1.6648168701206888e-05,61.0,0.056350881,0.043441456,0.0007381649508196725,0.043441456,0.043441456,0.043441456
35,15,683.0,1,62.86998999999997,0.0,55.0,0.063509728,0.051661879,0.0009629194181818182,0.051661879,0.051661879,0.051661879
36,15,747.0,1,63.14209999999998,3.325942350296709e-05,59.0,0.067234487,0.055529243,0.0009663567966101696,0.055529243,0.055529243,0.055529243
37,15,1230.0,2,63.28419999999994,6.637168141498851e-05,27.5,0.0972144,0.043255537,0.001596123727272728,0.078101516,0.078101516,0.078101516
38,15,993.0,1,60.62735999999997,0.0,54.0,0.082119751,0.071056726,0.0013396733518518515,0.071056726,0.071056726,0.071056726
39,15,602.0,1,63.48525999999998,0.0,61.0,0.060010932,0.047924581,0.0008111376885245901,0.047924581,0.047924581,0.047924581
40,15,710.0,1,62.66892999999994,0.013404430789132208,49.0,0.061959118,0.052231609,0.0010873444081632648,0.052231609,0.052231609,0.052231609
41,20,1810.0,2,83.63944999999994,0.00709753160746469,32.5,0.154226694,0.070451507,0.0021943282923076912,0.078423042,0.078423042,0.078423042
42,20,1766.0,2,83.9115599999999,1.8591347871508874e-05,34.5,0.152072275,0.06883038899999999,0.002023788231884057,0.079076488,0.079076488,0.079076488
43,20,1800.0,2,81.94103999999993,1.2692213814159218e-05,36.0,0.152173308,0.068675964,0.001936925166666666,0.076796838,0.076796838,0.076796838
44,20,1428.0,2,82.52682999999995,0.0,36.5,0.113008563,0.0490489475,0.0013739204657534246,0.076788913,0.076788913,0.076788913
45,20,1222.0,2,83.21314999999997,3.785602691956101e-05,38.5,0.104687769,0.043614637000000005,0.001164630233766234,0.07927873,0.07927873,0.07927873
46,20,1649.0,2,83.86998999999994,0.0,38.0,0.146852499,0.064777394,0.001735931197368421,0.078850904,0.078850904,0.078850904
