Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000501678,0.000216532,0.000112908,0.000216532,0.000216532,0.000216532
2,0,2.0,1,2.82842,0.0,2.0,0.000576819,0.000244049,0.0001265505,0.000244049,0.000244049,0.000244049
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.000721875,0.000325986,0.000167533,0.000325986,0.000325986,0.000325986
4,0,1.0,1,1.41421,0.0,1.0,0.000348195,0.000122137,0.000122137,0.000122137,0.000122137,0.000122137
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001087389,0.000413286,0.000145425,0.000413286,0.000413286,0.000413286
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.000948054,0.00040062,0.00013878900000000003,0.00040062,0.00040062,0.00040062
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.001019733,0.000405609,0.00014051233333333335,0.000405609,0.000405609,0.000405609
8,0,1.0,1,1.41421,0.0,1.0,0.000337022,0.000123043,0.000123043,0.000123043,0.000123043,0.000123043
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.001038017,0.000402174,0.000139346,0.000402174,0.000402174,0.000402174
10,0,3.0,1,3.0,0.0,3.0,0.000954191,0.000324335,0.00011354866666666665,0.000324335,0.000324335,0.000324335
11,5,289.0,1,22.727890000000002,0.0,19.0,0.0301336,0.026371164,0.0014053526315789475,0.026371164,0.026371164,0.026371164
12,5,267.0,1,21.727890000000002,0.0,18.0,0.027827546,0.02452395,0.001379809333333333,0.02452395,0.02452395,0.02452395
13,5,150.0,1,20.798940000000005,0.0,15.0,0.017958706,0.0152784,0.0010326641333333333,0.0152784,0.0152784,0.0152784
14,5,207.0,1,23.213150000000006,0.0,17.0,0.022545382,0.019587071,0.001168509529411765,0.019587071,0.019587071,0.019587071
15,5,306.0,1,23.142100000000003,1.535173419352825e-16,19.0,0.030737748,0.027294321,0.0014532961052631578,0.027294321,0.027294321,0.027294321
16,5,212.0,1,23.213150000000006,0.0,17.0,0.023202505,0.020252357,0.0012075552941176473,0.020252357,0.020252357,0.020252357
17,5,276.0,1,22.142100000000003,1.6045062025736046e-16,18.0,0.028489798,0.025241992,0.0014184413333333333,0.025241992,0.025241992,0.025241992
18,5,189.0,1,20.970520000000004,0.0,16.0,0.021211618,0.018260927,0.00115638325,0.018260927,0.018260927,0.018260927
19,5,299.0,1,23.31368,0.0,20.0,0.031406884,0.027395083,0.0013884039000000002,0.027395083,0.027395083,0.027395083
20,5,208.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.02301227,0.020167822,0.0012755338749999997,0.020167822,0.020167822,0.020167822
21,10,1010.0,2,43.86998999999998,0.047764156283361614,18.0,0.092144701,0.042490536999999995,0.0023889419166666656,0.074017821,0.074017821,0.074017821
22,10,627.0,1,40.18366999999999,0.0,29.0,0.059722485,0.053753456,0.0018784261034482752,0.053753456,0.053753456,0.053753456
23,10,731.0,1,40.55630999999998,2.4657081592398357e-07,36.0,0.069702923,0.062293104,0.0017602867500000005,0.062293104,0.062293104,0.062293104
24,10,80.0,1,40.828419999999994,4.89855100668589e-07,40.0,0.015154273,0.008920378,0.000255830875,0.008920378,0.008920378,0.008920378
25,10,703.0,1,43.04156999999998,0.0,36.0,0.064887168,0.05867151,0.0016597194444444444,0.05867151,0.05867151,0.05867151
26,10,920.0,2,43.284199999999984,0.06991333751897084,17.5,0.084591107,0.0387029195,0.002238916114285715,0.07406406,0.07406406,0.07406406
27,10,661.0,1,40.76945999999999,0.0,30.0,0.062308315,0.056443856,0.0019068205999999998,0.056443856,0.056443856,0.056443856
28,10,457.0,1,42.31367999999998,0.0,39.0,0.045036751,0.03878926,0.0010271781282051283,0.03878926,0.03878926,0.03878926
29,10,702.0,1,42.012089999999986,0.0,30.0,0.068018465,0.061687427,0.0020819902,0.061687427,0.061687427,0.061687427
30,10,586.0,1,42.14209999999998,0.0,38.0,0.055827496,0.049160535,0.0013252811052631578,0.049160535,0.049160535,0.049160535
31,15,2012.0,3,60.08313999999995,0.0,15.333333333333334,0.189491935,0.059861108999999996,0.0039366207173913035,0.083745261,0.074557548,0.083745261
