Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,2,2.82842,0.0,1.0,0.000142209,4.8291e-05,4.8291e-05,5.6763e-05,5.6763e-05,5.6763e-05
2,0,2.0,2,2.82842,0.0,1.0,0.000149268,5.1710000000000005e-05,5.1710000000000005e-05,6.5091e-05,6.5091e-05,6.5091e-05
3,0,2.0,2,2.4142099999999997,0.0,1.0,0.00014933,5.18915e-05,5.18915e-05,6.4954e-05,6.4954e-05,6.4954e-05
4,0,1.0,1,1.41421,0.0,1.0,0.000101902,6.6952e-05,6.6952e-05,6.6952e-05,6.6952e-05,6.6952e-05
5,0,3.0,3,3.8284199999999995,0.0,1.0,0.000204047,4.8801e-05,4.8801e-05,6.2961e-05,4.569e-05,6.2961e-05
6,0,3.0,3,3.8284199999999995,0.0,1.0,0.00019305,4.6451333333333334e-05,4.6451333333333334e-05,6.3061e-05,3.8594e-05,6.3061e-05
7,0,3.0,3,3.8284199999999995,0.0,1.0,0.000203821,4.9219e-05,4.9219e-05,6.4026e-05,4.6609e-05,6.4026e-05
8,0,1.0,1,1.41421,0.0,1.0,9.3979e-05,5.831e-05,5.831e-05,5.831e-05,5.831e-05,5.831e-05
9,0,3.0,3,3.8284199999999995,0.0,1.0,0.000194939,4.649033333333334e-05,4.649033333333334e-05,6.4228e-05,3.8029e-05,6.4228e-05
10,0,3.0,3,3.0,0.0,1.0,0.000188845,4.485966666666666e-05,4.485966666666666e-05,6.4433e-05,3.6051e-05,6.4433e-05
11,5,19.0,19,22.727890000000006,0.0,1.0,0.000963696,3.84491052631579e-05,3.84491052631579e-05,5.5847e-05,3.5653e-05,5.3228e-05
12,5,18.0,18,21.727890000000006,0.0,1.0,0.000871991,3.5532555555555564e-05,3.5532555555555564e-05,5.4804e-05,3.4416e-05,3.6236e-05
