Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,282.0,2,2.82842,0.0,1.0,0.020591625,0.010264967,0.010264967,0.011710371,0.011710371,0.011710371
2,0,282.0,2,2.82842,0.0,1.0,0.021949158,0.0109463105,0.0109463105,0.012051601,0.012051601,0.012051601
3,0,142.0,2,2.4142099999999997,0.0,1.0,0.018872335,0.009408104,0.009408104,0.01868894,0.01868894,0.01868894
4,0,141.0,1,1.41421,0.0,1.0,0.019070763,0.019029977,0.019029977,0.019029977,0.019029977,0.019029977
5,0,283.0,3,3.8284199999999995,0.0,1.0,0.031313725,0.010413151666666667,0.010413151666666667,0.018712039,0.012398811,0.018712039
6,0,283.0,3,3.8284199999999995,0.0,1.0,0.044023116,0.014649914333333333,0.014649914333333333,0.029875969,0.01394456,0.029875969
7,0,283.0,3,3.8284199999999995,0.0,1.0,0.024590369,0.008173772000000001,0.008173772000000001,0.013733624,0.01065874,0.013733624
8,0,141.0,1,1.41421,0.0,1.0,0.014034192,0.013994343,0.013994343,0.013994343,0.013994343,0.013994343
9,0,283.0,3,3.8284199999999995,0.0,1.0,0.041197101,0.013708187000000002,0.013708187000000002,0.022650668,0.018348975,0.022650668
10,0,3.0,3,3.0,0.0,1.0,0.000370306,0.00010530400000000001,0.00010530400000000001,0.000130651,9.8762e-05,0.000130651
11,5,1279.0,19,22.727890000000006,0.0,1.0,0.1284597,0.006744767578947369,0.006744767578947369,0.023590412,0.000105512,0.020569088
12,5,1278.0,18,21.727890000000006,0.0,1.0,0.151400335,0.008395467111111112,0.008395467111111112,0.027066616,0.009868633,0.026783339
13,5,1975.0,15,20.798940000000005,0.0,1.0,0.144537924,0.009619683200000001,0.009619683200000001,0.012386451,0.009775056,0.012104816
14,5,2117.0,17,23.213150000000006,0.0,1.0,0.154959294,0.009098523411764706,0.009098523411764706,0.01286571,0.009936943,0.012538947
15,5,1560.0,20,23.727890000000006,0.025312741713155094,1.0,0.139489432,0.0069576342999999995,0.0069576342999999995,0.020086205,0.009939671,0.017078988
16,5,2258.0,18,23.798940000000005,0.02523305705374549,1.0,0.16893288,0.009369243944444446,0.009369243944444446,0.013689213,0.009903744,0.012638354
17,5,1418.0,18,22.142100000000006,3.209012405147209e-16,1.0,0.140944227,0.0078149965,0.0078149965,0.021514809,0.010240519,0.020447283
18,5,1837.0,17,21.556310000000003,0.027930054457192564,1.0,0.134914693,0.007921421705882352,0.007921421705882352,0.013103835,0.009440877,0.012814686
19,5,1140.0,20,23.313680000000005,0.0,1.0,0.090459936,0.00450925115,0.00450925115,0.013449986,0.000100119,0.013275533
20,5,1557.0,17,20.727890000000006,0.02908286623539782,1.0,0.217858474,0.012797023823529412,0.012797023823529412,0.038819263,0.013031809,0.027442459
21,10,2694.0,34,41.86998999999999,0.0,1.0,0.316537025,0.009294795205882354,0.009294795205882354,0.024813845,0.010608916,0.02180452
22,10,5076.0,36,44.28419999999998,0.10204112104878034,1.0,0.686011953,0.01903591025,0.01903591025,0.055981407,0.013445827,0.04334429
23,10,1588.0,37,41.142099999999985,0.014444118423031312,1.0,0.209091867,0.005637618054054053,0.005637618054054053,0.023784969,9.2477e-05,0.022379598
24,10,320.0,40,40.828419999999994,4.89855100668589e-07,1.0,0.022805667,0.000558028175,0.000558028175,0.008714268,6.0333e-05,0.000107018
25,10,2557.0,37,43.62735999999998,0.013609159510798371,1.0,0.196459044,0.005296664324324325,0.005296664324324325,0.01710473,0.000103763,0.012786721
26,10,2553.0,33,40.45577999999999,0.0,1.0,0.452456094,0.013694488727272726,0.013694488727272726,0.040606986,0.012059533,0.03345638
27,10,4655.0,35,43.69840999999998,0.07183808523998235,1.0,0.526516903,0.01502388997142857,0.01502388997142857,0.029601807,0.01290275,0.025053014
28,10,1300.0,40,42.89946999999998,0.013843506949285513,1.0,0.093785431,0.0023316229250000004,0.0023316229250000004,0.012669811,6.0988e-05,0.009654127
29,10,4795.0,35,44.94103999999998,0.06971403544684592,1.0,0.482394986,0.013764706828571427,0.013764706828571427,0.026592648,0.010457848,0.024648105
30,10,1861.0,41,43.89946999999999,0.041701054290127625,1.0,0.137708026,0.0033462927804878044,0.0033462927804878044,0.013066119,9.7141e-05,0.009899464
31,15,4947.0,47,60.668929999999946,0.009746967959482003,1.0,0.701409357,0.014905794021276595,0.014905794021276595,0.029675624,0.018917083,0.024342251
32,15,1737.0,57,61.970519999999965,0.0,1.0,0.128042097,0.002233123017543859,0.002233123017543859,0.013383391,6.1079e-05,0.00999283
33,15,2582.0,62,65.31367999999998,0.04694861568843658,1.0,0.190867357,0.0030667768064516123,0.0030667768064516123,0.013418112,6.2551e-05,0.009921006
34,15,5927.0,47,62.739979999999946,0.04298412582309073,1.0,0.726998895,0.01543006578723404,0.01543006578723404,0.029278427,0.014298268,0.024507401
35,15,3693.0,53,63.76945999999994,0.0,1.0,0.365247716,0.006877015320754717,0.006877015320754717,0.024661316,0.002719633,0.019041671
36,15,1456.0,56,60.14209999999997,0.0,1.0,0.212665026,0.0037846284642857144,0.0037846284642857144,0.026608234,8.6813e-05,0.019646214
37,15,3971.0,51,61.76945999999994,0.009572141645336516,1.0,0.874365243,0.017127988666666667,0.017127988666666667,0.055049013,0.017470415,0.040107441
38,15,3782.0,70,72.48525999999998,0.14229526694171343,1.0,0.275514157,0.003923683299999999,0.003923683299999999,0.018090596,8.9214e-05,0.010141378
39,15,3977.0,57,64.45577999999996,0.04760324345936434,1.0,0.345321039,0.006044508491228072,0.006044508491228072,0.025542428,0.002741635,0.014160661
40,15,5654.0,54,65.59787999999995,0.05661071495877225,1.0,0.64619106,0.011950401444444444,0.011950401444444444,0.033077864,0.012332976,0.025603477
41,20,3432.0,72,81.94103999999993,0.0,1.0,0.468074032,0.006487248333333333,0.006487248333333333,0.02478669,9.4895e-05,0.023310762
42,20,4835.0,75,84.94103999999993,0.03571224768997689,1.0,0.483049439,0.006427359146666667,0.006427359146666667,0.026013167,9.49e-05,0.01845315
43,20,7761.0,61,83.78154999999991,0.0,1.0,0.968665866,0.015861247327868852,0.015861247327868852,0.027456753,0.016362739,0.024069914
44,20,1202.0,82,84.48525999999998,0.006981686422445654,1.0,0.092604248,0.0011184540975609754,0.0011184540975609754,0.012905851,8.3969e-05,0.002795851
45,20,5931.0,76,88.01208999999992,0.06371747193924007,1.0,0.623759883,0.00819313077631579,0.00819313077631579,0.027466454,0.009077317,0.022754533
46,20,3162.0,82,87.79893999999996,0.06258868123649014,1.0,0.320286771,0.003893759890243902,0.003893759890243902,0.026021819,6.1987e-05,0.013027381
47,20,4693.0,73,81.69840999999994,0.014548057853958627,1.0,0.495918029,0.006779318890410959,0.006779318890410959,0.027327722,9.5775e-05,0.021040999
48,20,778.0,78,80.07104999999999,0.0,1.0,0.056004358,0.0007074004871794871,0.0007074004871794871,0.010129396,5.9603e-05,0.000100824
49,20,5687.0,76,86.35524999999993,0.057381013603692105,1.0,0.603049582,0.007920475934210526,0.007920475934210526,0.030698077,0.009547249,0.020955373
50,20,5393.0,73,86.2547199999999,0.03817156997856263,1.0,0.547687256,0.00748776398630137,0.00748776398630137,0.024717152,0.009461452,0.020164707
51,25,5555.0,95,106.18366999999992,0.03423302067810074,1.0,0.609526449,0.0064020217473684205,0.0064020217473684205,0.033831861,9.8526e-05,0.016749173
52,25,7780.0,80,102.78154999999985,0.0,1.0,0.987050559,0.012321359362500001,0.012321359362500001,0.029697594,0.010091476,0.024065487
53,25,5135.0,95,105.76945999999992,0.04282393074753931,1.0,0.492785571,0.005173495042105264,0.005173495042105264,0.02805139,6.2569e-05,0.014532537
54,25,941.0,101,102.65683999999999,0.005739534245770007,1.0,0.069848861,0.0006810729504950495,0.0006810729504950495,0.012713847,6.0055e-05,9.5116e-05
55,25,8894.0,74,100.09522999999987,2.2978170725216363e-06,1.0,1.102275428,0.014875325702702702,0.014875325702702702,0.025174454,0.016408932,0.024175522
56,25,816.0,104,104.41421,0.022956667417777812,1.0,0.064406573,0.0006087282980769231,0.0006087282980769231,0.014128383,8.5696e-05,9.4875e-05
57,25,100.0,100,100.0,0.0,1.0,0.009938263,8.955253000000001e-05,8.955253000000001e-05,0.002799331,5.8697e-05,7.0333e-05
58,25,1222.0,102,104.48525999999998,0.00564259521265827,1.0,0.089892824,0.0008703172352941176,0.0008703172352941176,0.011949961,6.0457e-05,0.000100955
59,25,6859.0,115,120.79893999999996,0.16683512513643742,1.0,0.647907374,0.005618948460869564,0.005618948460869564,0.025438141,8.7703e-05,0.018785961
60,25,5266.0,86,101.32576999999989,0.0,1.0,0.834813199,0.009692498244186047,0.009692498244186047,0.04889933,0.000115332,0.028292918
61,30,4451.0,111,123.84050999999991,0.0,1.0,0.960873669,0.008642588369369368,0.008642588369369368,0.05954438,9.006e-05,0.032664925
62,30,4455.0,115,124.52682999999993,0.019174605512996264,1.0,0.531157571,0.004605841965217391,0.004605841965217391,0.036421198,8.9793e-05,0.016744257
63,30,5983.0,103,120.39681999999988,0.0,1.0,0.868629669,0.008418816893203883,0.008418816893203883,0.025047362,9.9578e-05,0.02325325
64,30,2774.0,114,121.86998999999994,0.0,1.0,0.409227515,0.003577844833333334,0.003577844833333334,0.030350718,8.7069e-05,0.020263181
65,30,7381.0,101,122.53891999999985,0.0,1.0,1.038204216,0.010263792435643565,0.010263792435643565,0.033326593,0.010646543,0.023944016
