Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.001144289,0.001082344,0.00036250299999999997,0.001082344,0.001082344,0.001082344
2,0,2.0,1,2.82842,0.0,2.0,0.000895627,0.000837444,0.0004203475,0.000837444,0.000837444,0.000837444
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.001506904,0.001444921,0.00048342966666666665,0.001444921,0.001444921,0.001444921
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.001142423,0.001081869,0.00036243633333333337,0.001081869,0.001081869,0.001081869
5,0,2.0,1,2.0,0.0,2.0,0.000523294,0.00047297,0.00023806900000000001,0.00047297,0.00047297,0.00047297
6,0,3.0,1,3.0,0.0,3.0,0.000911055,0.000848671,0.00028471933333333333,0.000848671,0.000848671,0.000848671
7,0,1.0,1,1.41421,0.0,1.0,0.000378273,0.000341206,0.000341206,0.000341206,0.000341206,0.000341206
8,0,2.0,1,2.0,0.0,2.0,0.000526198,0.00047548,0.0002394005,0.00047548,0.00047548,0.00047548
9,0,2.0,1,2.0,0.0,2.0,0.000673289,0.000624858,0.0003140255,0.000624858,0.000624858,0.000624858
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.001175147,0.001111776,0.0003723886666666667,0.001111776,0.001111776,0.001111776
11,5,169.0,2,23.727890000000002,0.0,10.0,0.035691684,0.017719748,0.00177377275,0.03186204,0.03186204,0.03186204
12,5,171.0,2,22.142100000000003,0.0,9.0,0.037374043,0.018570958,0.0020652851666666666,0.029064104,0.029064104,0.029064104
13,5,116.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.025848279,0.025598541,0.0012819875000000004,0.025598541,0.025598541,0.025598541
14,5,23.0,1,23.0,0.0,23.0,0.006085809,0.005788227,0.0002537137826086957,0.005788227,0.005788227,0.005788227
15,5,176.0,2,22.071050000000003,0.06845896528520751,10.0,0.035800357,0.017775661,0.00177940485,0.027735102,0.027735102,0.027735102
16,5,151.0,2,23.798940000000005,0.0,9.0,0.033112035,0.016442703,0.0018288527777777781,0.032525708,0.032525708,0.032525708
17,5,112.0,1,20.384730000000005,0.0,15.0,0.02554725,0.025331017,0.0016908281999999998,0.025331017,0.025331017,0.025331017
18,5,246.0,3,29.213150000000006,0.26622267685546,7.666666666666667,0.049898484,0.016527317000000003,0.0021576141304347827,0.031968766,0.015856463,0.031968766
19,5,165.0,2,22.727890000000002,0.0,9.5,0.035285215,0.017512388500000003,0.0018452486315789485,0.032304309,0.032304309,0.032304309
20,5,159.0,2,21.485260000000004,0.0,9.5,0.035099882,0.0174310325,0.0018367033684210516,0.032776433,0.032776433,0.032776433
21,10,619.0,8,64.31367999999999,0.5199256978236362,7.625,0.123830201,0.01538660425,0.002019760639344262,0.027858202,0.015521536,0.027858202
22,10,18556.0,140,943.9855900000076,21.715823834172138,5.621428571428571,3.368020737,0.02398701477142857,0.004268811099110549,0.039661486,0.024834476,0.033135759
23,10,1189.0,9,51.38472999999997,0.1712927483639191,5.111111111111111,0.234313436,0.025966889000000003,0.005082175739130434,0.034172106,0.02601416,0.034172106
24,10,213.0,2,43.24263,6.937603195763334e-07,21.0,0.04665179,0.0230845055,0.0011010677380952382,0.033960701,0.033960701,0.033960701
25,10,362.0,3,44.52682999999998,0.04702741088581545,11.666666666666666,0.071302269,0.023621408666666666,0.0020266319142857154,0.031674581,0.027519687,0.031674581
26,10,239.0,2,42.07104999999999,0.0,20.0,0.050805613,0.025168021999999998,0.0012603430749999994,0.033790265,0.033790265,0.033790265
27,10,1275.0,9,54.72788999999998,0.2986512300051488,5.666666666666667,0.246615057,0.027329172555555552,0.004824509588235295,0.035825476,0.02708565,0.035825476
28,10,656.0,5,53.52682999999997,0.22012099356965148,8.8,0.134593636,0.026809899999999998,0.003048399977272727,0.037618925,0.028981566,0.037618925
29,10,478.0,4,43.38472999999998,0.027752693470288508,9.5,0.098912052,0.02461212925,0.0025925939210526307,0.033934119,0.031795135,0.033934119
30,10,549.0,5,44.52682999999999,0.11201425517461806,7.0,0.11557039,0.0230253698,0.0032910984285714285,0.035050611,0.029044064,0.035050611
31,15,1465.0,11,70.89947,0.12107139807661277,6.181818181818182,0.320508303,0.029059967545454545,0.004702569955882354,0.04211978,0.029670064,0.03818005
32,15,595.0,5,71.69840999999994,0.18065024478040473,12.6,0.126183509,0.025087479000000003,0.0019931054285714286,0.034920692,0.02828548,0.034920692
33,15,2275.0,18,85.94103999999996,0.43135825827426244,4.222222222222222,0.45126434,0.02501188838888889,0.005925563486842104,0.034922242,0.026479185,0.033721298
34,15,2236.0,16,67.24262999999999,0.08331622929189252,4.125,0.45455326,0.028353435812499998,0.006875300242424241,0.036802093,0.028463267,0.035967489
35,15,2044.0,18,87.28419999999994,0.3997879891524849,4.388888888888889,0.40498032,0.022442180111111112,0.005115072101265825,0.039780646,0.026782814,0.034631178
36,15,1038.0,7,67.24262999999999,0.05918425210245504,9.428571428571429,0.233988584,0.03331330857142857,0.0035349884090909085,0.042292688,0.030123523,0.042292688
37,15,844.0,6,70.32576999999995,0.12835546698884334,9.166666666666666,0.16719254,0.027752857000000002,0.0030293614545454546,0.036685346,0.027159839,0.036685346
38,15,625.0,5,64.18366999999995,0.03620487850554722,10.6,0.125536247,0.024977121600000003,0.002358130018867924,0.035402299,0.025737191,0.035402299
39,15,1184.0,10,80.98260999999995,0.3235956249856981,6.4,0.238132339,0.0237320519,0.0037098772968749993,0.034425905,0.027392722,0.034425905
40,15,732.0,5,65.55630999999998,0.03146832021373148,12.2,0.152517978,0.030358743599999998,0.002490268770491802,0.036887135,0.030049639,0.036887135
41,20,1307.0,9,96.14209999999997,0.18029778112792427,10.222222222222221,0.268814056,0.029748197666666667,0.002911889282608695,0.039784986,0.028422235,0.039784986
42,20,3282.0,23,142.62735999999995,0.7261508894144069,5.913043478260869,0.687522416,0.02981610452173913,0.0050441021323529385,0.039184724,0.029968115,0.037094749
43,20,2255.0,16,98.18366999999995,0.1932248314684569,5.4375,0.45326148,0.028258304437500003,0.005198650011494255,0.038515947,0.027890683,0.035713866
44,20,1838.0,13,102.45577999999995,0.25826243085780465,7.3076923076923075,0.410029607,0.031448106384615385,0.004305090621052633,0.042823413,0.029946358,0.042650073
45,20,2294.0,19,114.73997999999989,0.41933607617954216,5.2105263157894735,0.463958679,0.02435108805263158,0.004675207202020203,0.03685411,0.027743328,0.036507186
46,20,1997.0,14,107.71049999999993,0.28669931084078765,6.214285714285714,0.392835627,0.027976651785714287,0.004503707126436783,0.036443146,0.027643857,0.035678074
47,20,4833.0,34,208.92364999999984,1.5626345414826253,5.352941176470588,0.947124025,0.027567256617647057,0.005151703879120878,0.039903661,0.026936026,0.035092433
48,20,3356.0,36,190.68101999999985,1.3125240431843468,4.583333333333333,0.651199222,0.018030209944444445,0.003935444357575756,0.036226472,0.020736414,0.027921007
49,20,801.0,6,93.73997999999989,0.14061384360421256,13.0,0.165737762,0.027468059500000003,0.002114784474358975,0.036831148,0.028871369,0.036831148
50,20,966.0,7,98.88207999999989,0.22102569928429114,11.285714285714286,0.19957193,0.02837162914285714,0.002515820139240507,0.036051971,0.027923842,0.036051971
51,25,725.0,8,109.94103999999993,0.0748605842556013,12.5,0.151602064,0.01880504,0.0015062223600000005,0.038969881,0.025723388,0.038969881
52,25,1788.0,13,130.07104999999999,0.28602410472405126,9.846153846153847,0.381273015,0.02921213484615385,0.0029686017734374985,0.041751048,0.02892788,0.037464784
53,25,2581.0,18,106.45577999999995,0.05106216184194879,5.5,0.511038543,0.028320224833333334,0.005150777696969696,0.037474201,0.027880345,0.035038043
54,25,10849.0,74,278.9236500000002,1.7793697374321176,3.4054054054054053,2.162398793,0.02917427271621621,0.008568616833333336,0.043026399,0.028493839,0.035763262
55,25,5326.0,36,237.76415999999978,1.3026890707471772,5.5,1.016529021,0.02815218547222222,0.0051202176717171696,0.036421958,0.027001522,0.035892646
56,25,853.0,6,109.4973499999999,0.0766912820311108,15.833333333333334,0.174511648,0.0289005175,0.0018271839894736838,0.040294044,0.027329871,0.040294044
57,25,1845.0,13,119.55630999999997,0.1756013884245509,8.846153846153847,0.425541222,0.03262526961538462,0.0036898813913043465,0.043490218,0.031013092,0.042121947
58,25,3806.0,26,158.32576999999992,0.528270526458039,5.5,0.742525432,0.028489087461538463,0.0051814912097902085,0.036912319,0.027688766,0.036464964
59,25,655.0,7,108.94103999999993,0.08555667380798092,14.142857142857142,0.139927897,0.019827319714285713,0.0014037269797979803,0.039270539,0.012274563,0.039270539
60,25,3169.0,23,123.4973499999999,0.19837512372154303,4.739130434782608,0.625822425,0.027146583956521742,0.005729774770642201,0.044717935,0.02715954,0.033679189
61,30,2784.0,19,145.71049999999988,0.20539451696695848,6.578947368421052,0.551132576,0.02892172278947368,0.004397934359999998,0.035988948,0.027329648,0.035806515
62,30,1726.0,12,140.45577999999995,0.14152712082053237,11.083333333333334,0.38132468,0.03164661666666667,0.002857201330827066,0.042725719,0.030491218,0.039369285
63,30,1974.0,14,134.78154999999987,0.1008057073318132,8.0,0.390215503,0.027775454571428573,0.003473696651785714,0.036883318,0.027896928,0.035373509
64,30,1705.0,12,138.07104999999999,0.14855340104647577,11.333333333333334,0.387212358,0.032135599583333334,0.00283719224264706,0.045305824,0.030688582,0.043681712
65,30,2291.0,21,143.78154999999987,0.18341646295793204,5.761904761904762,0.464781976,0.022027870190476192,0.0038247372066115707,0.036026855,0.019719033,0.033282219
66,30,11021.0,83,305.4383900000002,1.5068604985185627,3.3855421686746987,2.212823513,0.026614117108433727,0.00786261132740213,0.042577046,0.027652477,0.036137445
67,30,13589.0,99,358.3794300000008,1.9116891041004918,3.272727272727273,2.772918258,0.027963131373737363,0.008545874654320981,0.044118026,0.02840621,0.037389003
68,30,4462.0,34,157.66892999999993,0.28142366021358506,4.235294117647059,0.905892476,0.026586224882352932,0.0062789222430555515,0.040890609,0.027442757,0.036314908
69,30,942.0,8,136.0831399999999,0.11467722778765187,15.25,0.207748197,0.025718043625,0.0016882978196721312,0.040085106,0.027276207,0.040085106
70,30,12859.0,87,483.00149000000266,2.980070784063307,4.747126436781609,2.510792661,0.028791402793103445,0.006066651087167072,0.043734563,0.027887346,0.03576397
71,35,2440.0,17,175.4089099999998,0.23531751117996963,8.588235294117647,0.484252928,0.028377424117647054,0.0033060015958904124,0.038426669,0.027051489,0.037178387
72,35,37633.0,263,1958.581149999974,12.871364273775278,6.163498098859316,6.718885051,0.025470275642585548,0.004134107363972859,0.041244544,0.02497554,0.033458759
73,35,1520.0,11,157.28419999999994,0.12336228323286533,13.545454545454545,0.358704576,0.03245614818181818,0.0023978216845637573,0.045815995,0.033957303,0.04385921
74,35,1665.0,12,161.79893999999996,0.15253723688428228,13.0,0.426473779,0.03538936925,0.0027240202179487174,0.047559619,0.03999747,0.046940841
75,35,3114.0,21,160.71049999999985,0.13384012981515342,6.666666666666667,0.614187155,0.029164034333333335,0.004376307064285713,0.038265721,0.0273834,0.034331981
76,35,2091.0,14,157.94103999999993,0.11621476073697615,10.571428571428571,0.487169911,0.034672388857142855,0.0032815504391891896,0.046336865,0.032626732,0.044450491
77,35,4145.0,28,236.96521999999976,0.6568213726367585,7.25,0.801346896,0.028531526678571426,0.003937101768472907,0.037605399,0.027509225,0.034647223
78,35,5060.0,35,269.55101,0.9133105009866413,6.742857142857143,0.998445858,0.028442028942857148,0.004219830572033898,0.038052339,0.027404989,0.035479625
79,35,2255.0,16,173.5094399999998,0.23459993311465024,9.1875,0.449039275,0.027955143374999998,0.003044497326530612,0.039150656,0.02717856,0.035697145
80,35,2433.0,17,165.53891999999985,0.1735854353651782,8.470588235294118,0.490549419,0.028750496000000007,0.003395931090277779,0.03718283,0.028050867,0.036099462
81,40,4396.0,30,228.76945999999995,0.4190509450230438,7.266666666666667,1.10507745,0.03674420816666668,0.005058223376146792,0.04938372,0.037398099,0.047335743
82,40,3222.0,22,191.60996999999983,0.17855081467084005,7.636363636363637,0.658697059,0.029844262499999993,0.003909905285714288,0.041310483,0.027466334,0.039305437
83,40,2934.0,20,195.43838999999983,0.2051674508377156,8.55,0.593691382,0.029582684950000004,0.0034616695146198815,0.039896434,0.0278007,0.036836541
84,40,4743.0,32,235.53891999999985,0.46744078250576204,6.6875,0.979082653,0.030514892093749996,0.004564654509345794,0.04005693,0.030525419,0.037836906
85,40,1642.0,12,179.48525999999998,0.1048238292214507,14.75,0.427323503,0.03543884425,0.002404406892655368,0.063127433,0.034869185,0.054928719
86,40,8555.0,63,235.6394499999999,0.47121098603332706,3.4444444444444446,1.730670326,0.027422372714285714,0.00796283996313364,0.043268408,0.027801457,0.035645269
87,40,6697.0,45,198.28419999999994,0.22486873154519918,4.222222222222222,1.367880632,0.03033939986666667,0.007187298342105259,0.041558956,0.029251716,0.037504992
88,40,4070.0,29,201.11261999999994,0.23233792494914055,6.620689655172414,0.928179551,0.03191848344827586,0.004822841052083333,0.049939726,0.031884869,0.046322024
89,40,3186.0,22,186.88207999999986,0.1556547173661646,7.590909090909091,0.656208279,0.02973271109090909,0.00391862095808383,0.042418943,0.028271713,0.036565196
90,40,6748.0,47,195.18366999999998,0.2124489542374038,3.9148936170212765,1.383111843,0.029373828744680846,0.007504649309782606,0.043683948,0.028918788,0.037546862
