Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000852942,0.000797385,0.000400345,0.000797385,0.000797385,0.000797385
2,0,3.0,1,3.0,0.0,3.0,0.00089043,0.000823806,0.0002763413333333333,0.000823806,0.000823806,0.000823806
3,0,2.0,1,2.82842,0.0,2.0,0.000861992,0.000805337,0.000404407,0.000805337,0.000805337,0.000805337
4,0,2.0,1,2.82842,0.0,2.0,0.000843782,0.000789165,0.0003962865,0.000789165,0.000789165,0.000789165
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001451743,0.001386835,0.0004639536666666667,0.001386835,0.001386835,0.001386835
6,0,3.0,1,3.0,0.0,3.0,0.000899154,0.00083195,0.000279241,0.00083195,0.00083195,0.00083195
7,0,3.0,1,3.0,0.0,3.0,0.000887066,0.000820068,0.00027524433333333333,0.000820068,0.000820068,0.000820068
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.001107972,0.001040632,0.00034866666666666667,0.001040632,0.001040632,0.001040632
9,0,2.0,1,2.82842,0.0,2.0,0.000865845,0.000809858,0.000406561,0.000809858,0.000809858,0.000809858
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001304505,0.001237796,0.00041436500000000003,0.001237796,0.001237796,0.001237796
11,5,167.0,2,23.31368,0.00015787215787227765,10.0,0.031275817,0.0154962045,0.0015517348000000006,0.027822776,0.027822776,0.027822776
12,5,169.0,2,23.899470000000004,0.0,10.5,0.031280639,0.015501854,0.0014783578095238096,0.027466842,0.027466842,0.027466842
13,5,103.0,1,23.82842,0.0,23.0,0.019325921,0.01902919,0.0008290874782608699,0.01902919,0.01902919,0.01902919
14,5,103.0,1,23.82842,0.0,23.0,0.019343894,0.019039924,0.0008296083913043476,0.019039924,0.019039924,0.019039924
15,5,151.0,2,23.384730000000005,0.00020230966638176538,9.0,0.029208015,0.014476096,0.0016103050555555552,0.028575427,0.028575427,0.028575427
16,5,0.0,0,0.0,0.0,0.0,1.037e-05,0.0,0.0,0.0,0.0,0.0
17,5,134.0,1,23.627360000000007,0.0,17.0,0.025886107,0.025644453,0.0015105717058823528,0.025644453,0.025644453,0.025644453
18,5,149.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.028580622,0.028341407,0.0016691006470588238,0.028341407,0.028341407,0.028341407
19,5,167.0,2,23.485260000000004,0.0,10.5,0.031584582,0.0156459735,0.0014919505714285723,0.028133727,0.028133727,0.028133727
20,5,23.0,1,23.0,0.0,23.0,0.005743456,0.005455215,0.00023894095652173913,0.005455215,0.005455215,0.005455215
21,10,950.0,7,60.65683999999999,0.40279463459759446,8.428571428571429,0.209175744,0.02976892385714286,0.003533742271186442,0.045304267,0.027540396,0.045304267
22,10,214.0,2,42.012089999999986,4.975005950936394e-05,15.0,0.055666491,0.0276319475,0.0018439687666666666,0.028896753,0.028896753,0.028896753
23,10,440.0,3,47.76945999999999,0.1213488262910795,12.333333333333334,0.094156267,0.031220384333333333,0.0025331534324324325,0.04171104,0.027603655,0.04171104
