Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,2,2.82842,0.0,1.0,0.000175073,5.8453000000000004e-05,5.8453000000000004e-05,6.8318e-05,6.8318e-05,6.8318e-05
2,0,3.0,3,3.0,0.0,1.0,0.000189875,4.288933333333333e-05,4.288933333333333e-05,5.9035e-05,3.5527e-05,5.9035e-05
3,0,2.0,2,2.82842,0.0,1.0,0.000168971,5.9175e-05,5.9175e-05,6.999e-05,6.999e-05,6.999e-05
4,0,2.0,2,2.82842,0.0,1.0,0.000168695,5.9415e-05,5.9415e-05,7.0747e-05,7.0747e-05,7.0747e-05
5,0,3.0,3,3.4142099999999997,0.001234604105571731,1.0,0.000207739,4.642166666666667e-05,4.642166666666667e-05,5.9833e-05,4.3015e-05,5.9833e-05
6,0,3.0,3,3.0,0.0,1.0,0.000190886,4.323566666666667e-05,4.323566666666667e-05,5.9562e-05,3.5791e-05,5.9562e-05
7,0,3.0,3,3.0,0.0,1.0,0.000189481,4.2681333333333334e-05,4.2681333333333334e-05,5.9436e-05,3.5046e-05,5.9436e-05
8,0,3.0,3,3.8284199999999995,0.0,1.0,0.000220279,4.981166666666667e-05,4.981166666666667e-05,5.8812e-05,4.6855e-05,5.8812e-05
9,0,2.0,2,2.82842,0.0,1.0,0.000176636,5.77455e-05,5.77455e-05,6.7893e-05,6.7893e-05,6.7893e-05
10,0,3.0,3,3.4142099999999997,0.001234604105571731,1.0,0.000197569,4.4970666666666666e-05,4.4970666666666666e-05,5.2147e-05,4.2803e-05,5.2147e-05
11,5,20.0,20,23.313680000000005,0.00015787215787243006,1.0,0.000995831,3.76307e-05,3.76307e-05,5.6404e-05,4.0545e-05,4.9789e-05
12,5,21.0,21,23.899470000000004,0.0,1.0,0.001037514,3.732414285714286e-05,3.732414285714286e-05,5.0752e-05,3.4014e-05,4.4954e-05
13,5,23.0,23,23.82842,0.0,1.0,0.001112929,3.6592608695652176e-05,3.6592608695652176e-05,5.8847e-05,3.3098e-05,4.2408e-05
14,5,23.0,23,23.82842,0.0,1.0,0.001136316,3.703652173913044e-05,3.703652173913044e-05,5.9296e-05,3.3648e-05,4.7922e-05
15,5,18.0,18,23.384730000000005,0.00020230966638176538,1.0,0.000933574,4.001533333333333e-05,4.001533333333333e-05,5.8293e-05,4.0308e-05,4.516e-05
16,5,0.0,0,0.0,0.0,0.0,7.821e-06,0.0,0.0,0.0,0.0,0.0
17,5,17.0,17,23.627360000000007,0.0,1.0,0.000964775,4.401270588235294e-05,4.401270588235294e-05,5.9427e-05,4.0901e-05,5.7326e-05
18,5,17.0,17,21.970520000000004,2.366863905349035e-05,1.0,0.0009352,4.281123529411765e-05,4.281123529411765e-05,5.9725e-05,4.1051e-05,5.44e-05
19,5,21.0,21,23.485260000000004,0.0,1.0,0.001091316,3.996033333333334e-05,3.996033333333334e-05,5.9558e-05,3.5368e-05,5.4635e-05
20,5,23.0,23,23.0,0.0,1.0,0.001071121,3.489191304347826e-05,3.489191304347826e-05,5.8851e-05,3.3654e-05,3.4729e-05
21,10,58.0,58,59.24262999999999,0.3700885753931542,1.0,0.002756523,3.6270172413793105e-05,3.6270172413793105e-05,5.8557e-05,3.4984e-05,4.3047e-05
22,10,30.0,30,42.012089999999986,4.975005950936394e-05,1.0,0.001674954,4.35796e-05,4.35796e-05,6.0331e-05,4.1426e-05,5.0664e-05
23,10,31.0,31,42.59787999999999,0.0,1.0,0.00168504,4.230009677419355e-05,4.230009677419355e-05,5.8415e-05,4.0747e-05,4.9278e-05
24,10,39.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.001928548,3.776974358974358e-05,3.776974358974358e-05,5.9071e-05,3.3391e-05,4.5542e-05
25,10,36.0,36,43.45577999999998,0.0,1.0,0.001862107,3.9916527777777775e-05,3.9916527777777775e-05,6.0332e-05,4.0976e-05,4.9693e-05
26,10,40.0,40,40.41421,0.0001041821331353747,1.0,0.001893868,3.581395e-05,3.581395e-05,6.0319e-05,3.3503e-05,4.2172e-05
27,10,39.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.001885725,3.676705128205128e-05,3.676705128205128e-05,5.8232e-05,3.3052e-05,4.2962e-05
28,10,48.0,48,48.41421,0.10711662474273954,1.0,0.002302774,3.686868749999999e-05,3.686868749999999e-05,5.808e-05,3.5781e-05,4.8327e-05
29,10,43.0,43,43.0,0.0,1.0,0.002060866,3.620686046511627e-05,3.620686046511627e-05,6.0477e-05,3.4032e-05,4.2513e-05
30,10,34.0,34,43.52682999999998,0.0,1.0,0.001793977,4.13845e-05,4.13845e-05,5.854e-05,4.0681e-05,4.9646e-05
31,15,722.0,722,729.8699900000001,10.427430562079225,1.0,0.046110595,5.265897645429354e-05,5.265897645429354e-05,0.00927441,3.7885e-05,5.2416e-05
32,15,63.0,63,67.97051999999996,0.07412326169405759,1.0,0.003167504,3.905301587301588e-05,3.905301587301588e-05,5.6308e-05,4.0475e-05,4.9015e-05
33,15,196.0,196,203.04156999999995,2.383462256290618,1.0,0.009247409,3.654249999999999e-05,3.654249999999999e-05,6.9024e-05,3.7255e-05,4.5091e-05
34,15,61.0,61,63.071049999999985,1.6648168701206888e-05,1.0,0.002818487,3.5129245901639344e-05,3.5129245901639344e-05,5.8196e-05,3.2272e-05,4.132e-05
35,15,91.0,91,95.55630999999997,0.5199031334499757,1.0,0.004374153,3.7263494505494515e-05,3.7263494505494515e-05,5.8569e-05,3.8096e-05,4.7724e-05
