Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000668389,0.000617991,0.000310647,0.000617991,0.000617991,0.000617991
2,0,2.0,1,2.82842,0.0,2.0,0.000832873,0.000783169,0.0003931935,0.000783169,0.000783169,0.000783169
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.001035069,0.000984381,0.0004938475,0.000984381,0.000984381,0.000984381
4,0,1.0,1,1.41421,0.0,1.0,0.000528634,0.000491542,0.000491542,0.000491542,0.000491542,0.000491542
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001132598,0.001072262,0.0003592373333333333,0.001072262,0.001072262,0.001072262
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.001115442,0.00105404,0.00035321566666666673,0.00105404,0.00105404,0.00105404
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.001120495,0.001060783,0.00035542066666666665,0.001060783,0.001060783,0.001060783
8,0,1.0,1,1.41421,0.0,1.0,0.000375321,0.000337753,0.000337753,0.000337753,0.000337753,0.000337753
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.001119019,0.001058452,0.0003546556666666667,0.001058452,0.001058452,0.001058452
10,0,3.0,1,3.0,0.0,3.0,0.000891482,0.000831156,0.00027878733333333333,0.000831156,0.000831156,0.000831156
11,5,171.0,1,22.727890000000006,0.0,19.0,0.035560878,0.035313703,0.0018605913157894738,0.035313703,0.035313703,0.035313703
12,5,156.0,1,21.727890000000006,0.0,18.0,0.032138025,0.031898338,0.0017740021666666664,0.031898338,0.031898338,0.031898338
13,5,88.0,1,20.798940000000005,0.0,15.0,0.019042604,0.018835695,0.0012576324666666665,0.018835695,0.018835695,0.018835695
14,5,116.0,1,23.213150000000006,0.0,17.0,0.024384515,0.024170246,0.001423712411764706,0.024170246,0.024170246,0.024170246
15,5,175.0,1,23.142100000000006,3.07034683870565e-16,19.0,0.036032795,0.035766672,0.00188467294736842,0.035766672,0.035766672,0.035766672
16,5,124.0,1,23.213150000000006,0.0,17.0,0.025865688,0.025644769,0.0015104190000000003,0.025644769,0.025644769,0.025644769
17,5,164.0,1,22.142100000000006,3.209012405147209e-16,18.0,0.033540621,0.03330337,0.0018527678888888893,0.03330337,0.03330337,0.03330337
