Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.00090653,0.000841786,0.0002824713333333333,0.000841786,0.000841786,0.000841786
2,0,2.0,1,2.0,0.0,2.0,0.0006819,0.0006293,0.00031628,0.0006293,0.0006293,0.0006293
3,0,1.0,1,1.0,0.0,1.0,0.00054479,0.000505294,0.000505294,0.000505294,0.000505294,0.000505294
4,0,2.0,1,2.0,0.0,2.0,0.000640961,0.000588809,0.000295928,0.000588809,0.000588809,0.000588809
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001143139,0.001077038,0.000360769,0.001077038,0.001077038,0.001077038
6,0,1.0,1,1.41421,0.0,1.0,0.000528428,0.000488319,0.000488319,0.000488319,0.000488319,0.000488319
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.001030738,0.000977586,0.0004903564999999999,0.000977586,0.000977586,0.000977586
8,0,3.0,1,3.0,0.0,3.0,0.000914042,0.000848982,0.0002848253333333333,0.000848982,0.000848982,0.000848982
9,0,6.0,1,3.4142099999999997,0.0,3.0,0.001517955,0.001452235,0.00048578833333333334,0.001452235,0.001452235,0.001452235
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.0010273,0.000975128,0.0004890975,0.000975128,0.000975128,0.000975128
11,5,157.0,3,22.485260000000004,0.038249241581205226,6.666666666666667,0.030699618,0.010137191333333333,0.00152315785,0.02440323,0.003105424,0.02440323
12,5,130.0,2,20.071050000000003,0.0,9.0,0.025026064,0.012392567,0.0013787153333333331,0.024005117,0.024005117,0.024005117
13,5,172.0,1,22.313680000000005,0.0,19.0,0.041889671,0.041630268,0.002193043,0.041630268,0.041630268,0.041630268
14,5,206.0,3,24.899470000000004,0.14596762687604428,7.333333333333333,0.046977244,0.015556424999999999,0.0021230896818181817,0.029763622,0.013090418,0.029763622
15,5,303.0,4,30.485260000000004,0.3557862247779663,7.0,0.065249918,0.0162148675,0.002318127571428572,0.02787159,0.016942068,0.02787159
16,5,302.0,4,26.899470000000004,0.1746749929037754,6.0,0.064594346,0.01606586925,0.002679411458333333,0.024638523,0.024020117,0.024638523
17,5,57.0,2,24.41421,0.024584529385103582,12.0,0.012793592,0.0062392865,0.0005216947083333332,0.006742514,0.006742514,0.006742514
18,5,146.0,2,20.727890000000002,0.0,8.5,0.028870893,0.0143146265,0.0016860269411764707,0.022840005,0.022840005,0.022840005
19,5,473.0,4,26.071050000000003,0.11010078644939619,6.0,0.097866443,0.0243797805,0.004065145041666667,0.032767905,0.031233789,0.032767905
20,5,60.0,1,21.41421,4.669798544713985e-07,21.0,0.011598823,0.011317425,0.0005407787142857142,0.011317425,0.011317425,0.011317425
21,10,836.0,8,51.071049999999985,0.22182468480107145,6.125,0.181944506,0.022663744,0.0037018248367346944,0.052492717,0.032718093,0.052492717
22,10,294.0,2,44.31367999999999,0.08994242059773348,20.5,0.067599058,0.0335460485,0.0016382525609756097,0.055617737,0.055617737,0.055617737
23,10,1807.0,10,57.941039999999965,0.38952336414978866,4.8,0.395341316,0.0394627167,0.008223021645833337,0.059130255,0.043298674,0.059130255
24,10,486.0,7,51.45577999999999,0.20426653310834356,6.285714285714286,0.099643238,0.014154230857142859,0.0022535194318181813,0.05341431,0.007469688,0.05341431
25,10,652.0,4,47.627359999999975,0.08316375032407966,10.25,0.133777054,0.033307313,0.0032512006097560986,0.052814766,0.040991501,0.052814766
26,10,642.0,12,55.798939999999995,0.3585937557065672,4.166666666666667,0.13265049,0.011000835499999998,0.002641753580000001,0.052980264,0.006583672,0.015549987
27,10,123.0,1,42.41421,2.357700957714329e-07,42.0,0.025054976,0.024510402,0.0005858158333333335,0.024510402,0.024510402,0.024510402
28,10,1674.0,21,101.42629999999994,1.3642769729250908,4.238095238095238,0.351092366,0.016662242333333337,0.003933051617977527,0.052515983,0.013266887,0.033404986
29,10,1206.0,6,50.55630999999999,0.18798650258598584,7.666666666666667,0.270117191,0.044912657999999994,0.005859988304347824,0.059171309,0.045229988,0.059171309
30,10,1486.0,8,50.38472999999998,0.1567724990414701,5.625,0.319296116,0.0398315945,0.007082821333333334,0.05978621,0.043692758,0.05978621
31,15,1223.0,6,76.04156999999995,0.23531742486146748,11.5,0.28778697,0.04781846533333333,0.004159896942028984,0.064696271,0.057204195,0.064696271
32,15,4040.0,21,123.45577999999996,1.005575058929792,5.523809523809524,0.884295152,0.04203130028571428,0.007610844275862063,0.057902516,0.042318044,0.054042053
33,15,3233.0,15,98.45577999999996,0.6129292154858319,6.066666666666666,0.716918939,0.047709945733333335,0.007866070153846152,0.060420722,0.048409004,0.059273431
34,15,621.0,3,63.65683999999999,0.028390213168119047,20.666666666666668,0.137935092,0.045726244,0.0022143979838709672,0.05648388,0.043774608,0.05648388
35,15,5233.0,24,145.01208999999994,1.2765385370142146,5.541666666666667,1.164957169,0.04846238858333333,0.008746743526315787,0.06096563,0.050655849,0.059112687
36,15,4100.0,20,121.22523999999991,0.9593509627429068,5.15,0.923832316,0.04611703995,0.008956431475728152,0.060316438,0.046849503,0.060168805
