Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.000399167,0.000329592,0.00011540333333333334,0.000329592,0.000329592,0.000329592
2,0,2.0,1,2.0,0.0,2.0,0.000299336,0.000246555,0.0001278035,0.000246555,0.000246555,0.000246555
3,0,1.0,1,1.0,0.0,1.0,0.000170176,0.000132193,0.000132193,0.000132193,0.000132193,0.000132193
4,0,2.0,1,2.0,0.0,2.0,0.00029102,0.000238278,0.0001237585,0.000238278,0.000238278,0.000238278
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000479608,0.000408401,0.00014158800000000003,0.000408401,0.000408401,0.000408401
6,0,1.0,1,1.41421,0.0,1.0,0.000165765,0.000128598,0.000128598,0.000128598,0.000128598,0.000128598
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.000383772,0.000331352,0.0001703205,0.000331352,0.000331352,0.000331352
8,0,3.0,1,3.0,0.0,3.0,0.000433365,0.000361557,0.000126127,0.000361557,0.000361557,0.000361557
9,0,4.0,1,3.4142099999999997,0.0,3.0,0.000473467,0.000405229,0.00014063033333333333,0.000405229,0.000405229,0.000405229
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.00038694,0.000334661,0.000171997,0.000334661,0.000334661,0.000334661
11,5,229.0,3,21.65684,0.0,6.666666666666667,0.019734643,0.006410119,0.0009753006000000003,0.01710258,0.001182569,0.01710258
12,5,200.0,2,20.071050000000003,0.0,9.0,0.017210587,0.008375952,0.000944631888888889,0.016437118,0.016437118,0.016437118
13,5,294.0,1,22.31368,0.0,19.0,0.024924768,0.024348067,0.0012997528947368423,0.024348067,0.024348067,0.024348067
14,5,295.0,3,24.07105,0.1078406104593632,7.333333333333333,0.025124837,0.008176389666666667,0.0011307674545454548,0.022716974,0.001022499,0.022716974
15,5,273.0,5,29.656840000000003,0.31894348752295965,5.6,0.024144076,0.004671242000000001,0.0008513267499999999,0.008660323,0.003987149,0.008660323
