Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,1403.0,3,3.8284199999999995,0.0,1.0,0.261504791,0.08714362800000001,0.08714362800000001,0.133776293,0.127527743,0.133776293
2,0,2.0,2,2.0,0.0,1.0,0.000259178,0.00010767,0.00010767,0.000127149,0.000127149,0.000127149
3,0,2.0,2,2.0,0.0,1.0,0.00027333,0.0001095595,0.0001095595,0.000131545,0.000131545,0.000131545
4,0,702.0,2,2.4142099999999997,0.0,1.0,0.141710097,0.07082791199999999,0.07082791199999999,0.141526139,0.141526139,0.141526139
5,0,2104.0,4,4.0,0.17157409766827458,1.0,0.25624302,0.06403610800000001,0.06403610800000001,0.093743645,0.087785526,0.093743645
6,0,702.0,2,2.4142099999999997,0.0,1.0,0.098571933,0.0492559065,0.0492559065,0.098375288,0.098375288,0.098375288
7,0,703.0,3,3.4142099999999997,0.0,1.0,0.098334035,0.03275622833333334,0.03275622833333334,0.098041106,0.00013009,0.098041106
8,0,1402.0,2,2.82842,0.0,1.0,0.196980147,0.09845927800000001,0.09845927800000001,0.100912526,0.100912526,0.100912526
9,0,701.0,1,1.41421,0.0,1.0,0.093489275,0.093446753,0.093446753,0.093446753,0.093446753,0.093446753
10,0,2.0,2,2.0,0.0,1.0,0.000245464,0.000100684,0.000100684,0.000111137,0.000111137,0.000111137
11,5,2823.0,23,23.82842,0.025204581243062386,1.0,0.35460374,0.01540351839130435,0.01540351839130435,0.108766324,9.0332e-05,0.083432451
12,5,4221.0,21,23.485260000000004,0.0,1.0,0.479708524,0.022829391476190477,0.022829391476190477,0.102460504,9.4733e-05,0.081349775
13,5,4219.0,19,21.485260000000004,0.0,1.0,0.461398208,0.02426983542105263,0.02426983542105263,0.107148555,9.6087e-05,0.088292329
14,5,4100.0,22,23.656840000000003,0.06358249485222066,1.0,0.332796056,0.01511153009090909,0.01511153009090909,0.067485463,9.209e-05,0.05738585
15,5,10524.0,24,25.656840000000003,0.1005048533694781,1.0,0.860098342,0.035819760208333336,0.035819760208333336,0.106402852,0.051194777,0.060468733
16,5,6999.0,24,24.82842,0.07616975350113345,1.0,0.666007564,0.027735235583333333,0.027735235583333333,0.139793398,9.6135e-05,0.057564765
17,5,16824.0,24,24.82842,0.17831627205034384,1.0,1.750224939,0.07290346241666666,0.07290346241666666,0.123450197,0.071052559,0.107594295
18,5,7719.0,19,21.899470000000004,0.05652140351892872,1.0,0.669593717,0.03522337236842105,0.03522337236842105,0.077773962,0.054850635,0.066517389
19,5,7722.0,22,24.071050000000003,0.0787565486674107,1.0,0.766814177,0.03483918931818182,0.03483918931818182,0.116205835,0.053460069,0.073942164
20,5,8416.0,16,20.970520000000004,0.0,1.0,0.716852239,0.0447833753125,0.0447833753125,0.07563423,0.055618976,0.069265239
21,10,81321.0,121,126.79893999999999,1.8903271248526896,1.0,8.950617024,0.07394199514876035,0.07394199514876035,0.158181719,0.066552267,0.1114307
22,10,10541.0,41,44.727889999999974,0.040895170186126706,1.0,1.007523425,0.024559266463414633,0.024559266463414633,0.099252715,9.2184e-05,0.072241672
23,10,17545.0,45,46.24262999999999,0.08843835397184412,1.0,1.925662004,0.042775108977777775,0.042775108977777775,0.136483825,0.051821124,0.104185912
24,10,8494.0,44,45.65683999999999,0.040030979851706394,1.0,0.78781092,0.017890956090909092,0.017890956090909092,0.099704018,9.4737e-05,0.05738696
25,10,14035.0,35,41.62735999999999,0.02895901205760324,1.0,1.368945027,0.039095195085714296,0.039095195085714296,0.140020633,0.052263065,0.086332681
26,10,19862.0,43,48.384729999999976,0.10724006544847016,1.0,1.686000819,0.039191489209302335,0.039191489209302335,0.091379573,0.051061191,0.071282855
27,10,12635.0,35,42.45577999999998,0.0,1.0,1.534559711,0.043826821171428575,0.043826821171428575,0.115101371,0.053152418,0.103569713
28,10,7534.0,42,43.65683999999999,0.027575184828634514,1.0,0.721971104,0.017174924499999994,0.017174924499999994,0.105120336,8.6698e-05,0.055948218
29,10,2700.0,42,42.828419999999994,0.01386799108009429,1.0,0.224913074,0.005342161238095238,0.005342161238095238,0.068986115,8.9533e-05,0.00300698
30,10,12639.0,39,43.556309999999975,0.027639861459768045,1.0,1.35747517,0.03479107735897436,0.03479107735897436,0.10665389,9.7356e-05,0.092317511
31,15,42062.0,62,63.65683999999999,0.058440593195116054,1.0,3.762832198,0.06066880843548388,0.06066880843548388,0.117569933,0.058403968,0.090399195
32,15,47676.0,76,79.31367999999999,0.24710965753640038,1.0,4.337082271,0.05704682507894737,0.05704682507894737,0.118548119,0.056058238,0.088301073
33,15,175256.0,256,273.39681999999993,3.282491392624755,1.0,18.656965953,0.07285766201171874,0.07285766201171874,0.19170223,0.068120992,0.105104633
34,15,24553.0,53,64.18366999999995,0.018591161711540776,1.0,3.11594844,0.0587730420754717,0.0587730420754717,0.145472743,0.071894459,0.108717654
35,15,14739.0,61,64.72788999999997,0.05741719106336498,1.0,1.739990199,0.028508995655737706,0.028508995655737706,0.141596729,9.4125e-05,0.104605453
36,15,21905.0,67,69.07104999999999,0.12391426033018822,1.0,1.708160979,0.025479755014925373,0.025479755014925373,0.110117015,0.002077107,0.056616293
37,15,46269.0,69,78.11261999999998,0.2596331044536394,1.0,5.074849245,0.07352718950724639,0.07352718950724639,0.115856068,0.077326324,0.097205214
38,15,42069.0,69,81.01208999999994,0.2709752573340793,1.0,4.171296546,0.06043395376811593,0.06043395376811593,0.108487149,0.065678193,0.089624317
39,15,31549.0,49,63.497349999999955,0.0284620530255046,1.0,3.475613617,0.07090857402040816,0.07090857402040816,0.110500017,0.071149393,0.103008149
40,15,48106.0,91,96.38472999999996,0.5414922217477592,1.0,4.828394198,0.05303903961538462,0.05303903961538462,0.174762005,0.053775648,0.107427813
41,20,142327.0,227,240.2547199999999,1.8680418672167458,1.0,12.944580059,0.05699147918942726,0.05699147918942726,0.118657407,0.055922558,0.086976532
42,20,47693.0,93,98.38472999999996,0.2108174532458385,1.0,4.337493687,0.04662148337634411,0.04662148337634411,0.111630721,0.05400912,0.079692127
43,20,63103.0,103,110.45577999999995,0.38048672577431863,1.0,5.825023785,0.05653349598058253,0.05653349598058253,0.157806412,0.051664803,0.09432856
