Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000513852,0.00045259,0.000152913,0.00045259,0.00045259,0.00045259
2,0,2.0,1,2.82842,0.0,2.0,0.000349167,0.000299236,0.0001512915,0.000299236,0.000299236,0.000299236
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.000681986,0.000611394,0.00020578866666666668,0.000611394,0.000611394,0.000611394
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.000507535,0.00044552,0.00015046633333333333,0.00044552,0.00044552,0.00044552
5,0,2.0,1,2.0,0.0,2.0,0.000261306,0.000211315,0.0001073065,0.000211315,0.000211315,0.000211315
6,0,3.0,1,3.0,0.0,3.0,0.000425849,0.000357094,0.00012088499999999999,0.000357094,0.000357094,0.000357094
7,0,1.0,1,1.41421,0.0,1.0,0.000198022,0.000160756,0.000160756,0.000160756,0.000160756,0.000160756
8,0,2.0,1,2.0,0.0,2.0,0.000260695,0.000210399,0.00010694200000000001,0.000210399,0.000210399,0.000210399
9,0,2.0,1,2.0,0.0,2.0,0.000325587,0.000275586,0.0001395475,0.000275586,0.000275586,0.000275586
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.000511367,0.00044908,0.00015168366666666667,0.00044908,0.00044908,0.00044908
11,5,466.0,9,58.55630999999998,1.467825218413765,6.0,0.035630007,0.0038879302222222228,0.0006499565555555557,0.012786419,0.002590433,0.012786419
12,5,164.0,2,22.142100000000003,0.0,9.0,0.012801124,0.0062816145,0.0006998191666666664,0.010040116,0.010040116,0.010040116
13,5,116.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.009010248,0.008757894,0.00043974145000000005,0.008757894,0.008757894,0.008757894
14,5,23.0,1,23.0,0.0,23.0,0.002507439,0.002225461,9.873552173913045e-05,0.002225461,0.002225461,0.002225461
15,5,142.0,2,21.242630000000002,0.028355174300112876,10.0,0.010826275,0.0052864855,0.0005304754999999999,0.009631808,0.009631808,0.009631808
16,5,164.0,1,23.798940000000005,0.0,18.0,0.01269448,0.01246284,0.0006942939444444445,0.01246284,0.01246284,0.01246284
17,5,112.0,1,20.384730000000005,0.0,15.0,0.008692358,0.00848729,0.0005677078000000003,0.00848729,0.00848729,0.00848729
18,5,173.0,2,24.242630000000002,0.050779113262913365,11.5,0.012967237,0.0063394125,0.0005536619565217393,0.012295345,0.012295345,0.012295345
19,5,176.0,1,22.727890000000006,0.0,19.0,0.013424589,0.013180983,0.0006960865263157895,0.013180983,0.013180983,0.013180983
20,5,214.0,3,24.899470000000004,0.15890725286591326,7.333333333333333,0.01633882,0.005346562,0.0007308280909090911,0.011784352,0.002148053,0.011784352
21,10,263.0,4,49.24262999999999,0.1637514563841024,12.0,0.023969068,0.0058473545000000005,0.0004890103958333335,0.00978389,0.00734967,0.00978389
22,10,822.0,7,50.828419999999994,0.22312188524964913,7.142857142857143,0.067095448,0.009498591857142857,0.0013315259199999992,0.032909843,0.003999663,0.032909843
23,10,1167.0,9,51.384729999999976,0.17129274836391928,5.111111111111111,0.096931008,0.010706050444444445,0.002096311804347826,0.021650279,0.010236699,0.021650279
24,10,208.0,1,43.24262999999999,6.937603194120179e-07,42.0,0.016529288,0.016034019,0.00038386480952380946,0.016034019,0.016034019,0.016034019
25,10,788.0,3,43.112619999999986,0.01377292960455589,11.333333333333334,0.063322763,0.020960355333333337,0.0018513260588235297,0.043487373,0.0173821,0.043487373
26,10,312.0,1,42.071049999999985,0.0,40.0,0.027943382,0.027458413,0.0006883776250000001,0.027458413,0.027458413,0.027458413
27,10,994.0,4,46.142100000000006,0.0949169595250357,10.5,0.085905721,0.0213478055,0.0020348732619047613,0.040367827,0.024820586,0.040367827
28,10,605.0,1,43.86998999999998,0.0,36.0,0.049372425,0.048933547,0.0013611406944444438,0.048933547,0.048933547,0.048933547
29,10,791.0,2,43.62735999999999,0.03350042166905111,18.5,0.062051168,0.030791484,0.0016661935945945948,0.043593737,0.043593737,0.043593737
30,10,736.0,5,43.21315,0.0792063753696155,7.4,0.060096343,0.0119251072,0.0016132231351351355,0.028884753,0.001640348,0.028884753
