Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.00050735,0.000437943,0.000147912,0.000437943,0.000437943,0.000437943
2,0,2.0,1,2.0,0.0,2.0,0.000318907,0.000260183,0.0001317975,0.000260183,0.000260183,0.000260183
3,0,2.0,1,2.0,0.0,2.0,0.000322783,0.00027271,0.00013809600000000001,0.00027271,0.00027271,0.00027271
4,0,3.0,1,2.4142099999999997,0.0,2.0,0.000403991,0.000354004,0.0001787235,0.000354004,0.000354004,0.000354004
5,0,11.0,2,4.8284199999999995,0.41421295116586243,2.0,0.001051206,0.0004896855,0.000246025,0.0005846,0.0005846,0.0005846
6,0,3.0,1,2.4142099999999997,0.0,2.0,0.000405527,0.000356101,0.0001797385,0.000356101,0.000356101,0.000356101
7,0,6.0,1,3.4142099999999997,0.0,3.0,0.00065401,0.000593986,0.00019989200000000002,0.000593986,0.000593986,0.000593986
8,0,2.0,1,2.82842,0.0,2.0,0.000342321,0.000291703,0.000147506,0.000291703,0.000291703,0.000291703
9,0,1.0,1,1.41421,0.0,1.0,0.000366729,0.000309286,0.000309286,0.000309286,0.000309286,0.000309286
10,0,2.0,1,2.0,0.0,2.0,0.000268924,0.000220074,0.0001117515,0.000220074,0.000220074,0.000220074
11,5,130.0,1,23.242630000000002,1.2907333948188663e-06,22.0,0.010030723,0.009753979,0.00044533945454545434,0.009753979,0.009753979,0.009753979
12,5,184.0,1,23.485260000000004,0.0,21.0,0.013649927,0.013398569,0.0006399119047619049,0.013398569,0.013398569,0.013398569
13,5,158.0,1,21.485260000000004,0.0,19.0,0.0120036,0.011756055,0.0006210896315789475,0.011756055,0.011756055,0.011756055
14,5,180.0,2,23.41421,0.05267414780646153,11.5,0.013800671,0.006753242,0.000589065304347826,0.00876224,0.00876224,0.00876224
15,5,191.0,4,25.071050000000003,0.07537842556093638,5.75,0.014453046,0.00353484725,0.0006165603478260869,0.008119833,0.003305418,0.008119833
16,5,244.0,3,24.82842,0.07616975350113345,8.0,0.018067525,0.005919159,0.0007416934166666666,0.012398808,0.003657974,0.012398808
17,5,242.0,5,23.656840000000003,0.12271499826776965,4.4,0.018620276,0.0036662726,0.0008351720454545454,0.006784279,0.003917752,0.006784279
18,5,146.0,1,20.727890000000006,0.0,17.0,0.011161207,0.01093691,0.0006452637647058825,0.01093691,0.01093691,0.01093691
19,5,188.0,2,23.485260000000004,0.05250406700816104,10.5,0.014258015,0.0069871085,0.0006676700476190477,0.012717325,0.012717325,0.012717325
20,5,132.0,1,20.970520000000004,0.0,16.0,0.010178823,0.009963012,0.0006245633750000001,0.009963012,0.009963012,0.009963012
21,10,1303.0,6,58.11261999999998,0.32465209789811234,8.166666666666666,0.113070218,0.01873830883333333,0.002296258346938775,0.03262041,0.021892363,0.03262041
22,10,619.0,2,44.72788999999998,0.04089517018612687,20.5,0.049742968,0.0246377765,0.0012035901951219512,0.045752763,0.045752763,0.045752763
23,10,599.0,4,42.48526,0.0,10.0,0.047936883,0.011861038249999999,0.0011877644,0.034773283,0.006255698,0.034773283
24,10,648.0,3,45.65684,0.04003097985170672,14.666666666666666,0.051852725,0.017109033666666666,0.0011684485909090909,0.032601761,0.013577984,0.032601761
25,10,519.0,1,40.45577999999999,0.0,33.0,0.039245024,0.03885242,0.0011793051515151516,0.03885242,0.03885242,0.03885242
26,10,887.0,4,46.04156999999998,0.053619002940603816,9.75,0.068081364,0.0169003325,0.0017351459999999995,0.037256845,0.018213247,0.037256845
27,10,571.0,1,42.45577999999998,0.0,35.0,0.046147106,0.045736128,0.001308523085714286,0.045736128,0.045736128,0.045736128
28,10,503.0,3,43.65683999999999,0.027575184828634514,14.0,0.038400548,0.012632875666666668,0.0009044580476190477,0.027982359,0.007153428,0.027982359
29,10,269.0,2,42.828419999999994,0.01386799108009429,21.0,0.021091698,0.0102994135,0.0004923100476190478,0.015525662,0.015525662,0.015525662
30,10,627.0,2,42.970519999999986,0.013819104962155958,19.0,0.050633709,0.025096881,0.0013228054473684212,0.045338336,0.045338336,0.045338336
31,15,1679.0,14,62.72788999999998,0.04299467427974716,4.214285714285714,0.14108682,0.010022200642857143,0.00237970086440678,0.03106331,0.007750511,0.022103674
32,15,1931.0,8,72.76945999999995,0.14420988081386135,7.75,0.15746134,0.019580745124999997,0.0025283445161290307,0.070584518,0.012285827,0.070584518
33,15,3454.0,28,159.1957599999999,1.4936444832911955,4.857142857142857,0.281829457,0.009901311535714285,0.0020401298676470617,0.070721461,0.00490451,0.021295928
