Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,6.0,3,3.8284199999999995,0.0,1.0,0.00105916,0.00016237733333333336,0.00016237733333333336,0.000196896,0.000169282,0.000196896
2,0,3.0,2,2.82842,0.0,1.0,0.000728444,0.000174518,0.000174518,0.000195571,0.000195571,0.000195571
3,0,5.0,3,3.4142099999999997,0.0,1.0,0.000985856,0.00014783166666666668,0.00014783166666666668,0.000247631,0.000120607,0.000247631
4,0,6.0,3,3.8284199999999995,0.0,1.0,0.001075039,0.0001639343333333333,0.0001639343333333333,0.000197922,0.000170701,0.000197922
5,0,2.0,2,2.0,0.0,1.0,0.000566888,7.835200000000001e-05,7.835200000000001e-05,8.9302e-05,8.9302e-05,8.9302e-05
6,0,3.0,3,3.0,0.0,1.0,0.000835608,8.793466666666667e-05,8.793466666666667e-05,0.000124569,7.0406e-05,0.000124569
7,0,1.0,1,1.41421,0.0,1.0,0.000328276,0.000131882,0.000131882,0.000131882,0.000131882,0.000131882
8,0,2.0,2,2.0,0.0,1.0,0.000586158,8.0783e-05,8.0783e-05,9.1836e-05,9.1836e-05,9.1836e-05
9,0,2.0,2,2.0,0.0,1.0,0.000582972,9.89895e-05,9.89895e-05,0.00012608,0.00012608,0.00012608
10,0,6.0,3,3.8284199999999995,0.0,1.0,0.001045661,0.000159239,0.000159239,0.000193187,0.000162977,0.000193187
11,5,542.0,70,73.72788999999997,2.1072235638214916,1.0,0.044313361,0.0004629236428571429,0.0004629236428571429,0.004143876,0.00013593,0.001477614
12,5,48.0,20,23.31368,0.02577360864840129,1.0,0.00730988,0.00016989240000000002,0.00016989240000000002,0.000424568,0.000188844,0.000374546
13,5,41.0,20,21.242630000000002,1.4122565035549784e-06,1.0,0.007070724,0.00015052275,0.00015052275,0.001266052,7.0978e-05,0.000238121
14,5,23.0,23,23.0,0.0,1.0,0.005806553,7.53255652173913e-05,7.53255652173913e-05,0.000121865,6.982e-05,8.6065e-05
15,5,43.0,20,21.242630000000002,0.028355174300112876,1.0,0.006531104,0.00014858015,0.00014858015,0.000691379,7.0449e-05,0.000682063
16,5,48.0,18,23.798940000000005,0.0,1.0,0.007197779,0.00020849227777777779,0.00020849227777777779,0.000379943,0.000235864,0.000249348
17,5,41.0,15,20.384730000000005,0.0,1.0,0.006001116,0.00022285399999999995,0.00022285399999999995,0.000252098,0.00024251,0.000250257
18,5,47.0,24,24.82842,0.07616975350113345,1.0,0.00768156,0.00013629237499999998,0.00013629237499999998,0.00115098,7.0084e-05,0.000217668
