Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000544414,0.000247712,0.00012564899999999998,0.000247712,0.000247712,0.000247712
2,0,2.0,1,2.82842,0.0,2.0,0.000587743,0.000290599,0.00014697,0.000290599,0.000290599,0.000290599
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.000801948,0.000349216,0.000176496,0.000349216,0.000349216,0.000349216
4,0,1.0,1,1.41421,0.0,1.0,0.000412105,0.00018168,0.00018168,0.00018168,0.00018168,0.00018168
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000979308,0.000425661,0.00014383699999999999,0.000425661,0.000425661,0.000425661
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.000995713,0.000434002,0.000146631,0.000434002,0.000434002,0.000434002
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.00102583,0.00044225,0.00014944233333333333,0.00044225,0.00044225,0.00044225
8,0,1.0,1,1.41421,0.0,1.0,0.000366967,0.000143528,0.000143528,0.000143528,0.000143528,0.000143528
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.001100066,0.000455328,0.00015666400000000002,0.000455328,0.000455328,0.000455328
10,0,3.0,1,3.0,0.0,3.0,0.00091101,0.000343961,0.00011648933333333334,0.000343961,0.000343961,0.000343961
11,5,171.0,1,22.727890000000006,0.0,19.0,0.017872377,0.014662829,0.00077375,0.014662829,0.014662829,0.014662829
12,5,156.0,1,21.727890000000006,0.0,18.0,0.016561725,0.013581246,0.0007565152777777777,0.013581246,0.013581246,0.013581246
13,5,88.0,1,20.798940000000005,0.0,15.0,0.011569977,0.008997537,0.000601949,0.008997537,0.008997537,0.008997537
14,5,116.0,1,23.213150000000006,0.0,17.0,0.013673627,0.010790771,0.0006368587647058824,0.010790771,0.010790771,0.010790771
15,5,175.0,1,23.142100000000006,3.07034683870565e-16,19.0,0.018035539,0.014903451,0.0007864050526315788,0.014903451,0.014903451,0.014903451
16,5,124.0,1,23.213150000000006,0.0,17.0,0.014273856,0.011347336,0.0006696165882352943,0.011347336,0.011347336,0.011347336
17,5,164.0,1,22.142100000000006,3.209012405147209e-16,18.0,0.017246823,0.014167696,0.0007891015555555556,0.014167696,0.014167696,0.014167696
18,5,117.0,1,20.970520000000004,0.0,16.0,0.013293596,0.010787354,0.0006763288750000001,0.010787354,0.010787354,0.010787354
19,5,187.0,2,23.31368,0.0,10.0,0.020190401,0.008102716,0.00081230085,0.015602296,0.015602296,0.015602296
20,5,132.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.014551833,0.012026262,0.0007536895624999999,0.012026262,0.012026262,0.012026262
21,10,290.0,2,41.86998999999999,0.0,17.0,0.029056649,0.011650414500000001,0.0006873756470588235,0.015410778,0.015410778,0.015410778
22,10,282.0,2,42.18366999999999,0.049768065737934054,15.5,0.028430553,0.0114082135,0.0007380314193548388,0.015767877,0.015767877,0.015767877
23,10,449.0,3,40.556309999999996,2.465708162743818e-07,12.0,0.041454329,0.011704927999999998,0.0009773589166666664,0.015846891,0.012809682,0.015846891
24,10,85.0,1,40.828419999999994,4.89855100668589e-07,40.0,0.013789733,0.008521509,0.00021515352500000003,0.008521509,0.008521509,0.008521509
25,10,422.0,3,43.04156999999999,0.0,12.0,0.036882473,0.010366926333333333,0.000866253,0.014714383,0.012281322,0.014714383
26,10,269.0,2,40.45577999999999,0.0,16.5,0.027772696,0.010872297,0.0006608742424242423,0.015343788,0.015343788,0.015343788
27,10,446.0,3,48.18366999999998,0.1818529002001487,12.333333333333334,0.040559094,0.011418614333333332,0.000927656513513513,0.015511961,0.012925249,0.015511961
28,10,265.0,2,42.31367999999999,0.0,19.5,0.026720685,0.0106417435,0.0005476721794871796,0.015271782,0.015271782,0.015271782
29,10,284.0,2,44.012089999999986,0.047602601149189676,16.0,0.028888164,0.0114843225,0.0007196692187500001,0.015508301,0.015508301,0.015508301
