Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.8284199999999995,0.0,1.0,0.00072058,4.993733333333333e-05,4.993733333333333e-05,5.9451e-05,4.7195e-05,5.9451e-05
2,0,2.0,2,2.82842,0.0,1.0,0.000484379,5.6611000000000004e-05,5.6611000000000004e-05,6.6183e-05,6.6183e-05,6.6183e-05
3,0,3.0,3,3.4142099999999997,0.0,1.0,0.000696155,4.4878000000000006e-05,4.4878000000000006e-05,5.8333e-05,4.1579e-05,5.8333e-05
4,0,3.0,3,3.8284199999999995,0.0,1.0,0.000731432,5.089966666666667e-05,5.089966666666667e-05,5.9634e-05,4.764e-05,5.9634e-05
5,0,2.0,2,2.0,0.0,1.0,0.000463852,4.01375e-05,4.01375e-05,4.5959e-05,4.5959e-05,4.5959e-05
6,0,3.0,3,3.0,0.0,1.0,0.000670744,4.154433333333334e-05,4.154433333333334e-05,5.8066e-05,3.3808e-05,5.8066e-05
7,0,1.0,1,1.41421,0.0,1.0,0.000267363,5.93e-05,5.93e-05,5.93e-05,5.93e-05,5.93e-05
8,0,2.0,2,2.0,0.0,1.0,0.000463355,3.9743499999999996e-05,3.9743499999999996e-05,4.6384e-05,4.6384e-05,4.6384e-05
9,0,2.0,2,2.0,0.0,1.0,0.00047695,4.8865499999999995e-05,4.8865499999999995e-05,6.1484e-05,6.1484e-05,6.1484e-05
10,0,3.0,3,3.8284199999999995,0.0,1.0,0.000747649,4.8113666666666666e-05,4.8113666666666666e-05,5.8707e-05,4.5796e-05,5.8707e-05
11,5,76.0,76,80.55630999999998,2.3950037719309325,1.0,0.015566575,3.211132894736842e-05,3.211132894736842e-05,5.3234e-05,3.1044e-05,4.2848e-05
12,5,20.0,20,23.31368,0.02577360864840129,1.0,0.004370458,3.9723999999999994e-05,3.9723999999999994e-05,6.1441e-05,4.0792e-05,5.9329e-05
13,5,20.0,20,21.242630000000002,1.4122565035549784e-06,1.0,0.004533544,3.739559999999999e-05,3.739559999999999e-05,5.8553e-05,3.3781e-05,4.6459e-05
14,5,23.0,23,23.0,0.0,1.0,0.0049613,3.7661478260869565e-05,3.7661478260869565e-05,6.0067e-05,3.3992e-05,4.8757e-05
15,5,20.0,20,21.242630000000002,0.028355174300112876,1.0,0.004705364,3.916040000000001e-05,3.916040000000001e-05,5.9821e-05,3.647e-05,5.5666e-05
16,5,18.0,18,23.798940000000005,0.0,1.0,0.003982205,4.371522222222222e-05,4.371522222222222e-05,5.8314e-05,4.159e-05,5.5173e-05
17,5,15.0,15,20.384730000000005,0.0,1.0,0.003375561,4.440413333333333e-05,4.440413333333333e-05,5.8214e-05,4.1279e-05,5.5734e-05
18,5,24.0,24,24.82842,0.07616975350113345,1.0,0.005502683,3.581845833333333e-05,3.581845833333333e-05,5.955e-05,3.3172e-05,4.3604e-05
19,5,19.0,19,22.727890000000006,0.0,1.0,0.004232865,4.074026315789473e-05,4.074026315789473e-05,5.9702e-05,4.1445e-05,4.8412e-05
20,5,22.0,22,24.071050000000003,0.12034972748809672,1.0,0.004773661,3.721168181818181e-05,3.721168181818181e-05,5.9781e-05,3.6297e-05,4.1762e-05
21,10,64.0,64,64.41421,0.5223015240926698,1.0,0.013560971,3.599896875e-05,3.599896875e-05,6.0154e-05,3.4366e-05,4.4068e-05
22,10,50.0,50,50.828419999999994,0.22312188524964913,1.0,0.010592163,3.9550700000000014e-05,3.9550700000000014e-05,5.9305e-05,4.1182e-05,5.0291e-05
23,10,725.0,725,742.3968200000007,15.922615175256057,1.0,0.172570008,4.320579034482757e-05,4.320579034482757e-05,0.003505571,3.8356e-05,4.3529e-05
24,10,42.0,42,43.24262999999999,6.937603194120179e-07,1.0,0.009087349,3.7695404761904756e-05,3.7695404761904756e-05,5.9062e-05,3.368e-05,4.5969e-05
25,10,75.0,75,84.52682999999993,0.9876085489419624,1.0,0.017525258,3.898591999999999e-05,3.898591999999999e-05,5.7908e-05,3.9e-05,4.539e-05
26,10,40.0,40,42.071049999999985,0.0,1.0,0.008771775,3.9400475e-05,3.9400475e-05,6.0405e-05,3.4383e-05,5.4147e-05
27,10,43.0,43,45.89946999999998,0.08915953405264522,1.0,0.009928087,3.893837209302327e-05,3.893837209302327e-05,6.0425e-05,4.0117e-05,4.8892e-05
28,10,38.0,38,45.04156999999998,0.026703153172661517,1.0,0.009245454,4.129565789473684e-05,4.129565789473684e-05,7.0712e-05,4.2197e-05,5.9006e-05
29,10,37.0,37,42.79893999999998,0.013875754503330236,1.0,0.008209477,4.1066621621621625e-05,4.1066621621621625e-05,6.0161e-05,4.0994e-05,5.4493e-05
30,10,44.0,44,49.79893999999999,0.24368007272436626,1.0,0.010316889,3.797784090909091e-05,3.797784090909091e-05,5.8687e-05,3.9566e-05,4.3693e-05
31,15,1506.0,1506,1549.492049999999,23.50076451632284,1.0,0.34791472,4.150211553784866e-05,4.150211553784866e-05,0.003506441,3.8266e-05,4.6653e-05
32,15,57.0,57,60.727889999999974,0.0,1.0,0.012241062,3.7740175438596506e-05,3.7740175438596506e-05,5.8565e-05,3.3616e-05,4.7146e-05
33,15,113.0,113,120.86998999999996,1.0131040811703877,1.0,0.024335009,3.7106300884955765e-05,3.7106300884955765e-05,5.8291e-05,3.808e-05,4.2763e-05
34,15,157.0,157,159.48525999999998,1.5693963857576227,1.0,0.036061058,3.813026751592357e-05,3.813026751592357e-05,5.9829e-05,3.805e-05,4.776e-05
35,15,121.0,121,128.45577999999995,1.0600619353928207,1.0,0.027584536,3.729208264462807e-05,3.729208264462807e-05,6.4943e-05,3.82e-05,4.3674e-05
36,15,206.0,206,211.38472999999996,2.3296641899778368,1.0,0.043921831,3.967160194174757e-05,3.967160194174757e-05,6.0529e-05,3.979e-05,4.8281e-05
37,15,59.0,59,70.18366999999996,0.12607551595725,1.0,0.012801432,3.902740677966101e-05,3.902740677966101e-05,6.0541e-05,4.0259e-05,5.0874e-05
38,15,54.0,54,63.11261999999994,0.018913451650034375,1.0,0.013027375,3.951133333333332e-05,3.951133333333332e-05,6.0268e-05,4.1675e-05,4.5667e-05
39,15,67.0,67,78.59787999999995,0.2846191312079333,1.0,0.014635641,3.94418656716418e-05,3.94418656716418e-05,5.9964e-05,4.1138e-05,5.0065e-05
40,15,60.0,60,64.14209999999997,0.009217024905477043,1.0,0.013151039,4.0553883333333335e-05,4.0553883333333335e-05,5.8761e-05,4.1158e-05,4.9179e-05
