Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.002551655,0.00190741,0.0006733170000000001,0.00190741,0.00190741,0.00190741
2,0,2.0,1,2.82842,0.0,2.0,0.001268344,0.000844662,0.000451203,0.000844662,0.000844662,0.000844662
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.003422882,0.002773783,0.0009623080000000002,0.002773783,0.002773783,0.002773783
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.002669989,0.001948837,0.0006887063333333334,0.001948837,0.001948837,0.001948837
5,0,2.0,1,2.0,0.0,2.0,0.001445415,0.001007034,0.000534695,0.001007034,0.001007034,0.001007034
6,0,3.0,1,3.0,0.0,3.0,0.002231922,0.001530562,0.0005558876666666667,0.001530562,0.001530562,0.001530562
7,0,1.0,1,1.41421,0.0,1.0,0.000772616,0.000569845,0.000569845,0.000569845,0.000569845,0.000569845
8,0,2.0,1,2.0,0.0,2.0,0.001422973,0.000969804,0.000515435,0.000969804,0.000969804,0.000969804
9,0,2.0,1,2.0,0.0,2.0,0.001488439,0.001020613,0.0005439415,0.001020613,0.001020613,0.001020613
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.002571808,0.001883579,0.000665633,0.001883579,0.001883579,0.001883579
11,5,309.0,3,35.48526,0.4955078199082091,11.0,0.15444136,0.048638187666666666,0.004514895090909091,0.098496913,0.041778851,0.098496913
12,5,177.0,1,22.727890000000006,0.0,19.0,0.08953801,0.08477644,0.004539067000000001,0.08477644,0.08477644,0.08477644
13,5,109.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.057105955,0.052379606,0.0026741522000000005,0.052379606,0.052379606,0.052379606
14,5,23.0,1,23.0,0.0,23.0,0.016861459,0.011517867,0.0005547498260869565,0.011517867,0.011517867,0.011517867
15,5,128.0,1,20.656840000000003,0.0,19.0,0.065079177,0.060274056,0.003250803736842105,0.060274056,0.060274056,0.060274056
16,5,187.0,1,23.798940000000005,0.0,18.0,0.099036264,0.094657478,0.005314588055555556,0.094657478,0.094657478,0.094657478
17,5,122.0,1,20.384730000000005,0.0,15.0,0.061214442,0.057504664,0.0038899752,0.057504664,0.057504664,0.057504664
18,5,158.0,2,24.242630000000002,0.050779113262913365,11.5,0.084231278,0.039033591,0.0034651365217391304,0.075523758,0.075523758,0.075523758
19,5,183.0,1,22.727890000000006,0.0,19.0,0.096219983,0.091731868,0.004882494368421053,0.091731868,0.091731868,0.091731868
20,5,152.0,1,21.485260000000004,0.0,19.0,0.081756942,0.076513634,0.004104249947368421,0.076513634,0.076513634,0.076513634
21,10,367.0,5,48.899469999999994,0.1556415534448653,9.2,0.185876941,0.0345546214,0.0038513268478260866,0.080657258,0.040001731,0.080657258
22,10,445.0,4,43.31367999999999,0.04228913546201155,10.0,0.242199482,0.058204689000000004,0.0058798794250000015,0.202536233,0.023404823,0.202536233
23,10,5991.0,11,204.09522999999987,3.6522627028431636,16.181818181818183,3.315963745,0.29722252190909093,0.018439133764044945,1.371835495,0.236685518,0.460257477
24,10,199.0,1,43.24263,6.937603195763334e-07,42.0,0.110861596,0.101061335,0.0024629285476190483,0.101061335,0.101061335,0.101061335
25,10,617.0,1,42.52682999999998,0.0,33.0,0.335114453,0.326509063,0.00996168703030303,0.326509063,0.326509063,0.326509063
26,10,321.0,1,42.07105,0.0,40.0,0.178643973,0.169064111,0.004283344924999998,0.169064111,0.169064111,0.169064111
27,10,757.0,1,42.14209999999998,0.0,38.0,0.402200682,0.392431909,0.010403672078947369,0.392431909,0.392431909,0.392431909
28,10,666.0,2,44.45577999999998,0.013350322885062542,18.5,0.357301884,0.1738084205,0.009457348108108107,0.346635065,0.346635065,0.346635065
29,10,650.0,1,42.213149999999985,0.0,36.0,0.342870641,0.33365278,0.009338568638888885,0.33365278,0.33365278,0.33365278
30,10,539.0,3,41.21315,0.029258321345800274,11.666666666666666,0.289938521,0.09180042533333334,0.008105259142857141,0.270022297,0.004803307,0.270022297
31,15,1651.0,2,63.24263,4.743637990106598e-07,31.0,0.890382018,0.4376762205,0.01418810911290323,0.854945546,0.854945546,0.854945546
32,15,836.0,1,60.72789,0.0,57.0,0.457569884,0.443011394,0.007837757807017544,0.443011394,0.443011394,0.443011394
33,15,1561.0,5,63.45577999999998,0.05686357458828513,11.2,0.835950818,0.16441710099999998,0.014749710892857136,0.760916123,0.017645131,0.760916123
34,15,1341.0,3,62.899469999999994,0.013345502174119558,20.0,0.71625891,0.23385559933333333,0.011762624716666673,0.562843669,0.084550403,0.562843669
35,15,1755.0,5,75.62735999999995,0.21284574045830834,13.8,0.946990407,0.1860431442,0.013551657797101446,0.610776211,0.048584501,0.610776211
36,15,1664.0,1,63.48526,0.0,61.0,0.89223052,0.877652371,0.014454407573770494,0.877652371,0.877652371,0.877652371
37,15,1266.0,1,62.32576999999996,0.0,47.0,0.682459728,0.671477939,0.014345284531914887,0.671477939,0.671477939,0.671477939
38,15,1355.0,1,61.94103999999999,0.0,52.0,0.736167837,0.723593375,0.01397952607692308,0.723593375,0.723593375,0.723593375
39,15,1106.0,3,64.01208999999997,0.04622612521615157,17.333333333333332,0.597897418,0.1950773046666667,0.011317373480769229,0.569988668,0.012930407,0.569988668
40,15,1026.0,1,63.55631,1.573408144145291e-07,59.0,0.567824691,0.552534464,0.009430522288135594,0.552534464,0.552534464,0.552534464
41,20,1858.0,2,87.79893999999996,0.07787217116522044,41.0,1.013457032,0.4967442235,0.012188769634146338,0.560368225,0.560368225,0.560368225
42,20,5236.0,6,113.21314999999996,0.3701647395416044,17.833333333333332,2.957103025,0.4872422791666667,0.027453661252336458,2.203390605,0.04341125,2.203390605
43,20,2310.0,5,87.84050999999994,0.06752454599480018,15.0,1.270618556,0.25013541959999996,0.01674740129333334,1.068122355,0.006184185,1.068122355
44,20,8077.0,16,310.43838999999986,2.812502947447018,17.875,4.810013079,0.29569274262500006,0.016623271643356627,1.216481693,0.231577145,0.851341107
45,20,1852.0,10,94.94103999999994,0.17442275292365408,8.5,1.025137447,0.10029933939999999,0.011865820541176467,0.573551329,0.001249194,0.573551329
46,20,2132.0,4,91.22523999999993,0.08976797470335245,18.25,1.177271295,0.28987128725,0.015953436726027403,1.125120343,0.030843773,1.125120343
47,20,1865.0,8,94.21314999999997,0.1556081489667824,11.0,1.009224069,0.12345114324999998,0.011295773420454546,0.552066973,0.00124246,0.552066973
48,20,1771.0,4,99.86998999999997,0.21119423982303218,23.0,0.993579925,0.24215519025,0.010606556652173915,0.411739171,0.299033559,0.411739171
49,20,2454.0,7,83.84050999999994,0.020158595732978186,10.142857142857142,1.366089975,0.19236183714285712,0.019046232098591548,1.33430166,0.001243823,1.33430166
50,20,2311.0,5,83.22523999999993,0.027690324365172988,13.0,1.268366962,0.2505223476,0.01933521853846154,1.248926803,0.0009936,1.248926803
51,25,3191.0,4,103.11261999999994,0.008101169293339424,23.5,1.765674953,0.435564889,0.018601038,1.730565795,0.010392024,1.730565795
52,25,1748.0,2,101.14209999999997,9.8870894361292e-07,48.5,0.965618209,0.4713752695,0.009782585546391751,0.942308663,0.942308663,0.942308663
53,25,3886.0,3,102.11261999999995,0.008181153982859523,31.0,2.13387756,0.7036962923333333,0.022771896344086037,1.798344792,0.172872825,1.798344792
54,25,4729.0,3,110.11261999999998,0.09723102984405335,33.666666666666664,2.671770017,0.8817656456666666,0.0262589686732673,1.273980433,1.199059538,1.273980433
55,25,3611.0,9,116.42629999999993,0.12756089293496617,11.555555555555555,2.00299499,0.21963171233333334,0.01907138979807692,0.9517499,0.001314443,0.9517499
56,25,2986.0,5,102.52682999999993,0.008149914452594343,18.6,1.636453334,0.32288910680000005,0.01741993570967741,1.609684836,0.001463487,1.609684836
57,25,2708.0,4,121.21314999999996,0.19189315424098768,28.75,1.528747218,0.37505577725000006,0.01311919832173913,0.755720316,0.659441437,0.755720316
58,25,3294.0,12,114.42629999999993,0.10452228807505867,8.5,1.794243716,0.1474726315,0.017415929264705882,1.085121134,0.001255649,0.484038333
59,25,3186.0,1,100.35524999999993,2.4911563940315282e-06,90.0,1.758397115,1.736317959,0.019363290455555553,1.736317959,1.736317959,1.736317959
60,25,4769.0,9,130.2252399999999,0.26366021697362446,12.444444444444445,2.646230211,0.29096103422222236,0.023448620035714293,1.532495066,0.008657985,1.532495066
61,30,5282.0,9,132.53891999999988,0.09643222315977458,12.333333333333334,2.918022007,0.3211630595555556,0.026116018054054044,2.29205509,0.004769469,2.29205509
62,30,9200.0,15,330.73998000000006,1.6880250646120842,21.0,5.412289564,0.35553445293333336,0.017008308396825378,1.692190492,0.241364505,0.853969109
63,30,5709.0,10,134.19575999999986,0.09602136574130687,11.1,3.201387434,0.31736595780000004,0.028662975333333337,2.494293088,0.00173382,2.494293088
64,30,3684.0,3,131.82842,0.0966236596707511,43.666666666666664,2.068761686,0.678239074,0.0155997983129771,1.634391318,0.367561636,1.634391318
65,30,3750.0,8,149.1957599999999,0.22797896244351626,15.75,2.123869879,0.26155632262500006,0.01668219517460317,1.6043533,0.064990919,1.6043533
66,30,8026.0,3,132.52682999999993,0.0877030720365061,41.0,4.570436073,1.507866858,0.03690124848780485,2.346948428,2.14410847,2.346948428
67,30,6228.0,4,134.01208999999994,0.08879447202294342,30.5,3.53574253,0.8760843117499999,0.028790819163934417,1.738154434,1.404496187,1.738154434
68,30,3442.0,15,144.84050999999994,0.1771631637977271,8.8,1.934840682,0.12660282206666668,0.01446347107575757,1.206592564,0.015225859,0.161480665
69,30,4991.0,7,126.6689299999999,0.03756403430452975,16.142857142857142,2.78665558,0.39407158128571423,0.024480231469026555,2.738817495,0.001314941,2.738817495
70,30,4612.0,14,175.7815499999999,0.4484903794652045,10.928571428571429,2.623542068,0.18450016100000002,0.01695919689542484,1.194490127,0.108337818,0.51182857
71,35,8053.0,5,148.9236499999998,0.04879502799394208,24.4,4.544400047,0.9030178438,0.037077469131147525,3.666279988,0.000616818,3.666279988
72,35,8116.0,4,147.53891999999988,0.04492280234567465,31.5,4.575579333,1.1359617277499998,0.03614207642063494,3.619506929,0.922914691,3.619506929
73,35,7193.0,5,148.59787999999992,0.061322458075021555,27.4,4.094197946,0.8120488623999998,0.02971185397080292,2.197688122,0.002713103,2.197688122
74,35,5127.0,4,147.31367999999998,0.04935484560316263,36.0,2.894668128,0.7150582374999999,0.019930235763888877,1.606200924,1.246078971,1.606200924
75,35,6733.0,12,144.22523999999987,0.017533794271199818,10.5,3.782614256,0.31186163116666665,0.029831948603174598,3.586946648,0.001248712,0.108188391
76,35,5582.0,6,152.52682999999993,0.07795098129288902,23.833333333333332,3.177650034,0.5236980511666667,0.022043931825174824,2.149442592,0.045801293,2.149442592
77,35,7091.0,12,161.12470999999988,0.12655715124734226,11.666666666666666,3.989429718,0.32903752574999995,0.028270962999999993,2.862082084,0.001482164,0.934202106
78,35,6657.0,11,155.71049999999988,0.10525475220397125,12.272727272727273,3.807456517,0.3428655182727273,0.028007906814814836,2.624940729,0.001525373,0.82959117
79,35,7015.0,8,141.95312999999985,0.010062189143226137,15.0,4.086321995,0.5069571003749999,0.033859038583333306,4.048791848,0.001102657,4.048791848
80,35,6485.0,10,143.53891999999988,0.017616799240006482,12.2,3.642862061,0.3612644608000001,0.029680713377049174,3.557847813,0.001502047,3.557847813
81,40,5371.0,5,166.97051999999996,0.03571374516943405,32.4,3.057319395,0.602876588,0.01867990974691359,1.261779772,0.580603262,1.261779772
82,40,10273.0,8,169.1662799999998,0.04050461000977859,17.625,5.929286437,0.7368099575,0.041879279659574435,5.100158945,0.003883031,5.100158945
83,40,10170.0,7,169.9236499999998,0.04783124803443246,20.428571428571427,5.887166129,0.8359911977142858,0.04099284547552447,5.25061991,0.003919838,5.25061991
84,40,16281.0,9,193.68101999999982,0.20666014578530828,18.666666666666668,9.57043409,1.0584049535555553,0.056779048976190384,5.078348434,0.001089952,5.078348434
85,40,4377.0,4,172.31367999999998,0.060679076180627296,42.25,2.484279562,0.61013249875,0.014507893508875732,2.013552714,0.406889164,2.013552714
86,40,6356.0,13,173.19575999999986,0.08134484631665613,11.538461538461538,3.636478789,0.2766184023846154,0.024048884586666684,3.008288228,0.00566364,0.320287352
87,40,10348.0,11,179.29628999999989,0.1075739736351162,14.454545454545455,6.045670445,0.5459163654545455,0.0378418323333333,3.458119185,0.003954931,1.93062697
88,40,10187.0,4,173.98260999999988,0.06609604402068606,39.25,5.899021318,1.46502290475,0.0373961122420382,3.487688256,2.323533896,3.487688256
89,40,11447.0,20,313.30838000000045,0.9374586762805278,14.05,6.912808027,0.34214394140000015,0.024426923544483985,3.613189815,0.042734505,1.244424553
