Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,6.0,3,3.8284199999999995,0.0,1.0,0.001060283,0.00017011766666666668,0.00017011766666666668,0.000210172,0.0001873,0.000210172
2,0,2.0,2,2.0,0.0,1.0,0.000567061,9.5212e-05,9.5212e-05,0.00011153,0.00011153,0.00011153
3,0,2.0,2,2.0,0.0,1.0,0.000600663,9.27975e-05,9.27975e-05,0.000113835,0.000113835,0.000113835
4,0,3.0,2,2.4142099999999997,0.0,1.0,0.000670979,0.0001448465,0.0001448465,0.000180629,0.000180629,0.000180629
5,0,5.0,4,4.0,0.17157409766827458,1.0,0.001124134,9.9509e-05,9.9509e-05,0.000167932,0.000112053,0.000167932
6,0,3.0,2,2.4142099999999997,0.0,1.0,0.000689773,0.0001453975,0.0001453975,0.00017971,0.00017971,0.00017971
7,0,5.0,3,3.4142099999999997,0.0,1.0,0.001000139,0.000141967,0.000141967,0.000243267,0.00011094,0.000243267
8,0,3.0,2,2.82842,0.0,1.0,0.000745678,0.00016292249999999998,0.00016292249999999998,0.000183791,0.000183791,0.000183791
9,0,1.0,1,1.41421,0.0,1.0,0.000331231,0.000134678,0.000134678,0.000134678,0.000134678,0.000134678
10,0,2.0,2,2.0,0.0,1.0,0.000602083,9.3361e-05,9.3361e-05,9.8795e-05,9.8795e-05,9.8795e-05
11,5,45.0,22,23.242630000000002,1.2907333948188663e-06,1.0,0.007056176,0.00014274104545454545,0.00014274104545454545,0.001335515,7.3754e-05,0.000200897
12,5,46.0,21,23.485260000000004,0.0,1.0,0.007039673,0.0001593832857142857,0.0001593832857142857,0.001110756,7.5851e-05,0.000233633
13,5,42.0,19,21.485260000000004,0.0,1.0,0.00695086,0.0001675911578947368,0.0001675911578947368,0.001028685,7.8626e-05,0.000241527
14,5,47.0,22,23.656840000000003,0.06358249485222066,1.0,0.007107807,0.0001443557727272727,0.0001443557727272727,0.000932978,6.8701e-05,0.000236101
15,5,63.0,25,26.242630000000002,0.12563128117801983,1.0,0.008433098,0.00016213103999999999,0.00016213103999999999,0.000666532,7.5121e-05,0.000422124
