Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000964128,0.000402667,0.000139602,0.000402667,0.000402667,0.000402667
2,0,2.0,1,2.82842,0.0,2.0,0.000642722,0.000255983,0.0001323585,0.000255983,0.000255983,0.000255983
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.001165473,0.000571004,0.0001957023333333333,0.000571004,0.000571004,0.000571004
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.001022927,0.000411632,0.00014257133333333332,0.000411632,0.000411632,0.000411632
5,0,2.0,1,2.0,0.0,2.0,0.000577029,0.000199935,0.0001044055,0.000199935,0.000199935,0.000199935
6,0,3.0,1,3.0,0.0,3.0,0.000899118,0.000332111,0.00011611499999999998,0.000332111,0.000332111,0.000332111
7,0,1.0,1,1.41421,0.0,1.0,0.000320633,0.000109538,0.000109538,0.000109538,0.000109538,0.000109538
8,0,2.0,1,2.0,0.0,2.0,0.000589032,0.000204747,0.0001068655,0.000204747,0.000204747,0.000204747
9,0,2.0,1,2.0,0.0,2.0,0.00064344,0.000246572,0.00012825500000000002,0.000246572,0.000246572,0.000246572
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.001027143,0.000407152,0.00014104033333333334,0.000407152,0.000407152,0.000407152
11,5,359.0,3,26.071050000000003,0.0987508376215342,8.0,0.032503179,0.009274926333333334,0.001175968375,0.01657074,0.005653207,0.01657074
12,5,171.0,1,22.727890000000002,0.0,19.0,0.017323046,0.01351491,0.0007293089999999999,0.01351491,0.01351491,0.01351491
13,5,136.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.016004308,0.011557849,0.000596715,0.011557849,0.011557849,0.011557849
14,5,23.0,1,23.0,0.0,23.0,0.006535985,0.001930131,0.00010586213043478264,0.001930131,0.001930131,0.001930131
15,5,156.0,1,20.65684,0.0,19.0,0.016965547,0.0129175,0.0006978856842105264,0.0129175,0.0129175,0.0129175
16,5,266.0,1,23.798940000000005,0.0,18.0,0.025205056,0.021691421,0.0012226872222222225,0.021691421,0.021691421,0.021691421
17,5,165.0,1,20.384730000000005,0.0,15.0,0.016132531,0.013242385,0.0008968689333333336,0.013242385,0.013242385,0.013242385
18,5,211.0,2,23.071050000000003,0.0,10.5,0.022479679,0.009017460000000001,0.0008759252380952385,0.016053666,0.016053666,0.016053666
19,5,293.0,1,22.727890000000002,0.0,19.0,0.027789172,0.024061462,0.0012847664210526317,0.024061462,0.024061462,0.024061462
20,5,185.0,1,21.485260000000004,0.0,19.0,0.018912523,0.015162848,0.0008161895263157894,0.015162848,0.015162848,0.015162848
21,10,422.0,3,42.31367999999999,0.0,13.0,0.042531289,0.011527570333333334,0.0009154365641025642,0.015501308,0.009727863,0.015501308
22,10,902.0,2,41.556309999999996,2.40637400251435e-07,18.5,0.090385026,0.0413624705,0.002265654162162162,0.063216218,0.063216218,0.063216218
23,10,73113.0,108,244.42099999999974,4.571471229835349,1.8796296296296295,6.613628595,0.06084950785185185,0.03239765030541871,0.090267639,0.074308707,0.086178535
24,10,215.0,1,43.24262999999999,6.937603194120179e-07,42.0,0.027856988,0.019050173,0.0004909527142857147,0.019050173,0.019050173,0.019050173
25,10,873.0,1,42.52682999999998,0.0,33.0,0.089515528,0.082167995,0.002517999272727273,0.082167995,0.082167995,0.082167995
26,10,466.0,1,42.071049999999985,0.0,40.0,0.04812364,0.039033707,0.001011328125,0.039033707,0.039033707,0.039033707
27,10,545.0,1,42.14209999999998,0.0,38.0,0.053381056,0.044885619,0.001214395157894737,0.044885619,0.044885619,0.044885619
28,10,866.0,1,43.86998999999998,0.0,36.0,0.086280137,0.078846397,0.002220794222222222,0.078846397,0.078846397,0.078846397
29,10,775.0,1,42.213149999999985,0.0,36.0,0.08103466,0.072977077,0.00205699,0.072977077,0.072977077,0.072977077
30,10,845.0,3,41.21315,0.029258321345800274,11.666666666666666,0.086653196,0.026509111666666665,0.0022965612,0.045166117,0.021433587,0.045166117
31,15,1457.0,5,66.07105,0.04472380958404614,12.8,0.146324487,0.0264004502,0.00210945465625,0.082669954,0.010015598,0.082669954
32,15,1314.0,2,60.727889999999974,0.0,28.5,0.130052495,0.058770971000000005,0.0021072149473684207,0.082302076,0.082302076,0.082302076
33,15,3548.0,11,62.62735999999999,0.04306614080903884,5.090909090909091,0.326707874,0.028655774999999998,0.005654706017857144,0.082099391,0.012501766,0.058740171
34,15,4975.0,14,62.07105,0.0,4.285714285714286,0.468837328,0.03256128457142858,0.0076264211166666655,0.081382935,0.027082043,0.071214466
35,15,4219.0,13,66.45577999999998,0.06575992738387877,4.538461538461538,0.383980522,0.02856866869230769,0.006320757305084745,0.072631206,0.011662733,0.072434028
36,15,431.0,1,63.48525999999999,0.0,61.0,0.050663455,0.03590841,0.0006422182786885247,0.03590841,0.03590841,0.03590841
37,15,3133.0,7,68.42629999999996,0.09787905188693558,8.0,0.301934952,0.041482336,0.005218510839285715,0.082076823,0.038409221,0.082076823
38,15,2536.0,4,63.11261999999994,0.018913451650034375,13.5,0.242854238,0.057775255250000004,0.004317643833333334,0.082218837,0.07566464,0.082218837
39,15,2653.0,7,64.35524999999998,0.05183479940768612,7.714285714285714,0.259236946,0.03529120142857143,0.004603759333333332,0.081720393,0.019705318,0.081720393
40,15,1630.0,2,63.55630999999997,1.5734081385554226e-07,29.5,0.159647232,0.0731476105,0.002526913932203391,0.083052052,0.083052052,0.083052052
41,20,2195.0,5,81.45577999999995,0.0,14.8,0.217742699,0.039851818,0.0027436189594594582,0.083514792,0.020054645,0.083514792
42,20,2421.0,7,90.62735999999995,0.09681969903446024,12.0,0.236285154,0.03032495842857143,0.0026368735119047617,0.083315134,0.019384756,0.083315134
43,20,5084.0,13,88.86998999999996,0.08003580269869169,6.230769230769231,0.489845719,0.036312120230769226,0.00586855220987654,0.091105564,0.024226941,0.081802805
44,20,4711.0,7,87.76945999999997,0.07789930538498528,11.0,0.449268415,0.061688112999999996,0.005659205376623375,0.087178879,0.077082997,0.087178879
45,20,4416.0,6,83.76945999999992,0.03623006261705046,12.166666666666666,0.418179308,0.0668407015,0.005536641506849314,0.083364728,0.066475733,0.083364728
46,20,5835.0,10,92.88207999999992,0.10956042656434499,7.3,0.561775894,0.05460621560000001,0.007521028452054797,0.091664436,0.059965268,0.091664436
47,20,4474.0,6,87.04156999999995,0.06764233645581952,13.333333333333334,0.41893305,0.06695682316666667,0.005062689387500002,0.082230227,0.067029859,0.082230227
48,20,5752.0,13,89.62735999999995,0.0869745972994011,6.384615384615385,0.51698332,0.038316447999999996,0.00603269315662651,0.084098845,0.019455762,0.084087493
49,20,4162.0,5,84.18366999999994,0.02433411450918466,14.6,0.404808299,0.077483454,0.005365743191780823,0.090958681,0.077311967,0.090958681
50,20,4462.0,6,83.56839999999991,0.03192776737776311,11.166666666666666,0.441005954,0.06941928416666666,0.0064053773582089584,0.092989971,0.077546438,0.092989971
51,25,6397.0,12,106.28419999999994,0.03910875601266997,8.166666666666666,0.619692838,0.04974764608333334,0.006146628948979587,0.088850325,0.072560024,0.086818534
52,25,2910.0,5,102.31367999999998,0.011584504953431619,19.8,0.2949224,0.0539798512,0.0027922304242424243,0.091050732,0.073478783,0.091050732
53,25,22193.0,27,106.11261999999995,0.04767406500533099,3.5925925925925926,2.088080927,0.07654726222222223,0.021348102494845367,0.09265761,0.081524968,0.09019913
54,25,17402.0,21,114.11261999999996,0.13708953216082864,5.0,1.626671343,0.07625115295238094,0.015304342200000001,0.089617209,0.074975066,0.088853707
55,25,14440.0,22,112.42629999999994,0.08882184882087982,4.545454545454546,1.336855749,0.059751880590909086,0.01318898189,0.092094273,0.066335784,0.081787274
56,25,4981.0,6,101.69840999999994,4.031544375950348e-06,15.5,0.497194828,0.07890223666666667,0.005164611913978494,0.090125345,0.083121809,0.090125345
57,25,3869.0,7,105.21314999999996,0.03456459320733901,14.142857142857142,0.379017075,0.04993228157142857,0.0036490906868686863,0.08384018,0.046349865,0.08384018
58,25,9512.0,15,113.35524999999993,0.09418376802640908,6.866666666666666,0.895650342,0.05818916293333333,0.00852197786407767,0.090921023,0.062690173,0.082677872
59,25,5921.0,9,102.35524999999993,0.019931742314781755,10.222222222222221,0.580745984,0.06144487077777778,0.006133172608695649,0.090307506,0.076387144,0.090307506
60,25,19472.0,28,114.36733999999988,0.10978069749839776,3.2857142857142856,1.828232572,0.06458670207142857,0.019690989652173918,0.091917792,0.073899965,0.089490986
61,30,11262.0,17,124.29628999999987,0.028244817259805977,6.117647058823529,1.089418302,0.0620858535882353,0.01029526981730769,0.090124484,0.074662112,0.08923022
62,30,66607.0,118,335.36734,1.7256330358739294,2.652542372881356,6.135368434,0.05138199433898307,0.01942293262939299,0.090294367,0.050842721,0.082747287
63,30,20686.0,26,130.33785999999986,0.06451261444474286,3.9615384615384617,1.96752097,0.0747283801153846,0.018905379621359217,0.091491548,0.079276499,0.088749948
64,30,6260.0,10,126.89946999999998,0.05562185454152201,12.4,0.629778825,0.05986191220000001,0.0049051795322580674,0.09039198,0.076610225,0.09039198
