Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000660177,0.000251653,0.00013035450000000001,0.000251653,0.000251653,0.000251653
2,0,3.0,1,3.0,0.0,3.0,0.000908918,0.000325018,0.000113947,0.000325018,0.000325018,0.000325018
3,0,2.0,1,2.82842,0.0,2.0,0.000671164,0.000251138,0.000130166,0.000251138,0.000251138,0.000251138
4,0,2.0,1,2.82842,0.0,2.0,0.000667869,0.000252785,0.0001310085,0.000252785,0.000252785,0.000252785
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001191272,0.000564798,0.00019418266666666666,0.000564798,0.000564798,0.000564798
6,0,3.0,1,3.0,0.0,3.0,0.000916269,0.000325332,0.00011439566666666667,0.000325332,0.000325332,0.000325332
7,0,3.0,1,3.0,0.0,3.0,0.000895116,0.00032632,0.00011465333333333332,0.00032632,0.00032632,0.00032632
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.001031403,0.00041125,0.00014258833333333332,0.00041125,0.00041125,0.00041125
9,0,2.0,1,2.82842,0.0,2.0,0.00065517,0.000250599,0.0001299235,0.000250599,0.000250599,0.000250599
10,0,4.0,1,3.4142099999999997,0.001234604105571731,3.0,0.000990405,0.000388476,0.00013506033333333335,0.000388476,0.000388476,0.000388476
11,5,245.0,1,23.31368,0.00015787215787227765,20.0,0.023795407,0.019835631,0.0010112906000000002,0.019835631,0.019835631,0.019835631
12,5,291.0,1,23.899470000000004,0.0,21.0,0.028122293,0.023639898,0.001144381571428572,0.023639898,0.023639898,0.023639898
13,5,102.0,1,23.82842,0.0,23.0,0.01345581,0.008677781,0.00039827660869565224,0.008677781,0.008677781,0.008677781
14,5,102.0,1,23.82842,0.0,23.0,0.013203279,0.008682385,0.0003986830434782609,0.008682385,0.008682385,0.008682385
15,5,264.0,1,23.384730000000005,0.00020230966638176538,18.0,0.025061593,0.021442366,0.0012076102222222224,0.021442366,0.021442366,0.021442366
16,5,0.0,0,0.0,0.0,0.0,7.119e-06,0.0,0.0,0.0,0.0,0.0
