Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000940239,0.000382604,0.000130247,0.000382604,0.000382604,0.000382604
2,0,2.0,1,2.82842,0.0,2.0,0.000672186,0.000250618,0.000127451,0.000250618,0.000250618,0.000250618
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.00109345,0.000522834,0.00017709666666666668,0.000522834,0.000522834,0.000522834
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.000944879,0.000386165,0.00013168433333333332,0.000386165,0.000386165,0.000386165
5,0,2.0,1,2.0,0.0,2.0,0.000600691,0.000172421,8.88065e-05,0.000172421,0.000172421,0.000172421
6,0,3.0,1,3.0,0.0,3.0,0.000924728,0.000308423,0.00010567166666666665,0.000308423,0.000308423,0.000308423
7,0,1.0,1,1.41421,0.0,1.0,0.000324508,0.000118957,0.000118957,0.000118957,0.000118957,0.000118957
8,0,2.0,1,2.0,0.0,2.0,0.000592126,0.000170454,8.7309e-05,0.000170454,0.000170454,0.000170454
9,0,2.0,1,2.0,0.0,2.0,0.000644302,0.000234868,0.00011945800000000001,0.000234868,0.000234868,0.000234868
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.000975374,0.000371157,0.00012643500000000002,0.000371157,0.000371157,0.000371157
11,5,124.0,1,23.727890000000002,0.0,20.0,0.010742912,0.007070815,0.00036347160000000007,0.007070815,0.007070815,0.007070815
12,5,121.0,1,22.727890000000002,0.0,19.0,0.01127059,0.007452333,0.00040254931578947366,0.007452333,0.007452333,0.007452333
13,5,116.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.011287954,0.007507777,0.00038552845000000015,0.007507777,0.007507777,0.007507777
14,5,23.0,1,23.0,0.0,23.0,0.006447954,0.001939099,9.559195652173918e-05,0.001939099,0.001939099,0.001939099
15,5,109.0,1,20.656840000000003,0.0,19.0,0.010496862,0.006926066,0.000374076052631579,0.006926066,0.006926066,0.006926066
16,5,158.0,1,23.798940000000005,0.0,18.0,0.013297772,0.009950434,0.000561925,0.009950434,0.009950434,0.009950434
17,5,103.0,1,20.384730000000005,0.0,15.0,0.009798834,0.006767274,0.00045940360000000003,0.006767274,0.006767274,0.006767274
18,5,137.0,1,23.071050000000003,0.0,21.0,0.012463661,0.00864094,0.00042170985714285705,0.00864094,0.00864094,0.00864094
19,5,173.0,1,22.727890000000006,0.0,19.0,0.014415262,0.010927523,0.0005844918421052632,0.010927523,0.010927523,0.010927523
20,5,138.0,1,21.485260000000004,0.0,19.0,0.012478973,0.008743738,0.000469677789473684,0.008743738,0.008743738,0.008743738
21,10,336.0,1,42.89946999999999,0.01384350694928568,40.0,0.030309127,0.022025985,0.0005692222000000002,0.022025985,0.022025985,0.022025985
22,10,270.0,1,41.556309999999996,2.40637400251435e-07,37.0,0.027856579,0.016998127,0.00047594078378378397,0.016998127,0.016998127,0.016998127
23,10,716.0,1,44.69840999999998,0.018880969042696063,36.0,0.055238759,0.048182055,0.001354903777777778,0.048182055,0.048182055,0.048182055
24,10,208.0,1,43.24262999999999,6.937603194120179e-07,42.0,0.021904436,0.013741154,0.0003458551666666668,0.013741154,0.013741154,0.013741154
25,10,423.0,1,42.52682999999998,0.0,33.0,0.036391316,0.029722604,0.000916074151515152,0.029722604,0.029722604,0.029722604
26,10,285.0,1,42.071049999999985,0.0,40.0,0.02927317,0.01841548,0.0005528843999999998,0.01841548,0.01841548,0.01841548
27,10,299.0,1,42.97051999999998,0.01965777690243201,38.0,0.028999179,0.018220001,0.0005764074210526316,0.018220001,0.018220001,0.018220001
28,10,440.0,1,43.86998999999998,0.0,36.0,0.037181453,0.030414382,0.0008615176111111113,0.030414382,0.030414382,0.030414382
29,10,381.0,1,42.213149999999985,0.0,36.0,0.033947193,0.026977343,0.0007655765277777778,0.026977343,0.026977343,0.026977343
30,10,367.0,1,40.04157000000001,0.0,33.0,0.03273678,0.026049009,0.0008045368484848485,0.026049009,0.026049009,0.026049009
31,15,668.0,1,64.89947,0.026198638259653947,62.0,0.060106259,0.046346593,0.0007741416612903227,0.046346593,0.046346593,0.046346593
32,15,647.0,1,60.727889999999974,0.0,57.0,0.055710892,0.044139293,0.0007991901754385966,0.044139293,0.044139293,0.044139293
33,15,796.0,1,62.526829999999975,0.041391801684165196,53.0,0.0612645,0.050662407,0.000978509905660377,0.050662407,0.050662407,0.050662407
34,15,502.0,1,63.727889999999995,0.026691809876093604,60.0,0.045339676,0.032620265,0.0005698986666666671,0.032620265,0.032620265,0.032620265
35,15,883.0,1,64.59787999999998,0.035964545114849505,53.0,0.067931268,0.057450221,0.0011069847169811321,0.057450221,0.057450221,0.057450221
36,15,330.0,1,64.31367999999999,0.013048374978144366,61.0,0.03538581,0.023027331,0.0004039489508196722,0.023027331,0.023027331,0.023027331
37,15,979.0,1,62.32576999999996,0.0,47.0,0.07637472,0.0663799,0.001433513808510639,0.0663799,0.0663799,0.0663799
38,15,1098.0,1,61.941039999999944,0.0,52.0,0.087344153,0.073680866,0.0014411525384615384,0.073680866,0.073680866,0.073680866
39,15,1092.0,1,62.01208999999997,0.013537733844579354,50.0,0.080729316,0.070662235,0.0014405237000000002,0.070662235,0.070662235,0.070662235
40,15,864.0,1,63.55630999999997,1.5734081385554226e-07,59.0,0.071399086,0.059413829,0.0010324408813559322,0.059413829,0.059413829,0.059413829
41,20,771.0,1,81.45577999999995,0.0,74.0,0.063099612,0.048257734,0.0006835304459459463,0.048257734,0.048257734,0.048257734
42,20,695.0,1,83.21314999999997,0.007089052783943051,77.0,0.061061232,0.045390199,0.000621997961038961,0.045390199,0.045390199,0.045390199
43,20,1160.0,2,85.59787999999995,0.040269893527683225,37.0,0.090736686,0.0358101955,0.0010020167027027028,0.067945315,0.067945315,0.067945315
44,20,1247.0,2,81.42629999999996,0.0,34.5,0.105609925,0.0426825625,0.0013533076231884058,0.071811818,0.071811818,0.071811818
45,20,1623.0,2,83.66892999999993,0.034986504306003884,35.0,0.127074052,0.0563204945,0.0016377374142857138,0.069609231,0.069609231,0.069609231
46,20,1616.0,2,84.88207999999993,0.01399319322380446,32.5,0.130688288,0.057917194500000005,0.001809561261538462,0.072754288,0.072754288,0.072754288
47,20,1927.0,2,83.52682999999995,0.024530921695783227,37.0,0.147010905,0.06580202,0.00180880708108108,0.07022331,0.07022331,0.07022331
48,20,2429.0,3,85.28419999999994,0.03430201392746108,25.666666666666668,0.180742279,0.054496092999999995,0.002154977350649351,0.075140031,0.070416196,0.075140031
49,20,1554.0,2,85.25471999999992,0.037366488286011544,36.0,0.127375747,0.056460901499999994,0.0015975372916666659,0.079650879,0.079650879,0.079650879
50,20,1625.0,2,80.98260999999991,0.0,32.0,0.128884593,0.057651256,0.0018283556249999995,0.072128914,0.072128914,0.072128914
51,25,3198.0,3,105.11261999999994,0.02765456962965791,32.0,0.252317863,0.076800548,0.0024398804895833332,0.087161865,0.079016718,0.087161865
52,25,1299.0,2,101.14209999999997,9.8870894361292e-07,48.5,0.121028942,0.0490736305,0.0010512426907216493,0.07827251,0.07827251,0.07827251
53,25,1690.0,2,102.94103999999996,0.01636033332016856,46.5,0.138337302,0.0594795365,0.0013165831182795698,0.070509036,0.070509036,0.070509036
54,25,2561.0,3,104.01208999999997,0.036441532559413764,30.666666666666668,0.210614534,0.06363551366666667,0.002112003141304348,0.089221539,0.069615465,0.089221539
55,25,2983.0,3,108.08313999999993,0.04675938211224574,31.333333333333332,0.231695209,0.069917041,0.0022688125851063833,0.078034096,0.069877138,0.078034096
56,25,1926.0,2,101.69840999999994,4.031544375950348e-06,46.5,0.159002601,0.06785774650000001,0.0015358668064516124,0.077322388,0.077322388,0.077322388
57,25,1559.0,2,101.69840999999994,4.031544375950348e-06,46.5,0.131217485,0.055830412999999995,0.0012377970752688171,0.071996912,0.071996912,0.071996912
58,25,2801.0,3,103.59787999999992,0.0,30.666666666666668,0.209761355,0.062932274,0.0020903953260869557,0.075383992,0.071127639,0.075383992
59,25,2288.0,3,100.35524999999993,2.4911563940315282e-06,30.0,0.187687741,0.053605552,0.0018931361555555566,0.085147939,0.070048599,0.085147939
60,25,1491.0,2,103.88207999999989,0.0080353989170715,42.0,0.115864046,0.048311027,0.0011855508452380953,0.067985822,0.067985822,0.067985822
61,30,1270.0,2,121.46786999999988,0.004846627289421684,51.0,0.104564536,0.0403602615,0.0008338013039215688,0.066203783,0.066203783,0.066203783
62,30,1957.0,2,124.21314999999996,0.009518294566082757,59.0,0.166485671,0.067662959,0.0011946357711864403,0.071318812,0.071318812,0.071318812
63,30,1534.0,2,122.43838999999986,0.0,49.0,0.126447891,0.0521236815,0.0011029009795918364,0.066627648,0.066627648,0.066627648
64,30,2164.0,2,120.21314999999996,1.2477851809899672e-06,57.0,0.19361868,0.084056291,0.0015209131666666673,0.086248384,0.086248384,0.086248384
65,30,5621.0,6,127.63944999999988,0.05055639233890452,18.166666666666668,0.430707522,0.06732484983333333,0.0037493578073394497,0.085488884,0.077943012,0.085488884
66,30,3697.0,4,121.84050999999995,0.0,27.25,0.302328183,0.068318993,0.002587129642201833,0.08992673,0.0884485,0.08992673
67,30,4608.0,5,130.39681999999993,0.059421853545980646,22.6,0.369868564,0.06909946139999999,0.003100776654867259,0.088465648,0.079432184,0.088465648
68,30,4129.0,4,129.52682999999996,0.05270419856634287,30.0,0.322233721,0.07330923975,0.0024909831333333353,0.079032775,0.078163803,0.079032775
69,30,2837.0,3,124.0831399999999,0.01638344405035838,36.666666666666664,0.226737244,0.06737626533333334,0.001881784981818181,0.085125742,0.0715739,0.085125742
70,30,3906.0,4,125.01208999999994,0.030135470314366444,28.25,0.295908338,0.06715650925,0.002423139504424781,0.079447141,0.075255653,0.079447141
71,35,1913.0,2,143.16627999999983,0.008248741152856265,57.5,0.157293847,0.064529425,0.0011686078000000008,0.06770326,0.06770326,0.06770326
72,35,2814.0,3,141.19575999999986,0.0,39.333333333333336,0.219253184,0.064489129,0.0016866709830508481,0.080903183,0.070421881,0.080903183
73,35,2856.0,3,140.01208999999994,6.428020451340035e-07,42.666666666666664,0.235741289,0.068782561,0.0016636122265624993,0.079825739,0.077872606,0.079825739
74,35,1053.0,1,140.38473,0.0,135.0,0.109099485,0.078421115,0.0006362958962962959,0.078421115,0.078421115,0.078421115
75,35,3739.0,4,145.3968199999999,0.02579949202765554,32.0,0.302378658,0.06823731875,0.002183132132812498,0.081854494,0.080655164,0.081854494
76,35,3540.0,4,146.3257699999999,0.03412630656480263,32.75,0.292173148,0.065517361,0.0020510667480915998,0.089143063,0.080562333,0.089143063
77,35,3795.0,4,145.02417999999983,0.01398492560688996,30.25,0.293265395,0.0663992645,0.002245237917355368,0.081130973,0.075930148,0.081130973
78,35,3985.0,4,140.88207999999986,5.678511084089013e-07,30.25,0.315486646,0.0699143455,0.002415081603305785,0.082140564,0.075459194,0.082140564
79,35,3483.0,4,140.53891999999985,0.0,29.75,0.271641771,0.06115181525,0.0021038236974789907,0.079231248,0.077147705,0.079231248
80,35,3713.0,4,141.88207999999986,0.005870659463750463,30.5,0.30022595,0.06778909775,0.002270751524590164,0.080280042,0.078822295,0.080280042
81,40,1634.0,2,161.79893999999996,0.0036345704130558037,78.0,0.15471528,0.0567197115,0.0008125928589743592,0.079488718,0.079488718,0.079488718
82,40,2977.0,3,163.7520699999998,0.007202994199813112,45.333333333333336,0.239365045,0.06907244933333333,0.0015769926691176469,0.077118589,0.069698962,0.077118589
83,40,3057.0,3,162.1662799999998,0.0,44.666666666666664,0.243228655,0.07088283633333334,0.0016396295895522387,0.077490646,0.06993133,0.077490646
84,40,3195.0,3,161.09522999999982,0.003646065665689522,45.0,0.251677729,0.073674859,0.0016903642444444443,0.081270992,0.070780735,0.081270992
85,40,3682.0,4,162.45577999999995,0.0,38.75,0.327751496,0.0720710655,0.0019199144516129029,0.085826654,0.085289678,0.085826654
86,40,4144.0,4,161.82311999999982,0.010339957669181646,33.0,0.312553976,0.07038703775,0.0021869490303030284,0.07739521,0.076611599,0.07739521
87,40,7809.0,8,168.8525999999999,0.04305975957796361,18.0,0.639645498,0.075660417625,0.004256750229166665,0.093423188,0.086469584,0.093423188
88,40,4572.0,5,163.19575999999986,0.0,28.0,0.37357708,0.0683755122,0.002495746628571429,0.092973353,0.080874028,0.092973353
89,40,5356.0,5,164.53891999999985,0.01748749312044224,28.6,0.429418879,0.077637025,0.002821559258741257,0.082116451,0.078013816,0.082116451
90,40,3974.0,4,166.2962899999999,0.03300528627246299,36.5,0.313631669,0.06910410875,0.00195264133561644,0.078998492,0.078252409,0.078998492
91,45,3188.0,3,184.62205999999978,0.013643905411859078,49.666666666666664,0.255475943,0.07265394833333333,0.0015226022751677847,0.07897765,0.073473297,0.07897765
92,45,4859.0,5,181.85259999999982,0.0,31.4,0.388829768,0.0705295342,0.0023066532547770698,0.08706815,0.074598192,0.08706815
93,45,4613.0,5,181.50943999999984,0.0,31.0,0.370716913,0.06683016039999999,0.002215929851612904,0.082217024,0.078738983,0.082217024
94,45,5060.0,5,183.66892999999993,0.0,34.0,0.431986739,0.077408112,0.0023687665176470563,0.08426176,0.082678814,0.08426176
95,45,1999.0,2,180.04156999999998,0.0,86.5,0.193193346,0.0748987225,0.0009386574739884405,0.080841026,0.080841026,0.080841026
96,45,5323.0,5,182.82311999999985,6.56372556183509e-07,30.6,0.433791209,0.0778894232,0.002654355980392157,0.082863308,0.079007187,0.082863308
97,45,6812.0,7,185.73997999999992,0.020084137453798098,24.285714285714285,0.551573312,0.07293687814285713,0.0030667599588235263,0.091935531,0.078242646,0.091935531
98,45,3635.0,4,183.88207999999986,0.010996580200348879,41.0,0.301406425,0.06404260475000001,0.001630894987804876,0.078958958,0.078259808,0.078958958
99,45,12931.0,12,196.12470999999985,0.08554710548018664,14.583333333333334,1.068066668,0.08476317883333333,0.005925345914285719,0.101870939,0.08572264,0.101857307
100,45,4210.0,4,183.60996999999983,0.011012444248663728,40.0,0.345724111,0.07585988625,0.001961234306250002,0.086505608,0.077826329,0.086505608
101,50,5905.0,6,200.88207999999986,0.0029260694172617905,30.166666666666668,0.495622068,0.07503270583333334,0.002557829298342542,0.08349644,0.082223313,0.08349644
