Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000504904,0.000203297,0.0001037025,0.000203297,0.000203297,0.000203297
2,0,2.0,1,2.82842,0.0,2.0,0.000554841,0.000252067,0.0001281025,0.000252067,0.000252067,0.000252067
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.000727004,0.000311868,0.00015874099999999998,0.000311868,0.000311868,0.000311868
4,0,1.0,1,1.41421,0.0,1.0,0.000353347,0.000150961,0.000150961,0.000150961,0.000150961,0.000150961
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001023253,0.000388375,0.00013471366666666668,0.000388375,0.000388375,0.000388375
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.000984797,0.000405261,0.00013797933333333334,0.000405261,0.000405261,0.000405261
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.001036056,0.000388895,0.00013243533333333332,0.000388895,0.000388895,0.000388895
8,0,1.0,1,1.41421,0.0,1.0,0.000337674,0.000116623,0.000116623,0.000116623,0.000116623,0.000116623
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.00097029,0.000400674,0.00013625966666666668,0.000400674,0.000400674,0.000400674
10,0,3.0,1,3.0,0.0,3.0,0.000911935,0.000349429,0.00011919233333333333,0.000349429,0.000349429,0.000349429
11,5,171.0,1,22.727890000000006,0.0,19.0,0.019291498,0.015926279,0.000847784789473684,0.015926279,0.015926279,0.015926279
12,5,156.0,1,21.727890000000006,0.0,18.0,0.018445818,0.015056077,0.0008455021111111112,0.015056077,0.015056077,0.015056077
13,5,88.0,1,20.798940000000005,0.0,15.0,0.008359981,0.005791158,0.0003941910666666667,0.005791158,0.005791158,0.005791158
14,5,116.0,1,23.213150000000006,0.0,17.0,0.015115208,0.012313276,0.0007333056470588235,0.012313276,0.012313276,0.012313276
15,5,175.0,1,23.142100000000006,3.07034683870565e-16,19.0,0.019274186,0.015946672,0.0008488698421052632,0.015946672,0.015946672,0.015946672
16,5,124.0,1,23.213150000000006,0.0,17.0,0.015837219,0.012879452,0.000766457882352941,0.012879452,0.012879452,0.012879452
17,5,164.0,1,22.142100000000006,3.209012405147209e-16,18.0,0.019078038,0.015605002,0.0008760001111111111,0.015605002,0.015605002,0.015605002
18,5,117.0,1,20.970520000000004,0.0,16.0,0.015086768,0.012374204,0.0007838595624999998,0.012374204,0.012374204,0.012374204
19,5,187.0,1,23.313680000000005,0.0,20.0,0.020514725,0.016855142,0.0008526865499999999,0.016855142,0.016855142,0.016855142
20,5,132.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.016215571,0.013553535,0.0008552836249999999,0.013553535,0.013553535,0.013553535
21,10,526.0,2,41.86998999999999,0.0,17.0,0.045127081,0.019378029,0.0011543846176470586,0.0338784,0.0338784,0.0338784
