Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000642006,0.000259566,0.00013199949999999998,0.000259566,0.000259566,0.000259566
2,0,3.0,1,3.0,0.0,3.0,0.000977049,0.000322651,0.000110439,0.000322651,0.000322651,0.000322651
3,0,2.0,1,2.82842,0.0,2.0,0.000646574,0.000267985,0.000136191,0.000267985,0.000267985,0.000267985
4,0,2.0,1,2.82842,0.0,2.0,0.000706102,0.000274915,0.0001396135,0.000274915,0.000274915,0.000274915
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001109514,0.000544732,0.00018455600000000003,0.000544732,0.000544732,0.000544732
6,0,3.0,1,3.0,0.0,3.0,0.000871365,0.000325831,0.00011161366666666667,0.000325831,0.000325831,0.000325831
7,0,3.0,1,3.0,0.0,3.0,0.000866234,0.000305974,0.00010500566666666666,0.000305974,0.000305974,0.000305974
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.001033526,0.000410968,0.000139893,0.000410968,0.000410968,0.000410968
9,0,2.0,1,2.82842,0.0,2.0,0.000665346,0.000265199,0.0001347435,0.000265199,0.000265199,0.000265199
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001079598,0.00043441,0.00014763766666666666,0.00043441,0.00043441,0.00043441
11,5,150.0,1,23.313680000000005,0.00015787215787243006,20.0,0.013762366,0.009564747,0.0004883048000000002,0.009564747,0.009564747,0.009564747
12,5,180.0,1,23.899470000000004,0.0,21.0,0.016016058,0.01178267,0.0005721276190476189,0.01178267,0.01178267,0.01178267
13,5,103.0,1,23.82842,0.0,23.0,0.011085391,0.006762855,0.00030520686956521734,0.006762855,0.006762855,0.006762855
14,5,103.0,1,23.82842,0.0,23.0,0.011552409,0.006972577,0.00031455034782608686,0.006972577,0.006972577,0.006972577
15,5,147.0,1,23.384730000000005,0.00020230966638176538,18.0,0.013109094,0.009783606,0.0005529503888888889,0.009783606,0.009783606,0.009783606
16,5,0.0,0,0.0,0.0,0.0,7.058e-06,0.0,0.0,0.0,0.0,0.0
17,5,134.0,1,23.627360000000007,0.0,17.0,0.012464103,0.009276727,0.0005554126470588237,0.009276727,0.009276727,0.009276727
18,5,149.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.013259112,0.010026585,0.000598729294117647,0.010026585,0.010026585,0.010026585
19,5,184.0,1,23.485260000000004,0.0,21.0,0.016177177,0.012183577,0.0005914545238095237,0.012183577,0.012183577,0.012183577
20,5,23.0,1,23.0,0.0,23.0,0.006466703,0.001951429,9.665143478260875e-05,0.001951429,0.001951429,0.001951429
21,10,159.0,1,43.24262999999999,6.082331174813256e-05,42.0,0.019107741,0.010756812,0.00027565059523809515,0.010756812,0.010756812,0.010756812
22,10,393.0,1,42.012089999999986,4.975005950936394e-05,30.0,0.040364571,0.033859156,0.0011425604666666664,0.033859156,0.033859156,0.033859156
23,10,444.0,1,42.59787999999999,0.0,31.0,0.043550572,0.037054325,0.0012096696451612905,0.037054325,0.037054325,0.037054325
24,10,513.0,1,43.97051999999998,1.1826245166711712e-05,39.0,0.048480486,0.040542397,0.001057817538461539,0.040542397,0.040542397,0.040542397
25,10,584.0,1,43.45577999999998,0.0,36.0,0.052625699,0.045792515,0.0012881424999999999,0.045792515,0.045792515,0.045792515
26,10,117.0,1,40.41421,0.0001041821331353747,40.0,0.016059619,0.008432966,0.0002292455,0.008432966,0.008432966,0.008432966
