Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.0,0.0,1.0,0.000321185,8.437666666666667e-05,8.437666666666667e-05,0.000114133,7.0062e-05,0.000114133
2,0,2.0,2,2.0,0.0,1.0,0.000243908,9.3106e-05,9.3106e-05,0.000114853,0.000114853,0.000114853
3,0,1.0,1,1.0,0.0,1.0,0.000153169,0.00011604,0.00011604,0.00011604,0.00011604,0.00011604
4,0,2.0,2,2.0,0.0,1.0,0.0002399,8.99265e-05,8.99265e-05,0.000110064,0.000110064,0.000110064
5,0,6.0,3,3.8284199999999995,0.0,1.0,0.000579654,0.00017346033333333333,0.00017346033333333333,0.000211448,0.000193113,0.000211448
6,0,1.0,1,1.41421,0.0,1.0,0.000182752,0.000145753,0.000145753,0.000145753,0.000145753,0.000145753
7,0,3.0,2,2.4142099999999997,0.0,1.0,0.000344929,0.00014877249999999999,0.00014877249999999999,0.000183609,0.000183609,0.000183609
8,0,3.0,3,3.0,0.0,1.0,0.000328098,8.693500000000001e-05,8.693500000000001e-05,0.000116615,7.2542e-05,0.000116615
9,0,5.0,3,3.4142099999999997,0.0,1.0,0.000504701,0.000148483,0.000148483,0.00024641,0.000127279,0.00024641
10,0,3.0,2,2.4142099999999997,0.0,1.0,0.00034492,0.000148525,0.000148525,0.000182419,0.000182419,0.000182419
11,5,43.0,20,21.656840000000003,0.0,1.0,0.003195291,0.0001475765,0.0001475765,0.000652436,7.83e-05,0.000391888
12,5,38.0,18,20.071050000000003,0.0,1.0,0.003016364,0.00015540699999999998,0.00015540699999999998,0.000719734,8.7707e-05,0.000236153
13,5,44.0,19,22.313680000000005,0.0,1.0,0.003495109,0.00017201952631578946,0.00017201952631578946,0.000833385,7.8689e-05,0.000234418
14,5,50.0,22,24.071050000000003,0.10784061045936336,1.0,0.003547729,0.00014905077272727273,0.00014905077272727273,0.000696184,7.7699e-05,0.000241875
15,5,47.0,22,23.656840000000003,0.052102484734471134,1.0,0.003477893,0.00014585863636363639,0.00014585863636363639,0.000637397,7.0947e-05,0.000235058
16,5,49.0,22,24.071050000000003,0.05116050568789727,1.0,0.003560238,0.0001495955,0.0001495955,0.000568248,0.000127719,0.000233882
17,5,48.0,24,24.41421,0.024584529385103582,1.0,0.003530876,0.00013482429166666667,0.00013482429166666667,0.001185302,6.8174e-05,0.000115968
18,5,44.0,18,21.31368,0.02826046053869421,1.0,0.003417475,0.00017740233333333333,0.00017740233333333333,0.000388894,0.000193092,0.000375309
19,5,77.0,32,34.07105,0.4507393986876898,1.0,0.005549694,0.00016169196874999997,0.00016169196874999997,0.000920836,0.000115826,0.000265669
20,5,41.0,21,21.41421,4.669798544713985e-07,1.0,0.003200777,0.00013969466666666666,0.00013969466666666666,0.001460381,6.8801e-05,7.8144e-05
21,10,120.0,52,52.0,0.2440489006914041,1.0,0.00780903,0.00013910634615384615,0.00013910634615384615,0.001502217,6.882e-05,0.000222675
22,10,80.0,39,40.65683999999999,0.0,1.0,0.005996377,0.0001418034358974359,0.0001418034358974359,0.0023627,6.9767e-05,0.000198217
23,10,94.0,40,45.79893999999997,0.09833543173015745,1.0,0.007344184,0.000172002625,0.000172002625,0.000862,0.000137152,0.000251353
24,10,457.0,87,94.04156999999998,1.2009406032124206,1.0,0.03101908,0.00034370108045977016,0.00034370108045977016,0.001243205,0.000227998,0.000850622
25,10,95.0,42,46.55630999999997,0.05880542908215877,1.0,0.006956628,0.00015392733333333334,0.00015392733333333334,0.001290499,7.1891e-05,0.000249975
26,10,371.0,90,95.79893999999999,1.3325145905515066,1.0,0.025697581,0.0002744782111111112,0.0002744782111111112,0.000664623,0.000230251,0.000601355
27,10,83.0,42,42.41421,2.357700957714329e-07,1.0,0.005986695,0.00013132233333333333,0.00013132233333333333,0.002702977,6.7081e-05,7.7812e-05
28,10,591.0,92,99.04156999999998,1.3086882131493367,1.0,0.039923484,0.0004228866739130436,0.0004228866739130436,0.001585377,0.000281223,0.001072446
29,10,99.0,47,48.65683999999999,0.14335221812046603,1.0,0.006779154,0.00013298427659574465,0.00013298427659574465,0.001596671,6.7225e-05,0.000205782
30,10,106.0,44,48.14209999999997,0.10528442498559268,1.0,0.00782576,0.0001657952272727273,0.0001657952272727273,0.001371397,0.000127583,0.000251743
31,15,131.0,61,63.89946999999998,0.038065478269486294,1.0,0.009479813,0.00014399824590163933,0.00014399824590163933,0.002431799,6.8898e-05,0.000225046
32,15,1725.0,201,203.89946999999998,2.3124062037516873,1.0,0.125376374,0.0006112665572139301,0.0006112665572139301,0.011411512,0.000238944,0.001622877
33,15,1265.0,186,192.21314999999996,2.1488878076590385,1.0,0.091908908,0.0004818538924731183,0.0004818538924731183,0.00872293,0.000218526,0.001100503
34,15,130.0,62,63.65683999999999,0.028390213168119047,1.0,0.00955694,0.00014307046774193549,0.00014307046774193549,0.003140919,6.8707e-05,0.000180197
35,15,2214.0,251,258.04157,3.050983461149006,1.0,0.162405825,0.0006346496015936251,0.0006346496015936251,0.010575723,0.000278426,0.001651676
36,15,203.0,75,82.45577999999995,0.3327242076544235,1.0,0.014276647,0.00017909030666666658,0.00017909030666666658,0.001018603,0.000142767,0.00030019
37,15,318.0,92,92.82842,0.4996634867809916,1.0,0.020379337,0.00021019584782608694,0.00021019584782608694,0.002372951,7.8678e-05,0.000530609
38,15,139.0,63,65.89946999999998,0.05633856323976323,1.0,0.009659593,0.0001418146507936508,0.0001418146507936508,0.002740545,6.7602e-05,0.000233389
39,15,129.0,62,62.828419999999994,0.03873866873438657,1.0,0.009306562,0.0001387373387096774,0.0001387373387096774,0.002674604,6.8898e-05,0.000117128
40,15,1383.0,206,212.21314999999996,2.3480132460779233,1.0,0.098304753,0.0004648314077669904,0.0004648314077669904,0.008845409,0.000233429,0.001067832
41,20,191.0,87,89.89946999999998,0.0912142773909748,1.0,0.01361305,0.0001453962068965517,0.0001453962068965517,0.003474675,6.8247e-05,0.000223144
42,20,1699.0,242,249.04156999999995,2.0638336062437634,1.0,0.12331334,0.0004971553719008263,0.0004971553719008263,0.008789056,0.000210598,0.000986658
43,20,4385.0,313,317.1421,2.830264858271235,1.0,0.299935047,0.0009456324696485619,0.0009456324696485619,0.008682636,0.000357155,0.002944162
44,20,1773.0,217,224.45577999999995,1.6872274680372423,1.0,0.129033865,0.0005819176267281104,0.0005819176267281104,0.01139022,0.000226157,0.001622351
45,20,154270.0,3411,3462.776249999992,41.40641329759019,1.0,11.620634282,0.0033941885063031346,0.0033941885063031346,0.800094388,0.000965268,0.003958256
46,20,8669.0,603,615.4263000000005,6.432774550417282,1.0,0.622369106,0.0010206053449419565,0.0010206053449419565,0.040793174,0.000338574,0.002201589
47,20,6405.0,425,431.6273600000002,4.197724513978538,1.0,0.456534237,0.001062484703529413,0.001062484703529413,0.019979307,0.000339173,0.002778322
48,20,3789.0,332,337.79894,3.0545425302201203,1.0,0.284581633,0.0008454568765060239,0.0008454568765060239,0.011566268,0.000351344,0.002109406
49,20,3780.0,326,333.0415700000001,3.1467591456999258,1.0,0.282862096,0.0008548987177914111,0.0008548987177914111,0.011199641,0.000350826,0.002141047
50,20,344.0,123,126.31367999999998,0.5236965241044876,1.0,0.023726855,0.00018117347154471546,0.00018117347154471546,0.004512087,7.7269e-05,0.000375823
51,25,2235.0,298,305.45578000000023,1.9484717851696,1.0,0.161652591,0.0005308641946308724,0.0005308641946308724,0.009273885,0.00024407,0.001300723
52,25,5343.0,345,346.6568400000001,2.3915141909541853,1.0,0.360693146,0.0010334095942028981,0.0010334095942028981,0.009930877,0.00031013,0.003095591
53,25,476.0,142,146.55630999999997,0.42706099437184736,1.0,0.030587216,0.00020436842957746474,0.00020436842957746474,0.00188962,0.000133466,0.000474318
54,25,213.0,103,104.24262999999999,0.028906468997374483,1.0,0.015188982,0.00013616474757281556,0.00013616474757281556,0.005718784,6.6847e-05,8.1923e-05
55,25,12105.0,638,646.6984100000003,5.437628513976271,1.0,0.863701416,0.001341349409090909,0.001341349409090909,0.046223402,0.000345927,0.00235138
56,25,905.0,188,193.38472999999996,0.9139044159854314,1.0,0.059653068,0.0003056253617021276,0.0003056253617021276,0.002356031,0.000170798,0.000683237
57,25,18468.0,829,844.3257700000007,7.1691816554593455,1.0,1.325995376,0.0015874426019300357,0.0015874426019300357,0.052853762,0.000569372,0.00330056
58,25,90447.0,2083,2138.0899299999924,19.81311745580555,1.0,6.786738343,0.0032460242563610176,0.0032460242563610176,0.831869573,0.000578194,0.006542356
59,25,3887.0,364,371.4557800000001,2.648913840018076,1.0,0.285896988,0.0007726250137362637,0.0007726250137362637,0.011147788,0.000307941,0.001955576
60,25,590.0,156,161.38473,0.5573617879510167,1.0,0.039553399,0.00024243541025641024,0.00024243541025641024,0.002098128,0.000130143,0.000560735
61,30,293.0,131,133.07104999999999,0.09037093787384658,1.0,0.020139759,0.0001425976259541985,0.0001425976259541985,0.004696168,6.8388e-05,0.000211025
62,30,278.0,124,127.31367999999998,0.058442353097668605,1.0,0.019841613,0.0001489452177419355,0.0001489452177419355,0.004968885,6.9561e-05,0.000235035
63,30,436.0,140,146.21314999999996,0.21729662900768407,1.0,0.029181514,0.00019718913571428555,0.00019718913571428555,0.004519362,7.5686e-05,0.000420281
64,30,32893.0,1765,1799.3794299999981,13.88689856871017,1.0,2.468029393,0.0013863295082152957,0.0013863295082152957,0.299381948,0.000643062,0.002113942
65,30,193609.0,5682,5839.399799999972,47.465782462546976,1.0,15.150723149,0.0026539933368532214,0.0026539933368532214,0.873525734,0.000768393,0.004135468
66,30,40240.0,1455,1471.5684,10.893576231734126,1.0,3.034512268,0.0020732612137457063,0.0020732612137457063,0.051071047,0.000578982,0.004224877
67,30,5394.0,365,367.48526000000015,1.9667010575603467,1.0,0.375833119,0.0010174186767123287,0.0010174186767123287,0.013591517,0.000277839,0.003088729
68,30,10925.0,778,798.7105000000009,5.495112668840628,1.0,0.790675144,0.0010041963431876603,0.0010041963431876603,0.021295153,0.000515241,0.002326218
69,30,501.0,155,164.11261999999994,0.3439406123836114,1.0,0.034882276,0.00021410534193548383,0.00021410534193548383,0.003889938,7.8445e-05,0.000449143
70,30,803.0,200,202.48525999999998,0.6363767577177953,1.0,0.054046275,0.00025891718000000004,0.00025891718000000004,0.001719958,0.000136819,0.00066227
71,35,5544.0,402,407.79894000000036,1.835067470331827,1.0,0.381024921,0.000935557126865672,0.000935557126865672,0.013629961,0.000231998,0.002856778
72,35,33512.0,1185,1195.7694599999998,7.331320657437275,1.0,2.609595693,0.0021901039991561186,0.0021901039991561186,0.622318979,0.000847329,0.002992459
73,35,5182.0,536,552.1541900000005,2.917626453622441,1.0,0.363463438,0.000666061526119403,0.000666061526119403,0.011355242,0.000305785,0.001660953
74,35,36766.0,1932,1962.6515399999976,12.918329929367696,1.0,2.684357443,0.001377055138198757,0.001377055138198757,0.115045256,0.000748432,0.002576242
75,35,695.0,190,197.86998999999997,0.4132359369196924,1.0,0.045710283,0.00022926496315789482,0.00022926496315789482,0.001511708,0.00013331,0.000595415
76,35,26134.0,1529,1548.882079999999,9.846589121772555,1.0,1.919035038,0.001243070989535646,0.001243070989535646,0.025750047,0.00073143,0.002571829
77,35,2245.0,322,326.1421,1.2766542180028624,1.0,0.157999725,0.0004786563260869564,0.0004786563260869564,0.008740232,0.000206206,0.001255455
78,35,29969.0,847,869.7815500000011,5.146996402750595,1.0,2.175335916,0.002555633349468711,0.002555633349468711,0.164463779,0.000604495,0.005594018
79,35,2190.0,332,342.3552500000004,1.4066306983937324,1.0,0.156852752,0.000460849813253012,0.000460849813253012,0.009289009,0.000148974,0.001249465
80,35,233315.0,7521,7645.677209999978,52.811344143915726,1.0,17.982187336,0.002377395463502198,0.002377395463502198,0.48158951,0.000860485,0.004214984
81,40,2354.0,324,332.6984100000004,1.0792091218158664,1.0,0.153391884,0.00046165678395061716,0.00046165678395061716,0.008379593,0.00013868,0.001285506
82,40,2065.0,327,329.48526,1.0136362580747673,1.0,0.149599729,0.0004462020244648313,0.0004462020244648313,0.00840803,0.000106669,0.001274562
83,40,2421.0,345,350.3847300000002,1.1494413294726782,1.0,0.153688245,0.0004341527652173915,0.0004341527652173915,0.008603167,0.000137298,0.001177618
84,40,1919.0,355,370.3257700000003,1.265030979161699,1.0,0.137167912,0.0003750413211267607,0.0003750413211267607,0.007928106,0.000235157,0.000812136
85,40,2140.0,328,336.2842000000003,1.0898640250571758,1.0,0.15521787,0.00046140063109756076,0.00046140063109756076,0.009261657,0.000147451,0.001268824
86,40,3259.0,425,435.7694600000001,1.7216369688907216,1.0,0.237503718,0.0005474699976470584,0.0005474699976470584,0.01032116,0.000312351,0.001231782
87,40,1687.0,329,336.0415700000003,1.07145366004007,1.0,0.116128645,0.00034111378419452907,0.00034111378419452907,0.010965676,0.000152699,0.000854543
88,40,2666.0,379,386.86999000000037,1.3970085565407064,1.0,0.181417285,0.0004665449234828501,0.0004665449234828501,0.008669081,0.00022727,0.001145783
89,40,2700.0,377,383.21315000000016,1.3938403828014228,1.0,0.186273411,0.00048246184880636607,0.00048246184880636607,0.008728492,0.000231665,0.001194603
90,40,5425.0,544,551.4557800000002,2.394242435433441,1.0,0.396690413,0.0007178344558823521,0.0007178344558823521,0.010204774,0.000340462,0.001719228
91,45,103790.0,4335,4453.464059999979,23.44097874465587,1.0,7.878856143,0.0018053989384083043,0.0018053989384083043,0.201226278,0.000747712,0.003337126
92,45,13121.0,1116,1140.4383900000003,5.319758777763002,1.0,0.966486555,0.0008449756353046598,0.0008449756353046598,0.008599639,0.000570607,0.001836025
93,45,117718.0,2793,2853.0604499999936,14.693488137998523,1.0,8.903051794,0.003171222467955599,0.003171222467955599,0.269565304,0.000858341,0.005758753
94,45,640.0,224,225.65684,0.24594501775134855,1.0,0.044456378,0.0001874732276785714,0.0001874732276785714,0.00618334,7.6333e-05,0.000360037
95,45,41041.0,2207,2261.261509999997,11.332696190450203,1.0,3.015064543,0.001351009497054825,0.001351009497054825,0.193204638,0.000561322,0.002255206
96,45,265103.0,5154,5268.32195999998,28.027047058628956,1.0,20.658832334,0.0039954918164532395,0.0039954918164532395,0.812710602,0.000890904,0.007906537
97,45,1021860.0,17969,18315.69377000014,99.00160395077444,1.0,80.638261579,0.004474200238577559,0.004474200238577559,0.907914915,0.000948816,0.005399486
98,45,17046.0,928,942.4973500000007,4.16041037012703,1.0,1.213601587,0.0012954441756465507,0.0012954441756465507,0.04636257,0.000336936,0.002562975
99,45,2745.0,394,403.52683000000036,1.2236803733991688,1.0,0.189497009,0.00046897836802030406,0.00046897836802030406,0.008719545,0.000230616,0.001181117
100,45,3365.0,465,469.9705200000001,1.5683835110365447,1.0,0.235778811,0.000495056189247312,0.000495056189247312,0.008760506,0.000247079,0.001189104
101,50,497.0,222,225.31367999999998,0.11550813682339589,1.0,0.034187038,0.00014287085585585593,0.00014287085585585593,0.006163892,6.8589e-05,0.000212883
102,50,3798.0,483,497.49735000000044,1.4530096986849845,1.0,0.263784177,0.0005341907556935817,0.0005341907556935817,0.010056791,0.000206052,0.001391868
103,50,30735.0,917,951.7936400000011,3.6946514747953096,1.0,2.152012061,0.0023292923718647726,0.0023292923718647726,0.036762067,0.000465357,0.006849649
104,50,24762.0,1505,1544.7641599999984,6.672949147154358,1.0,1.797275105,0.0011788641102990027,0.0011788641102990027,0.016967158,0.000535891,0.002882444
105,50,145901.0,2859,2925.2735999999923,13.456146870598662,1.0,11.105136932,0.0038715266239943975,0.0038715266239943975,0.299784039,0.00089056,0.006197042
106,50,26042.0,1492,1513.5389199999981,6.516768493456821,1.0,1.943736986,0.0012910068083109914,0.0012910068083109914,0.017235098,0.000741213,0.002989066
107,50,3511.0,385,407.36734,0.9977605045313664,1.0,0.260402568,0.0006648581506493504,0.0006648581506493504,0.009281496,0.000228334,0.001854682
108,50,28955.0,1707,1749.6636299999973,7.627064754870284,1.0,2.074417465,0.0012027680808435871,0.0012027680808435871,0.018486685,0.000558135,0.003146872
109,50,42256.0,1588,1626.521529999999,7.018701988256808,1.0,3.126380886,0.0019562836964735503,0.0019562836964735503,0.023789782,0.000690594,0.005001352
110,50,382184.0,4407,4507.653029999985,21.386595962354974,1.0,29.382550902,0.006654919488314048,0.006654919488314048,0.43705151,0.000654675,0.004230223
111,55,559.0,240,248.69840999999994,0.11511949386613073,1.0,0.038750162,0.00015034116666666673,0.00015034116666666673,0.006189344,7.02e-05,0.000236547
112,55,54314.0,2404,2439.622059999996,10.036317189464999,1.0,4.073286061,0.0016823418115640633,0.0016823418115640633,0.587671542,0.000799346,0.002757121
113,55,886.0,289,296.0415700000002,0.3365488923100547,1.0,0.060427697,0.00019818266435986143,0.00019818266435986143,0.00600458,7.8007e-05,0.000420383
114,55,5802.0,679,703.8526000000005,2.176086819186862,1.0,0.421563627,0.000608585247422681,0.000608585247422681,0.010565333,0.000276718,0.001493797
115,55,103474.0,1987,2039.6046699999965,8.168081117284268,1.0,7.805371541,0.003915226890286858,0.003915226890286858,0.099585248,0.000585671,0.011749923
116,55,799661.0,18053,18434.487410000213,82.17310688503977,1.0,63.048571815,0.003479512239184626,0.003479512239184626,0.908128772,0.000865913,0.004533633
117,55,820972.0,18022,18395.617420000206,81.47158723896548,1.0,65.380930905,0.0036149548845855134,0.0036149548845855134,0.904455095,0.000782003,0.004598733
118,55,6134.0,509,527.6394500000001,1.3858462881069307,1.0,0.448094846,0.000868477642436149,0.000868477642436149,0.013859312,0.000237745,0.00252548
119,55,43153.0,2179,2226.634149999998,9.096877706584673,1.0,3.149748486,0.0014307959623680573,0.0014307959623680573,0.046674757,0.000680064,0.003962775
