Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,962.0,2,2.82842,0.0,1.0,0.12890984,0.0644210835,0.0644210835,0.076520005,0.076520005,0.076520005
2,0,3.0,3,3.0,0.0,1.0,0.000374645,0.00010477333333333333,0.00010477333333333333,0.000136357,9.0731e-05,0.000136357
3,0,962.0,2,2.82842,0.0,1.0,0.179989183,0.089961487,0.089961487,0.10762783,0.10762783,0.10762783
4,0,962.0,2,2.82842,0.0,1.0,0.141915048,0.070922577,0.070922577,0.086214312,0.086214312,0.086214312
5,0,483.0,3,3.4142099999999997,0.001234604105571731,1.0,0.061125786,0.020351884,0.020351884,0.060831899,0.000135208,0.060831899
6,0,3.0,3,3.0,0.0,1.0,0.000368364,0.000103105,0.000103105,0.000135126,8.902e-05,0.000135126
7,0,3.0,3,3.0,0.0,1.0,0.000372922,0.00010388333333333334,0.00010388333333333334,0.000134978,9.0289e-05,0.000134978
8,0,963.0,3,3.8284199999999995,0.0,1.0,0.133536454,0.044484488999999995,0.044484488999999995,0.076768829,0.056547837,0.076768829
9,0,962.0,2,2.82842,0.0,1.0,0.132352183,0.0661428085,0.0661428085,0.076172582,0.076172582,0.076172582
10,0,483.0,3,3.4142099999999997,0.001234604105571731,1.0,0.046772527,0.015566835,0.015566835,0.046496099,0.000121304,0.046496099
11,5,3860.0,20,23.313680000000005,0.00015787215787243006,1.0,0.590299672,0.0294979446,0.0294979446,0.116643617,9.15e-05,0.095325096
12,5,3381.0,21,23.899470000000004,0.0,1.0,0.429665912,0.020444389,0.020444389,0.075171334,8.8222e-05,0.070223638
13,5,983.0,23,23.82842,0.0,1.0,0.11756642,0.0050988025652173915,0.0050988025652173915,0.062133441,8.7011e-05,0.000133353
14,5,983.0,23,23.82842,0.0,1.0,0.117500916,0.005096217173913044,0.005096217173913044,0.062084307,8.7595e-05,0.000135801
15,5,6258.0,18,23.384730000000005,0.00020230966638176538,1.0,0.717887809,0.03986257077777777,0.03986257077777777,0.077770426,0.046781178,0.06671373
16,5,0.0,0,0.0,0.0,0.0,9.507e-06,0.0,0.0,0.0,0.0,0.0
17,5,7697.0,17,23.627360000000007,0.0,1.0,1.003040199,0.05897950235294118,0.05897950235294118,0.097215746,0.05807583,0.095309489
18,5,5777.0,17,21.970520000000004,2.366863905349035e-05,1.0,0.715854318,0.04208852529411765,0.04208852529411765,0.110050105,0.045166744,0.094382228
19,5,2901.0,21,23.485260000000004,0.0,1.0,0.545027805,0.02593800780952381,0.02593800780952381,0.139842987,8.843e-05,0.096194154
20,5,23.0,23,23.0,0.0,1.0,0.002300799,8.800765217391305e-05,8.800765217391305e-05,0.000135886,8.5356e-05,8.9951e-05
21,10,6534.0,43,43.828419999999994,0.01360823311748363,1.0,0.607309257,0.014108970627906975,0.014108970627906975,0.105206425,8.6075e-05,0.033267482
22,10,13950.0,30,42.012089999999986,4.975005950936394e-05,1.0,1.627489042,0.054224665,0.054224665,0.087307455,0.051805328,0.081867948
23,10,16838.0,38,46.69840999999998,0.09620680751173662,1.0,2.919922684,0.0768129670789474,0.0768129670789474,0.14989217,0.070884851,0.118965632
24,10,5799.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.925483835,0.02371406723076923,0.02371406723076923,0.114900873,8.4468e-05,0.088933572
25,10,10600.0,40,45.79893999999999,0.05381822365393434,1.0,1.346730123,0.03364735745,0.03364735745,0.119645506,0.034581943,0.090106949
26,10,520.0,40,40.41421,0.0001041821331353747,1.0,0.050054829,0.0012402886749999999,0.0012402886749999999,0.046287937,8.3424e-05,8.8139e-05
27,10,5799.0,39,43.97051999999998,1.1826245166711712e-05,1.0,0.674080156,0.01726823971794872,0.01726823971794872,0.084521201,8.3792e-05,0.062737091
28,10,78893.0,173,182.94103999999993,3.1834219071575567,1.0,7.176502389,0.04144023909826589,0.04144023909826589,0.134279541,0.034410001,0.063029731
29,10,43.0,43,43.0,0.0,1.0,0.004126985,8.470446511627908e-05,8.470446511627908e-05,0.000135584,8.3124e-05,8.5426e-05
30,10,11074.0,34,43.52682999999998,0.0,1.0,1.478935723,0.043479592000000004,0.043479592000000004,0.114246929,0.054117212,0.081720596
31,15,734488.0,1528,1644.393009999992,24.745937216220327,1.0,109.027080726,0.07127883404777492,0.07127883404777492,0.191232806,0.062898585,0.125783895
32,15,16309.0,63,67.97051999999996,0.07412326169405759,1.0,1.59616788,0.025317355555555556,0.025317355555555556,0.106221388,0.029891825,0.066327855
33,15,65437.0,157,168.59787999999995,1.8094964172637886,1.0,7.679113989,0.048855328592356695,0.048855328592356695,0.140759827,0.051012296,0.076632987
34,15,2461.0,61,63.071049999999985,1.6648168701206888e-05,1.0,0.313264801,0.005123703065573771,0.005123703065573771,0.072056827,8.3508e-05,9.8402e-05
35,15,38972.0,92,97.79893999999997,0.5555740416732937,1.0,3.015359091,0.032753230347826075,0.032753230347826075,0.070139061,0.031869712,0.052142859
36,15,15795.0,67,69.48525999999998,0.10049509027557779,1.0,1.376199803,0.020521918865671642,0.020521918865671642,0.090340049,0.000136195,0.051566299
37,15,9655.0,55,63.28419999999994,6.637168141498851e-05,1.0,1.291038443,0.023456466563636362,0.023456466563636362,0.10227023,8.5328e-05,0.075694567
38,15,17334.0,54,60.62735999999997,0.0,1.0,1.928631953,0.0356914431111111,0.0356914431111111,0.094040851,0.040724701,0.078348283
39,15,2941.0,61,63.48525999999998,0.0,1.0,0.341761261,0.005590305819672131,0.005590305819672131,0.08733451,8.4015e-05,0.000122237
