Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000349087,0.000292576,0.000148046,0.000292576,0.000292576,0.000292576
2,0,3.0,1,3.0,0.0,3.0,0.000433881,0.000365743,0.00012388933333333334,0.000365743,0.000365743,0.000365743
3,0,2.0,1,2.82842,0.0,2.0,0.000360756,0.000305785,0.000154647,0.000305785,0.000305785,0.000305785
4,0,2.0,1,2.82842,0.0,2.0,0.0003578,0.000301921,0.0001527535,0.000301921,0.000301921,0.000301921
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.000671168,0.000604276,0.000203327,0.000604276,0.000604276,0.000604276
6,0,3.0,1,3.0,0.0,3.0,0.000421067,0.000353001,0.000119625,0.000353001,0.000353001,0.000353001
7,0,3.0,1,3.0,0.0,3.0,0.000422285,0.000355352,0.00012044300000000001,0.000355352,0.000355352,0.000355352
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.000507966,0.000440589,0.000148839,0.000440589,0.000440589,0.000440589
9,0,2.0,1,2.82842,0.0,2.0,0.000354375,0.000297752,0.00015060749999999998,0.000297752,0.000297752,0.000297752
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.000545242,0.000476773,0.00016087366666666668,0.000476773,0.000476773,0.000476773
11,5,178.0,1,23.313680000000005,0.00015787215787243006,20.0,0.01289408,0.012634761,0.0006335745500000002,0.012634761,0.012634761,0.012634761
12,5,180.0,1,23.899470000000004,0.0,21.0,0.013036362,0.012761742,0.0006095220476190476,0.012761742,0.012761742,0.012761742
13,5,103.0,1,23.82842,0.0,23.0,0.007835693,0.00753779,0.0003296424347826087,0.00753779,0.00753779,0.00753779
14,5,103.0,1,23.82842,0.0,23.0,0.007854437,0.007558135,0.0003305046086956521,0.007558135,0.007558135,0.007558135
15,5,165.0,1,23.384730000000005,0.00020230966638176538,18.0,0.011994575,0.011761123,0.0006552025555555555,0.011761123,0.011761123,0.011761123
16,5,0.0,0,0.0,0.0,0.0,9.99e-06,0.0,0.0,0.0,0.0,0.0
