Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.001147728,0.001086505,0.00036396366666666667,0.001086505,0.001086505,0.001086505
2,0,2.0,1,2.82842,0.0,2.0,0.000869603,0.000811716,0.0004074295,0.000811716,0.000811716,0.000811716
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.001519082,0.001458592,0.00048797566666666667,0.001458592,0.001458592,0.001458592
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.001152388,0.001089686,0.0003650646666666667,0.001089686,0.001089686,0.001089686
5,0,2.0,1,2.0,0.0,2.0,0.000528731,0.000479459,0.00024148100000000001,0.000479459,0.000479459,0.000479459
6,0,3.0,1,3.0,0.0,3.0,0.00091202,0.000851138,0.000285534,0.000851138,0.000851138,0.000851138
7,0,1.0,1,1.41421,0.0,1.0,0.000363262,0.000326058,0.000326058,0.000326058,0.000326058,0.000326058
8,0,2.0,1,2.0,0.0,2.0,0.000522023,0.000472706,0.000237964,0.000472706,0.000472706,0.000472706
9,0,2.0,1,2.0,0.0,2.0,0.00067484,0.000625667,0.0003144345,0.000625667,0.000625667,0.000625667
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.001130838,0.001069485,0.000358391,0.001069485,0.001069485,0.001069485
11,5,592.0,12,59.142099999999985,1.492513033180348,4.583333333333333,0.114632753,0.0094932815,0.002072888545454546,0.02067986,0.006851994,0.01918989
12,5,148.0,2,22.142100000000003,0.0,9.0,0.032126299,0.015939837,0.0017729213333333334,0.017124586,0.017124586,0.017124586
13,5,200.0,3,23.727890000000002,0.11699556551457932,6.666666666666667,0.040375496,0.013365679333333333,0.00200740875,0.019187733,0.017267811,0.019187733
14,5,23.0,1,23.0,0.0,23.0,0.006112047,0.005821133,0.0002551447391304347,0.005821133,0.005821133,0.005821133
15,5,109.0,2,20.65684,0.0,9.5,0.024624884,0.012187843,0.001284816105263158,0.017221455,0.017221455,0.017221455
16,5,102.0,2,23.798940000000005,0.0,9.0,0.020126868,0.009943162,0.0011066341111111112,0.01709194,0.01709194,0.01709194
