Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,283.0,3,3.8284199999999995,0.0,1.0,0.032685628,0.010870079333333333,0.010870079333333333,0.018496842,0.013976418,0.018496842
2,0,282.0,2,2.82842,0.0,1.0,0.045472116,0.0227048895,0.0227048895,0.030938755,0.030938755,0.030938755
3,0,143.0,3,3.4142099999999997,0.0,1.0,0.019675164,0.0065369059999999994,0.0065369059999999994,0.019380899,0.000139897,0.019380899
4,0,283.0,3,3.8284199999999995,0.0,1.0,0.041728542,0.013885126,0.013885126,0.030666517,0.010840034,0.030666517
5,0,2.0,2,2.0,0.0,1.0,0.000244047,9.9758e-05,9.9758e-05,0.000112485,0.000112485,0.000112485
6,0,3.0,3,3.0,0.0,1.0,0.000380042,0.00010449033333333333,0.00010449033333333333,0.000138901,8.9167e-05,0.000138901
7,0,141.0,1,1.41421,0.0,1.0,0.018742935,0.018704105,0.018704105,0.018704105,0.018704105,0.018704105
8,0,2.0,2,2.0,0.0,1.0,0.00024433,9.9639e-05,9.9639e-05,0.000113024,0.000113024,0.000113024
9,0,2.0,2,2.0,0.0,1.0,0.000284252,0.000115439,0.000115439,0.000131813,0.000131813,0.000131813
10,0,283.0,3,3.8284199999999995,0.0,1.0,0.039556133,0.013160490000000002,0.013160490000000002,0.020128603,0.019211523,0.020128603
11,5,14393.0,113,116.31367999999998,3.9019795262117576,1.0,1.405332116,0.012419999911504425,0.012419999911504425,0.039851368,0.010388116,0.022084016
12,5,2824.0,24,27.313680000000005,0.20176875118246748,1.0,0.446339414,0.018578213458333336,0.018578213458333336,0.050172904,0.016141589,0.040402478
13,5,581.0,21,21.82842,0.02757760349486418,1.0,0.049593794,0.002348900714285714,0.002348900714285714,0.01385869,9.2961e-05,0.010204881
14,5,23.0,23,23.0,0.0,1.0,0.002337399,8.959873913043476e-05,8.959873913043476e-05,0.000139457,8.4073e-05,9.6327e-05
15,5,1560.0,20,21.242630000000002,0.028355174300112876,1.0,0.139234451,0.006943030700000001,0.006943030700000001,0.025876396,0.009705282,0.016724681
16,5,1978.0,18,23.798940000000005,0.0,1.0,0.247629539,0.013739257611111111,0.013739257611111111,0.025014531,0.016559019,0.023456754
17,5,1835.0,15,20.384730000000005,0.0,1.0,0.290747436,0.019363587733333333,0.019363587733333333,0.045969645,0.015254933,0.041976386
18,5,1426.0,26,26.82842,0.1628582945763314,1.0,0.174986608,0.006716037961538462,0.006716037961538462,0.026383094,9.3573e-05,0.020126353
19,5,1279.0,19,22.727890000000006,0.0,1.0,0.176236065,0.009255997052631578,0.009255997052631578,0.037633482,0.000131034,0.022045552
20,5,1842.0,22,24.071050000000003,0.12034972748809672,1.0,0.237146835,0.010760338318181817,0.010760338318181817,0.033439459,0.009724363,0.024418375
21,10,4325.0,65,66.65683999999999,0.5753016162613998,1.0,0.480240015,0.0073739978923076915,0.0073739978923076915,0.025343208,0.000112453,0.019097556
22,10,5370.0,50,50.828419999999994,0.22312188524964913,1.0,0.404184032,0.008069752139999999,0.008069752139999999,0.020047433,0.009651993,0.013109647
23,10,5931.0,51,55.970519999999965,0.27582385269237963,1.0,0.57552429,0.01126588892156863,0.01126588892156863,0.024907936,0.010083877,0.019024085
24,10,462.0,42,43.24262999999999,6.937603194120179e-07,1.0,0.062227297,0.0014705060714285713,0.0014705060714285713,0.024165962,8.663e-05,9.9767e-05
25,10,4155.0,35,43.69840999999998,0.027547505226103566,1.0,0.659371748,0.018820229171428574,0.018820229171428574,0.049821244,0.01363946,0.041687311
26,10,740.0,40,42.071049999999985,0.0,1.0,0.094552271,0.0023515479999999997,0.0023515479999999997,0.019453262,8.8245e-05,0.017511326
27,10,5643.0,43,45.89946999999998,0.08915953405264522,1.0,0.466696011,0.010837995372093024,0.010837995372093024,0.027926291,0.009915784,0.019054866
28,10,2978.0,38,45.04156999999998,0.026703153172661517,1.0,0.446497601,0.01173269742105263,0.01173269742105263,0.028286363,0.017420205,0.024966924
29,10,3957.0,37,42.79893999999998,0.013875754503330236,1.0,0.393544412,0.01061669310810811,0.01061669310810811,0.024408569,0.009847193,0.021890947
30,10,5783.0,43,48.38472999999999,0.20836155398385647,1.0,0.650551247,0.015110287232558141,0.015110287232558141,0.02660814,0.014691518,0.022097694
31,15,14104.0,104,108.55630999999998,0.7165061208742205,1.0,1.146416836,0.01100677840384615,0.01100677840384615,0.023278963,0.009927669,0.01677927
32,15,1317.0,57,60.727889999999974,0.0,1.0,0.17915136,0.003130691385964912,0.003130691385964912,0.036815385,8.8718e-05,0.017597467
33,15,9733.0,73,79.21314999999996,0.31930444891541787,1.0,0.939216174,0.012848091369863012,0.012848091369863012,0.026280732,0.010398727,0.021581236
34,15,10155.0,75,75.82842,0.22163808922348713,1.0,1.264977857,0.016848123666666662,0.016848123666666662,0.035449039,0.015777795,0.027116422
35,15,9460.0,80,86.21314999999997,0.3826114219641309,1.0,0.877963281,0.010957251349999995,0.010957251349999995,0.027406709,0.010499356,0.019020134
36,15,27498.0,198,207.52682999999993,2.268895791624202,1.0,2.680743636,0.013485083717171723,0.013485083717171723,0.032499076,0.01216716,0.020874954
37,15,7906.0,66,77.59787999999995,0.2450342473995554,1.0,0.977752034,0.014794124196969696,0.014794124196969696,0.030112067,0.016028583,0.024591175
38,15,4399.0,59,66.04156999999996,0.06619950243053427,1.0,0.468866875,0.007932836389830509,0.007932836389830509,0.025178601,0.010037416,0.020836148
39,15,9174.0,74,82.69840999999997,0.3516389959433701,1.0,1.201263751,0.016212631702702703,0.016212631702702703,0.04741826,0.016546597,0.02866631
40,15,2064.0,60,64.14209999999997,0.009217024905477043,1.0,0.246195436,0.004091072766666666,0.004091072766666666,0.028880984,8.5706e-05,0.016302173
41,20,10038.0,116,121.79893999999996,0.49527645667957304,1.0,0.788761228,0.006786779465517242,0.006786779465517242,0.026908731,0.008716651,0.014657259
42,20,10641.0,137,141.55630999999997,0.713188482271014,1.0,0.780405827,0.005677979919708032,0.005677979919708032,0.022416194,0.008672718,0.010776948
43,20,21744.0,184,195.59787999999992,1.3770984258236372,1.0,2.411162784,0.01308032100543478,0.01308032100543478,0.033395327,0.012902438,0.022512447
44,20,11160.0,100,105.38472999999998,0.2942329514751969,1.0,0.943977087,0.009425132420000001,0.009425132420000001,0.022323508,0.009740887,0.019120802
45,20,40082.0,322,344.7815500000006,3.2649553565906317,1.0,3.928067744,0.012154530860248444,0.012154530860248444,0.033173551,0.011323186,0.020015214
46,20,16786.0,126,145.46786999999992,0.7377452344801789,1.0,2.003669209,0.015872043968253965,0.015872043968253965,0.033509107,0.016268351,0.02193501
47,20,129054.0,954,1041.398310000003,11.77367727707055,1.0,14.061738977,0.014703459200209629,0.014703459200209629,0.041503767,0.013723626,0.022887014
48,20,300367.0,2167,2337.6545199999823,27.35039524205674,1.0,33.402477345,0.015386288457314271,0.015386288457314271,0.048546824,0.014178938,0.023940286
49,20,4694.0,71,83.01208999999992,0.010078506956357704,1.0,0.555753099,0.007813065464788731,0.007813065464788731,0.027321408,0.000104874,0.020821239
50,20,6227.0,67,82.73997999999992,0.021698187763326535,1.0,0.79652062,0.011871378880597017,0.011871378880597017,0.026092938,0.013310619,0.022484869
51,25,6407.0,107,113.21314999999996,0.10685102264283709,1.0,0.780670153,0.007282295000000004,0.007282295000000004,0.030253475,9.3975e-05,0.020991933
52,25,6413.0,113,113.0,0.11724110656305002,1.0,0.505057117,0.004456506486725665,0.004456506486725665,0.025133197,9.5058e-05,0.010417136
53,25,16077.0,117,125.28419999999996,0.23695944078037942,1.0,1.74655462,0.014876147393162396,0.014876147393162396,0.052290315,0.012398573,0.025385297
54,25,60774.0,434,466.72259000000065,3.6507158587016155,1.0,6.47545243,0.014882571255760363,0.014882571255760363,0.031667579,0.013704248,0.02172402
55,25,152157.0,1097,1188.5404099999987,10.510729843591097,1.0,18.455334114,0.016799469395624444,0.016799469395624444,0.038902558,0.016062543,0.025190521
56,25,3033.0,93,101.69840999999994,4.031544375950348e-06,1.0,0.365450581,0.0039176523440860225,0.0039176523440860225,0.031959359,8.9097e-05,0.017193756
57,25,10058.0,118,122.14209999999997,0.2010275521642508,1.0,0.822378466,0.00693019372881356,0.00693019372881356,0.028973179,0.009456682,0.013273841
58,25,189967.0,1387,1498.422489999994,13.46381677252451,1.0,20.531383796,0.014770827401586183,0.014770827401586183,0.034124954,0.013852378,0.02337569
59,25,6551.0,111,118.45577999999995,0.1803674953913601,1.0,0.878598023,0.007901645189189194,0.007901645189189194,0.04043833,9.2937e-05,0.022901263
60,25,17070.0,130,141.59787999999992,0.3740163409474636,1.0,1.863416806,0.014293915415384611,0.014293915415384611,0.03851911,0.012320939,0.025250243
61,30,18930.0,170,185.3257699999999,0.5331130358531451,1.0,2.868617661,0.016842794935294125,0.016842794935294125,0.05097876,0.015647582,0.030773658
62,30,10415.0,156,160.55630999999997,0.3048902813673377,1.0,0.901150448,0.0057610355705128196,0.0057610355705128196,0.026510884,0.000102759,0.018607472
63,30,16592.0,146,167.12470999999985,0.36496304282132214,1.0,2.139363666,0.014628529986301363,0.014628529986301363,0.051202027,0.010607549,0.029493331
64,30,12476.0,156,167.18366999999992,0.3907287065458805,1.0,1.315135983,0.008408666070512823,0.008408666070512823,0.053875994,0.009458227,0.021302213
65,30,19915.0,175,191.98260999999988,0.5801428018798809,1.0,3.446139864,0.019660800771428576,0.019660800771428576,0.054564911,0.020036216,0.034747018
66,30,42444.0,304,312.2842000000003,1.5630469218079324,1.0,4.7439096,0.015563364516447386,0.015563364516447386,0.032076626,0.01463279,0.023222873
67,30,109842.0,782,837.0899300000023,5.801019880893399,1.0,12.120126516,0.015470584905370842,0.015470584905370842,0.035756094,0.014078141,0.023220125
68,30,94920.0,700,756.7467700000028,5.1503126574665785,1.0,10.46443666,0.014904664521428568,0.014904664521428568,0.032447805,0.01441917,0.022836032
69,30,7970.0,130,141.59787999999992,0.1598492828649355,1.0,0.894268202,0.006850152523076923,0.006850152523076923,0.030954707,9.6024e-05,0.019136179
70,30,86449.0,629,681.6046700000024,4.616617939104301,1.0,10.124712594,0.0160611156327504,0.0160611156327504,0.037873436,0.015207611,0.023406505
71,35,17872.0,163,189.5094399999998,0.33462051480685806,1.0,2.347950682,0.014363239325153376,0.014363239325153376,0.05280429,0.009833649,0.031962066
72,35,741807.0,5306,5670.504799999938,39.16052012804852,1.0,107.687806993,0.02027122603505466,0.02027122603505466,0.060934845,0.01706256,0.037057169
73,35,11126.0,167,176.94103999999993,0.2637562494643311,1.0,1.051715877,0.006281981910179638,0.006281981910179638,0.046178554,9.5083e-05,0.018921409
74,35,8893.0,174,177.31367999999998,0.263052890266054,1.0,0.680113374,0.0038937990000000003,0.0038937990000000003,0.026329655,9.4311e-05,0.009904882
75,35,12375.0,135,148.6689299999999,0.048884789050373176,1.0,1.588232452,0.011741295888888888,0.011741295888888888,0.029890569,0.013659386,0.024212047
76,35,14572.0,152,161.94103999999993,0.144483911319674,1.0,1.278491662,0.00839144442763158,0.00839144442763158,0.030047613,0.009428413,0.01864985
77,35,72527.0,567,619.1904600000022,3.3292766249021297,1.0,7.697256359,0.013543278656084668,0.013543278656084668,0.036013786,0.012601687,0.022246975
78,35,84510.0,650,710.0604500000024,4.040107678766645,1.0,9.030902496,0.013856993913846158,0.013856993913846158,0.03620093,0.013105935,0.021978338
79,35,14449.0,169,183.0831399999999,0.30272123752125685,1.0,2.110573757,0.01246659925443787,0.01246659925443787,0.043071279,0.01245356,0.029312631
80,35,10343.0,123,142.46786999999986,0.010023607979921596,1.0,1.561549395,0.01266123120325203,0.01266123120325203,0.045414831,0.01291186,0.028124104
81,40,7003.0,176,178.48525999999998,0.10713937461619094,1.0,0.549897086,0.0030887927784090897,0.0030887927784090897,0.022255974,8.4041e-05,0.009468227
82,40,16516.0,169,189.71049999999985,0.16686759215406394,1.0,1.878890669,0.01110144078698225,0.01110144078698225,0.031574402,0.009585293,0.022931817
83,40,23807.0,215,236.95312999999985,0.4611673768399233,1.0,2.818781091,0.013069961972093019,0.013069961972093019,0.032882001,0.013078981,0.0233954
84,40,20803.0,219,234.3257699999999,0.45988268643698155,1.0,2.107260126,0.009594112091324204,0.009594112091324204,0.031947319,0.00938025,0.020907517
85,40,22064.0,224,228.55630999999997,0.40688130940069916,1.0,1.863212525,0.00828491166071429,0.00828491166071429,0.037248699,0.009738185,0.014321779
86,40,39202.0,282,288.62736000000024,0.8020401206241,1.0,5.349098515,0.01891954236170214,0.01891954236170214,0.044533895,0.01718769,0.032922611
87,40,56121.0,401,420.4678700000002,1.5973725923821065,1.0,5.720250325,0.014215473990024928,0.014215473990024928,0.031126564,0.01252634,0.021848426
88,40,34578.0,278,288.76946,0.7694640800019608,1.0,3.630712115,0.013026158967625899,0.013026158967625899,0.039780375,0.010788583,0.02317732
89,40,27130.0,250,274.4383900000002,0.6970916635231998,1.0,3.072242367,0.012251774340000002,0.012251774340000002,0.037228039,0.011887886,0.024087166
90,40,30183.0,223,231.2842,0.4366995272792779,1.0,4.351119264,0.019482387385650227,0.019482387385650227,0.053711618,0.017934001,0.031483509
91,45,36969.0,292,306.4973500000001,0.6827846620950169,1.0,4.529790183,0.015477578972602728,0.015477578972602728,0.032020175,0.016096747,0.023829942
92,45,155387.0,1175,1271.0967199999989,5.989693433707438,1.0,18.031866584,0.015316277492765954,0.015316277492765954,0.040411422,0.014566435,0.024206188
93,45,158229.0,1226,1329.9667099999979,6.327236570987813,1.0,18.473192669,0.015037078057911926,0.015037078057911926,0.04362973,0.014277312,0.024767317
