Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000301718,0.000251653,0.000127554,0.000251653,0.000251653,0.000251653
2,0,2.0,1,2.82842,0.0,2.0,0.00034495,0.000294492,0.0001489275,0.000294492,0.000294492,0.000294492
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.000408686,0.00035893,0.0001811865,0.00035893,0.00035893,0.00035893
4,0,1.0,1,1.41421,0.0,1.0,0.000224317,0.000187198,0.000187198,0.000187198,0.000187198,0.000187198
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000503914,0.00044281,0.00014948866666666667,0.00044281,0.00044281,0.00044281
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.000501107,0.000440329,0.00014862666666666665,0.000440329,0.000440329,0.000440329
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.000506935,0.000445211,0.00015041166666666665,0.000445211,0.000445211,0.000445211
8,0,1.0,1,1.41421,0.0,1.0,0.000181128,0.000144104,0.000144104,0.000144104,0.000144104,0.000144104
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.000513601,0.000452217,0.00015269866666666666,0.000452217,0.000452217,0.000452217
10,0,3.0,1,3.0,0.0,3.0,0.000412084,0.000350673,0.000118862,0.000350673,0.000350673,0.000350673
11,5,171.0,1,22.727890000000006,0.0,19.0,0.01539096,0.015141217,0.0007988882631578949,0.015141217,0.015141217,0.015141217
12,5,156.0,1,21.727890000000006,0.0,18.0,0.014139895,0.013908188,0.0007745889444444443,0.013908188,0.013908188,0.013908188
13,5,88.0,1,20.798940000000005,0.0,15.0,0.009471313,0.00926366,0.0006203648,0.00926366,0.00926366,0.00926366
14,5,116.0,1,23.213150000000006,0.0,17.0,0.011440298,0.011213214,0.0006617319411764708,0.011213214,0.011213214,0.011213214
15,5,175.0,1,23.142100000000006,3.07034683870565e-16,19.0,0.01580002,0.015545547,0.0008201554210526316,0.015545547,0.015545547,0.015545547
16,5,124.0,1,23.213150000000006,0.0,17.0,0.012212679,0.011982835,0.0007070172941176471,0.011982835,0.011982835,0.011982835
