Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.001141502,0.000749161,0.000376257,0.000749161,0.000749161,0.000749161
2,0,3.0,1,3.0,0.0,3.0,0.001357086,0.000794742,0.0002668543333333333,0.000794742,0.000794742,0.000794742
3,0,2.0,1,2.82842,0.0,2.0,0.001211035,0.000770554,0.000387154,0.000770554,0.000770554,0.000770554
4,0,2.0,1,2.82842,0.0,2.0,0.001159961,0.000767889,0.0003859295,0.000767889,0.000767889,0.000767889
5,0,6.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001965147,0.001339851,0.0004485663333333333,0.001339851,0.001339851,0.001339851
6,0,3.0,1,3.0,0.0,3.0,0.001418648,0.000797047,0.000267549,0.000797047,0.000797047,0.000797047
7,0,3.0,1,3.0,0.0,3.0,0.001363007,0.000801854,0.0002692063333333333,0.000801854,0.000801854,0.000801854
8,0,4.0,1,3.8284199999999995,0.0,3.0,0.001593161,0.000991825,0.00033250333333333337,0.000991825,0.000991825,0.000991825
9,0,2.0,1,2.82842,0.0,2.0,0.001178989,0.000768974,0.000386241,0.000768974,0.000768974,0.000768974
10,0,5.0,1,3.4142099999999997,0.001234604105571731,3.0,0.001731167,0.00117565,0.0003938533333333334,0.00117565,0.00117565,0.00117565
11,5,150.0,1,23.313680000000005,0.00015787215787243006,20.0,0.03049842,0.026717619,0.0013377342,0.026717619,0.026717619,0.026717619
12,5,180.0,1,23.899470000000004,0.0,21.0,0.036464098,0.032610404,0.0015548482857142862,0.032610404,0.032610404,0.032610404
13,5,103.0,1,23.82842,0.0,23.0,0.022450133,0.018338252,0.0007991791739130435,0.018338252,0.018338252,0.018338252
14,5,103.0,1,23.82842,0.0,23.0,0.023268337,0.018837358,0.0008208389130434783,0.018837358,0.018837358,0.018837358
15,5,157.0,1,23.384730000000005,0.00020230966638176538,18.0,0.031681133,0.028086426,0.0015622691111111112,0.028086426,0.028086426,0.028086426
16,5,0.0,0,0.0,0.0,0.0,1.0975e-05,0.0,0.0,0.0,0.0,0.0
17,5,134.0,1,23.627360000000007,0.0,17.0,0.027179147,0.024115238,0.001420428,0.024115238,0.024115238,0.024115238
18,5,149.0,1,21.970520000000004,2.366863905349035e-05,17.0,0.031636805,0.028476609,0.0016771638823529413,0.028476609,0.028476609,0.028476609
19,5,184.0,1,23.485260000000004,0.0,21.0,0.037145485,0.033333928,0.0015896313809523814,0.033333928,0.033333928,0.033333928
20,5,23.0,1,23.0,0.0,23.0,0.009685334,0.005346002,0.00023431539130434778,0.005346002,0.005346002,0.005346002
21,10,253.0,2,44.65683999999999,0.032766882516188395,21.5,0.067351875,0.029585294499999998,0.0013781182093023253,0.036554922,0.036554922,0.036554922
22,10,327.0,2,42.59787999999999,0.013993810997381369,15.5,0.086079769,0.039929632,0.0025779642258064515,0.076522416,0.076522416,0.076522416
23,10,821.0,3,53.66892999999997,0.2598340375586846,13.333333333333334,0.19398875,0.06233137833333333,0.00467677905,0.075984257,0.074920459,0.075984257
24,10,491.0,2,43.97051999999998,1.1826245166711712e-05,19.5,0.113270937,0.05320951,0.0027305928974358977,0.074840146,0.074840146,0.074840146
25,10,436.0,2,43.45577999999998,0.0,18.0,0.1046142,0.048995209,0.002724022083333333,0.075623071,0.075623071,0.075623071
26,10,117.0,1,40.41421,0.0001041821331353747,40.0,0.029244595,0.021522902,0.0005399260499999999,0.021522902,0.021522902,0.021522902
27,10,549.0,2,43.970519999999986,1.182624516687331e-05,19.5,0.12794813,0.0604209555,0.003100558435897436,0.075008879,0.075008879,0.075008879
28,10,389.0,2,46.07105,0.05353418705694038,22.0,0.098029165,0.04500692,0.0020475776136363627,0.076918369,0.076918369,0.076918369
29,10,43.0,1,43.0,0.0,43.0,0.018857579,0.010595641,0.0002482793720930231,0.010595641,0.010595641,0.010595641
30,10,404.0,2,43.52682999999998,0.0,17.0,0.097772546,0.0457062015,0.0026904894705882362,0.075410384,0.075410384,0.075410384
31,15,2823.0,11,186.68101999999985,1.922827931736337,14.636363636363637,0.629659881,0.05458392672727272,0.0037311714658385077,0.074848706,0.055634917,0.07236256
32,15,485.0,2,63.28419999999997,6.637168141543766e-05,27.5,0.117316648,0.0531240585,0.0019337608181818177,0.074723229,0.074723229,0.074723229
33,15,1087.0,5,63.526829999999975,0.05860406598900146,10.8,0.245419314,0.047083052400000006,0.004361618259259259,0.077719606,0.038278776,0.077719606
34,15,359.0,2,63.071049999999985,1.6648168701206888e-05,30.5,0.097102477,0.0432351025,0.0014194513934426226,0.077901688,0.077901688,0.077901688
