Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,3,3.0,0.0,1.0,0.000958375,0.000106478,0.000106478,0.000131299,0.000100165,0.000131299
2,0,2.0,2,2.0,0.0,1.0,0.000624197,0.000115976,0.000115976,0.000132104,0.000132104,0.000132104
3,0,1.0,1,1.0,0.0,1.0,0.000347355,0.000129647,0.000129647,0.000129647,0.000129647,0.000129647
4,0,2.0,2,2.0,0.0,1.0,0.000612423,0.000117584,0.000117584,0.000125972,0.000125972,0.000125972
5,0,543.0,3,3.8284199999999995,0.0,1.0,0.072691353,0.024021072,0.024021072,0.044054523,0.027874745,0.044054523
6,0,271.0,1,1.41421,0.0,1.0,0.026259445,0.026037286,0.026037286,0.026037286,0.026037286,0.026037286
7,0,272.0,2,2.4142099999999997,0.0,1.0,0.051128704,0.0253570365,0.0253570365,0.050583351,0.050583351,0.050583351
8,0,3.0,3,3.0,0.0,1.0,0.000874899,0.00010088366666666667,0.00010088366666666667,0.000129712,8.7286e-05,0.000129712
9,0,273.0,3,3.4142099999999997,0.0,1.0,0.021461361,0.006962948666666667,0.006962948666666667,0.020658754,0.000131296,0.020658754
10,0,272.0,2,2.4142099999999997,0.0,1.0,0.026316343,0.012963404,0.012963404,0.025794984,0.025794984,0.025794984
11,5,3260.0,20,21.656840000000003,0.0,1.0,0.324009345,0.01601941085,0.01601941085,0.040477895,0.01983305,0.038878821
12,5,2719.0,19,21.485260000000004,0.0704575235039436,1.0,0.280889879,0.014578412315789473,0.014578412315789473,0.038397535,0.019697249,0.037325927
13,5,2179.0,19,22.313680000000005,0.0,1.0,0.365329175,0.019039365,0.019039365,0.073746755,0.00010026,0.063561986
14,5,2084.0,22,24.071050000000003,0.10784061045936336,1.0,0.148620978,0.006554384772727273,0.006554384772727273,0.026888242,9.7029e-05,0.017658687
15,5,3802.0,22,23.656840000000003,0.052102484734471134,1.0,0.356445731,0.016017116863636365,0.016017116863636365,0.042921155,0.018302187,0.040601369
16,5,7866.0,36,38.89946999999999,0.6987039018319172,1.0,1.00754656,0.027798635333333335,0.027798635333333335,0.064330358,0.028786842,0.051013073
17,5,4884.0,24,24.41421,0.024584529385103582,1.0,0.392040393,0.016146117416666668,0.016146117416666668,0.038554253,0.019228375,0.024499153
18,5,4069.0,19,22.727890000000006,0.09648782558773458,1.0,0.449539755,0.023465015894736842,0.023465015894736842,0.058189966,0.020083656,0.057915649
19,5,8675.0,35,37.48526,0.5961158682239528,1.0,0.858111083,0.02430482822857144,0.02430482822857144,0.064441236,0.019433082,0.038528555
20,5,291.0,21,21.41421,4.669798544713985e-07,1.0,0.031620739,0.0013246098571428572,0.0013246098571428572,0.025944702,9.0892e-05,9.9915e-05
21,10,27652.0,112,116.97051999999998,1.7984047465250361,1.0,2.832991013,0.02508021851785715,0.02508021851785715,0.05203291,0.025695046,0.037034411
22,10,1119.0,39,40.65683999999999,0.0,1.0,0.088856784,0.002100868769230769,0.002100868769230769,0.026895456,8.4643e-05,0.016840784
23,10,15182.0,62,67.79893999999997,0.6259323476863669,1.0,1.561515075,0.024994022322580647,0.024994022322580647,0.044305462,0.02476812,0.037918374
24,10,24129.0,99,107.69840999999997,1.520564081080511,1.0,2.875571567,0.02883447865656565,0.02883447865656565,0.058318617,0.027390582,0.046380853
25,10,6035.0,43,47.14209999999997,0.07212773989893187,1.0,0.817922152,0.018836641093023253,0.018836641093023253,0.09871309,0.017386815,0.04640495
26,10,32528.0,128,137.11261999999996,2.3384209334544233,1.0,3.281857773,0.025423221421874993,0.025423221421874993,0.054445622,0.025290016,0.035769681
27,10,312.0,42,42.41421,2.357700957714329e-07,1.0,0.029284416,0.0005185805238095238,0.0005185805238095238,0.018284722,8.4348e-05,9.5583e-05
28,10,27659.0,119,129.76945999999995,2.0249643935243986,1.0,3.515371608,0.029351168050420175,0.029351168050420175,0.080427124,0.030024419,0.047696652
29,10,6552.0,59,62.31367999999999,0.46426451547714415,1.0,0.482470013,0.00798893933898305,0.00798893933898305,0.033138275,8.7518e-05,0.019970295
30,10,10840.0,40,45.79893999999997,0.051488303643789146,1.0,1.027710999,0.025497669150000006,0.025497669150000006,0.076845487,0.019482204,0.049743461
31,15,3601.0,61,63.89946999999998,0.038065478269486294,1.0,0.495455676,0.007944018081967213,0.007944018081967213,0.056162654,9.0148e-05,0.042321214
32,15,57752.0,242,252.76945999999992,3.1063134074010286,1.0,8.497891085,0.03490784542975206,0.03490784542975206,0.092233436,0.033232565,0.061216605
33,15,56934.0,234,247.6689299999999,3.0573793937249336,1.0,8.883464704,0.03772852435897435,0.03772852435897435,0.108280169,0.03485548,0.068746002
34,15,14102.0,62,63.65683999999999,0.028390213168119047,1.0,1.110608754,0.017725548935483875,0.017725548935483875,0.033748436,0.019287417,0.025032922
35,15,151458.0,622,679.9894000000025,9.675124217995755,1.0,15.521519049,0.024738816853697738,0.024738816853697738,0.06561449,0.02416176,0.040495328
