Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,3.0,1,3.0,0.0,3.0,0.000996913,0.000351314,0.00011907333333333334,0.000351314,0.000351314,0.000351314
2,0,2.0,1,2.0,0.0,2.0,0.000690648,0.000283601,0.00014392200000000002,0.000283601,0.000283601,0.000283601
3,0,1.0,1,1.0,0.0,1.0,0.000427257,0.000198601,0.000198601,0.000198601,0.000198601,0.000198601
4,0,2.0,1,2.0,0.0,2.0,0.000666331,0.000262378,0.00013281300000000002,0.000262378,0.000262378,0.000262378
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000989289,0.000427543,0.00014441333333333332,0.000427543,0.000427543,0.000427543
6,0,1.0,1,1.41421,0.0,1.0,0.000396619,0.00018747,0.00018747,0.00018747,0.00018747,0.00018747
7,0,3.0,1,2.4142099999999997,0.0,2.0,0.000758366,0.000351411,0.000177445,0.000351411,0.000351411,0.000351411
8,0,3.0,1,3.0,0.0,3.0,0.000893932,0.000344835,0.00011689033333333333,0.000344835,0.000344835,0.000344835
9,0,6.0,1,3.4142099999999997,0.0,3.0,0.00112909,0.000577763,0.00019443966666666667,0.000577763,0.000577763,0.000577763
10,0,3.0,1,2.4142099999999997,0.0,2.0,0.000749612,0.000373215,0.0001883755,0.000373215,0.000373215,0.000373215
11,5,117.0,2,21.656840000000003,0.0,10.0,0.010885096,0.0037620435,0.00037819259999999995,0.00608331,0.00608331,0.00608331
12,5,116.0,2,20.071050000000003,0.0,9.0,0.011483811,0.0040176815,0.0004482567222222222,0.007762297,0.007762297,0.007762297
13,5,172.0,1,22.313680000000005,0.0,19.0,0.015700334,0.012158961,0.000641882789473684,0.012158961,0.012158961,0.012158961
14,5,144.0,2,24.071050000000003,0.10784061045936336,11.0,0.013769639,0.004720283,0.0004309944545454546,0.008494897,0.008494897,0.008494897
15,5,127.0,1,22.485260000000004,0.0,20.0,0.012669311,0.008999416,0.00045190069999999995,0.008999416,0.008999416,0.008999416
16,5,132.0,1,22.89947,0.0,20.0,0.013155483,0.009631219,0.00048393930000000006,0.009631219,0.009631219,0.009631219
17,5,72.0,1,23.82842,8.393345756658257e-07,23.0,0.009490109,0.005349809,0.00023470252173913043,0.005349809,0.005349809,0.005349809
18,5,98.0,1,20.727890000000002,0.0,17.0,0.009849637,0.006802463,0.0004025455294117647,0.006802463,0.006802463,0.006802463
19,5,95.0,1,23.48526,0.0,21.0,0.010309852,0.006468841,0.00031007395238095243,0.006468841,0.006468841,0.006468841
20,5,60.0,1,21.41421,4.669798544713985e-07,21.0,0.008563906,0.004705016,0.00022604752380952375,0.004705016,0.004705016,0.004705016
