Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000977622,0.000428775,0.00014483466666666666,0.000428775,0.000428775,0.000428775
2,0,2.0,1,2.0,0.0,2.0,0.000639605,0.000266921,0.000135247,0.000266921,0.000266921,0.000266921
3,0,2.0,1,2.0,0.0,2.0,0.000669267,0.000267802,0.0001355535,0.000267802,0.000267802,0.000267802
4,0,3.0,1,2.4142099999999997,0.0,2.0,0.000738931,0.000347527,0.0001756075,0.000347527,0.000347527,0.000347527
5,0,5.0,1,3.4142099999999997,0.0,3.0,0.001047942,0.00044613,0.0001511143333333333,0.00044613,0.00044613,0.00044613
6,0,3.0,1,2.4142099999999997,0.0,2.0,0.00074062,0.000346396,0.00017491500000000002,0.000346396,0.000346396,0.000346396
7,0,6.0,1,3.4142099999999997,0.0,3.0,0.001139524,0.00057649,0.00019398833333333332,0.00057649,0.00057649,0.00057649
8,0,2.0,1,2.82842,0.0,2.0,0.000683059,0.000292944,0.000148214,0.000292944,0.000292944,0.000292944
9,0,1.0,1,1.41421,0.0,1.0,0.000379852,0.000167843,0.000167843,0.000167843,0.000167843,0.000167843
10,0,2.0,1,2.0,0.0,2.0,0.000593222,0.000216619,0.00010999600000000001,0.000216619,0.000216619,0.000216619
11,5,130.0,1,23.242630000000002,1.2907333948188663e-06,22.0,0.013677921,0.009519763,0.00043476086363636345,0.009519763,0.009519763,0.009519763
12,5,174.0,1,23.485260000000004,0.0,21.0,0.01627667,0.012145998,0.0005803729047619047,0.012145998,0.012145998,0.012145998
13,5,143.0,1,21.485260000000004,0.0,19.0,0.013521981,0.009902133,0.0005230312631578946,0.009902133,0.009902133,0.009902133
14,5,105.0,1,22.242630000000002,1.3487631842687898e-06,21.0,0.011400017,0.007567855,0.0003625007142857143,0.007567855,0.007567855,0.007567855
15,5,176.0,2,24.485260000000004,0.050251997752394646,11.0,0.016068666,0.0060544645,0.0005530114545454545,0.009963244,0.009963244,0.009963244
16,5,93.0,1,23.07105,0.0,21.0,0.010398163,0.006700713,0.00032108547619047624,0.006700713,0.006700713,0.006700713
17,5,95.0,1,21.07105,0.0,19.0,0.009969806,0.006407087,0.00033925821052631583,0.006407087,0.006407087,0.006407087
18,5,100.0,1,20.727890000000006,0.0,17.0,0.009910439,0.006884665,0.00040709829411764717,0.006884665,0.006884665,0.006884665
