Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000526791,0.000230149,0.000119644,0.000230149,0.000230149,0.000230149
2,0,2.0,1,2.82842,0.0,2.0,0.000542596,0.000243469,0.0001260885,0.000243469,0.000243469,0.000243469
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.00075407,0.0003243,0.0001668025,0.0003243,0.0003243,0.0003243
4,0,1.0,1,1.41421,0.0,1.0,0.000351435,0.000134764,0.000134764,0.000134764,0.000134764,0.000134764
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.00098045,0.000410856,0.00014226666666666666,0.000410856,0.000410856,0.000410856
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.000975613,0.000408044,0.000141407,0.000408044,0.000408044,0.000408044
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.00102172,0.000446017,0.00015419,0.000446017,0.000446017,0.000446017
8,0,1.0,1,1.41421,0.0,1.0,0.000324128,0.000103367,0.000103367,0.000103367,0.000103367,0.000103367
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.000989294,0.000408357,0.00014424866666666667,0.000408357,0.000408357,0.000408357
10,0,3.0,1,3.0,0.0,3.0,0.000909222,0.000319723,0.00011220366666666666,0.000319723,0.000319723,0.000319723
11,5,289.0,1,22.727890000000002,0.0,19.0,0.027147859,0.023412191,0.001250341105263158,0.023412191,0.023412191,0.023412191
12,5,267.0,1,21.727890000000002,0.0,18.0,0.025075462,0.021758409,0.0012265154444444444,0.021758409,0.021758409,0.021758409
13,5,150.0,1,20.798940000000005,0.0,15.0,0.014761019,0.012119189,0.0008224268666666666,0.012119189,0.012119189,0.012119189
14,5,206.0,1,23.213150000000006,0.0,17.0,0.019699339,0.016743136,0.0010011531176470584,0.016743136,0.016743136,0.016743136
15,5,306.0,1,23.142100000000003,1.535173419352825e-16,19.0,0.028748751,0.02487798,0.0013271389473684212,0.02487798,0.02487798,0.02487798
16,5,215.0,1,23.213150000000006,0.0,17.0,0.020897154,0.017691774,0.0010574223529411766,0.017691774,0.017691774,0.017691774
17,5,276.0,1,22.142100000000003,1.6045062025736046e-16,18.0,0.025603595,0.022325978,0.0012581781111111112,0.022325978,0.022325978,0.022325978
18,5,189.0,1,20.970520000000004,0.0,16.0,0.01808988,0.015242853,0.0009685095624999999,0.015242853,0.015242853,0.015242853
19,5,299.0,1,23.31368,0.0,20.0,0.028177146,0.024281244,0.00123289145,0.024281244,0.024281244,0.024281244
20,5,208.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.019983815,0.016956996,0.00107560025,0.016956996,0.016956996,0.016956996
21,10,1010.0,3,43.86998999999998,0.047764156283361614,12.0,0.094924543,0.029222883333333338,0.0024644123333333336,0.038802105,0.034316378,0.038802105
22,10,603.0,2,39.597879999999996,0.0,14.0,0.059367751,0.0267998045,0.0019380050357142855,0.03450823,0.03450823,0.03450823
23,10,901.0,3,40.55630999999998,2.4657081592398357e-07,12.0,0.085620278,0.026095119666666666,0.002204112111111111,0.038247734,0.034955045,0.038247734
24,10,80.0,1,40.828419999999994,4.89855100668589e-07,40.0,0.012407289,0.005971102,0.000185849375,0.005971102,0.005971102,0.005971102
25,10,789.0,2,43.04156999999998,0.0,18.0,0.074965772,0.034442987,0.0019449070277777778,0.034559395,0.034559395,0.034559395
26,10,920.0,3,40.45577999999999,0.0,11.0,0.087535641,0.026830987666666667,0.0024667100303030305,0.039029498,0.034559227,0.039029498
27,10,926.0,3,41.35524999999999,0.014364869903064882,10.333333333333334,0.088099612,0.027300884,0.0026651799032258064,0.034980056,0.023668232,0.034980056
28,10,457.0,2,42.31367999999998,0.0,19.5,0.04345092,0.018600871999999997,0.0009865390256410251,0.034133052,0.034133052,0.034133052
29,10,702.0,2,44.84050999999998,0.06732115909188237,16.0,0.069858409,0.031672789,0.002005753531250001,0.035227158,0.035227158,0.035227158
30,10,586.0,2,42.14209999999998,0.0,19.0,0.057978995,0.025751128499999998,0.001388466789473684,0.034006599,0.034006599,0.034006599
31,15,2012.0,5,62.911559999999945,0.04707231460322491,9.6,0.198878544,0.0378297952,0.003975046229166667,0.041101285,0.038584486,0.041101285
32,15,1029.0,3,61.970519999999965,0.0,19.0,0.104890708,0.030119924333333336,0.001697881368421053,0.039242791,0.034679756,0.039242791
33,15,1150.0,3,62.38472999999996,0.0,19.0,0.115583665,0.034959412,0.001886776035087719,0.039007999,0.034591099,0.039007999
34,15,1689.0,5,62.15418999999994,0.03324600236391985,9.2,0.173388537,0.0315644614,0.0035929951521739166,0.041338519,0.03968695,0.041338519
35,15,1890.0,5,63.76945999999994,0.0,10.6,0.193177799,0.0366708428,0.0034989365849056597,0.041983066,0.039777008,0.041983066
36,15,1524.0,4,60.14209999999997,0.0,14.0,0.154588992,0.0345747765,0.0025202863392857146,0.039822653,0.039496903,0.039822653
37,15,2303.0,6,66.84050999999994,0.09245437517774215,9.0,0.227434242,0.03603320233333333,0.004043546888888889,0.04288143,0.040347151,0.04288143
38,15,3263.0,11,67.21314999999998,0.05921208148033719,5.545454545454546,0.324030766,0.028289631272727277,0.005136718524590163,0.048346259,0.033702493,0.040234174
39,15,1663.0,4,63.52682999999993,0.032504969371119546,13.5,0.164096472,0.03851186175,0.00289602148148148,0.040963549,0.039973987,0.040963549
40,15,1920.0,5,64.08313999999994,0.032212205214605896,10.0,0.18877802,0.0358328372,0.0036228555600000003,0.041770901,0.039802622,0.041770901
41,20,3934.0,10,87.59787999999993,0.06903470907761705,7.6,0.402480427,0.0381382431,0.005123401092105264,0.048618594,0.040490017,0.048618594
42,20,2875.0,7,84.01208999999992,0.024385274386004862,10.285714285714286,0.288416827,0.03919407528571429,0.0038640332083333356,0.042267665,0.040741157,0.042267665
43,20,3378.0,9,90.60996999999989,0.08150073345372426,7.444444444444445,0.342826783,0.03648814433333333,0.004948557970149252,0.042860538,0.041571009,0.042860538
44,20,1554.0,4,83.89946999999998,0.0,20.25,0.16636358,0.03640900175,0.0018648273950617284,0.041199439,0.038953503,0.041199439
